,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:35.0,Turnover by I. Smith (bad pass; steal by D. Williams),,0,0
1,1,11:18.0,,W. Matthews misses 2-pt jump shot from 10 ft,0,0
2,1,11:16.0,Defensive rebound by A. Ajinça,,0,0
3,1,11:01.0,I. Smith makes 3-pt jump shot from 22 ft (assist by L. Babbitt),,3,0
4,1,10:45.0,,C. Parsons misses 2-pt jump shot from 6 ft,3,0
5,1,10:43.0,Defensive rebound by I. Smith,,3,0
6,1,10:34.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by I. Smith),,6,0
7,1,10:17.0,,Turnover by D. Nowitzki (bad pass; steal by I. Smith),6,0
8,1,10:13.0,A. Davis makes 2-pt dunk at rim (assist by I. Smith),,8,0
9,1,9:49.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),8,3
10,1,9:31.0,A. Davis misses 2-pt jump shot from 16 ft,,8,3
11,1,9:30.0,Offensive rebound by A. Ajinça,,8,3
12,1,9:28.0,A. Ajinça makes 2-pt hook shot from 1 ft,,10,3
13,1,9:16.0,,D. Nowitzki makes 2-pt jump shot from 14 ft,10,5
14,1,9:04.0,Personal block foul by W. Matthews (drawn by E. Gordon),,10,5
15,1,8:58.0,I. Smith misses 2-pt jump shot from 18 ft,,10,5
16,1,8:57.0,,Defensive rebound by Z. Pachulia,10,5
17,1,8:50.0,,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by D. Williams),10,8
18,1,8:24.0,I. Smith misses 3-pt jump shot from 23 ft,,10,8
19,1,8:23.0,,Defensive rebound by D. Nowitzki,10,8
20,1,8:15.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,10,8
21,1,8:15.0,Defensive rebound by A. Davis,,10,8
22,1,8:05.0,I. Smith misses 2-pt layup at rim,,10,8
23,1,8:04.0,,Defensive rebound by D. Nowitzki,10,8
24,1,7:58.0,,D. Williams misses 2-pt jump shot from 22 ft,10,8
25,1,7:57.0,,Offensive rebound by Z. Pachulia,10,8
26,1,7:57.0,,Personal foul by I. Smith (drawn by Z. Pachulia),10,8
27,1,7:41.0,,C. Parsons misses 2-pt jump shot from 7 ft,10,8
28,1,7:40.0,Defensive rebound by I. Smith,,10,8
29,1,7:33.0,A. Ajinça misses 2-pt jump shot from 20 ft,,10,8
30,1,7:32.0,,Defensive rebound by W. Matthews,10,8
31,1,7:16.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,10,8
32,1,7:15.0,Defensive rebound by E. Gordon,,10,8
33,1,7:08.0,E. Gordon misses 2-pt jump shot from 22 ft,,10,8
34,1,7:07.0,,Defensive rebound by Z. Pachulia,10,8
35,1,6:58.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,10,8
36,1,6:57.0,Defensive rebound by E. Gordon,,10,8
37,1,6:47.0,A. Davis makes 2-pt jump shot from 8 ft,,12,8
38,1,6:22.0,,W. Matthews misses 3-pt jump shot from 22 ft (block by A. Davis),12,8
39,1,6:22.0,,Offensive rebound by Team,12,8
40,1,6:22.0,,Turnover by Team (shot clock),12,8
41,1,6:22.0,,D. Powell enters the game for D. Nowitzki,12,8
42,1,6:07.0,I. Smith misses 2-pt jump shot from 8 ft,,12,8
43,1,6:06.0,,Defensive rebound by Z. Pachulia,12,8
44,1,6:01.0,Violation by I. Smith (kicked ball),,12,8
45,1,6:01.0,R. Anderson enters the game for A. Ajinça,,12,8
46,1,6:01.0,,R. Felton enters the game for W. Matthews,12,8
47,1,5:51.0,,D. Powell misses 2-pt jump shot from 19 ft (block by A. Davis),12,8
48,1,5:50.0,Defensive rebound by E. Gordon,,12,8
49,1,5:44.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by E. Gordon),,15,8
50,1,5:29.0,,Personal take foul by I. Smith (drawn by D. Williams),15,8
51,1,5:29.0,,Dallas full timeout,15,8
52,1,5:29.0,T. Douglas enters the game for I. Smith,,15,8
53,1,5:19.0,,C. Parsons makes 2-pt jump shot from 15 ft,15,10
54,1,5:04.0,R. Anderson misses 3-pt jump shot from 27 ft,,15,10
55,1,5:03.0,,Defensive rebound by C. Parsons,15,10
56,1,4:55.0,,Z. Pachulia misses 2-pt layup from 2 ft,15,10
57,1,4:53.0,,Offensive rebound by Z. Pachulia,15,10
58,1,4:53.0,,Z. Pachulia makes 2-pt layup at rim,15,12
59,1,4:31.0,R. Anderson misses 2-pt layup at rim,,15,12
60,1,4:30.0,,Defensive rebound by D. Powell,15,12
61,1,4:25.0,,R. Felton makes 2-pt layup from 2 ft,15,14
62,1,4:25.0,,Shooting block foul by T. Douglas (drawn by R. Felton),15,14
63,1,4:25.0,,R. Felton makes free throw 1 of 1,15,15
64,1,4:12.0,Turnover by E. Gordon (bad pass),,15,15
65,1,4:03.0,,C. Parsons makes 2-pt dunk at rim,15,17
66,1,3:50.0,Offensive foul by A. Davis (drawn by R. Felton),,15,17
67,1,3:50.0,Turnover by A. Davis (offensive foul),,15,17
68,1,3:50.0,D. Cunningham enters the game for L. Babbitt,,15,17
69,1,3:50.0,,D. Nowitzki enters the game for C. Parsons,15,17
70,1,3:50.0,,W. Matthews enters the game for Z. Pachulia,15,17
71,1,3:50.0,,D. Harris enters the game for D. Williams,15,17
72,1,3:36.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,15,17
73,1,3:36.0,Defensive rebound by R. Anderson,,15,17
74,1,3:27.0,A. Davis misses 2-pt jump shot from 15 ft,,15,17
75,1,3:26.0,,Defensive rebound by R. Felton,15,17
76,1,3:13.0,,Personal foul by E. Gordon (drawn by D. Nowitzki),15,17
77,1,3:01.0,,W. Matthews makes 2-pt jump shot from 3 ft,15,19
78,1,2:52.0,Personal foul by D. Harris (drawn by E. Gordon),,15,19
79,1,2:52.0,New Orleans full timeout,,15,19
80,1,2:39.0,A. Davis makes 2-pt hook shot from 6 ft (assist by E. Gordon),,17,19
81,1,2:14.0,,W. Matthews misses 2-pt jump shot from 17 ft,17,19
82,1,2:13.0,Defensive rebound by D. Cunningham,,17,19
83,1,1:55.0,D. Cunningham misses 3-pt jump shot from 22 ft,,17,19
84,1,1:54.0,,Defensive rebound by D. Nowitzki,17,19
85,1,1:44.0,,D. Powell misses 2-pt layup from 2 ft,17,19
