,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:37.0,,R. Hood misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,Defensive rebound by J. Barea,,0,0
2,1,11:21.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by J. Barea),,2,0
3,1,11:06.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by R. Hood),2,3
4,1,10:46.0,Turnover by J. Barea (bad pass; steal by R. Hood),,2,3
5,1,10:35.0,,R. Hood misses 2-pt jump shot from 3 ft,2,3
6,1,10:35.0,Defensive rebound by W. Matthews,,2,3
7,1,10:26.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),,5,3
8,1,10:12.0,,Personal foul by Z. Pachulia,5,3
9,1,9:57.0,,S. Mack misses 2-pt jump shot from 3 ft,5,3
10,1,9:56.0,Defensive rebound by D. Williams,,5,3
11,1,9:47.0,W. Matthews misses 3-pt jump shot from 22 ft,,5,3
12,1,9:44.0,Offensive rebound by D. Nowitzki,,5,3
13,1,9:40.0,D. Williams misses 3-pt jump shot from 24 ft,,5,3
14,1,9:40.0,,Defensive rebound by G. Hayward,5,3
15,1,9:31.0,,G. Hayward misses 2-pt jump shot from 18 ft,5,3
16,1,9:31.0,Defensive rebound by D. Nowitzki,,5,3
17,1,9:14.0,W. Matthews makes 2-pt jump shot from 17 ft,,7,3
18,1,9:06.0,,Turnover by S. Mack (lost ball; steal by D. Williams),7,3
19,1,9:00.0,D. Williams makes 2-pt layup from 2 ft,,9,3
20,1,8:40.0,,Shooting foul by D. Williams (drawn by R. Hood),9,3
21,1,8:40.0,,R. Hood makes free throw 1 of 2,9,4
22,1,8:40.0,,R. Hood makes free throw 2 of 2,9,5
23,1,8:28.0,J. Barea misses 2-pt jump shot from 12 ft,,9,5
24,1,8:26.0,,Defensive rebound by R. Gobert,9,5
25,1,8:13.0,,G. Hayward makes 2-pt layup from 1 ft (assist by R. Gobert),9,7
26,1,7:54.0,W. Matthews misses 3-pt jump shot from 24 ft,,9,7
27,1,7:54.0,,Defensive rebound by R. Gobert,9,7
28,1,7:35.0,,S. Mack misses 3-pt jump shot from 23 ft,9,7
29,1,7:34.0,Defensive rebound by D. Nowitzki,,9,7
30,1,7:23.0,J. Barea misses 2-pt jump shot from 21 ft,,9,7
31,1,7:22.0,,Defensive rebound by T. Lyles,9,7
32,1,7:04.0,,R. Hood misses 2-pt jump shot from 12 ft,9,7
33,1,7:04.0,Defensive rebound by Z. Pachulia,,9,7
34,1,6:39.0,J. Barea misses 3-pt jump shot from 37 ft,,9,7
35,1,6:38.0,,Defensive rebound by T. Lyles,9,7
36,1,6:28.0,,Offensive foul by G. Hayward (drawn by D. Williams),9,7
37,1,6:28.0,,Turnover by G. Hayward (offensive foul),9,7
38,1,6:14.0,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by J. Barea),,12,7
39,1,5:51.0,,S. Mack makes 3-pt jump shot from 22 ft (assist by R. Gobert),12,10
40,1,5:35.0,Shooting foul by S. Mack (drawn by D. Nowitzki),,12,10
41,1,5:35.0,,Utah full timeout,12,10
42,1,5:35.0,R. Felton enters the game for J. Barea,,12,10
43,1,5:35.0,,D. Favors enters the game for T. Lyles,12,10
44,1,5:35.0,D. Nowitzki makes free throw 1 of 2,,13,10
45,1,5:35.0,D. Nowitzki makes free throw 2 of 2,,14,10
46,1,5:12.0,,D. Favors misses 2-pt jump shot from 16 ft,14,10
47,1,5:11.0,,Offensive rebound by R. Gobert,14,10
48,1,5:11.0,,Shooting foul by D. Williams (drawn by R. Gobert),14,10
49,1,5:11.0,,R. Gobert makes free throw 1 of 2,14,11
50,1,5:11.0,D. Lee enters the game for D. Nowitzki,,14,11
51,1,5:11.0,D. Harris enters the game for D. Williams,,14,11
52,1,5:11.0,,R. Gobert misses free throw 2 of 2,14,11
53,1,5:10.0,Defensive rebound by Z. Pachulia,,14,11
54,1,4:57.0,,T. Booker enters the game for R. Gobert,14,11
55,1,4:43.0,W. Matthews misses 2-pt jump shot from 13 ft,,14,11
56,1,4:43.0,,Defensive rebound by R. Hood,14,11
57,1,4:29.0,,Turnover by D. Favors (bad pass; steal by R. Felton),14,11
58,1,4:22.0,D. Harris misses 3-pt jump shot from 23 ft,,14,11
59,1,4:22.0,Offensive rebound by Z. Pachulia,,14,11
60,1,4:11.0,Shooting foul by R. Hood (drawn by D. Lee),,14,11
61,1,4:11.0,D. Lee makes free throw 1 of 2,,15,11
62,1,4:11.0,,J. Ingles enters the game for G. Hayward,15,11
63,1,4:11.0,D. Lee makes free throw 2 of 2,,16,11
64,1,3:59.0,,Personal foul by R. Felton,16,11
65,1,3:53.0,,Personal foul by Z. Pachulia,16,11
66,1,3:53.0,,D. Favors makes free throw 1 of 2,16,12
67,1,3:53.0,S. Mejri enters the game for Z. Pachulia,,16,12
68,1,3:53.0,,D. Favors misses free throw 2 of 2,16,12
69,1,3:52.0,Defensive rebound by R. Felton,,16,12
70,1,3:34.0,Shooting foul by S. Mack (drawn by R. Felton),,16,12
71,1,3:34.0,R. Felton makes 2-pt jump shot from 9 ft,,18,12
72,1,3:34.0,,R. Neto enters the game for S. Mack,18,12
73,1,3:34.0,R. Felton makes free throw 1 of 1,,19,12
74,1,3:13.0,,D. Favors makes 2-pt dunk at rim (assist by R. Hood),19,14
75,1,2:44.0,D. Lee misses 2-pt layup from 2 ft,,19,14
76,1,2:43.0,Offensive rebound by D. Lee,,19,14
77,1,2:42.0,D. Lee misses 2-pt layup from 1 ft,,19,14
78,1,2:41.0,Offensive rebound by D. Lee,,19,14
79,1,2:41.0,D. Lee makes 2-pt layup from 1 ft,,21,14
80,1,2:21.0,,R. Hood misses 2-pt layup from 1 ft,21,14
81,1,2:20.0,Defensive rebound by D. Lee,,21,14
82,1,2:15.0,Turnover by D. Lee (lost ball),,21,14
83,1,2:15.0,Dallas full timeout,,21,14
84,1,1:58.0,,J. Ingles misses 3-pt jump shot from 23 ft,21,14
85,1,1:58.0,Defensive rebound by S. Mejri,,21,14
86,1,1:46.0,Shooting foul by T. Booker (drawn by S. Mejri),,21,14
87,1,1:46.0,S. Mejri makes free throw 1 of 2,,22,14
88,1,1:46.0,S. Mejri misses free throw 2 of 2,,22,14
89,1,1:46.0,,Defensive rebound by D. Favors,22,14
90,1,1:20.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Neto),22,17
91,1,1:11.0,,A. Burks enters the game for R. Hood,22,17
92,1,1:11.0,D. Nowitzki enters the game for D. Lee,,22,17
93,1,1:11.0,J. Barea enters the game for R. Felton,,22,17
94,1,1:00.0,Turnover by S. Mejri (offensive goaltending),,22,17
95,1,0:41.0,,D. Favors misses 2-pt hook shot from 2 ft,22,17
96,1,0:40.0,Defensive rebound by J. Barea,,22,17
97,1,0:20.0,W. Matthews misses 3-pt jump shot from 23 ft (block by T. Booker),,22,17
98,1,0:18.0,Offensive rebound by Team,,22,17
99,1,0:18.0,,R. Gobert enters the game for D. Favors,22,17
100,1,0:17.0,Turnover by J. Barea (bad pass; steal by A. Burks),,22,17
101,1,0:08.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Neto),22,20
102,1,0:01.0,J. Barea misses 3-pt jump shot from 24 ft,,22,20
103,1,0:00.0,Offensive rebound by Team,,22,20
104,2,11:41.0,D. Nowitzki makes 2-pt jump shot from 3 ft,,24,20
105,2,11:25.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by G. Hayward),24,23
106,2,11:10.0,D. Nowitzki misses 3-pt jump shot from 23 ft,,24,23
107,2,11:09.0,,Defensive rebound by A. Burks,24,23
108,2,11:04.0,,Turnover by A. Burks (bad pass; steal by D. Harris),24,23
109,2,10:58.0,D. Harris misses 2-pt jump shot from 10 ft,,24,23
110,2,10:57.0,Offensive rebound by D. Harris,,24,23
111,2,10:54.0,S. Mejri misses 2-pt hook shot from 2 ft,,24,23
112,2,10:52.0,,Defensive rebound by R. Gobert,24,23
113,2,10:43.0,,Turnover by J. Ingles (lost ball),24,23
114,2,10:43.0,D. Williams enters the game for D. Harris,,24,23
115,2,10:24.0,J. Barea makes 3-pt jump shot from 24 ft (assist by D. Williams),,27,23
116,2,9:59.0,,Turnover by G. Hayward (bad pass; steal by J. Barea),27,23
117,2,9:52.0,J. Anderson misses 3-pt jump shot from 25 ft,,27,23
118,2,9:50.0,,Defensive rebound by A. Burks,27,23
