,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DALLAS_ACTION,SACRAMENTO_SCORE,DALLAS_SCORE
0,1,11:45.0,R. Gay misses 2-pt jump shot from 14 ft,,0,0
1,1,11:44.0,Offensive rebound by Q. Acy,,0,0
2,1,11:35.0,D. Cousins misses 2-pt jump shot from 18 ft,,0,0
3,1,11:34.0,,Defensive rebound by W. Matthews,0,0
4,1,11:19.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,0,0
5,1,11:18.0,Defensive rebound by D. Cousins,,0,0
6,1,11:08.0,Turnover by D. Collison (bad pass; steal by W. Matthews),,0,0
7,1,11:03.0,,C. Parsons misses 2-pt jump shot from 15 ft,0,0
8,1,11:03.0,Defensive rebound by D. Cousins,,0,0
9,1,11:03.0,,Loose ball foul by Z. Pachulia (drawn by D. Cousins),0,0
10,1,10:50.0,B. McLemore misses 2-pt jump shot from 22 ft,,0,0
11,1,10:49.0,,Defensive rebound by Z. Pachulia,0,0
12,1,10:27.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,0,0
13,1,10:26.0,Defensive rebound by Q. Acy,,0,0
14,1,10:16.0,Turnover by D. Cousins (lost ball; steal by D. Williams),,0,0
15,1,10:12.0,,D. Williams makes 2-pt layup from 1 ft (assist by C. Parsons),0,2
16,1,9:53.0,D. Collison misses 2-pt jump shot from 16 ft,,0,2
17,1,9:52.0,,Defensive rebound by Z. Pachulia,0,2
18,1,9:50.0,,Turnover by D. Williams (lost ball; steal by D. Collison),0,2
19,1,9:45.0,Turnover by D. Collison (bad pass; steal by D. Williams),,0,2
20,1,9:37.0,,D. Nowitzki misses 3-pt jump shot from 22 ft,0,2
21,1,9:36.0,Defensive rebound by D. Collison,,0,2
22,1,9:30.0,R. Gay makes 3-pt jump shot from 24 ft (assist by D. Collison),,3,2
23,1,9:11.0,,Turnover by Z. Pachulia (lost ball; steal by D. Cousins),3,2
24,1,9:08.0,Q. Acy makes 2-pt dunk at rim (assist by B. McLemore),,5,2
25,1,8:53.0,,Turnover by D. Williams (bad pass; steal by D. Cousins),5,2
26,1,8:50.0,D. Cousins misses 2-pt layup from 1 ft,,5,2
27,1,8:49.0,,Defensive rebound by Z. Pachulia,5,2
28,1,8:36.0,,Turnover by D. Nowitzki (bad pass; steal by B. McLemore),5,2
29,1,8:33.0,B. McLemore makes 2-pt dunk at rim,,7,2
30,1,8:31.0,,Dallas full timeout,7,2
31,1,8:16.0,,Shooting foul by Q. Acy (drawn by D. Nowitzki),7,2
32,1,8:16.0,,D. Nowitzki makes free throw 1 of 2,7,3
33,1,8:16.0,,D. Nowitzki makes free throw 2 of 2,7,4
34,1,7:53.0,R. Gay makes 2-pt hook shot from 6 ft (assist by D. Cousins),,9,4
35,1,7:41.0,,Z. Pachulia misses 2-pt layup from 3 ft,9,4
36,1,7:39.0,,Offensive rebound by Z. Pachulia,9,4
37,1,7:39.0,,Z. Pachulia makes 2-pt layup at rim,9,6
38,1,7:28.0,D. Cousins makes 2-pt jump shot from 19 ft,,11,6
39,1,7:11.0,,Dallas full timeout,11,6
40,1,7:02.0,,D. Williams makes 2-pt jump shot from 3 ft,11,8
41,1,6:37.0,D. Collison misses 3-pt jump shot from 22 ft,,11,8
42,1,6:36.0,Offensive rebound by Q. Acy,,11,8
43,1,6:32.0,Turnover by D. Cousins (lost ball; steal by Z. Pachulia),,11,8
44,1,6:29.0,Violation by Q. Acy (def goaltending),,11,8
45,1,6:29.0,,C. Parsons makes 2-pt layup from 1 ft,11,10
46,1,6:14.0,D. Cousins misses 2-pt layup at rim,,11,10
47,1,6:13.0,,Defensive rebound by D. Williams,11,10
48,1,5:58.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by W. Matthews),11,12
49,1,5:51.0,Turnover by D. Collison (lost ball),,11,12
50,1,5:47.0,,C. Parsons misses 2-pt layup from 2 ft,11,12
51,1,5:46.0,,Offensive rebound by Z. Pachulia,11,12
52,1,5:46.0,,Z. Pachulia misses 2-pt layup from 1 ft,11,12
53,1,5:45.0,,Offensive rebound by Z. Pachulia,11,12
54,1,5:45.0,,Z. Pachulia makes 2-pt layup from 1 ft,11,14
55,1,5:21.0,Q. Acy makes 3-pt jump shot from 22 ft (assist by D. Cousins),,14,14
56,1,5:03.0,,C. Parsons misses 3-pt jump shot from 24 ft,14,14
57,1,5:02.0,Defensive rebound by D. Collison,,14,14
58,1,5:00.0,R. Gay makes 2-pt dunk at rim (assist by D. Collison),,16,14
59,1,4:34.0,,Personal block foul by B. McLemore (drawn by W. Matthews),16,14
60,1,4:34.0,,R. Felton enters the game for D. Nowitzki,16,14
61,1,4:34.0,M. Belinelli enters the game for Q. Acy,,16,14
62,1,4:34.0,K. Koufos enters the game for R. Gay,,16,14
63,1,4:26.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by C. Parsons),16,17
64,1,4:06.0,M. Belinelli misses 2-pt jump shot from 20 ft,,16,17
65,1,4:05.0,,Defensive rebound by Z. Pachulia,16,17
66,1,3:56.0,,Shooting foul by B. McLemore (drawn by W. Matthews),16,17
67,1,3:56.0,,W. Matthews makes free throw 1 of 2,16,18
68,1,3:56.0,S. Curry enters the game for B. McLemore,,16,18
69,1,3:56.0,,W. Matthews makes free throw 2 of 2,16,19
70,1,3:34.0,D. Cousins misses 2-pt layup from 2 ft,,16,19
71,1,3:33.0,,Defensive rebound by C. Parsons,16,19
72,1,3:19.0,,Turnover by Z. Pachulia (lost ball; steal by D. Cousins),16,19
73,1,3:09.0,D. Cousins makes 3-pt jump shot from 24 ft (assist by D. Collison),,19,19
74,1,2:55.0,,Shooting block foul by D. Cousins (drawn by C. Parsons),19,19
75,1,2:55.0,Sacramento full timeout,,19,19
76,1,2:55.0,,J. McGee enters the game for Z. Pachulia,19,19
77,1,2:55.0,,D. Harris enters the game for D. Williams,19,19
78,1,2:55.0,,C. Parsons misses free throw 1 of 2,19,19
79,1,2:55.0,,Offensive rebound by Team,19,19
80,1,2:55.0,,C. Parsons misses free throw 2 of 2,19,19
81,1,2:54.0,Defensive rebound by K. Koufos,,19,19
82,1,2:40.0,D. Cousins misses 2-pt jump shot from 19 ft,,19,19
83,1,2:39.0,,Defensive rebound by C. Parsons,19,19
84,1,2:19.0,,W. Matthews misses 3-pt jump shot from 22 ft,19,19
85,1,2:18.0,,Offensive rebound by J. McGee,19,19
86,1,2:06.0,,Shooting block foul by S. Curry (drawn by W. Matthews),19,19
87,1,2:06.0,,W. Matthews misses free throw 1 of 2,19,19
88,1,2:06.0,,Offensive rebound by Team,19,19
89,1,2:06.0,,W. Matthews makes free throw 2 of 2,19,20
90,1,1:52.0,S. Curry makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,22,20
91,1,1:39.0,,R. Felton misses 3-pt jump shot from 24 ft,22,20
92,1,1:38.0,Defensive rebound by M. Belinelli,,22,20
93,1,1:32.0,D. Collison misses 2-pt layup from 2 ft,,22,20
94,1,1:31.0,,Defensive rebound by J. McGee,22,20
95,1,1:18.0,,J. McGee makes 2-pt hook shot from 3 ft (assist by C. Parsons),22,22
96,1,1:03.0,M. Belinelli misses 3-pt jump shot from 26 ft,,22,22
97,1,1:02.0,,Defensive rebound by W. Matthews,22,22
98,1,0:44.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by R. Felton),22,25
99,1,0:34.0,D. Cousins makes 2-pt layup from 1 ft (assist by D. Collison),,24,25
100,1,0:34.0,Shooting foul by J. McGee (drawn by D. Cousins),,24,25
101,1,0:34.0,,D. Nowitzki enters the game for C. Parsons,24,25
102,1,0:34.0,,J. Barea enters the game for W. Matthews,24,25
103,1,0:34.0,R. Gay enters the game for K. Koufos,,24,25
104,1,0:34.0,D. Cousins misses free throw 1 of 1,,24,25
105,1,0:34.0,,Defensive rebound by J. McGee,24,25
106,1,0:14.0,,J. McGee makes 2-pt layup at rim,24,27
107,1,0:02.0,D. Collison misses 3-pt jump shot from 24 ft,,24,27
108,1,0:01.0,,Defensive rebound by D. Harris,24,27
109,1,0:00.0,,D. Harris misses 3-pt jump shot from 53 ft,24,27
110,1,0:00.0,,Offensive rebound by Team,24,27
111,2,11:40.0,,R. Felton misses 2-pt jump shot from 14 ft,24,27
112,2,11:39.0,Defensive rebound by S. Curry,,24,27
113,2,11:29.0,S. Curry misses 2-pt jump shot from 20 ft,,24,27
114,2,11:28.0,,Defensive rebound by D. Harris,24,27
115,2,11:18.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,24,27
116,2,11:17.0,Defensive rebound by R. Gay,,24,27
117,2,11:08.0,Turnover by K. Koufos (lost ball; steal by J. McGee),,24,27
118,2,10:57.0,,Shooting block foul by K. Koufos (drawn by J. McGee),24,27
119,2,10:57.0,,J. McGee makes free throw 1 of 2,24,28
120,2,10:57.0,,J. McGee misses free throw 2 of 2,24,28
121,2,10:56.0,Defensive rebound by R. Gay,,24,28
122,2,10:42.0,S. Curry makes 3-pt jump shot from 24 ft (assist by R. Gay),,27,28
123,2,10:18.0,,J. Barea makes 2-pt jump shot from 17 ft,27,30
124,2,9:59.0,M. Belinelli misses 3-pt jump shot from 23 ft,,27,30
125,2,9:57.0,,Defensive rebound by R. Felton,27,30
126,2,9:48.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,27,30
127,2,9:47.0,Defensive rebound by S. Curry,,27,30
128,2,9:37.0,R. Gay misses 2-pt jump shot from 5 ft (block by J. McGee),,27,30
129,2,9:35.0,,Defensive rebound by J. Barea,27,30
130,2,9:26.0,,J. Barea misses 2-pt jump shot from 9 ft,27,30
131,2,9:26.0,Defensive rebound by Team,,27,30
132,2,9:11.0,M. Belinelli misses 3-pt jump shot from 24 ft,,27,30
133,2,9:10.0,Offensive rebound by K. Koufos,,27,30
134,2,9:06.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by K. Koufos),,30,30
135,2,8:51.0,,Personal foul by S. Curry (drawn by D. Nowitzki),30,30
136,2,8:51.0,Official timeout,,30,30
137,2,8:41.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,30,30
138,2,8:41.0,Defensive rebound by Team,,30,30
139,2,8:26.0,M. Belinelli misses 2-pt jump shot from 15 ft,,30,30
140,2,8:25.0,,Defensive rebound by R. Felton,30,30
141,2,8:18.0,,D. Harris misses 2-pt layup from 1 ft,30,30
142,2,8:17.0,,Offensive rebound by D. Harris,30,30
143,2,8:15.0,,Personal foul by R. Gay (drawn by D. Harris),30,30
144,2,8:02.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by J. Barea),30,32
145,2,7:52.0,Turnover by R. Gay (bad pass; steal by J. McGee),,30,32
146,2,7:38.0,,J. McGee misses 2-pt layup from 1 ft,30,32
147,2,7:36.0,,Offensive rebound by J. McGee,30,32
148,2,7:36.0,,J. McGee makes 2-pt layup at rim,30,34
149,2,7:14.0,J. Anderson misses 2-pt jump shot from 3 ft (block by J. McGee),,30,34
150,2,7:13.0,,Defensive rebound by R. Felton,30,34
151,2,7:11.0,,C. Parsons enters the game for D. Nowitzki,30,34
152,2,6:58.0,,C. Parsons misses 2-pt jump shot from 5 ft,30,34
153,2,6:57.0,,Offensive rebound by J. McGee,30,34
154,2,6:52.0,,Turnover by J. Barea (bad pass; steal by M. Belinelli),30,34
155,2,6:47.0,Turnover by R. Gay (bad pass; steal by R. Felton),,30,34
156,2,6:34.0,,J. Barea misses 3-pt jump shot from 26 ft,30,34
157,2,6:33.0,Defensive rebound by K. Koufos,,30,34
158,2,6:23.0,S. Curry misses 2-pt jump shot from 6 ft,,30,34
159,2,6:23.0,,Defensive rebound by R. Felton,30,34
160,2,6:02.0,,D. Harris makes 2-pt jump shot from 17 ft,30,36
161,2,6:01.0,Sacramento full timeout,,30,36
162,2,6:01.0,,D. Williams enters the game for D. Harris,30,36
163,2,6:01.0,,Z. Pachulia enters the game for J. McGee,30,36
164,2,6:01.0,D. Cousins enters the game for K. Koufos,,30,36
165,2,6:01.0,B. McLemore enters the game for S. Curry,,30,36
166,2,6:01.0,D. Collison enters the game for J. Anderson,,30,36
167,2,5:39.0,D. Cousins makes 2-pt layup from 1 ft (assist by B. McLemore),,32,36
168,2,5:16.0,,C. Parsons misses 2-pt jump shot from 9 ft,32,36
169,2,5:14.0,,Offensive rebound by C. Parsons,32,36
170,2,5:13.0,,Z. Pachulia makes 2-pt dunk at rim (assist by C. Parsons),32,38
171,2,4:49.0,Turnover by B. McLemore (lost ball),,32,38
172,2,4:30.0,,Turnover by C. Parsons (bad pass; steal by M. Belinelli),32,38
173,2,4:24.0,Shooting foul by D. Williams (drawn by D. Cousins),,32,38
174,2,4:24.0,D. Cousins misses free throw 1 of 2,,32,38
175,2,4:24.0,Offensive rebound by Team,,32,38
176,2,4:24.0,Q. Acy enters the game for M. Belinelli,,32,38
177,2,4:24.0,,W. Matthews enters the game for R. Felton,32,38
178,2,4:24.0,D. Cousins makes free throw 2 of 2,,33,38
179,2,4:05.0,,D. Williams misses 2-pt layup at rim,33,38
180,2,4:04.0,,Offensive rebound by D. Williams,33,38
181,2,4:04.0,,D. Williams makes 2-pt layup at rim,33,40
182,2,3:46.0,R. Gay misses 2-pt layup from 1 ft,,33,40
183,2,3:45.0,,Defensive rebound by Z. Pachulia,33,40
184,2,3:35.0,,C. Parsons misses 3-pt jump shot from 22 ft,33,40
185,2,3:34.0,Defensive rebound by B. McLemore,,33,40
186,2,3:13.0,D. Collison makes 2-pt jump shot from 12 ft,,35,40
187,2,3:12.0,,Dallas full timeout,35,40
188,2,2:52.0,,W. Matthews misses 2-pt layup from 1 ft,35,40
189,2,2:51.0,,Offensive rebound by Z. Pachulia,35,40
190,2,2:47.0,,J. Barea makes 2-pt jump shot from 14 ft,35,42
191,2,2:29.0,B. McLemore misses 3-pt jump shot from 23 ft,,35,42
192,2,2:29.0,Offensive rebound by Q. Acy,,35,42
193,2,2:29.0,Personal foul by C. Parsons (drawn by Q. Acy),,35,42
194,2,2:29.0,S. Curry enters the game for Q. Acy,,35,42
