,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,P. Hairston makes 2-pt layup from 2 ft,0,2
1,1,11:25.0,O. Casspi misses 2-pt jump shot from 6 ft,,0,2
2,1,11:22.0,,Defensive rebound by Z. Randolph,0,2
3,1,11:09.0,,M. Barnes misses 2-pt layup from 3 ft,0,2
4,1,11:05.0,Defensive rebound by O. Casspi,,0,2
5,1,11:01.0,O. Casspi makes 2-pt layup from 2 ft (assist by R. Rondo),,2,2
6,1,10:50.0,,Shooting foul by Q. Acy (drawn by C. Andersen),2,2
7,1,10:50.0,,C. Andersen makes free throw 1 of 2,2,3
8,1,10:50.0,,C. Andersen makes free throw 2 of 2,2,4
9,1,10:37.0,B. McLemore makes 2-pt jump shot from 15 ft (assist by R. Rondo),,4,4
10,1,10:23.0,,P. Hairston misses 3-pt jump shot from 25 ft,4,4
11,1,10:22.0,Defensive rebound by D. Cousins,,4,4
12,1,10:05.0,Q. Acy misses 3-pt jump shot from 22 ft,,4,4
13,1,10:04.0,Offensive rebound by D. Cousins,,4,4
14,1,10:04.0,D. Cousins misses 2-pt layup from 2 ft,,4,4
15,1,10:03.0,Offensive rebound by D. Cousins,,4,4
16,1,10:03.0,D. Cousins misses 2-pt layup from 2 ft,,4,4
17,1,10:03.0,Offensive rebound by D. Cousins,,4,4
18,1,10:03.0,Shooting foul by P. Hairston (drawn by D. Cousins),,4,4
19,1,10:03.0,D. Cousins makes free throw 1 of 2,,5,4
20,1,10:03.0,D. Cousins misses free throw 2 of 2,,5,4
21,1,10:02.0,,Defensive rebound by Z. Randolph,5,4
22,1,9:39.0,,Turnover by Team (shot clock),5,4
23,1,9:20.0,R. Rondo misses 3-pt jump shot from 24 ft,,5,4
24,1,9:20.0,,Defensive rebound by P. Hairston,5,4
25,1,9:11.0,,M. Barnes misses 3-pt jump shot from 24 ft,5,4
26,1,9:10.0,Defensive rebound by D. Cousins,,5,4
27,1,8:52.0,B. McLemore misses 3-pt jump shot from 23 ft,,5,4
28,1,8:51.0,Offensive rebound by Q. Acy,,5,4
29,1,8:33.0,R. Rondo misses 2-pt layup from 2 ft (block by M. Conley),,5,4
30,1,8:33.0,Offensive rebound by Team,,5,4
31,1,8:29.0,B. McLemore makes 2-pt jump shot from 19 ft (assist by R. Rondo),,7,4
32,1,8:13.0,,M. Barnes misses 2-pt jump shot from 3 ft (block by D. Cousins),7,4
33,1,8:10.0,,Offensive rebound by Z. Randolph,7,4
34,1,8:10.0,,Z. Randolph misses 2-pt hook shot from 3 ft,7,4
35,1,8:07.0,,Offensive rebound by Z. Randolph,7,4
36,1,8:07.0,,Z. Randolph makes 2-pt layup from 1 ft,7,6
37,1,7:52.0,Turnover by O. Casspi (bad pass),,7,6
