,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,A. Bogut misses 2-pt jump shot from 21 ft,,0,0
1,1,11:37.0,,Defensive rebound by C. Paul,0,0
2,1,11:19.0,,B. Griffin misses 2-pt jump shot from 11 ft,0,0
3,1,11:19.0,Defensive rebound by D. Green,,0,0
4,1,11:08.0,S. Curry makes 3-pt jump shot from 26 ft,,3,0
5,1,10:59.0,,B. Griffin makes 2-pt layup from 3 ft (assist by C. Paul),3,2
6,1,10:39.0,S. Curry misses 3-pt jump shot from 27 ft,,3,2
7,1,10:38.0,,Defensive rebound by D. Jordan,3,2
8,1,10:30.0,,C. Paul makes 2-pt jump shot from 12 ft,3,4
9,1,10:25.0,Turnover by S. Curry (bad pass; steal by P. Pierce),,3,4
10,1,10:24.0,,Personal take foul by S. Curry (drawn by C. Paul),3,4
11,1,10:15.0,,Def 3 sec tech foul by A. Bogut,3,4
12,1,10:15.0,,C. Paul makes technical free throw,3,5
13,1,10:11.0,,Personal block foul by D. Green (drawn by B. Griffin),3,5
14,1,10:03.0,,C. Paul makes 2-pt jump shot from 15 ft,3,7
15,1,9:52.0,Turnover by S. Curry (bad pass),,3,7
16,1,9:52.0,Loose ball foul by S. Curry (drawn by C. Paul),,3,7
17,1,9:34.0,,C. Paul makes 3-pt jump shot from 27 ft (assist by B. Griffin),3,10
18,1,9:22.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Curry),,5,10
19,1,9:12.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),5,13
20,1,8:55.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,8,13
21,1,8:40.0,,J. Crawford misses 2-pt jump shot from 19 ft,8,13
22,1,8:40.0,Defensive rebound by D. Green,,8,13
23,1,8:31.0,K. Thompson misses 3-pt jump shot from 27 ft,,8,13
24,1,8:31.0,,Defensive rebound by D. Jordan,8,13
25,1,8:17.0,,B. Griffin makes 2-pt jump shot from 14 ft (assist by C. Paul),8,15
26,1,8:11.0,K. Thompson makes 2-pt jump shot from 1 ft (assist by D. Green),,10,15
27,1,7:48.0,,C. Paul makes 3-pt jump shot from 26 ft,10,18
28,1,7:45.0,Golden State full timeout,,10,18
29,1,7:45.0,A. Iguodala enters the game for S. Curry,,10,18
30,1,7:40.0,Personal foul by J. Crawford (drawn by K. Thompson),,10,18
31,1,7:32.0,K. Thompson misses 2-pt jump shot from 13 ft,,10,18
32,1,7:31.0,,Defensive rebound by D. Jordan,10,18
33,1,7:25.0,,Shooting foul by D. Green (drawn by D. Jordan),10,18
34,1,7:25.0,,D. Jordan makes free throw 1 of 2,10,19
35,1,7:25.0,M. Speights enters the game for D. Green,,10,19
36,1,7:25.0,,D. Jordan misses free throw 2 of 2,10,19
37,1,7:24.0,Defensive rebound by H. Barnes,,10,19
38,1,7:01.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,13,19
39,1,6:32.0,,C. Paul makes 3-pt jump shot from 25 ft,13,22
40,1,6:18.0,Shooting foul by P. Pierce (drawn by K. Thompson),,13,22
41,1,6:18.0,K. Thompson makes free throw 1 of 2,,14,22
42,1,6:18.0,,A. Rivers enters the game for J. Crawford,14,22
43,1,6:18.0,K. Thompson makes free throw 2 of 2,,15,22
44,1,6:01.0,,C. Paul makes 2-pt jump shot from 9 ft,15,24
45,1,5:47.0,Shooting foul by P. Pierce (drawn by K. Thompson),,15,24
46,1,5:47.0,K. Thompson makes free throw 1 of 2,,16,24
47,1,5:47.0,K. Thompson misses free throw 2 of 2,,16,24
48,1,5:46.0,,Defensive rebound by B. Griffin,16,24
49,1,5:32.0,,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),16,26
50,1,5:13.0,H. Barnes misses 2-pt jump shot from 14 ft,,16,26
51,1,5:11.0,,Defensive rebound by B. Griffin,16,26
52,1,4:50.0,,B. Griffin makes 2-pt jump shot from 18 ft,16,28
53,1,4:36.0,H. Barnes misses 2-pt dunk at rim,,16,28
54,1,4:35.0,,Defensive rebound by D. Jordan,16,28
55,1,4:30.0,,C. Paul makes 2-pt jump shot from 16 ft,16,30
56,1,4:10.0,K. Thompson misses 3-pt jump shot from 26 ft,,16,30
57,1,4:09.0,,Defensive rebound by C. Paul,16,30
58,1,3:55.0,,B. Griffin misses 2-pt jump shot from 13 ft,16,30
