,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,M. Conley makes 2-pt jump shot from 12 ft,0,2
1,1,11:19.0,Ö. Aşık makes 2-pt dunk at rim (assist by E. Gordon),,2,2
2,1,10:56.0,,C. Lee misses 2-pt jump shot from 10 ft,2,2
3,1,10:55.0,Defensive rebound by A. Davis,,2,2
4,1,10:44.0,Turnover by E. Gordon (bad pass; steal by M. Gasol),,2,2
5,1,10:42.0,Violation by D. Cunningham (def goaltending),,2,2
6,1,10:42.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),2,4
7,1,10:29.0,Personal foul by M. Conley (drawn by N. Cole),,2,4
8,1,10:24.0,E. Gordon misses 3-pt jump shot from 24 ft,,2,4
9,1,10:24.0,,Defensive rebound by Z. Randolph,2,4
10,1,10:12.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),2,6
11,1,9:56.0,A. Davis misses 2-pt jump shot from 18 ft,,2,6
12,1,9:56.0,,Defensive rebound by M. Gasol,2,6
13,1,9:42.0,,Z. Randolph misses 2-pt layup from 1 ft (block by D. Cunningham),2,6
14,1,9:39.0,,Offensive rebound by Z. Randolph,2,6
15,1,9:39.0,,Z. Randolph makes 2-pt layup at rim,2,8
16,1,9:25.0,Turnover by E. Gordon (lost ball; steal by Z. Randolph),,2,8
17,1,9:16.0,,Z. Randolph makes 2-pt jump shot from 14 ft (assist by M. Conley),2,10
18,1,9:03.0,N. Cole makes 2-pt jump shot from 11 ft,,4,10
19,1,8:51.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),4,12
20,1,8:38.0,Turnover by N. Cole (bad pass; steal by M. Gasol),,4,12
21,1,8:18.0,,M. Conley misses 2-pt jump shot from 22 ft,4,12
22,1,8:17.0,Defensive rebound by Ö. Aşık,,4,12
23,1,8:04.0,Shooting foul by M. Gasol (drawn by A. Davis),,4,12
24,1,8:04.0,A. Davis makes free throw 1 of 2,,5,12
25,1,8:04.0,A. Davis makes free throw 2 of 2,,6,12
26,1,7:42.0,,Z. Randolph misses 2-pt jump shot from 19 ft,6,12
27,1,7:41.0,Defensive rebound by A. Davis,,6,12
28,1,7:31.0,D. Cunningham makes 2-pt layup at rim (assist by N. Cole),,8,12
29,1,7:18.0,,Personal foul by D. Cunningham (drawn by C. Lee),8,12
30,1,7:18.0,,M. Chalmers enters the game for M. Conley,8,12
31,1,7:03.0,,C. Lee misses 3-pt jump shot from 24 ft,8,12
32,1,7:01.0,Defensive rebound by Ö. Aşık,,8,12
33,1,6:51.0,A. Davis makes 2-pt jump shot from 12 ft (assist by N. Cole),,10,12
34,1,6:32.0,,M. Gasol misses 2-pt jump shot from 12 ft,10,12
35,1,6:31.0,Defensive rebound by Ö. Aşık,,10,12
36,1,6:22.0,Def 3 sec tech foul by M. Gasol,,10,12
37,1,6:22.0,A. Davis misses technical free throw,,10,12
38,1,6:22.0,Offensive rebound by Team,,10,12
39,1,6:15.0,Turnover by N. Cole (lost ball; steal by Z. Randolph),,10,12
40,1,6:10.0,,C. Lee makes 2-pt jump shot from 15 ft (assist by T. Allen),10,14
41,1,5:58.0,Personal foul by Z. Randolph (drawn by A. Davis),,10,14
42,1,5:58.0,,Memphis full timeout,10,14
43,1,5:42.0,N. Cole misses 2-pt jump shot from 22 ft,,10,14
44,1,5:41.0,,Defensive rebound by T. Allen,10,14
45,1,5:22.0,,M. Gasol misses 2-pt hook shot from 4 ft,10,14
46,1,5:19.0,Defensive rebound by A. Davis,,10,14
47,1,5:06.0,Turnover by N. Cole (bad pass; steal by T. Allen),,10,14
48,1,4:51.0,,Turnover by T. Allen (bad pass; steal by N. Cole),10,14
49,1,4:45.0,N. Cole makes 2-pt jump shot from 5 ft,,12,14
50,1,4:22.0,,M. Gasol makes 2-pt hook shot from 7 ft,12,16
51,1,3:59.0,Shooting foul by M. Gasol (drawn by E. Gordon),,12,16
52,1,3:59.0,E. Gordon makes free throw 1 of 2,,13,16
53,1,3:59.0,,J. Green enters the game for M. Gasol,13,16
54,1,3:59.0,,M. Barnes enters the game for C. Lee,13,16
55,1,3:59.0,R. Anderson enters the game for Ö. Aşık,,13,16
56,1,3:59.0,E. Gordon makes free throw 2 of 2,,14,16
57,1,3:34.0,,J. Green misses 3-pt jump shot from 25 ft,14,16
58,1,3:34.0,,Offensive rebound by Team,14,16
59,1,3:34.0,,Turnover by Team (shot clock),14,16
60,1,3:21.0,Def 3 sec tech foul by M. Barnes,,14,16
61,1,3:21.0,A. Davis makes technical free throw,,15,16
62,1,3:16.0,Shooting foul by M. Barnes (drawn by A. Davis),,15,16
63,1,3:16.0,A. Davis makes free throw 1 of 2,,16,16
64,1,3:16.0,J. Holiday enters the game for N. Cole,,16,16
65,1,3:16.0,A. Davis makes free throw 2 of 2,,17,16
66,1,3:00.0,,M. Barnes makes 2-pt jump shot from 4 ft (assist by M. Chalmers),17,18
67,1,2:43.0,A. Davis makes 2-pt hook shot from 7 ft (assist by J. Holiday),,19,18
68,1,2:31.0,New Orleans full timeout,,19,18
69,1,2:31.0,,V. Carter enters the game for T. Allen,19,18
70,1,2:26.0,,J. Green misses 2-pt jump shot from 17 ft,19,18
71,1,2:26.0,,Offensive rebound by Z. Randolph,19,18
72,1,2:22.0,,Shooting foul by A. Davis (drawn by Z. Randolph),19,18
73,1,2:22.0,,Z. Randolph makes free throw 1 of 2,19,19
74,1,2:22.0,,Z. Randolph makes free throw 2 of 2,19,20
75,1,2:11.0,R. Anderson misses 3-pt jump shot from 25 ft,,19,20
76,1,2:10.0,,Defensive rebound by M. Barnes,19,20
77,1,2:00.0,,Z. Randolph misses 2-pt jump shot from 11 ft,19,20
78,1,1:58.0,Defensive rebound by J. Holiday,,19,20
79,1,1:49.0,Turnover by A. Davis (kicked ball),,19,20
80,1,1:29.0,,M. Barnes misses 3-pt jump shot from 22 ft,19,20
81,1,1:28.0,Defensive rebound by E. Gordon,,19,20
82,1,1:17.0,R. Anderson makes 2-pt jump shot from 9 ft,,21,20
83,1,1:00.0,,M. Barnes makes 2-pt layup at rim (assist by M. Chalmers),21,22
84,1,0:53.0,J. Holiday makes 2-pt layup at rim,,23,22
85,1,0:53.0,Shooting foul by M. Chalmers (drawn by J. Holiday),,23,22
86,1,0:53.0,A. Ajinça enters the game for A. Davis,,23,22
87,1,0:53.0,J. Holiday makes free throw 1 of 1,,24,22
88,1,0:37.0,,J. Green misses 2-pt jump shot from 9 ft,24,22
89,1,0:36.0,Defensive rebound by J. Holiday,,24,22
90,1,0:16.0,J. Holiday makes 2-pt jump shot from 18 ft,,26,22
91,1,0:03.0,,Shooting foul by J. Holiday (drawn by M. Chalmers),26,22
92,1,0:03.0,,M. Chalmers makes free throw 1 of 2,26,23
93,1,0:03.0,,J. Green enters the game for Z. Randolph,26,23
94,1,0:03.0,,M. Chalmers makes free throw 2 of 2,26,24
95,1,0:01.0,D. Cunningham misses 3-pt jump shot from 50 ft,,26,24
96,1,0:00.0,Offensive rebound by Team,,26,24
97,2,11:48.0,R. Anderson misses 3-pt jump shot from 23 ft,,26,24
