,QUARTER,TIME_REMAINING,DETROIT_ACTION,PORTLAND_ACTION,DETROIT_SCORE,PORTLAND_SCORE
0,1,11:40.0,A. Drummond makes 2-pt hook shot from 1 ft,,2,0
1,1,11:20.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,0
2,1,11:20.0,Defensive rebound by A. Drummond,,2,0
3,1,11:10.0,R. Jackson misses 2-pt jump shot from 14 ft,,2,0
4,1,11:09.0,,Defensive rebound by D. Lillard,2,0
5,1,11:06.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),2,2
6,1,11:06.0,,Shooting foul by A. Drummond (drawn by M. Plumlee),2,2
7,1,11:06.0,,M. Plumlee makes free throw 1 of 1,2,3
8,1,10:53.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,2,3
9,1,10:52.0,,Defensive rebound by A. Aminu,2,3
10,1,10:43.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,3
11,1,10:42.0,Defensive rebound by A. Drummond,,2,3
12,1,10:29.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,2,3
13,1,10:29.0,,Defensive rebound by A. Aminu,2,3
14,1,10:13.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),2,6
15,1,10:00.0,Offensive foul by M. Morris (drawn by M. Plumlee),,2,6
16,1,10:00.0,Turnover by M. Morris (offensive foul),,2,6
17,1,9:42.0,,M. Leonard misses 3-pt jump shot from 24 ft,2,6
18,1,9:42.0,Defensive rebound by A. Drummond,,2,6
19,1,9:33.0,R. Jackson misses 2-pt layup from 2 ft,,2,6
20,1,9:32.0,Offensive rebound by A. Drummond,,2,6
21,1,9:32.0,A. Drummond misses 2-pt layup from 1 ft,,2,6
22,1,9:31.0,Offensive rebound by R. Jackson,,2,6
23,1,9:20.0,M. Morris makes 2-pt jump shot from 14 ft,,4,6
24,1,9:05.0,,M. Plumlee makes 2-pt hook shot from 3 ft,4,8
25,1,8:51.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,,6,8
26,1,8:37.0,,M. Leonard makes 2-pt jump shot from 17 ft (assist by D. Lillard),6,10
27,1,8:25.0,Personal foul by A. Aminu (drawn by M. Morris),,6,10
28,1,8:10.0,M. Morris misses 2-pt jump shot from 12 ft,,6,10
29,1,8:09.0,,Defensive rebound by A. Aminu,6,10
30,1,8:06.0,,Shooting foul by E. İlyasova (drawn by A. Aminu),6,10
31,1,8:06.0,,A. Aminu makes free throw 1 of 2,6,11
32,1,8:06.0,,A. Aminu makes free throw 2 of 2,6,12
33,1,7:55.0,R. Jackson misses 2-pt layup from 1 ft,,6,12
34,1,7:55.0,Offensive rebound by R. Jackson,,6,12
35,1,7:55.0,A. Drummond misses 2-pt layup from 2 ft,,6,12
36,1,7:53.0,Offensive rebound by A. Drummond,,6,12
37,1,7:53.0,A. Drummond makes 2-pt layup from 1 ft,,8,12
38,1,7:43.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,12
39,1,7:42.0,Defensive rebound by K. Caldwell-Pope,,8,12
40,1,7:33.0,M. Morris misses 3-pt jump shot from 23 ft,,8,12
41,1,7:32.0,,Defensive rebound by M. Plumlee,8,12
42,1,7:27.0,,M. Leonard misses 2-pt layup from 2 ft,8,12
43,1,7:26.0,Defensive rebound by R. Jackson,,8,12
44,1,7:19.0,R. Jackson misses 2-pt jump shot from 5 ft,,8,12
45,1,7:18.0,,Defensive rebound by C. McCollum,8,12
46,1,7:15.0,Offensive charge foul by M. Leonard (drawn by M. Morris),,8,12
47,1,7:15.0,,Turnover by M. Leonard (offensive foul),8,12
48,1,7:00.0,R. Jackson makes 2-pt jump shot from 10 ft,,10,12
49,1,6:39.0,,A. Aminu makes 2-pt dunk at rim (assist by M. Plumlee),10,14
50,1,6:19.0,A. Drummond makes 2-pt hook shot from 11 ft,,12,14
51,1,6:12.0,,M. Plumlee misses 2-pt layup at rim,12,14
52,1,6:11.0,Defensive rebound by A. Drummond,,12,14
53,1,5:52.0,R. Jackson misses 2-pt jump shot from 18 ft,,12,14
54,1,5:51.0,Offensive rebound by K. Caldwell-Pope,,12,14
55,1,5:46.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,,15,14
56,1,5:45.0,,Portland full timeout,15,14
57,1,5:45.0,,A. Crabbe enters the game for C. McCollum,15,14
58,1,5:45.0,S. Johnson enters the game for M. Morris,,15,14
59,1,5:28.0,,A. Crabbe makes 2-pt jump shot from 15 ft (assist by A. Aminu),15,16
60,1,5:14.0,E. İlyasova misses 3-pt jump shot from 25 ft,,15,16
61,1,5:13.0,,Defensive rebound by D. Lillard,15,16
62,1,5:01.0,,M. Leonard misses 2-pt hook shot from 8 ft,15,16
63,1,4:59.0,,Offensive rebound by M. Plumlee,15,16
64,1,4:52.0,,A. Aminu misses 3-pt jump shot from 23 ft,15,16
65,1,4:51.0,Defensive rebound by R. Jackson,,15,16
66,1,4:40.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,15,16
67,1,4:40.0,,Defensive rebound by A. Aminu,15,16
68,1,4:27.0,,D. Lillard makes 2-pt layup from 1 ft,15,18
69,1,4:10.0,K. Caldwell-Pope makes 2-pt jump shot from 12 ft (assist by E. İlyasova),,17,18
70,1,3:55.0,,M. Leonard makes 2-pt jump shot from 14 ft (assist by D. Lillard),17,20
71,1,3:37.0,K. Caldwell-Pope makes 2-pt jump shot from 13 ft,,19,20
72,1,3:22.0,,M. Leonard misses 2-pt jump shot from 19 ft,19,20
73,1,3:21.0,Defensive rebound by A. Drummond,,19,20
74,1,3:03.0,S. Johnson makes 2-pt jump shot from 11 ft (assist by E. İlyasova),,21,20
75,1,2:49.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Plumlee),21,23
76,1,2:43.0,Detroit full timeout,,21,23
77,1,2:43.0,,E. Davis enters the game for A. Aminu,21,23
78,1,2:43.0,,N. Vonleh enters the game for M. Leonard,21,23
79,1,2:43.0,,M. Harkless enters the game for M. Plumlee,21,23
80,1,2:43.0,S. Blake enters the game for E. İlyasova,,21,23
81,1,2:43.0,A. Tolliver enters the game for K. Caldwell-Pope,,21,23
82,1,2:43.0,M. Morris enters the game for R. Jackson,,21,23
83,1,2:27.0,S. Johnson misses 2-pt jump shot from 3 ft (block by A. Crabbe),,21,23
84,1,2:25.0,,Defensive rebound by N. Vonleh,21,23
85,1,2:15.0,Violation by A. Drummond (def goaltending),,21,23
86,1,2:15.0,,E. Davis makes 2-pt layup from 2 ft,21,25
87,1,1:57.0,S. Blake misses 3-pt jump shot from 23 ft,,21,25
88,1,1:56.0,,Defensive rebound by M. Harkless,21,25
89,1,1:46.0,,A. Crabbe makes 2-pt jump shot from 18 ft (assist by D. Lillard),21,27
90,1,1:23.0,M. Morris misses 2-pt jump shot from 8 ft,,21,27
91,1,1:22.0,Offensive rebound by A. Drummond,,21,27
92,1,1:22.0,A. Drummond misses 2-pt layup from 2 ft,,21,27
93,1,1:22.0,Offensive rebound by A. Drummond,,21,27
94,1,1:22.0,,Violation by E. Davis (def goaltending),21,27
95,1,1:22.0,A. Drummond makes 2-pt layup from 2 ft,,23,27
96,1,1:06.0,,D. Lillard makes 2-pt jump shot from 20 ft,23,29
97,1,0:43.0,M. Morris misses 2-pt jump shot from 13 ft,,23,29
98,1,0:40.0,,Defensive rebound by E. Davis,23,29
99,1,0:36.0,,Personal block foul by A. Tolliver (drawn by D. Lillard),23,29
100,1,0:35.0,,Shooting foul by M. Morris (drawn by D. Lillard),23,29
101,1,0:35.0,,D. Lillard makes free throw 1 of 2,23,30
102,1,0:35.0,,D. Lillard misses free throw 2 of 2,23,30
103,1,0:34.0,,Offensive rebound by E. Davis,23,30
104,1,0:33.0,,E. Davis makes 2-pt dunk at rim,23,32
105,1,0:22.0,Personal foul by M. Harkless (drawn by M. Morris),,23,32
106,1,0:08.0,M. Morris misses 2-pt jump shot from 10 ft,,23,32
107,1,0:07.0,,Defensive rebound by N. Vonleh,23,32
108,1,0:02.0,,Shooting foul by A. Tolliver (drawn by E. Davis),23,32
109,1,0:02.0,,E. Davis misses free throw 1 of 2,23,32
110,1,0:02.0,,Offensive rebound by Team,23,32
111,1,0:02.0,,E. Davis misses free throw 2 of 2,23,32
112,1,0:02.0,Defensive rebound by A. Drummond,,23,32
113,2,11:49.0,,A. Crabbe makes 2-pt jump shot from 15 ft (assist by N. Vonleh),23,34
114,2,11:32.0,M. Morris misses 2-pt jump shot from 20 ft,,23,34
115,2,11:31.0,Offensive rebound by S. Blake,,23,34
116,2,11:16.0,S. Blake makes 3-pt jump shot from 24 ft (assist by A. Baynes),,26,34
117,2,10:54.0,,N. Vonleh makes 2-pt layup from 2 ft,26,36
118,2,10:44.0,S. Johnson misses 3-pt jump shot from 26 ft,,26,36
119,2,10:44.0,Offensive rebound by Team,,26,36
120,2,10:44.0,,Loose ball foul by N. Vonleh (drawn by A. Tolliver),26,36
121,2,10:29.0,A. Tolliver misses 2-pt jump shot from 10 ft,,26,36
122,2,10:28.0,,Defensive rebound by C. McCollum,26,36
123,2,10:19.0,,C. McCollum makes 2-pt jump shot from 13 ft,26,38
124,2,10:12.0,Detroit full timeout,,26,38
125,2,10:00.0,S. Blake misses 3-pt jump shot from 25 ft,,26,38
126,2,10:00.0,,Defensive rebound by E. Davis,26,38
127,2,9:46.0,,Turnover by N. Vonleh (traveling),26,38
128,2,9:29.0,A. Baynes makes 2-pt hook shot from 3 ft (assist by S. Blake),,28,38
129,2,9:14.0,,Turnover by C. McCollum (bad pass; steal by A. Tolliver),28,38
130,2,9:04.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by M. Morris),,31,38
131,2,8:44.0,,A. Crabbe makes 2-pt jump shot from 10 ft (assist by M. Harkless),31,40
132,2,8:29.0,Turnover by S. Johnson (traveling),,31,40
133,2,8:29.0,K. Caldwell-Pope enters the game for S. Johnson,,31,40
134,2,8:11.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by A. Crabbe),31,42
135,2,7:46.0,M. Morris makes 3-pt jump shot from 24 ft (assist by S. Blake),,34,42
136,2,7:27.0,,C. McCollum misses 3-pt jump shot from 24 ft,34,42
137,2,7:26.0,Defensive rebound by K. Caldwell-Pope,,34,42
138,2,7:16.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,34,42
139,2,7:15.0,,Defensive rebound by M. Harkless,34,42
140,2,7:01.0,,M. Harkless makes 3-pt jump shot from 24 ft (assist by C. McCollum),34,45
141,2,6:37.0,M. Morris misses 3-pt jump shot from 23 ft,,34,45
142,2,6:36.0,Offensive rebound by A. Baynes,,34,45
143,2,6:32.0,M. Morris misses 2-pt jump shot from 18 ft,,34,45
144,2,6:32.0,,Defensive rebound by C. McCollum,34,45
145,2,6:25.0,,Offensive foul by C. McCollum (drawn by A. Tolliver),34,45
146,2,6:25.0,,Turnover by C. McCollum (offensive foul),34,45
147,2,6:25.0,R. Jackson enters the game for S. Blake,,34,45
148,2,6:25.0,,A. Aminu enters the game for A. Crabbe,34,45
149,2,6:14.0,R. Jackson misses 2-pt jump shot from 7 ft,,34,45
150,2,6:13.0,,Defensive rebound by E. Davis,34,45
151,2,6:08.0,,Turnover by C. McCollum (bad pass; steal by K. Caldwell-Pope),34,45
152,2,6:05.0,Personal foul by C. McCollum (drawn by K. Caldwell-Pope),,34,45
153,2,5:49.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Harkless),,34,45
154,2,5:38.0,,N. Vonleh misses 2-pt hook shot at rim,34,45
155,2,5:37.0,,Offensive rebound by N. Vonleh,34,45
156,2,5:36.0,,N. Vonleh makes 2-pt jump shot from 3 ft,34,47
157,2,5:19.0,M. Morris misses 3-pt jump shot from 22 ft,,34,47
158,2,5:18.0,,Defensive rebound by E. Davis,34,47
159,2,5:10.0,,C. McCollum misses 2-pt jump shot from 19 ft,34,47
160,2,5:09.0,Defensive rebound by A. Baynes,,34,47
161,2,4:56.0,R. Jackson misses 2-pt layup from 1 ft (block by E. Davis),,34,47
162,2,4:54.0,Offensive rebound by M. Morris,,34,47
163,2,4:47.0,Shooting foul by M. Harkless (drawn by K. Caldwell-Pope),,34,47
164,2,4:47.0,Official timeout,,34,47
165,2,4:47.0,E. İlyasova enters the game for M. Morris,,34,47
166,2,4:47.0,S. Johnson enters the game for A. Tolliver,,34,47
167,2,4:47.0,A. Drummond enters the game for A. Baynes,,34,47
168,2,4:47.0,,M. Plumlee enters the game for C. McCollum,34,47
169,2,4:47.0,,D. Lillard enters the game for E. Davis,34,47
170,2,4:47.0,,M. Leonard enters the game for N. Vonleh,34,47
171,2,4:47.0,K. Caldwell-Pope makes free throw 1 of 2,,35,47
172,2,4:47.0,K. Caldwell-Pope makes free throw 2 of 2,,36,47
173,2,4:32.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by D. Lillard),36,50
174,2,4:12.0,R. Jackson makes 3-pt jump shot from 24 ft,,39,50
175,2,3:46.0,,Turnover by D. Lillard (lost ball; steal by E. İlyasova),39,50
176,2,3:33.0,R. Jackson makes 2-pt jump shot from 19 ft,,41,50
177,2,3:18.0,,Turnover by D. Lillard (bad pass),41,50
178,2,2:58.0,K. Caldwell-Pope makes 2-pt jump shot from 11 ft (assist by E. İlyasova),,43,50
179,2,2:37.0,,M. Harkless misses 3-pt jump shot from 23 ft,43,50
180,2,2:36.0,,Offensive rebound by M. Harkless,43,50
181,2,2:12.0,,A. Aminu misses 3-pt jump shot from 30 ft,43,50
182,2,2:11.0,Defensive rebound by K. Caldwell-Pope,,43,50
183,2,1:59.0,R. Jackson misses 2-pt jump shot from 15 ft,,43,50
184,2,1:59.0,,Defensive rebound by A. Aminu,43,50
185,2,1:49.0,,M. Plumlee misses 2-pt layup from 2 ft (block by A. Drummond),43,50
186,2,1:47.0,Defensive rebound by A. Drummond,,43,50
187,2,1:37.0,S. Johnson misses 3-pt jump shot from 24 ft,,43,50
188,2,1:37.0,,Defensive rebound by A. Aminu,43,50
189,2,1:37.0,,Personal foul by R. Jackson (drawn by A. Aminu),43,50
190,2,1:37.0,,Portland full timeout,43,50
191,2,1:37.0,,C. McCollum enters the game for M. Harkless,43,50
192,2,1:28.0,Violation by A. Drummond (def goaltending),,43,50
193,2,1:28.0,,M. Leonard makes 2-pt jump shot from 6 ft (assist by D. Lillard),43,52
194,2,1:12.0,R. Jackson misses 2-pt layup from 2 ft,,43,52
195,2,1:11.0,Offensive rebound by A. Drummond,,43,52
196,2,1:11.0,A. Drummond makes 2-pt layup from 1 ft,,45,52
197,2,0:56.0,,Personal foul by A. Drummond (drawn by C. McCollum),45,52
198,2,0:56.0,,C. McCollum makes free throw 1 of 2,45,53
199,2,0:56.0,A. Baynes enters the game for A. Drummond,,45,53
200,2,0:56.0,,C. McCollum makes free throw 2 of 2,45,54
201,2,0:48.0,Offensive foul by A. Baynes (drawn by D. Lillard),,45,54
202,2,0:48.0,Turnover by A. Baynes (offensive foul),,45,54
203,2,0:24.0,,A. Aminu makes 2-pt jump shot from 12 ft,45,56
204,2,0:12.0,Personal take foul by D. Lillard (drawn by R. Jackson),,45,56
205,2,0:12.0,,A. Crabbe enters the game for C. McCollum,45,56
206,2,0:03.0,R. Jackson makes 2-pt layup from 2 ft,,47,56
207,2,0:03.0,,Portland full timeout,47,56
208,2,0:03.0,Technical foul by M. Morris,,47,56
209,2,0:03.0,,C. McCollum enters the game for A. Crabbe,47,56
210,2,0:03.0,,D. Lillard makes technical free throw,47,57
211,2,0:00.0,,M. Plumlee misses 2-pt jump shot from 10 ft (block by A. Baynes),47,57
212,2,0:00.0,Defensive rebound by E. İlyasova,,47,57
213,3,11:40.0,,C. McCollum makes 2-pt jump shot from 5 ft,47,59
214,3,11:18.0,A. Drummond makes 2-pt hook shot from 4 ft,,49,59
215,3,11:02.0,,Shooting foul by A. Drummond (drawn by A. Aminu),49,59
216,3,11:02.0,,A. Aminu misses free throw 1 of 2,49,59
217,3,11:02.0,,Offensive rebound by Team,49,59
218,3,11:02.0,,A. Aminu makes free throw 2 of 2,49,60
219,3,10:40.0,A. Drummond makes 2-pt jump shot from 4 ft (assist by R. Jackson),,51,60
220,3,10:22.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by M. Plumlee),51,63
221,3,10:00.0,A. Drummond misses 2-pt hook shot from 7 ft,,51,63
222,3,9:59.0,,Defensive rebound by M. Leonard,51,63
223,3,9:48.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),51,65
224,3,9:48.0,Detroit full timeout,,51,65
225,3,9:38.0,Personal foul by M. Leonard (drawn by A. Drummond),,51,65
226,3,9:31.0,R. Jackson makes 2-pt layup from 1 ft,,53,65
227,3,9:14.0,,M. Plumlee misses 2-pt hook shot from 3 ft (block by A. Drummond),53,65
228,3,9:13.0,,Offensive rebound by M. Plumlee,53,65
229,3,9:10.0,,Turnover by M. Plumlee (bad pass; steal by R. Jackson),53,65
230,3,9:09.0,Turnover by R. Jackson (bad pass),,53,65
231,3,8:51.0,,M. Leonard misses 3-pt jump shot from 25 ft,53,65
232,3,8:50.0,Defensive rebound by R. Jackson,,53,65
233,3,8:47.0,Turnover by R. Jackson (lost ball; steal by M. Plumlee),,53,65
234,3,8:46.0,,Shooting foul by K. Caldwell-Pope (drawn by D. Lillard),53,65
235,3,8:46.0,,D. Lillard makes free throw 1 of 2,53,66
236,3,8:46.0,,D. Lillard makes free throw 2 of 2,53,67
237,3,8:34.0,R. Jackson misses 2-pt jump shot from 10 ft,,53,67
238,3,8:33.0,Offensive rebound by A. Drummond,,53,67
239,3,8:31.0,A. Drummond makes 2-pt layup at rim,,55,67
240,3,8:21.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),55,70
241,3,8:04.0,E. İlyasova misses 3-pt jump shot from 25 ft,,55,70
242,3,8:04.0,,Defensive rebound by A. Aminu,55,70
243,3,7:54.0,,D. Lillard makes 3-pt jump shot from 26 ft,55,73
244,3,7:35.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by R. Jackson),,57,73
245,3,7:16.0,,C. McCollum misses 2-pt jump shot from 16 ft,57,73
246,3,7:14.0,Defensive rebound by A. Drummond,,57,73
247,3,7:00.0,M. Morris misses 3-pt jump shot from 24 ft,,57,73
248,3,6:59.0,,Defensive rebound by M. Plumlee,57,73
249,3,6:45.0,,C. McCollum makes 2-pt layup at rim,57,75
250,3,6:29.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by R. Jackson),,60,75
251,3,6:15.0,,Turnover by M. Plumlee (lost ball),60,75
252,3,6:07.0,Shooting foul by D. Lillard (drawn by R. Jackson),,60,75
253,3,6:07.0,R. Jackson makes free throw 1 of 2,,61,75
254,3,6:07.0,S. Johnson enters the game for M. Morris,,61,75
255,3,6:07.0,R. Jackson makes free throw 2 of 2,,62,75
256,3,5:49.0,,Turnover by M. Plumlee (bad pass),62,75
257,3,5:41.0,Shooting block foul by C. McCollum (drawn by R. Jackson),,62,75
258,3,5:41.0,R. Jackson makes free throw 1 of 2,,63,75
259,3,5:41.0,,A. Crabbe enters the game for C. McCollum,63,75
260,3,5:41.0,,E. Davis enters the game for M. Plumlee,63,75
261,3,5:41.0,R. Jackson misses free throw 2 of 2,,63,75
262,3,5:40.0,,Defensive rebound by E. Davis,63,75
263,3,5:21.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by D. Lillard),63,78
264,3,5:08.0,A. Drummond makes 2-pt hook shot from 5 ft (assist by E. İlyasova),,65,78
265,3,4:43.0,,M. Leonard makes 2-pt hook shot from 3 ft (assist by D. Lillard),65,80
266,3,4:26.0,A. Drummond makes 2-pt dunk at rim,,67,80
267,3,4:09.0,,Personal foul by E. İlyasova (drawn by D. Lillard),67,80
268,3,4:09.0,,M. Harkless enters the game for A. Aminu,67,80
269,3,4:06.0,,Offensive foul by E. Davis (drawn by K. Caldwell-Pope),67,80
270,3,4:06.0,,Turnover by E. Davis (offensive foul),67,80
271,3,3:56.0,Shooting foul by E. Davis (drawn by S. Johnson),,67,80
272,3,3:56.0,S. Johnson makes free throw 1 of 2,,68,80
273,3,3:56.0,S. Johnson misses free throw 2 of 2,,68,80
274,3,3:54.0,,Defensive rebound by M. Leonard,68,80
275,3,3:42.0,,D. Lillard makes 2-pt layup from 2 ft (assist by M. Leonard),68,82
276,3,3:22.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by R. Jackson),,71,82
277,3,3:03.0,,D. Lillard misses 2-pt jump shot from 18 ft,71,82
278,3,3:02.0,Defensive rebound by A. Drummond,,71,82
279,3,3:01.0,Turnover by A. Drummond (lost ball; steal by D. Lillard),,71,82
280,3,2:57.0,,D. Lillard makes 2-pt layup at rim,71,84
281,3,2:40.0,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,,71,84
282,3,2:40.0,,Defensive rebound by Team,71,84
283,3,2:40.0,,Portland full timeout,71,84
284,3,2:40.0,S. Blake enters the game for K. Caldwell-Pope,,71,84
285,3,2:40.0,M. Morris enters the game for R. Jackson,,71,84
286,3,2:40.0,,C. McCollum enters the game for M. Leonard,71,84
287,3,2:40.0,,A. Aminu enters the game for D. Lillard,71,84
288,3,2:23.0,,C. McCollum makes 2-pt jump shot from 7 ft (assist by A. Crabbe),71,86
289,3,2:02.0,M. Morris misses 2-pt jump shot from 4 ft,,71,86
290,3,2:01.0,Offensive rebound by M. Morris,,71,86
291,3,1:58.0,M. Morris makes 2-pt layup at rim,,73,86
292,3,1:46.0,,Offensive foul by M. Harkless (drawn by M. Morris),73,86
293,3,1:46.0,,Turnover by M. Harkless (offensive foul),73,86
294,3,1:33.0,E. İlyasova misses 2-pt jump shot from 6 ft,,73,86
295,3,1:31.0,Offensive rebound by A. Drummond,,73,86
296,3,1:31.0,A. Drummond misses 2-pt layup at rim,,73,86
297,3,1:29.0,Offensive rebound by A. Drummond,,73,86
298,3,1:29.0,A. Drummond makes 2-pt layup at rim,,75,86
299,3,1:10.0,,C. McCollum makes 2-pt jump shot from 14 ft,75,88
300,3,0:53.0,Turnover by M. Morris (lost ball; steal by A. Crabbe),,75,88
301,3,0:50.0,,A. Crabbe makes 2-pt layup from 1 ft (assist by M. Harkless),75,90
302,3,0:38.0,Personal block foul by M. Harkless (drawn by M. Morris),,75,90
303,3,0:38.0,M. Morris makes free throw 1 of 2,,76,90
304,3,0:38.0,M. Morris makes free throw 2 of 2,,77,90
305,3,0:32.0,,C. McCollum makes 2-pt jump shot from 12 ft,77,92
306,3,0:14.0,A. Drummond makes 2-pt layup at rim (assist by S. Blake),,79,92
307,4,11:45.0,S. Blake misses 3-pt jump shot from 26 ft,,79,92
308,4,11:44.0,,Defensive rebound by M. Harkless,79,92
309,4,11:34.0,,C. McCollum makes 2-pt jump shot from 5 ft,79,94
310,4,11:08.0,M. Morris makes 2-pt jump shot from 11 ft,,81,94
