,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,A. Ajinça makes 2-pt layup from 2 ft (assist by D. Cunningham),,2,0
1,1,11:28.0,,Shooting foul by Ö. Aşık (drawn by L. Aldridge),2,0
2,1,11:28.0,,L. Aldridge misses free throw 1 of 2,2,0
3,1,11:28.0,,Offensive rebound by Team,2,0
4,1,11:28.0,,L. Aldridge makes free throw 2 of 2,2,1
5,1,11:03.0,T. Douglas misses 2-pt jump shot from 20 ft,,2,1
6,1,11:02.0,,Defensive rebound by D. Green,2,1
7,1,10:55.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),2,4
8,1,10:39.0,J. Hamilton makes 3-pt jump shot from 25 ft,,5,4
9,1,10:25.0,,K. Leonard makes 2-pt jump shot from 17 ft,5,6
10,1,10:09.0,A. Ajinça misses 2-pt jump shot from 15 ft,,5,6
11,1,10:08.0,,Defensive rebound by T. Duncan,5,6
12,1,10:02.0,,D. Green misses 3-pt jump shot from 24 ft,5,6
13,1,10:01.0,Defensive rebound by Ö. Aşık,,5,6
14,1,9:49.0,J. Hamilton makes 2-pt jump shot from 19 ft,,7,6
15,1,9:29.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),7,9
16,1,9:09.0,A. Ajinça misses 2-pt jump shot from 17 ft,,7,9
17,1,9:08.0,Offensive rebound by D. Cunningham,,7,9
18,1,8:55.0,T. Douglas misses 2-pt jump shot from 19 ft,,7,9
19,1,8:54.0,,Defensive rebound by T. Duncan,7,9
20,1,8:39.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by T. Parker),7,11
21,1,8:24.0,J. Hamilton misses 2-pt jump shot from 21 ft,,7,11
22,1,8:23.0,,Defensive rebound by K. Leonard,7,11
23,1,8:10.0,,L. Aldridge misses 2-pt jump shot from 19 ft,7,11
24,1,8:09.0,Defensive rebound by J. Hamilton,,7,11
25,1,8:02.0,Turnover by D. Cunningham (lost ball),,7,11
26,1,7:46.0,,Shooting block foul by A. Ajinça (drawn by T. Duncan),7,11
27,1,7:46.0,,T. Duncan makes free throw 1 of 2,7,12
28,1,7:46.0,,T. Duncan makes free throw 2 of 2,7,13
29,1,7:32.0,T. Douglas makes 3-pt jump shot from 24 ft (assist by J. Hamilton),,10,13
30,1,7:18.0,,T. Duncan misses 2-pt jump shot from 19 ft,10,13
31,1,7:17.0,Defensive rebound by T. Douglas,,10,13
32,1,7:07.0,D. Cunningham misses 2-pt jump shot from 8 ft (block by K. Leonard),,10,13
33,1,7:06.0,,Defensive rebound by D. Green,10,13
34,1,6:53.0,,L. Aldridge misses 2-pt jump shot from 3 ft,10,13
35,1,6:52.0,Defensive rebound by Team,,10,13
36,1,6:36.0,Turnover by J. Hamilton (lost ball; steal by K. Leonard),,10,13
37,1,6:31.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Leonard),10,15
38,1,6:24.0,Shooting foul by D. Green (drawn by Ö. Aşık),,10,15
39,1,6:24.0,Ö. Aşık misses free throw 1 of 2,,10,15
40,1,6:24.0,Offensive rebound by Team,,10,15
41,1,6:24.0,Ö. Aşık misses free throw 2 of 2,,10,15
42,1,6:23.0,,Defensive rebound by K. Leonard,10,15
43,1,6:05.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),10,18
44,1,5:50.0,Ö. Aşık misses 2-pt layup from 2 ft (block by T. Duncan),,10,18
45,1,5:49.0,Offensive rebound by Ö. Aşık,,10,18
46,1,5:45.0,J. Hamilton misses 3-pt jump shot from 24 ft,,10,18
47,1,5:43.0,,Defensive rebound by T. Duncan,10,18
48,1,5:36.0,,K. Leonard misses 3-pt jump shot from 25 ft,10,18
49,1,5:34.0,Defensive rebound by Ö. Aşık,,10,18
50,1,5:31.0,New Orleans full timeout,,10,18
51,1,5:19.0,D. Cunningham misses 2-pt jump shot from 21 ft,,10,18
52,1,5:18.0,,Defensive rebound by K. Leonard,10,18
53,1,5:00.0,,T. Duncan misses 2-pt hook shot from 6 ft,10,18
54,1,4:59.0,Defensive rebound by J. Hamilton,,10,18
55,1,4:53.0,J. Hamilton misses 2-pt layup from 1 ft (block by T. Duncan),,10,18
56,1,4:52.0,,Defensive rebound by T. Duncan,10,18
57,1,4:45.0,,K. Leonard misses 3-pt jump shot from 25 ft,10,18
58,1,4:44.0,Defensive rebound by D. Cunningham,,10,18
59,1,4:31.0,T. Douglas makes 3-pt jump shot from 23 ft,,13,18
60,1,4:30.0,,San Antonio full timeout,13,18
61,1,4:30.0,,K. Anderson enters the game for K. Leonard,13,18
62,1,4:30.0,,B. Diaw enters the game for T. Duncan,13,18
63,1,4:30.0,K. Perkins enters the game for Ö. Aşık,,13,18
64,1,4:30.0,,M. Ginóbili enters the game for D. Green,13,18
65,1,4:11.0,,Turnover by M. Ginóbili (bad pass; steal by D. Cunningham),13,18
66,1,4:05.0,D. Cunningham makes 2-pt layup from 1 ft (assist by T. Douglas),,15,18
67,1,3:43.0,,M. Ginóbili makes 3-pt jump shot from 23 ft (assist by K. Anderson),15,21
68,1,3:26.0,A. Ajinça makes 2-pt jump shot from 18 ft (assist by J. Hamilton),,17,21
69,1,3:11.0,,Turnover by T. Parker (step out of bounds),17,21
70,1,3:11.0,L. Babbitt enters the game for D. Cunningham,,17,21
71,1,3:11.0,,B. Marjanović enters the game for L. Aldridge,17,21
72,1,3:11.0,,P. Mills enters the game for T. Parker,17,21
73,1,3:00.0,A. Ajinça makes 2-pt jump shot from 16 ft (assist by J. Hamilton),,19,21
74,1,2:41.0,,M. Ginóbili misses 2-pt jump shot from 15 ft,19,21
75,1,2:40.0,Defensive rebound by A. Ajinça,,19,21
76,1,2:25.0,A. Ajinça makes 2-pt jump shot from 20 ft (assist by T. Douglas),,21,21
77,1,2:04.0,,B. Diaw makes 2-pt jump shot from 17 ft (assist by K. Anderson),21,23
78,1,1:38.0,T. Douglas makes 3-pt jump shot from 24 ft (assist by K. Perkins),,24,23
79,1,1:17.0,,B. Diaw makes 2-pt jump shot from 20 ft (assist by K. Anderson),24,25
80,1,1:03.0,Turnover by A. Ajinça (bad pass),,24,25
81,1,1:03.0,T. Frazier enters the game for T. Douglas,,24,25
82,1,0:53.0,,K. Anderson misses 3-pt jump shot from 22 ft,24,25
83,1,0:52.0,,Offensive rebound by B. Marjanović,24,25
84,1,0:48.0,,Turnover by B. Marjanović (lost ball; steal by J. Hamilton),24,25
85,1,0:34.0,Personal foul by K. Anderson,,24,25
86,1,0:25.0,Shooting foul by B. Marjanović (drawn by L. Babbitt),,24,25
87,1,0:25.0,L. Babbitt makes free throw 1 of 2,,25,25
88,1,0:25.0,Ö. Aşık enters the game for A. Ajinça,,25,25
89,1,0:25.0,L. Babbitt makes free throw 2 of 2,,26,25
90,1,0:01.0,,B. Diaw makes 2-pt jump shot from 13 ft (assist by P. Mills),26,27
