,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:44.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Scola),0,2
1,1,11:29.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by R. Lopez),,3,2
2,1,11:08.0,,Shooting foul by R. Lopez (drawn by J. Valančiūnas),3,2
3,1,11:08.0,,J. Valančiūnas makes free throw 1 of 2,3,3
4,1,11:08.0,,J. Valančiūnas makes free throw 2 of 2,3,4
5,1,10:51.0,S. Vujačić makes 2-pt jump shot from 14 ft,,5,4
6,1,10:42.0,,Personal foul by S. Vujačić (drawn by L. Scola),5,4
7,1,10:36.0,,J. Valančiūnas misses 2-pt hook shot from 8 ft,5,4
8,1,10:36.0,Defensive rebound by K. Porziņģis,,5,4
9,1,10:25.0,R. Lopez misses 2-pt jump shot from 15 ft,,5,4
10,1,10:24.0,Offensive rebound by R. Lopez,,5,4
11,1,10:21.0,R. Lopez makes 2-pt layup from 1 ft,,7,4
12,1,10:02.0,,D. DeRozan misses 2-pt jump shot from 20 ft,7,4
13,1,10:02.0,Defensive rebound by C. Anthony,,7,4
14,1,9:45.0,K. Porziņģis misses 2-pt jump shot from 4 ft,,7,4
15,1,9:44.0,Offensive rebound by K. Porziņģis,,7,4
16,1,9:43.0,K. Porziņģis misses 2-pt jump shot from 15 ft (block by K. Lowry),,7,4
17,1,9:43.0,,Defensive rebound by K. Lowry,7,4
18,1,9:43.0,,Turnover by K. Lowry (step out of bounds),7,4
19,1,9:38.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,7,4
20,1,9:37.0,Offensive rebound by Team,,7,4
21,1,9:32.0,S. Vujačić makes 2-pt jump shot from 18 ft (assist by C. Anthony),,9,4
22,1,9:17.0,,Turnover by J. Johnson (lost ball; steal by C. Anthony),9,4
23,1,8:59.0,J. Calderón misses 2-pt jump shot from 12 ft,,9,4
24,1,8:58.0,,Defensive rebound by L. Scola,9,4
25,1,8:51.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),9,6
26,1,8:32.0,C. Anthony makes 2-pt jump shot from 14 ft,,11,6
27,1,8:18.0,,L. Scola misses 2-pt layup from 1 ft,11,6
28,1,8:18.0,Defensive rebound by K. Porziņģis,,11,6
29,1,8:07.0,C. Anthony misses 3-pt jump shot from 23 ft,,11,6
30,1,8:06.0,,Defensive rebound by L. Scola,11,6
31,1,7:57.0,,K. Lowry misses 2-pt jump shot from 17 ft,11,6
32,1,7:57.0,Defensive rebound by J. Calderón,,11,6
33,1,7:47.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,11,6
34,1,7:45.0,Offensive rebound by K. Porziņģis,,11,6
35,1,7:44.0,Turnover by K. Porziņģis (bad pass),,11,6
