,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by P. Hairston),0,3
1,1,11:21.0,K. Middleton makes 2-pt jump shot from 18 ft (assist by G. Monroe),,2,3
2,1,11:02.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by M. Williams),2,6
3,1,10:38.0,G. Monroe makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,4,6
4,1,10:15.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),4,9
5,1,10:00.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,4,9
6,1,9:59.0,,Defensive rebound by C. Zeller,4,9
7,1,9:49.0,,K. Walker misses 2-pt layup from 2 ft (block by G. Monroe),4,9
8,1,9:47.0,,Offensive rebound by K. Walker,4,9
9,1,9:47.0,,K. Walker misses 2-pt layup from 1 ft (block by G. Antetokounmpo),4,9
10,1,9:44.0,,Offensive rebound by P. Hairston,4,9
11,1,9:42.0,,C. Zeller misses 2-pt layup from 1 ft,4,9
12,1,9:40.0,Defensive rebound by G. Monroe,,4,9
13,1,9:26.0,G. Monroe misses 2-pt jump shot from 3 ft,,4,9
14,1,9:23.0,Offensive rebound by G. Antetokounmpo,,4,9
15,1,9:19.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,4,9
16,1,9:18.0,Offensive rebound by Team,,4,9
17,1,9:14.0,J. Parker makes 2-pt layup at rim (assist by G. Antetokounmpo),,6,9
18,1,8:51.0,,Personal foul by G. Antetokounmpo (drawn by M. Williams),6,9
19,1,8:51.0,,M. Williams makes free throw 1 of 2,6,10
20,1,8:51.0,,M. Williams makes free throw 2 of 2,6,11
21,1,8:37.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Williams),,6,11
22,1,8:31.0,,P. Hairston makes 2-pt layup at rim (assist by K. Walker),6,13
23,1,8:31.0,Milwaukee full timeout,,6,13
24,1,8:14.0,K. Middleton misses 3-pt jump shot from 24 ft,,6,13
25,1,8:13.0,,Defensive rebound by M. Williams,6,13
26,1,7:59.0,,K. Walker misses 2-pt jump shot from 6 ft (block by M. Carter-Williams),6,13
27,1,7:57.0,Defensive rebound by K. Middleton,,6,13
28,1,7:49.0,J. Parker makes 2-pt dunk at rim (assist by G. Monroe),,8,13
29,1,7:26.0,,N. Batum makes 3-pt jump shot from 25 ft,8,16
30,1,7:11.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,10,16
31,1,7:03.0,,Charlotte full timeout,10,16
32,1,6:47.0,,K. Walker misses 2-pt jump shot from 9 ft,10,16
33,1,6:45.0,Defensive rebound by M. Carter-Williams,,10,16
34,1,6:37.0,Turnover by M. Carter-Williams (bad pass; steal by K. Walker),,10,16
35,1,6:29.0,,M. Williams misses 2-pt layup at rim (block by G. Antetokounmpo),10,16
36,1,6:27.0,,Offensive rebound by P. Hairston,10,16
37,1,6:23.0,,C. Zeller misses 2-pt jump shot from 16 ft,10,16
38,1,6:22.0,,Offensive rebound by M. Williams,10,16
39,1,6:15.0,,Shooting foul by M. Carter-Williams (drawn by K. Walker),10,16
40,1,6:15.0,,K. Walker makes free throw 1 of 2,10,17
41,1,6:15.0,,K. Walker makes free throw 2 of 2,10,18
