,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:38.0,,K. Love makes 2-pt hook shot from 10 ft,0,2
1,1,11:23.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by A. Drummond),,2,2
2,1,11:09.0,,Personal foul by T. Harris (drawn by K. Love),2,2
3,1,10:59.0,,K. Love makes 2-pt hook shot from 7 ft,2,4
4,1,10:40.0,T. Harris misses 2-pt layup at rim,,2,4
5,1,10:39.0,Offensive rebound by A. Drummond,,2,4
6,1,10:39.0,A. Drummond makes 2-pt layup at rim,,4,4
7,1,10:28.0,,Shooting foul by A. Drummond (drawn by K. Love),4,4
8,1,10:28.0,,K. Love makes free throw 1 of 2,4,5
9,1,10:28.0,,K. Love makes free throw 2 of 2,4,6
10,1,10:12.0,M. Morris misses 3-pt jump shot from 25 ft,,4,6
11,1,10:12.0,,Defensive rebound by T. Thompson,4,6
12,1,10:06.0,,L. James misses 2-pt layup from 1 ft,4,6
13,1,10:03.0,Defensive rebound by A. Drummond,,4,6
14,1,9:55.0,M. Morris makes 2-pt jump shot from 19 ft (assist by R. Jackson),,6,6
15,1,9:28.0,,T. Thompson misses 2-pt jump shot from 7 ft,6,6
16,1,9:27.0,Defensive rebound by A. Drummond,,6,6
17,1,9:14.0,R. Jackson makes 2-pt jump shot from 3 ft,,8,6
18,1,9:02.0,,K. Irving makes 2-pt jump shot from 11 ft,8,8
19,1,8:38.0,M. Morris misses 2-pt jump shot from 18 ft,,8,8
20,1,8:38.0,,Defensive rebound by L. James,8,8
21,1,8:28.0,,L. James makes 2-pt layup at rim,8,10
22,1,8:07.0,R. Jackson makes 2-pt jump shot from 15 ft,,10,10
23,1,7:54.0,,K. Irving makes 2-pt jump shot from 18 ft,10,12
24,1,7:42.0,Personal foul by K. Irving (drawn by R. Jackson),,10,12
25,1,7:29.0,A. Drummond misses 2-pt layup from 1 ft,,10,12
26,1,7:28.0,,Defensive rebound by L. James,10,12
27,1,7:20.0,,K. Love misses 3-pt jump shot from 25 ft,10,12
28,1,7:19.0,,Offensive rebound by J. Smith,10,12
29,1,7:13.0,,K. Love makes 2-pt jump shot from 16 ft (assist by K. Irving),10,14
30,1,7:05.0,Detroit full timeout,,10,14
31,1,6:57.0,Shooting foul by L. James (drawn by T. Harris),,10,14
32,1,6:57.0,T. Harris makes 2-pt layup at rim,,12,14
33,1,6:57.0,T. Harris makes free throw 1 of 1,,13,14
34,1,6:42.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by K. Love),13,16
35,1,6:24.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by M. Morris),,16,16
36,1,6:12.0,,L. James makes 2-pt jump shot from 19 ft (assist by K. Irving),16,18
37,1,5:55.0,A. Drummond misses 2-pt hook shot from 6 ft,,16,18
38,1,5:53.0,,Defensive rebound by K. Love,16,18
39,1,5:37.0,,Turnover by L. James (bad pass; steal by T. Harris),16,18
