,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:37.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,Defensive rebound by M. Plumlee,,0,0
2,1,11:23.0,N. Vonleh misses 2-pt jump shot from 16 ft,,0,0
3,1,11:23.0,,Defensive rebound by Team,0,0
4,1,11:23.0,Loose ball foul by M. Plumlee (drawn by P. Gasol),,0,0
5,1,11:05.0,,P. Gasol misses 2-pt hook shot from 5 ft,0,0
6,1,11:03.0,Defensive rebound by M. Plumlee,,0,0
7,1,10:51.0,C. McCollum misses 2-pt jump shot from 18 ft,,0,0
8,1,10:48.0,,Defensive rebound by M. Dunleavy,0,0
9,1,10:29.0,,E. Moore misses 2-pt jump shot from 6 ft,0,0
10,1,10:28.0,Defensive rebound by M. Plumlee,,0,0
11,1,10:25.0,Shooting foul by M. Dunleavy (drawn by M. Plumlee),,0,0
12,1,10:25.0,M. Plumlee makes free throw 1 of 2,,1,0
13,1,10:25.0,M. Plumlee misses free throw 2 of 2,,1,0
14,1,10:23.0,,Defensive rebound by P. Gasol,1,0
15,1,10:10.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by M. Dunleavy),1,2
16,1,9:46.0,Turnover by N. Vonleh (traveling),,1,2
17,1,9:29.0,,T. Gibson makes 2-pt hook shot from 4 ft (assist by P. Gasol),1,4
18,1,9:01.0,C. McCollum misses 3-pt jump shot from 24 ft,,1,4
19,1,9:00.0,,Defensive rebound by P. Gasol,1,4
20,1,8:49.0,,M. Dunleavy makes 2-pt layup at rim (assist by P. Gasol),1,6
21,1,8:29.0,D. Lillard makes 2-pt jump shot from 10 ft,,3,6
22,1,8:11.0,,M. Dunleavy misses 2-pt jump shot from 6 ft (block by N. Vonleh),3,6
23,1,8:10.0,Defensive rebound by N. Vonleh,,3,6
24,1,7:59.0,D. Lillard makes 2-pt layup from 1 ft,,5,6
25,1,7:53.0,,Personal foul by N. Vonleh (drawn by T. Gibson),5,6
26,1,7:49.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by P. Gasol),5,8
27,1,7:49.0,,Shooting foul by C. McCollum (drawn by M. Dunleavy),5,8
28,1,7:49.0,,M. Dunleavy makes free throw 1 of 1,5,9
29,1,7:39.0,Turnover by D. Lillard (bad pass; steal by P. Gasol),,5,9
30,1,7:31.0,,T. Gibson makes 2-pt dunk at rim (assist by P. Gasol),5,11
31,1,7:31.0,,Shooting foul by N. Vonleh (drawn by T. Gibson),5,11
32,1,7:31.0,,T. Gibson makes free throw 1 of 1,5,12
33,1,7:20.0,Turnover by D. Lillard (lost ball),,5,12
34,1,6:58.0,,Turnover by M. Dunleavy (bad pass; steal by A. Aminu),5,12
35,1,6:42.0,M. Plumlee misses 2-pt jump shot from 6 ft (block by P. Gasol),,5,12
36,1,6:39.0,Offensive rebound by N. Vonleh,,5,12
37,1,6:36.0,M. Plumlee misses 2-pt layup from 1 ft,,5,12
38,1,6:35.0,,Defensive rebound by T. Gibson,5,12
39,1,6:11.0,,P. Gasol misses 2-pt jump shot from 23 ft,5,12
40,1,6:09.0,Defensive rebound by M. Plumlee,,5,12
41,1,6:04.0,D. Lillard makes 2-pt layup from 2 ft,,7,12
42,1,6:04.0,Shooting foul by T. Gibson (drawn by D. Lillard),,7,12
43,1,6:04.0,D. Lillard makes free throw 1 of 1,,8,12
44,1,5:49.0,,E. Moore misses 3-pt jump shot from 25 ft,8,12
45,1,5:47.0,Defensive rebound by N. Vonleh,,8,12
46,1,5:40.0,Shooting foul by T. Snell (drawn by D. Lillard),,8,12
47,1,5:40.0,,Chicago full timeout,8,12
48,1,5:40.0,,D. McDermott enters the game for M. Dunleavy,8,12
49,1,5:40.0,,B. Portis enters the game for T. Gibson,8,12
50,1,5:40.0,A. Crabbe enters the game for N. Vonleh,,8,12
51,1,5:40.0,M. Leonard enters the game for C. McCollum,,8,12
52,1,5:40.0,D. Lillard makes free throw 1 of 2,,9,12
53,1,5:40.0,D. Lillard makes free throw 2 of 2,,10,12
54,1,5:18.0,,P. Gasol misses 2-pt jump shot from 14 ft,10,12
55,1,5:16.0,Defensive rebound by Team,,10,12
56,1,4:59.0,D. Lillard makes 2-pt jump shot from 16 ft (assist by A. Aminu),,12,12
57,1,4:40.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by P. Gasol),12,15
58,1,4:15.0,D. Lillard misses 2-pt jump shot from 7 ft,,12,15
