,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:44.0,,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Butler),0,3
1,1,11:24.0,R. Lopez misses 2-pt hook shot from 4 ft,,0,3
2,1,11:23.0,,Defensive rebound by T. Gibson,0,3
3,1,11:17.0,,K. Hinrich makes 2-pt layup from 2 ft,0,5
4,1,10:57.0,Turnover by J. Calderón (bad pass; steal by T. Gibson),,0,5
5,1,10:57.0,,Personal foul by K. Porziņģis (drawn by T. Gibson),0,5
6,1,10:38.0,,P. Gasol misses 2-pt layup from 1 ft,0,5
7,1,10:37.0,,Offensive rebound by T. Gibson,0,5
8,1,10:32.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by N. Mirotić),0,7
9,1,10:17.0,J. Calderón misses 2-pt jump shot from 21 ft,,0,7
10,1,10:16.0,Offensive rebound by R. Lopez,,0,7
11,1,10:16.0,R. Lopez misses 2-pt layup from 1 ft,,0,7
12,1,10:15.0,,Defensive rebound by T. Gibson,0,7
13,1,10:04.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by N. Mirotić),0,9
14,1,9:57.0,New York full timeout,,0,9
15,1,9:50.0,C. Anthony misses 2-pt jump shot from 15 ft,,0,9
16,1,9:49.0,,Defensive rebound by N. Mirotić,0,9
17,1,9:33.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Butler),0,11
18,1,9:18.0,C. Anthony misses 2-pt dunk from 1 ft (block by P. Gasol),,0,11
19,1,9:15.0,Offensive rebound by C. Anthony,,0,11
20,1,9:15.0,C. Anthony misses 2-pt layup at rim,,0,11
21,1,9:14.0,Offensive rebound by C. Anthony,,0,11
22,1,9:14.0,C. Anthony misses 2-pt layup at rim,,0,11
23,1,9:13.0,,Defensive rebound by T. Gibson,0,11
24,1,9:08.0,,N. Mirotić misses 3-pt jump shot from 26 ft,0,11
25,1,9:07.0,Defensive rebound by J. Calderón,,0,11
26,1,8:57.0,R. Lopez misses 2-pt jump shot from 7 ft,,0,11
27,1,8:57.0,Offensive rebound by Team,,0,11
28,1,8:57.0,,Loose ball foul by T. Gibson (drawn by K. Porziņģis),0,11
29,1,8:49.0,K. Porziņģis misses 2-pt jump shot from 20 ft,,0,11
30,1,8:48.0,,Defensive rebound by K. Hinrich,0,11
31,1,8:37.0,,T. Gibson misses 2-pt layup from 2 ft (block by R. Lopez),0,11
32,1,8:35.0,Defensive rebound by A. Afflalo,,0,11
33,1,8:28.0,A. Afflalo misses 3-pt jump shot from 24 ft (block by J. Butler),,0,11
34,1,8:26.0,,Defensive rebound by K. Hinrich,0,11
35,1,8:17.0,,P. Gasol misses 2-pt jump shot from 17 ft,0,11
36,1,8:15.0,Defensive rebound by J. Calderón,,0,11
37,1,8:05.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Calderón),,2,11
38,1,7:38.0,,P. Gasol makes 2-pt jump shot from 14 ft,2,13
39,1,7:23.0,Turnover by R. Lopez (3 sec),,2,13
