,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,Turnover by J. Calderón (lost ball; steal by R. Rondo),,0,0
1,1,11:24.0,,D. Cousins makes 2-pt jump shot from 20 ft,0,2
2,1,11:07.0,J. Calderón misses 2-pt jump shot from 14 ft,,0,2
3,1,11:04.0,,Defensive rebound by R. Gay,0,2
4,1,10:43.0,,R. Rondo misses 3-pt jump shot from 24 ft,0,2
5,1,10:42.0,Defensive rebound by K. Porziņģis,,0,2
6,1,10:31.0,C. Anthony misses 2-pt jump shot from 21 ft,,0,2
7,1,10:30.0,,Defensive rebound by D. Cousins,0,2
8,1,10:18.0,,Turnover by R. Gay (lost ball; steal by C. Anthony),0,2
9,1,10:05.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,0,2
10,1,10:04.0,,Defensive rebound by D. Cousins,0,2
11,1,9:59.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by D. Cousins),0,5
12,1,9:40.0,R. Lopez makes 2-pt jump shot from 14 ft (assist by C. Anthony),,2,5
13,1,9:28.0,,D. Cousins misses 2-pt jump shot from 18 ft,2,5
14,1,9:27.0,Defensive rebound by K. Porziņģis,,2,5
15,1,9:23.0,,Violation by R. Gay (kicked ball),2,5
16,1,9:10.0,R. Lopez makes 2-pt jump shot from 18 ft (assist by A. Afflalo),,4,5
17,1,8:58.0,,D. Cousins misses 3-pt jump shot from 25 ft,4,5
18,1,8:57.0,Defensive rebound by A. Afflalo,,4,5
19,1,8:39.0,C. Anthony makes 2-pt jump shot from 17 ft,,6,5
20,1,8:25.0,,Personal foul by R. Lopez (drawn by D. Cousins),6,5
21,1,8:16.0,,D. Cousins makes 2-pt layup from 3 ft,6,7
22,1,8:07.0,Turnover by K. Porziņģis (bad pass; steal by R. Rondo),,6,7
23,1,8:02.0,,O. Casspi misses 2-pt layup from 1 ft (block by K. Porziņģis),6,7
24,1,8:01.0,Defensive rebound by C. Anthony,,6,7
25,1,7:38.0,C. Anthony misses 2-pt jump shot from 21 ft,,6,7
26,1,7:37.0,,Defensive rebound by R. Rondo,6,7
27,1,7:20.0,,D. Cousins misses 2-pt jump shot from 21 ft,6,7
28,1,7:19.0,Defensive rebound by K. Porziņģis,,6,7
29,1,7:12.0,A. Afflalo misses 3-pt jump shot from 24 ft,,6,7
30,1,7:11.0,,Defensive rebound by R. Rondo,6,7
31,1,7:05.0,,Shooting foul by K. Porziņģis (drawn by O. Casspi),6,7
32,1,7:05.0,,O. Casspi misses free throw 1 of 2,6,7
33,1,7:05.0,,Offensive rebound by Team,6,7
34,1,7:05.0,New York full timeout,,6,7
35,1,7:05.0,,O. Casspi misses free throw 2 of 2,6,7
36,1,7:03.0,Defensive rebound by R. Lopez,,6,7
37,1,6:48.0,C. Anthony misses 2-pt jump shot from 3 ft (block by R. Gay),,6,7
38,1,6:45.0,Offensive rebound by C. Anthony,,6,7
39,1,6:44.0,C. Anthony misses 2-pt layup from 1 ft,,6,7
40,1,6:42.0,,Defensive rebound by O. Casspi,6,7
41,1,6:34.0,,R. Gay misses 3-pt jump shot from 24 ft,6,7
42,1,6:33.0,Defensive rebound by K. Porziņģis,,6,7
43,1,6:24.0,J. Calderón makes 2-pt layup from 2 ft,,8,7
44,1,6:01.0,,O. Casspi makes 2-pt layup from 1 ft (assist by R. Gay),8,9
45,1,5:39.0,A. Afflalo makes 2-pt jump shot from 10 ft (assist by J. Calderón),,10,9
46,1,5:21.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. Rondo),10,11
47,1,5:06.0,J. Calderón misses 3-pt jump shot from 24 ft,,10,11
48,1,5:06.0,,Defensive rebound by O. Casspi,10,11
49,1,4:59.0,,B. McLemore misses 3-pt jump shot from 25 ft,10,11
50,1,4:59.0,Defensive rebound by C. Anthony,,10,11
51,1,4:40.0,A. Afflalo makes 2-pt jump shot from 7 ft,,12,11
52,1,4:28.0,,O. Casspi misses 3-pt jump shot from 24 ft,12,11
53,1,4:28.0,Defensive rebound by C. Anthony,,12,11
54,1,4:22.0,Personal foul by O. Casspi (drawn by K. Porziņģis),,12,11
