,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:41.0,,D. Rose makes 2-pt jump shot from 19 ft,0,2
1,1,11:30.0,,Violation by P. Gasol (kicked ball),0,2
2,1,11:26.0,J. Teague misses 2-pt jump shot from 14 ft,,0,2
3,1,11:25.0,,Defensive rebound by P. Gasol,0,2
4,1,11:12.0,,T. Gibson misses 2-pt hook shot from 3 ft,0,2
5,1,11:11.0,,Offensive rebound by P. Gasol,0,2
6,1,11:11.0,,P. Gasol misses 2-pt layup at rim,0,2
7,1,11:10.0,Defensive rebound by P. Millsap,,0,2
8,1,10:58.0,K. Bazemore misses 2-pt layup from 1 ft (block by T. Gibson),,0,2
9,1,10:56.0,,Defensive rebound by T. Gibson,0,2
10,1,10:48.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),0,4
11,1,10:34.0,A. Horford misses 2-pt jump shot from 13 ft,,0,4
12,1,10:33.0,,Defensive rebound by T. Gibson,0,4
13,1,10:23.0,,Shooting foul by J. Teague (drawn by P. Gasol),0,4
14,1,10:23.0,,P. Gasol makes free throw 1 of 2,0,5
15,1,10:23.0,,P. Gasol makes free throw 2 of 2,0,6
16,1,10:04.0,K. Korver misses 3-pt jump shot from 23 ft,,0,6
17,1,10:02.0,,Defensive rebound by M. Dunleavy,0,6
18,1,9:53.0,,P. Gasol makes 2-pt jump shot from 23 ft (assist by D. Rose),0,8
19,1,9:32.0,P. Millsap misses 3-pt jump shot from 23 ft,,0,8
20,1,9:30.0,,Defensive rebound by J. Butler,0,8
21,1,9:11.0,,D. Rose misses 3-pt jump shot from 24 ft,0,8
22,1,9:10.0,Defensive rebound by A. Horford,,0,8
23,1,9:00.0,J. Teague makes 2-pt jump shot from 13 ft (assist by A. Horford),,2,8
24,1,8:42.0,,T. Gibson makes 2-pt hook shot from 1 ft,2,10
25,1,8:30.0,Shooting foul by P. Gasol (drawn by A. Horford),,2,10
26,1,8:30.0,A. Horford misses free throw 1 of 2,,2,10
27,1,8:30.0,Offensive rebound by Team,,2,10
28,1,8:30.0,A. Horford makes free throw 2 of 2,,3,10
29,1,8:16.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Butler),3,12
30,1,8:14.0,Atlanta full timeout,,3,12
31,1,7:54.0,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),,6,12
32,1,7:40.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by D. Rose),6,14
33,1,7:26.0,J. Teague makes 2-pt layup from 2 ft,,8,14
34,1,7:13.0,,D. Rose misses 2-pt layup from 2 ft,8,14
35,1,7:12.0,Defensive rebound by J. Teague,,8,14
36,1,7:03.0,K. Bazemore misses 3-pt jump shot from 24 ft,,8,14
37,1,7:00.0,Offensive rebound by A. Horford,,8,14
38,1,6:59.0,K. Korver makes 3-pt jump shot from 22 ft (assist by A. Horford),,11,14
39,1,6:48.0,,P. Gasol misses 2-pt jump shot from 21 ft,11,14
40,1,6:48.0,Defensive rebound by Team,,11,14
41,1,6:48.0,,Loose ball foul by T. Gibson,11,14
42,1,6:32.0,A. Horford misses 2-pt jump shot from 9 ft,,11,14
43,1,6:31.0,,Defensive rebound by D. Rose,11,14
44,1,6:23.0,,Turnover by M. Dunleavy (lost ball),11,14
45,1,6:23.0,T. Sefolosha enters the game for K. Bazemore,,11,14
46,1,6:13.0,A. Horford misses 2-pt layup from 1 ft,,11,14
47,1,6:12.0,Offensive rebound by A. Horford,,11,14
48,1,6:08.0,K. Korver misses 2-pt layup from 1 ft,,11,14
49,1,6:06.0,,Defensive rebound by P. Gasol,11,14
50,1,5:58.0,,Turnover by P. Gasol (bad pass; steal by P. Millsap),11,14
51,1,5:53.0,A. Horford misses 2-pt layup from 2 ft,,11,14
52,1,5:52.0,,Defensive rebound by P. Gasol,11,14
53,1,5:45.0,,J. Butler misses 3-pt jump shot from 24 ft,11,14
54,1,5:44.0,Defensive rebound by A. Horford,,11,14
55,1,5:36.0,A. Horford makes 2-pt dunk at rim (assist by J. Teague),,13,14
56,1,5:34.0,,Chicago full timeout,13,14
57,1,5:34.0,,D. McDermott enters the game for M. Dunleavy,13,14
58,1,5:34.0,T. Hardaway enters the game for A. Horford,,13,14
59,1,5:34.0,K. Humphries enters the game for K. Korver,,13,14
60,1,5:25.0,,D. Rose makes 2-pt layup from 1 ft,13,16
61,1,5:12.0,J. Teague misses 2-pt jump shot from 5 ft (block by D. Rose),,13,16
62,1,5:11.0,,Defensive rebound by D. Rose,13,16
63,1,4:56.0,,T. Gibson makes 2-pt jump shot from 7 ft,13,18
64,1,4:41.0,K. Humphries makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,16,18
65,1,4:31.0,,Personal foul by K. Humphries,16,18
66,1,4:31.0,,N. Mirotić enters the game for T. Gibson,16,18
67,1,4:31.0,D. Schröder enters the game for J. Teague,,16,18
68,1,4:25.0,,J. Butler makes 2-pt layup from 1 ft (assist by P. Gasol),16,20
69,1,4:09.0,Turnover by T. Hardaway (bad pass; steal by D. Rose),,16,20
70,1,4:04.0,,D. Rose misses 2-pt layup from 1 ft,16,20
71,1,4:03.0,Defensive rebound by T. Sefolosha,,16,20
72,1,3:58.0,Shooting foul by J. Butler (drawn by K. Humphries),,16,20
73,1,3:58.0,K. Humphries makes free throw 1 of 2,,17,20
74,1,3:58.0,K. Humphries makes free throw 2 of 2,,18,20
75,1,3:41.0,,N. Mirotić misses 2-pt jump shot from 3 ft (block by P. Millsap),18,20
76,1,3:39.0,,Offensive rebound by Team,18,20
77,1,3:34.0,,P. Gasol makes 2-pt layup from 2 ft (assist by N. Mirotić),18,22
78,1,3:26.0,K. Humphries misses 3-pt jump shot from 24 ft,,18,22
79,1,3:25.0,Offensive rebound by P. Millsap,,18,22
80,1,3:18.0,P. Millsap misses 2-pt jump shot from 7 ft,,18,22
81,1,3:17.0,,Defensive rebound by P. Gasol,18,22
