,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. Rondo),0,3
1,1,11:31.0,Offensive foul by L. Allen (drawn by D. Cousins),,0,3
2,1,11:31.0,Turnover by L. Allen (offensive foul),,0,3
3,1,11:13.0,,D. Cousins misses 2-pt jump shot from 7 ft,0,3
4,1,11:12.0,Defensive rebound by P. George,,0,3
5,1,10:57.0,P. George misses 2-pt jump shot from 13 ft,,0,3
6,1,10:56.0,Offensive rebound by J. Hill,,0,3
7,1,10:53.0,J. Hill misses 2-pt jump shot from 6 ft,,0,3
8,1,10:52.0,,Defensive rebound by D. Cousins,0,3
9,1,10:49.0,,Turnover by B. McLemore (step out of bounds),0,3
10,1,10:27.0,L. Allen misses 2-pt jump shot from 17 ft,,0,3
11,1,10:26.0,,Defensive rebound by R. Rondo,0,3
12,1,10:20.0,,Shooting foul by L. Allen (drawn by D. Cousins),0,3
13,1,10:20.0,,D. Cousins makes free throw 1 of 2,0,4
14,1,10:20.0,M. Turner enters the game for L. Allen,,0,4
15,1,10:20.0,,D. Cousins makes free throw 2 of 2,0,5
16,1,9:56.0,J. Hill misses 2-pt jump shot from 19 ft (block by B. McLemore),,0,5
17,1,9:55.0,Offensive rebound by J. Hill,,0,5
18,1,9:55.0,Turnover by Team (shot clock),,0,5
19,1,9:46.0,,Turnover by D. Cousins (bad pass; steal by M. Turner),0,5
20,1,9:42.0,G. Robinson misses 2-pt jump shot from 7 ft (block by W. Cauley-Stein),,0,5
21,1,9:40.0,,Defensive rebound by B. McLemore,0,5
22,1,9:36.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by R. Rondo),0,7
23,1,9:35.0,Indiana full timeout,,0,7
24,1,9:15.0,M. Turner makes 2-pt jump shot from 7 ft (assist by M. Ellis),,2,7
25,1,9:08.0,,Shooting foul by M. Turner (drawn by D. Cousins),2,7
26,1,9:08.0,,D. Cousins makes free throw 1 of 2,2,8
27,1,9:08.0,,D. Cousins makes free throw 2 of 2,2,9
28,1,8:57.0,M. Ellis makes 2-pt jump shot from 21 ft,,4,9
29,1,8:41.0,,O. Casspi misses 3-pt jump shot from 27 ft,4,9
30,1,8:40.0,,Offensive rebound by D. Cousins,4,9
31,1,8:40.0,,Turnover by D. Cousins (bad pass),4,9
32,1,8:32.0,Turnover by P. George (bad pass; steal by W. Cauley-Stein),,4,9
33,1,8:25.0,,R. Rondo misses 2-pt layup from 4 ft (block by M. Turner),4,9
34,1,8:24.0,Defensive rebound by G. Robinson,,4,9
35,1,8:22.0,Turnover by G. Robinson (bad pass; steal by D. Cousins),,4,9
36,1,8:18.0,,D. Cousins makes 2-pt dunk at rim (assist by O. Casspi),4,11
37,1,7:52.0,M. Turner misses 2-pt jump shot from 20 ft,,4,11
38,1,7:52.0,,Defensive rebound by D. Cousins,4,11
39,1,7:42.0,,O. Casspi makes 2-pt jump shot from 4 ft (assist by R. Rondo),4,13
40,1,7:25.0,M. Ellis misses 2-pt jump shot from 21 ft,,4,13
41,1,7:24.0,,Defensive rebound by R. Rondo,4,13
42,1,7:17.0,,B. McLemore misses 3-pt jump shot from 25 ft,4,13
43,1,7:16.0,Defensive rebound by G. Robinson,,4,13
44,1,7:07.0,Shooting foul by D. Cousins (drawn by P. George),,4,13
45,1,7:07.0,P. George makes free throw 1 of 2,,5,13
46,1,7:07.0,G. Hill enters the game for G. Robinson,,5,13
47,1,7:07.0,P. George makes free throw 2 of 2,,6,13
48,1,6:49.0,,D. Cousins makes 2-pt jump shot from 4 ft,6,15
49,1,6:34.0,M. Turner misses 2-pt jump shot from 12 ft,,6,15
50,1,6:33.0,,Defensive rebound by D. Cousins,6,15
51,1,6:26.0,,R. Rondo makes 2-pt layup from 3 ft,6,17
52,1,6:13.0,J. Hill misses 2-pt jump shot from 20 ft,,6,17
53,1,6:12.0,,Defensive rebound by R. Rondo,6,17
54,1,6:05.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),6,20
55,1,5:46.0,J. Hill makes 2-pt jump shot from 6 ft,,8,20
56,1,5:30.0,,D. Cousins makes 2-pt layup from 3 ft,8,22
57,1,5:26.0,,K. Koufos enters the game for D. Cousins,8,22
58,1,5:10.0,M. Ellis makes 3-pt jump shot from 23 ft (assist by G. Hill),,11,22
59,1,4:47.0,,O. Casspi misses 3-pt jump shot from 24 ft,11,22
60,1,4:46.0,Defensive rebound by M. Turner,,11,22
61,1,4:38.0,Turnover by J. Hill (bad pass; steal by B. McLemore),,11,22
62,1,4:33.0,,B. McLemore misses 2-pt layup from 4 ft,11,22
63,1,4:32.0,,Offensive rebound by R. Rondo,11,22
64,1,4:32.0,,R. Rondo makes 2-pt layup from 2 ft,11,24
65,1,4:32.0,Indiana full timeout,,11,24
66,1,4:32.0,,M. Belinelli enters the game for B. McLemore,11,24
67,1,4:16.0,Personal foul by R. Rondo (drawn by J. Hill),,11,24
68,1,4:02.0,J. Hill makes 2-pt hook shot from 6 ft,,13,24
69,1,3:43.0,Violation by G. Hill (kicked ball),,13,24
70,1,3:36.0,,M. Belinelli misses 2-pt jump shot from 21 ft,13,24
71,1,3:35.0,Defensive rebound by Team,,13,24
72,1,3:23.0,M. Ellis makes 2-pt jump shot from 20 ft,,15,24
73,1,3:03.0,,K. Koufos misses 2-pt jump shot from 7 ft,15,24
74,1,3:02.0,,Offensive rebound by O. Casspi,15,24
75,1,3:02.0,,O. Casspi makes 2-pt layup from 1 ft,15,26
76,1,2:50.0,P. George makes 3-pt jump shot from 24 ft (assist by J. Hill),,18,26
77,1,2:50.0,,Sacramento full timeout,18,26
78,1,2:50.0,,J. Anderson enters the game for O. Casspi,18,26
79,1,2:25.0,,K. Koufos makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),18,28
80,1,1:58.0,M. Ellis makes 3-pt jump shot from 23 ft (assist by G. Hill),,21,28
81,1,1:36.0,,Turnover by K. Koufos (bad pass; steal by G. Hill),21,28
82,1,1:35.0,Personal foul by K. Koufos (drawn by G. Hill),,21,28
83,1,1:35.0,J. Young enters the game for M. Ellis,,21,28
84,1,1:35.0,,D. Collison enters the game for W. Cauley-Stein,21,28
85,1,1:35.0,,D. Cousins enters the game for R. Rondo,21,28
86,1,1:20.0,P. George makes 2-pt jump shot from 9 ft,,23,28
87,1,1:01.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by K. Koufos),23,31
88,1,0:46.0,M. Turner misses 2-pt jump shot from 19 ft,,23,31
89,1,0:45.0,Offensive rebound by J. Hill,,23,31
90,1,0:45.0,J. Hill makes 2-pt layup from 1 ft,,25,31
91,1,0:33.0,,K. Koufos misses 2-pt jump shot from 8 ft,25,31
92,1,0:32.0,Defensive rebound by M. Turner,,25,31
93,1,0:18.0,J. Hill misses 2-pt hook shot from 7 ft,,25,31
94,1,0:17.0,,Defensive rebound by D. Cousins,25,31
95,1,0:06.0,,Personal foul by J. Young,25,31
96,1,0:06.0,C. Miles enters the game for P. George,,25,31
97,1,0:00.0,,D. Cousins misses 2-pt jump shot from 19 ft,25,31
98,1,0:00.0,,Offensive rebound by Team,25,31
99,2,11:46.0,M. Turner misses 2-pt jump shot from 22 ft,,25,31
100,2,11:46.0,,Defensive rebound by J. Anderson,25,31
101,2,11:31.0,,D. Cousins misses 2-pt layup from 4 ft,25,31
102,2,11:31.0,Defensive rebound by G. Hill,,25,31
103,2,11:12.0,M. Turner makes 2-pt layup from 3 ft (assist by G. Hill),,27,31
104,2,11:01.0,,Personal foul by G. Hill (drawn by M. Belinelli),27,31
105,2,10:48.0,,D. Cousins makes 2-pt layup from 2 ft,27,33
106,2,10:38.0,Personal foul by K. Koufos (drawn by G. Hill),,27,33
107,2,10:34.0,J. Young misses 3-pt jump shot from 24 ft,,27,33
108,2,10:33.0,,Defensive rebound by D. Cousins,27,33
109,2,10:25.0,,Turnover by D. Collison (bad pass; steal by G. Hill),27,33
110,2,10:06.0,C. Miles misses 2-pt jump shot from 9 ft,,27,33
111,2,10:04.0,,Defensive rebound by Team,27,33
112,2,9:51.0,,Turnover by M. Belinelli (offensive foul),27,33
113,2,9:51.0,Offensive charge foul by M. Belinelli (drawn by C. Miles),,27,33
114,2,9:51.0,,W. Cauley-Stein enters the game for K. Koufos,27,33
115,2,9:38.0,C. Miles misses 2-pt jump shot from 20 ft,,27,33
116,2,9:37.0,,Defensive rebound by W. Cauley-Stein,27,33
117,2,9:30.0,,D. Collison misses 2-pt jump shot from 6 ft (block by M. Turner),27,33
118,2,9:29.0,,Offensive rebound by W. Cauley-Stein,27,33
119,2,9:23.0,,D. Cousins makes 2-pt jump shot from 4 ft,27,35
120,2,9:08.0,M. Turner misses 2-pt jump shot from 19 ft,,27,35
121,2,9:08.0,Offensive rebound by L. Allen,,27,35
122,2,9:06.0,L. Allen makes 2-pt jump shot from 5 ft,,29,35
123,2,8:50.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by L. Allen),29,35
124,2,8:50.0,,Offensive rebound by Team,29,35
125,2,8:50.0,Official timeout,,29,35
126,2,8:46.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by D. Collison),29,37
127,2,8:29.0,Personal foul by J. Anderson (drawn by G. Hill),,29,37
128,2,8:21.0,J. Young makes 2-pt jump shot from 16 ft,,31,37
129,2,8:07.0,,M. Belinelli misses 2-pt jump shot from 19 ft,31,37
130,2,8:06.0,Defensive rebound by M. Turner,,31,37
131,2,7:58.0,C. Miles misses 3-pt jump shot from 27 ft,,31,37
132,2,7:58.0,,Defensive rebound by W. Cauley-Stein,31,37
133,2,7:43.0,,D. Cousins misses 2-pt jump shot from 10 ft,31,37
134,2,7:42.0,,Offensive rebound by W. Cauley-Stein,31,37
135,2,7:31.0,,D. Cousins misses 2-pt jump shot from 7 ft,31,37
136,2,7:29.0,Defensive rebound by L. Allen,,31,37
137,2,7:26.0,Turnover by J. Young (bad pass),,31,37
138,2,7:26.0,,R. Rondo enters the game for J. Anderson,31,37
139,2,7:06.0,,D. Collison misses 2-pt jump shot from 6 ft (block by M. Turner),31,37
140,2,7:04.0,Defensive rebound by L. Allen,,31,37
141,2,6:57.0,C. Miles misses 2-pt jump shot from 10 ft,,31,37
142,2,6:56.0,,Defensive rebound by D. Cousins,31,37
143,2,6:50.0,,D. Cousins makes 2-pt layup from 3 ft,31,39
144,2,6:30.0,J. Young misses 3-pt jump shot from 23 ft,,31,39
145,2,6:30.0,,Defensive rebound by R. Rondo,31,39
146,2,6:17.0,,Turnover by M. Belinelli (lost ball),31,39
147,2,6:03.0,M. Turner makes 2-pt jump shot from 21 ft (assist by J. Young),,33,39
148,2,5:45.0,,D. Cousins makes 2-pt dunk at rim,33,41
149,2,5:44.0,Indiana full timeout,,33,41
150,2,5:44.0,M. Ellis enters the game for G. Hill,,33,41
151,2,5:44.0,,O. Casspi enters the game for M. Belinelli,33,41
152,2,5:30.0,C. Miles misses 3-pt jump shot from 25 ft,,33,41
153,2,5:29.0,,Defensive rebound by D. Cousins,33,41
154,2,5:14.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by R. Rondo),33,43
155,2,4:51.0,M. Turner makes 2-pt hook shot from 7 ft,,35,43
156,2,4:31.0,,D. Cousins makes 2-pt layup from 2 ft (assist by R. Rondo),35,45
157,2,4:31.0,,Shooting foul by M. Turner (drawn by D. Cousins),35,45
158,2,4:31.0,J. Hill enters the game for M. Turner,,35,45
159,2,4:31.0,,B. McLemore enters the game for D. Collison,35,45
160,2,4:31.0,P. George enters the game for C. Miles,,35,45
161,2,4:31.0,,D. Cousins makes free throw 1 of 1,35,46
162,2,4:18.0,J. Young misses 2-pt jump shot from 12 ft,,35,46
163,2,4:17.0,,Defensive rebound by W. Cauley-Stein,35,46
164,2,4:07.0,Offensive charge foul by D. Cousins (drawn by J. Young),,35,46
165,2,4:07.0,,Turnover by D. Cousins (offensive foul),35,46
166,2,3:56.0,M. Ellis makes 2-pt jump shot from 22 ft,,37,46
167,2,3:46.0,,D. Cousins misses 2-pt jump shot from 9 ft (block by P. George),37,46
168,2,3:46.0,,Offensive rebound by Team,37,46
169,2,3:32.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,37,46
170,2,3:31.0,Defensive rebound by J. Hill,,37,46
171,2,3:18.0,J. Young misses 2-pt jump shot from 18 ft,,37,46
172,2,3:17.0,Offensive rebound by L. Allen,,37,46
173,2,3:11.0,P. George misses 3-pt jump shot from 24 ft,,37,46
174,2,3:10.0,,Defensive rebound by O. Casspi,37,46
175,2,2:55.0,,D. Cousins misses 3-pt jump shot from 25 ft,37,46
176,2,2:55.0,,Offensive rebound by R. Rondo,37,46
177,2,2:55.0,,Shooting foul by M. Ellis (drawn by R. Rondo),37,46
178,2,2:55.0,,Sacramento full timeout,37,46
179,2,2:55.0,G. Hill enters the game for J. Young,,37,46
180,2,2:55.0,,R. Rondo makes free throw 1 of 2,37,47
181,2,2:55.0,,R. Rondo makes free throw 2 of 2,37,48
182,2,2:39.0,Turnover by P. George (bad pass; steal by R. Rondo),,37,48
183,2,2:34.0,,Turnover by O. Casspi (lost ball; steal by M. Ellis),37,48
184,2,2:26.0,P. George makes 3-pt jump shot from 24 ft (assist by M. Ellis),,40,48
185,2,2:08.0,,Personal foul by J. Hill (drawn by D. Cousins),40,48
186,2,1:59.0,,Turnover by R. Rondo (traveling),40,48
187,2,1:49.0,L. Allen makes 2-pt layup from 1 ft (assist by M. Ellis),,42,48
188,2,1:28.0,,O. Casspi misses 3-pt jump shot from 26 ft,42,48
189,2,1:26.0,,Offensive rebound by B. McLemore,42,48
190,2,1:26.0,,B. McLemore makes 2-pt layup from 2 ft,42,50
191,2,1:00.0,G. Hill misses 2-pt jump shot from 10 ft,,42,50
192,2,1:00.0,Offensive rebound by L. Allen,,42,50
193,2,0:46.0,Shooting foul by W. Cauley-Stein (drawn by J. Hill),,42,50
194,2,0:46.0,J. Hill misses free throw 1 of 2,,42,50
195,2,0:46.0,Offensive rebound by Team,,42,50
196,2,0:46.0,,K. Koufos enters the game for D. Cousins,42,50
197,2,0:46.0,J. Hill makes free throw 2 of 2,,43,50
198,2,0:33.0,,B. McLemore misses 3-pt jump shot from 24 ft,43,50
199,2,0:32.0,Defensive rebound by M. Ellis,,43,50
200,2,0:28.0,G. Hill makes 2-pt dunk at rim (assist by M. Ellis),,45,50
201,2,0:02.0,,R. Rondo misses 2-pt jump shot from 11 ft,45,50
202,2,0:01.0,Defensive rebound by J. Hill,,45,50
203,3,11:37.0,P. George misses 2-pt jump shot from 19 ft,,45,50
204,3,11:36.0,,Defensive rebound by D. Cousins,45,50
205,3,11:27.0,,B. McLemore misses 2-pt jump shot from 7 ft (block by P. George),45,50
206,3,11:25.0,,Offensive rebound by W. Cauley-Stein,45,50
207,3,11:25.0,,W. Cauley-Stein makes 2-pt dunk at rim,45,52
208,3,11:25.0,,Technical foul by Team,45,52
209,3,11:25.0,P. George makes technical free throw,,46,52
