,QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
0,1,11:42.0,,P. Beverley makes 3-pt jump shot from 22 ft (assist by J. Harden),0,3
1,1,11:22.0,N. Powell misses 2-pt layup from 1 ft,,0,3
2,1,11:21.0,Offensive rebound by J. Valančiūnas,,0,3
3,1,11:21.0,J. Valančiūnas misses 2-pt layup from 1 ft,,0,3
4,1,11:20.0,,Defensive rebound by D. Howard,0,3
5,1,11:14.0,,J. Harden makes 2-pt layup from 2 ft (assist by P. Beverley),0,5
6,1,10:51.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,0,5
7,1,10:50.0,,Defensive rebound by Team,0,5
8,1,10:38.0,,D. Motiejūnas makes 2-pt layup from 1 ft (assist by J. Harden),0,7
9,1,10:19.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,3,7
10,1,10:04.0,,D. Motiejūnas makes 2-pt jump shot from 11 ft (assist by J. Harden),3,9
11,1,9:47.0,L. Scola misses 3-pt jump shot from 25 ft,,3,9
12,1,9:46.0,,Defensive rebound by P. Beverley,3,9
13,1,9:40.0,,Personal foul by D. DeRozan,3,9
14,1,9:31.0,,J. Harden makes 2-pt jump shot from 12 ft,3,11
15,1,9:25.0,Toronto full timeout,,3,11
16,1,9:07.0,N. Powell makes 2-pt dunk at rim (assist by D. DeRozan),,5,11
17,1,8:48.0,,D. Motiejūnas misses 2-pt hook shot from 5 ft,5,11
18,1,8:47.0,,Offensive rebound by D. Howard,5,11
19,1,8:47.0,,D. Howard misses 2-pt layup from 1 ft,5,11
20,1,8:46.0,,Offensive rebound by D. Howard,5,11
21,1,8:42.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by D. Motiejūnas),5,14
22,1,8:19.0,N. Powell makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,8,14
23,1,8:00.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),8,17
24,1,7:45.0,Personal foul by P. Beverley,,8,17
25,1,7:45.0,B. Biyombo enters the game for J. Valančiūnas,,8,17
26,1,7:32.0,D. DeRozan misses 2-pt jump shot from 20 ft,,8,17
27,1,7:32.0,Offensive rebound by Team,,8,17
28,1,7:32.0,Turnover by Team (shot clock),,8,17
29,1,7:10.0,,J. Harden misses 2-pt jump shot from 15 ft,8,17
30,1,7:09.0,Defensive rebound by D. DeRozan,,8,17
31,1,6:56.0,K. Lowry misses 3-pt jump shot from 24 ft,,8,17
32,1,6:56.0,,Defensive rebound by D. Motiejūnas,8,17
33,1,6:48.0,,P. Beverley misses 3-pt jump shot from 22 ft,8,17
34,1,6:47.0,Defensive rebound by B. Biyombo,,8,17
35,1,6:41.0,K. Lowry misses 2-pt jump shot from 6 ft,,8,17
36,1,6:39.0,Offensive rebound by L. Scola,,8,17
37,1,6:39.0,L. Scola misses 2-pt layup from 2 ft,,8,17
38,1,6:39.0,Offensive rebound by Team,,8,17
39,1,6:39.0,,M. Beasley enters the game for P. Beverley,8,17
40,1,6:39.0,,J. Terry enters the game for D. Motiejūnas,8,17
41,1,6:23.0,N. Powell misses 3-pt jump shot from 24 ft,,8,17
42,1,6:22.0,,Defensive rebound by Team,8,17
43,1,6:22.0,P. Patterson enters the game for L. Scola,,8,17
