,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
0,1,11:37.0,,T. Ariza misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,,Offensive rebound by C. Brewer,0,0
2,1,11:34.0,,C. Brewer misses 2-pt layup from 1 ft,0,0
3,1,11:26.0,Defensive rebound by M. Carter-Williams,,0,0
4,1,11:24.0,K. Middleton misses 2-pt jump shot from 19 ft,,0,0
5,1,11:23.0,,Defensive rebound by C. Capela,0,0
6,1,11:10.0,,J. Harden makes 2-pt layup from 2 ft,0,2
7,1,10:55.0,G. Monroe misses 2-pt jump shot from 13 ft,,0,2
8,1,10:54.0,,Defensive rebound by T. Ariza,0,2
9,1,10:42.0,,J. Terry misses 3-pt jump shot from 22 ft,0,2
10,1,10:41.0,Defensive rebound by G. Antetokounmpo,,0,2
11,1,10:36.0,Turnover by G. Antetokounmpo (lost ball),,0,2
12,1,10:32.0,,Personal foul by M. Carter-Williams (drawn by J. Terry),0,2
13,1,10:17.0,,Turnover by C. Brewer (lost ball; steal by J. Parker),0,2
14,1,10:09.0,Shooting foul by C. Brewer (drawn by J. Parker),,0,2
15,1,10:09.0,J. Parker misses free throw 1 of 2,,0,2
16,1,10:09.0,Offensive rebound by Team,,0,2
17,1,10:09.0,J. Parker makes free throw 2 of 2,,1,2
18,1,9:52.0,,J. Harden misses 2-pt jump shot from 14 ft,1,2
19,1,9:51.0,Defensive rebound by J. Parker,,1,2
20,1,9:42.0,Turnover by G. Monroe (bad pass; steal by J. Terry),,1,2
21,1,9:37.0,,C. Brewer misses 2-pt layup from 3 ft (block by G. Monroe),1,2
22,1,9:36.0,,Offensive rebound by C. Capela,1,2
23,1,9:35.0,,C. Capela makes 2-pt layup from 2 ft,1,4
24,1,9:04.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,3,4
25,1,8:59.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Terry),3,7
26,1,8:45.0,G. Monroe makes 2-pt dunk at rim (assist by K. Middleton),,5,7
27,1,8:33.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),5,10
28,1,8:21.0,Personal foul by C. Capela (drawn by M. Carter-Williams),,5,10
29,1,8:21.0,J. Bayless enters the game for J. Parker,,5,10
30,1,8:19.0,Turnover by K. Middleton (bad pass; steal by C. Capela),,5,10
31,1,8:17.0,,Shooting foul by G. Monroe (drawn by C. Capela),5,10
32,1,8:17.0,,C. Capela misses free throw 1 of 2,5,10
33,1,8:17.0,,Offensive rebound by Team,5,10
34,1,8:17.0,,C. Capela misses free throw 2 of 2,5,10
35,1,8:17.0,Defensive rebound by G. Monroe,,5,10
36,1,7:54.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by C. Capela),,5,10
37,1,7:53.0,,Defensive rebound by J. Terry,5,10
38,1,7:48.0,,J. Harden makes 3-pt jump shot from 25 ft,5,13
39,1,7:46.0,Milwaukee full timeout,,5,13
40,1,7:33.0,M. Carter-Williams misses 2-pt jump shot from 20 ft,,5,13
41,1,7:33.0,Offensive rebound by G. Monroe,,5,13
42,1,7:31.0,G. Monroe makes 2-pt dunk at rim,,7,13
43,1,7:18.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),7,15
44,1,7:00.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,,9,15
45,1,6:40.0,,Shooting foul by J. Bayless (drawn by C. Brewer),9,15
46,1,6:40.0,,C. Brewer makes free throw 1 of 2,9,16
47,1,6:40.0,,T. Lawson enters the game for J. Terry,9,16
48,1,6:40.0,,C. Brewer makes free throw 2 of 2,9,17
49,1,6:24.0,G. Monroe makes 2-pt layup from 1 ft (assist by J. Bayless),,11,17
50,1,6:09.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by T. Lawson),11,20
51,1,5:52.0,G. Monroe misses 2-pt hook shot from 5 ft,,11,20
52,1,5:51.0,,Defensive rebound by T. Lawson,11,20
53,1,5:48.0,,Shooting block foul by G. Monroe (drawn by J. Harden),11,20
54,1,5:48.0,,J. Harden makes free throw 1 of 2,11,21
55,1,5:48.0,,T. Jones enters the game for C. Brewer,11,21
56,1,5:48.0,J. Henson enters the game for G. Monroe,,11,21
57,1,5:48.0,,J. Harden makes free throw 2 of 2,11,22
58,1,5:41.0,Personal foul by T. Lawson (drawn by J. Bayless),,11,22
59,1,5:31.0,J. Bayless misses 3-pt jump shot from 24 ft,,11,22
60,1,5:30.0,,Defensive rebound by C. Capela,11,22
61,1,5:15.0,,T. Jones misses 2-pt layup from 3 ft (block by K. Middleton),11,22
62,1,5:14.0,,Offensive rebound by T. Jones,11,22
63,1,5:12.0,,T. Jones misses 2-pt jump shot from 3 ft (block by J. Henson),11,22
64,1,5:11.0,Defensive rebound by J. Henson,,11,22
65,1,5:07.0,M. Carter-Williams makes 2-pt dunk at rim (assist by K. Middleton),,13,22
66,1,4:55.0,,J. Harden misses 3-pt jump shot from 26 ft,13,22
67,1,4:53.0,,Offensive rebound by C. Capela,13,22
68,1,4:50.0,,J. Harden makes 2-pt layup from 3 ft (assist by C. Capela),13,24
69,1,4:33.0,J. Henson makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,15,24
70,1,4:21.0,,J. Harden misses 2-pt layup from 2 ft,15,24
71,1,4:20.0,Defensive rebound by K. Middleton,,15,24
72,1,4:15.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Carter-Williams),,17,24
73,1,4:15.0,,Houston full timeout,17,24
74,1,4:15.0,J. O'Bryant enters the game for M. Carter-Williams,,17,24
75,1,4:15.0,,J. Smith enters the game for C. Capela,17,24
76,1,4:04.0,,Shooting foul by G. Antetokounmpo (drawn by J. Harden),17,24
77,1,4:04.0,,J. Harden makes free throw 1 of 2,17,25
78,1,4:04.0,,J. Harden makes free throw 2 of 2,17,26
79,1,3:52.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,17,26
80,1,3:51.0,,Defensive rebound by T. Jones,17,26
81,1,3:42.0,,T. Jones misses 3-pt jump shot from 25 ft,17,26
82,1,3:41.0,Defensive rebound by J. Henson,,17,26
