,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by E. Gordon),0,2
1,1,11:23.0,J. Crowder makes 2-pt jump shot from 20 ft (assist by J. Sullinger),,2,2
2,1,11:00.0,,A. Davis makes 2-pt jump shot from 20 ft,2,4
3,1,10:45.0,Turnover by J. Crowder (bad pass; steal by Ö. Aşık),,2,4
4,1,10:39.0,,A. Davis misses 2-pt layup from 1 ft,2,4
5,1,10:38.0,Defensive rebound by J. Sullinger,,2,4
6,1,10:32.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),,5,4
7,1,10:22.0,,Turnover by T. Evans (lost ball),5,4
8,1,10:08.0,J. Sullinger misses 2-pt jump shot from 20 ft,,5,4
9,1,10:07.0,,Defensive rebound by E. Gordon,5,4
10,1,9:59.0,,A. Davis misses 3-pt jump shot from 25 ft,5,4
11,1,9:59.0,Defensive rebound by Team,,5,4
12,1,9:38.0,A. Johnson misses 3-pt jump shot from 22 ft,,5,4
13,1,9:37.0,,Defensive rebound by Ö. Aşık,5,4
14,1,9:28.0,,T. Evans misses 2-pt layup from 1 ft (block by J. Crowder),5,4
15,1,9:28.0,,Offensive rebound by Team,5,4
16,1,9:24.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by A. Gee),5,6
17,1,9:11.0,I. Thomas makes 2-pt layup from 1 ft,,7,6
18,1,9:02.0,,E. Gordon misses 2-pt layup from 1 ft,7,6
19,1,9:01.0,Defensive rebound by J. Sullinger,,7,6
20,1,8:53.0,J. Sullinger misses 3-pt jump shot from 25 ft,,7,6
21,1,8:53.0,,Defensive rebound by A. Davis,7,6
22,1,8:35.0,,Shooting foul by J. Sullinger (drawn by Ö. Aşık),7,6
23,1,8:35.0,,Ö. Aşık misses free throw 1 of 2,7,6
24,1,8:35.0,,Offensive rebound by Team,7,6
25,1,8:35.0,,Ö. Aşık makes free throw 2 of 2,7,7
26,1,8:24.0,Turnover by J. Sullinger (bad pass; steal by A. Davis),,7,7
27,1,8:14.0,,A. Gee makes 3-pt jump shot from 23 ft (assist by T. Evans),7,10
28,1,7:59.0,I. Thomas makes 2-pt layup from 1 ft,,9,10
29,1,7:45.0,,A. Davis misses 2-pt jump shot from 17 ft,9,10
30,1,7:44.0,Defensive rebound by J. Sullinger,,9,10
31,1,7:35.0,J. Sullinger misses 2-pt jump shot from 3 ft (block by A. Davis),,9,10
32,1,7:33.0,Offensive rebound by J. Sullinger,,9,10
33,1,7:29.0,Shooting foul by A. Davis (drawn by J. Sullinger),,9,10
34,1,7:29.0,J. Sullinger makes free throw 1 of 2,,10,10
35,1,7:29.0,J. Sullinger makes free throw 2 of 2,,11,10
36,1,7:08.0,,E. Gordon misses 3-pt jump shot from 25 ft,11,10
37,1,7:05.0,Defensive rebound by A. Bradley,,11,10
38,1,6:55.0,J. Sullinger misses 2-pt jump shot from 16 ft,,11,10
39,1,6:54.0,,Defensive rebound by A. Davis,11,10
40,1,6:39.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by J. Crowder),11,10
41,1,6:38.0,Defensive rebound by J. Sullinger,,11,10
42,1,6:25.0,Shooting foul by A. Davis (drawn by A. Johnson),,11,10
43,1,6:25.0,A. Johnson makes free throw 1 of 2,,12,10
44,1,6:25.0,,R. Anderson enters the game for A. Davis,12,10
45,1,6:25.0,A. Johnson makes free throw 2 of 2,,13,10
46,1,6:18.0,,Turnover by E. Gordon (lost ball; steal by I. Thomas),13,10
47,1,6:18.0,Personal foul by E. Gordon (drawn by I. Thomas),,13,10
48,1,6:00.0,J. Crowder misses 3-pt jump shot from 24 ft,,13,10
49,1,5:59.0,,Defensive rebound by T. Evans,13,10
50,1,5:52.0,,New Orleans full timeout,13,10
51,1,5:52.0,T. Zeller enters the game for J. Sullinger,,13,10
52,1,5:52.0,,A. Ajinça enters the game for Ö. Aşık,13,10
53,1,5:52.0,,J. Holiday enters the game for A. Gee,13,10
54,1,5:39.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Holiday),13,13
55,1,5:22.0,T. Zeller makes 2-pt layup from 2 ft (assist by A. Johnson),,15,13
56,1,5:07.0,,R. Anderson misses 2-pt jump shot from 13 ft,15,13
57,1,5:06.0,Defensive rebound by I. Thomas,,15,13
58,1,5:01.0,Shooting foul by T. Evans (drawn by A. Johnson),,15,13
59,1,5:01.0,A. Johnson makes free throw 1 of 2,,16,13
60,1,5:01.0,A. Johnson misses free throw 2 of 2,,16,13
61,1,5:00.0,,Defensive rebound by E. Gordon,16,13
62,1,4:45.0,,A. Ajinça makes 2-pt dunk at rim (assist by T. Evans),16,15
63,1,4:27.0,J. Crowder misses 3-pt jump shot from 25 ft,,16,15
64,1,4:26.0,,Defensive rebound by A. Ajinça,16,15
65,1,4:17.0,,T. Evans misses 2-pt layup from 2 ft (block by A. Johnson),16,15
66,1,4:16.0,Defensive rebound by A. Bradley,,16,15
67,1,4:11.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Bradley),,19,15
