,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:36.0,J. Wall misses 2-pt jump shot from 22 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Sullinger,0,0
2,1,11:17.0,,J. Sullinger makes 2-pt hook shot from 8 ft (assist by A. Bradley),0,2
3,1,11:03.0,B. Beal makes 2-pt jump shot from 8 ft (assist by J. Wall),,2,2
4,1,10:42.0,,J. Sullinger misses 2-pt jump shot from 18 ft,2,2
5,1,10:41.0,,Offensive rebound by Team,2,2
6,1,10:35.0,,I. Thomas makes 2-pt jump shot from 13 ft (assist by A. Johnson),2,4
7,1,10:21.0,K. Humphries misses 2-pt layup from 2 ft,,2,4
8,1,10:20.0,,Defensive rebound by A. Johnson,2,4
9,1,10:05.0,,Turnover by A. Bradley (step out of bounds),2,4
10,1,9:52.0,Turnover by J. Wall (bad pass; steal by I. Thomas),,2,4
11,1,9:45.0,,A. Bradley makes 2-pt jump shot from 2 ft,2,6
12,1,9:34.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,4,6
13,1,9:25.0,,Shooting foul by O. Porter (drawn by J. Crowder),4,6
14,1,9:25.0,,J. Crowder makes free throw 1 of 2,4,7
15,1,9:25.0,,J. Crowder makes free throw 2 of 2,4,8
16,1,9:13.0,O. Porter misses 2-pt jump shot from 15 ft,,4,8
17,1,9:12.0,,Defensive rebound by A. Johnson,4,8
18,1,9:03.0,,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),4,10
19,1,8:51.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,6,10
20,1,8:36.0,,Turnover by I. Thomas (bad pass; steal by K. Humphries),6,10
21,1,8:28.0,O. Porter misses 3-pt jump shot from 23 ft,,6,10
22,1,8:27.0,Offensive rebound by M. Gortat,,6,10
23,1,8:21.0,Turnover by M. Gortat (bad pass; steal by A. Bradley),,6,10
24,1,8:18.0,,J. Crowder misses 2-pt layup from 1 ft,6,10
25,1,8:17.0,,Offensive rebound by Team,6,10
26,1,8:17.0,,Personal foul by O. Porter (drawn by A. Bradley),6,10
27,1,8:17.0,,A. Bradley makes free throw 1 of 2,6,11
28,1,8:17.0,G. Neal enters the game for O. Porter,,6,11
29,1,8:17.0,,A. Bradley makes free throw 2 of 2,6,12
30,1,8:07.0,Turnover by B. Beal (lost ball; steal by A. Bradley),,6,12
31,1,8:01.0,,Personal foul by B. Beal (drawn by A. Bradley),6,12
32,1,7:58.0,,I. Thomas misses 3-pt jump shot from 23 ft,6,12
33,1,7:58.0,Defensive rebound by G. Neal,,6,12
34,1,7:39.0,K. Humphries misses 2-pt jump shot from 9 ft (block by A. Johnson),,6,12
35,1,7:38.0,,Defensive rebound by I. Thomas,6,12
36,1,7:32.0,,A. Bradley misses 3-pt jump shot from 24 ft,6,12
37,1,7:31.0,,Offensive rebound by I. Thomas,6,12
38,1,7:22.0,,J. Sullinger makes 2-pt layup from 1 ft (assist by J. Crowder),6,14
39,1,7:20.0,Washington full timeout,,6,14
40,1,7:20.0,J. Dudley enters the game for K. Humphries,,6,14
41,1,7:08.0,M. Gortat misses 2-pt jump shot from 12 ft,,6,14
42,1,7:07.0,,Defensive rebound by J. Sullinger,6,14
43,1,6:49.0,,I. Thomas misses 3-pt jump shot from 24 ft,6,14
44,1,6:48.0,Defensive rebound by J. Dudley,,6,14
45,1,6:37.0,B. Beal misses 2-pt jump shot from 13 ft,,6,14
46,1,6:36.0,,Defensive rebound by A. Johnson,6,14
47,1,6:25.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Johnson),6,17
48,1,6:13.0,Personal block foul by A. Bradley (drawn by B. Beal),,6,17
49,1,6:13.0,,E. Turner enters the game for I. Thomas,6,17
50,1,6:07.0,Shooting foul by A. Johnson (drawn by J. Dudley),,6,17
51,1,6:07.0,J. Dudley makes free throw 1 of 2,,7,17
52,1,6:07.0,J. Dudley makes free throw 2 of 2,,8,17
53,1,5:54.0,,A. Johnson misses 2-pt jump shot from 17 ft,8,17
54,1,5:53.0,,Offensive rebound by A. Bradley,8,17
