,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,B. Lopez misses 2-pt jump shot from 19 ft,0,0
1,1,11:38.0,Defensive rebound by J. Calderón,,0,0
2,1,11:23.0,R. Lopez makes 2-pt dunk at rim (assist by C. Anthony),,2,0
3,1,11:01.0,,B. Lopez misses 2-pt hook shot from 12 ft,2,0
4,1,10:59.0,Defensive rebound by K. Porziņģis,,2,0
5,1,10:52.0,Turnover by K. Porziņģis (bad pass; steal by T. Young),,2,0
6,1,10:49.0,,T. Young makes 2-pt dunk at rim,2,2
7,1,10:25.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,2,2
8,1,10:23.0,,Defensive rebound by D. Sloan,2,2
9,1,10:14.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by B. Lopez),2,5
10,1,9:57.0,K. Porziņģis makes 2-pt jump shot from 19 ft,,4,5
11,1,9:42.0,,T. Young misses 2-pt jump shot from 4 ft,4,5
12,1,9:41.0,Defensive rebound by K. Porziņģis,,4,5
13,1,9:31.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,4,5
14,1,9:30.0,,Defensive rebound by Team,4,5
15,1,9:20.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Sloan),4,7
16,1,9:02.0,A. Afflalo misses 2-pt jump shot from 19 ft,,4,7
17,1,9:01.0,,Defensive rebound by J. Johnson,4,7
18,1,8:54.0,,D. Sloan misses 2-pt layup from 3 ft,4,7
19,1,8:53.0,Defensive rebound by C. Anthony,,4,7
20,1,8:42.0,A. Afflalo misses 2-pt jump shot from 15 ft,,4,7
21,1,8:41.0,,Defensive rebound by J. Johnson,4,7
22,1,8:29.0,,Personal foul by K. Porziņģis,4,7
23,1,8:19.0,,T. Young misses 2-pt jump shot from 3 ft (block by K. Porziņģis),4,7
24,1,8:18.0,,Offensive rebound by T. Young,4,7
25,1,8:17.0,,T. Young misses 2-pt hook shot from 8 ft,4,7
26,1,8:16.0,Defensive rebound by R. Lopez,,4,7
27,1,8:07.0,J. Calderón misses 2-pt jump shot from 20 ft,,4,7
28,1,8:06.0,,Defensive rebound by D. Sloan,4,7
29,1,7:53.0,,T. Young misses 2-pt jump shot from 4 ft (block by K. Porziņģis),4,7
30,1,7:50.0,Defensive rebound by K. Porziņģis,,4,7
31,1,7:46.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by C. Anthony),,7,7
32,1,7:25.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by T. Young),7,10
33,1,7:14.0,Personal foul by B. Lopez,,7,10
34,1,7:14.0,R. Lopez makes free throw 1 of 2,,8,10
35,1,7:14.0,R. Lopez makes free throw 2 of 2,,9,10
36,1,7:02.0,,B. Lopez makes 2-pt jump shot from 19 ft (assist by D. Sloan),9,12
37,1,6:48.0,C. Anthony makes 3-pt jump shot from 24 ft,,12,12
38,1,6:30.0,,B. Lopez misses 2-pt layup from 1 ft,12,12
39,1,6:29.0,Defensive rebound by R. Lopez,,12,12
40,1,6:19.0,J. Calderón makes 2-pt layup from 2 ft,,14,12
41,1,6:05.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),14,14
42,1,5:47.0,J. Calderón misses 3-pt jump shot from 24 ft,,14,14
43,1,5:45.0,,Defensive rebound by B. Lopez,14,14
44,1,5:31.0,,T. Young misses 2-pt layup from 2 ft (block by K. Porziņģis),14,14
45,1,5:29.0,Defensive rebound by C. Anthony,,14,14
46,1,5:25.0,C. Anthony makes 2-pt jump shot from 23 ft,,16,14
47,1,5:15.0,,Brooklyn full timeout,16,14
48,1,5:06.0,,J. Johnson misses 2-pt jump shot from 15 ft (block by C. Anthony),16,14
