,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:34.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by C. Paul),,3,0
1,1,11:18.0,,R. Gay makes 2-pt layup from 2 ft,3,2
2,1,11:01.0,B. Griffin makes 2-pt jump shot from 22 ft (assist by L. Stephenson),,5,2
3,1,10:35.0,,R. Rondo misses 3-pt jump shot from 24 ft (block by D. Jordan),5,2
4,1,10:35.0,,Offensive rebound by Team,5,2
5,1,10:34.0,,Turnover by Team (shot clock),5,2
6,1,10:28.0,B. Griffin makes 2-pt layup from 4 ft (assist by D. Jordan),,7,2
7,1,10:28.0,Shooting foul by D. Cousins (drawn by B. Griffin),,7,2
8,1,10:28.0,B. Griffin misses free throw 1 of 1,,7,2
9,1,10:26.0,,Defensive rebound by K. Koufos,7,2
10,1,10:16.0,,Turnover by D. Cousins (bad pass),7,2
11,1,10:05.0,L. Stephenson makes 2-pt jump shot from 21 ft (assist by B. Griffin),,9,2
12,1,9:49.0,,Turnover by D. Cousins (bad pass; steal by C. Paul),9,2
13,1,9:45.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,11,2
14,1,9:32.0,,D. Cousins misses 2-pt jump shot from 19 ft,11,2
15,1,9:31.0,Defensive rebound by C. Paul,,11,2
16,1,9:24.0,Turnover by L. Stephenson (bad pass),,11,2
17,1,9:05.0,,B. McLemore misses 2-pt jump shot from 4 ft,11,2
18,1,9:04.0,,Offensive rebound by K. Koufos,11,2
19,1,8:57.0,,R. Rondo misses 2-pt jump shot from 21 ft,11,2
20,1,8:56.0,,Offensive rebound by K. Koufos,11,2
21,1,8:56.0,,K. Koufos makes 2-pt layup from 1 ft,11,4
22,1,8:42.0,J. Redick misses 2-pt jump shot from 21 ft,,11,4
23,1,8:41.0,,Defensive rebound by R. Rondo,11,4
24,1,8:32.0,,Turnover by R. Rondo (bad pass),11,4
25,1,8:09.0,B. Griffin makes 2-pt jump shot from 20 ft,,13,4
26,1,7:53.0,,Personal foul by D. Jordan (drawn by D. Cousins),13,4
27,1,7:39.0,,Turnover by Team (shot clock),13,4
28,1,7:28.0,C. Paul misses 2-pt jump shot from 16 ft,,13,4
29,1,7:27.0,,Defensive rebound by K. Koufos,13,4
30,1,7:19.0,,R. Gay misses 2-pt jump shot from 5 ft,13,4
31,1,7:19.0,Defensive rebound by D. Jordan,,13,4
32,1,7:19.0,Personal foul by R. Gay (drawn by D. Jordan),,13,4
33,1,6:55.0,B. Griffin makes 2-pt layup from 4 ft,,15,4
34,1,6:43.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Gay),15,7
35,1,6:25.0,B. Griffin misses 2-pt jump shot from 21 ft,,15,7
36,1,6:24.0,,Defensive rebound by D. Cousins,15,7
37,1,6:17.0,,D. Cousins misses 3-pt jump shot from 24 ft,15,7
38,1,6:17.0,Defensive rebound by L. Stephenson,,15,7
39,1,5:59.0,J. Redick misses 3-pt jump shot from 25 ft,,15,7
40,1,5:58.0,,Defensive rebound by D. Cousins,15,7
41,1,5:53.0,,D. Cousins makes 2-pt layup from 3 ft,15,9
42,1,5:53.0,,Shooting block foul by B. Griffin (drawn by D. Cousins),15,9
43,1,5:53.0,,Sacramento full timeout,15,9
44,1,5:53.0,,O. Casspi enters the game for R. Gay,15,9
45,1,5:53.0,,D. Cousins makes free throw 1 of 1,15,10
46,1,5:45.0,Personal foul by D. Cousins (drawn by D. Jordan),,15,10
47,1,5:45.0,,W. Cauley-Stein enters the game for D. Cousins,15,10
48,1,5:34.0,B. Griffin makes 2-pt jump shot from 16 ft,,17,10
49,1,5:23.0,Violation by D. Jordan (def goaltending),,17,10
50,1,5:23.0,,K. Koufos makes 2-pt hook shot from 7 ft,17,12
51,1,5:10.0,C. Paul makes 2-pt jump shot from 15 ft (assist by B. Griffin),,19,12
52,1,4:58.0,,R. Rondo misses 2-pt jump shot from 20 ft,19,12
53,1,4:57.0,Defensive rebound by B. Griffin,,19,12
54,1,4:39.0,C. Paul misses 2-pt jump shot from 8 ft,,19,12
55,1,4:37.0,Offensive rebound by D. Jordan,,19,12
56,1,4:37.0,D. Jordan makes 2-pt layup from 1 ft,,21,12
57,1,4:21.0,,Turnover by O. Casspi (lost ball; steal by L. Stephenson),21,12
58,1,4:08.0,B. Griffin makes 2-pt jump shot from 18 ft,,23,12
59,1,3:51.0,,W. Cauley-Stein misses 2-pt jump shot from 12 ft,23,12
60,1,3:51.0,Defensive rebound by D. Jordan,,23,12
61,1,3:35.0,Shooting foul by K. Koufos (drawn by D. Jordan),,23,12
62,1,3:35.0,D. Jordan misses free throw 1 of 2,,23,12
63,1,3:35.0,Offensive rebound by Team,,23,12
64,1,3:35.0,J. Crawford enters the game for L. Stephenson,,23,12
65,1,3:35.0,P. Pierce enters the game for J. Redick,,23,12
66,1,3:35.0,,M. Belinelli enters the game for B. McLemore,23,12
67,1,3:35.0,,D. Collison enters the game for R. Rondo,23,12
68,1,3:35.0,D. Jordan misses free throw 2 of 2,,23,12
69,1,3:33.0,Offensive rebound by B. Griffin,,23,12
70,1,3:24.0,Turnover by C. Paul (bad pass),,23,12
71,1,3:24.0,J. Smith enters the game for D. Jordan,,23,12
72,1,3:10.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. Collison),23,15
73,1,2:53.0,B. Griffin misses 2-pt jump shot from 4 ft (block by K. Koufos),,23,15
74,1,2:52.0,,Defensive rebound by W. Cauley-Stein,23,15
75,1,2:49.0,,Shooting foul by J. Crawford (drawn by D. Collison),23,15
76,1,2:49.0,LA Clippers full timeout,,23,15
77,1,2:49.0,,R. Gay enters the game for K. Koufos,23,15
78,1,2:49.0,,D. Collison misses free throw 1 of 2,23,15
79,1,2:49.0,,Offensive rebound by Team,23,15
80,1,2:49.0,,D. Collison misses free throw 2 of 2,23,15
81,1,2:48.0,Defensive rebound by P. Pierce,,23,15
82,1,2:27.0,W. Johnson enters the game for C. Paul,,23,15
83,1,2:27.0,A. Rivers enters the game for B. Griffin,,23,15
84,1,2:24.0,P. Pierce misses 3-pt jump shot from 25 ft,,23,15
85,1,2:23.0,,Defensive rebound by R. Gay,23,15
86,1,2:11.0,,O. Casspi misses 2-pt jump shot from 14 ft,23,15
87,1,2:10.0,Defensive rebound by J. Smith,,23,15
88,1,2:08.0,Turnover by J. Smith (lost ball; steal by D. Collison),,23,15
89,1,2:03.0,,O. Casspi makes 2-pt dunk at rim (assist by D. Collison),23,17
90,1,1:42.0,P. Pierce misses 2-pt jump shot from 6 ft,,23,17
91,1,1:41.0,Offensive rebound by P. Pierce,,23,17
92,1,1:41.0,Shooting foul by R. Gay (drawn by P. Pierce),,23,17
93,1,1:41.0,P. Pierce makes free throw 1 of 2,,24,17
94,1,1:41.0,,C. Butler enters the game for R. Gay,24,17
95,1,1:41.0,P. Pierce makes free throw 2 of 2,,25,17
96,1,1:27.0,,Personal foul by J. Smith (drawn by M. Belinelli),25,17
97,1,1:13.0,,M. Belinelli misses 3-pt jump shot from 25 ft,25,17
98,1,1:13.0,Defensive rebound by P. Pierce,,25,17
99,1,1:06.0,Turnover by P. Pierce (lost ball; steal by C. Butler),,25,17
100,1,1:01.0,,D. Collison misses 2-pt jump shot from 3 ft (block by J. Smith),25,17
101,1,0:59.0,,Offensive rebound by O. Casspi,25,17
102,1,0:59.0,,Offensive foul by O. Casspi (drawn by A. Rivers),25,17
103,1,0:59.0,,Turnover by O. Casspi (offensive foul),25,17
104,1,0:50.0,J. Crawford misses 2-pt jump shot from 8 ft,,25,17
105,1,0:49.0,,Defensive rebound by O. Casspi,25,17
106,1,0:25.0,,M. Belinelli misses 3-pt jump shot from 27 ft,25,17
107,1,0:23.0,,Offensive rebound by Team,25,17
108,1,0:01.0,,D. Collison misses 2-pt jump shot from 15 ft,25,17
109,1,0:00.0,Defensive rebound by J. Smith,,25,17
110,2,11:34.0,,C. Butler makes 2-pt jump shot from 20 ft (assist by M. Belinelli),25,19
111,2,11:20.0,A. Rivers misses 3-pt jump shot from 25 ft,,25,19
112,2,11:19.0,,Defensive rebound by O. Casspi,25,19
113,2,11:09.0,,Turnover by D. Collison (bad pass; steal by A. Rivers),25,19
114,2,11:03.0,A. Rivers misses 2-pt layup from 5 ft,,25,19
115,2,11:03.0,,Defensive rebound by O. Casspi,25,19
116,2,10:53.0,,M. Belinelli misses 2-pt jump shot from 6 ft,25,19
117,2,10:48.0,,Offensive rebound by W. Cauley-Stein,25,19
118,2,10:48.0,,W. Cauley-Stein makes 2-pt layup from 5 ft,25,21
119,2,10:27.0,J. Crawford makes 2-pt jump shot from 20 ft,,27,21
120,2,10:11.0,,C. Butler makes 2-pt jump shot from 21 ft (assist by M. Belinelli),27,23
121,2,9:54.0,Personal foul by O. Casspi (drawn by J. Smith),,27,23
122,2,9:54.0,,D. Cousins enters the game for W. Cauley-Stein,27,23
123,2,9:43.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by A. Rivers),,30,23
124,2,9:27.0,,O. Casspi misses 2-pt jump shot from 8 ft,30,23
125,2,9:27.0,,Offensive rebound by D. Cousins,30,23
126,2,9:25.0,,D. Cousins misses 2-pt jump shot from 3 ft,30,23
127,2,9:25.0,Defensive rebound by Team,,30,23
128,2,9:13.0,Turnover by J. Smith (bad pass; steal by O. Casspi),,30,23
129,2,9:09.0,,Turnover by D. Cousins (bad pass),30,23
130,2,8:54.0,J. Smith misses 2-pt jump shot from 20 ft,,30,23
131,2,8:53.0,,Defensive rebound by C. Butler,30,23
132,2,8:41.0,Official timeout,,30,23
133,2,8:41.0,D. Jordan enters the game for J. Smith,,30,23
134,2,8:41.0,,R. Gay enters the game for O. Casspi,30,23
135,2,8:36.0,,D. Cousins misses 2-pt layup from 3 ft,30,23
136,2,8:35.0,Defensive rebound by D. Jordan,,30,23
137,2,8:27.0,Shooting foul by C. Butler (drawn by A. Rivers),,30,23
138,2,8:27.0,A. Rivers makes free throw 1 of 2,,31,23
139,2,8:27.0,A. Rivers makes free throw 2 of 2,,32,23
140,2,8:13.0,,Turnover by D. Cousins (bad pass; steal by W. Johnson),32,23
141,2,8:05.0,A. Rivers misses 3-pt jump shot from 24 ft,,32,23
142,2,8:05.0,,Defensive rebound by R. Gay,32,23
