,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:41.0,,T. Ariza misses 2-pt jump shot from 10 ft,0,0
1,1,11:40.0,Defensive rebound by D. Williams,,0,0
2,1,11:23.0,C. Villanueva makes 3-pt jump shot from 25 ft (assist by D. Williams),,3,0
3,1,11:03.0,,T. Jones makes 2-pt layup from 2 ft,3,2
4,1,10:46.0,C. Villanueva misses 2-pt layup from 2 ft,,3,2
5,1,10:44.0,,Defensive rebound by C. Capela,3,2
6,1,10:31.0,,J. Harden misses 2-pt layup from 2 ft,3,2
7,1,10:30.0,Defensive rebound by R. Felton,,3,2
8,1,10:25.0,C. Villanueva misses 2-pt layup from 1 ft,,3,2
9,1,10:25.0,Offensive rebound by Team,,3,2
10,1,10:15.0,R. Felton makes 2-pt jump shot from 17 ft,,5,2
11,1,10:07.0,,C. Capela makes 2-pt layup from 4 ft (assist by J. Harden),5,4
12,1,9:44.0,D. Williams makes 3-pt jump shot from 23 ft (assist by C. Villanueva),,8,4
13,1,9:33.0,,T. Lawson makes 2-pt jump shot from 22 ft (assist by C. Capela),8,6
14,1,9:23.0,Shooting foul by C. Capela (drawn by R. Felton),,8,6
15,1,9:23.0,R. Felton makes free throw 1 of 2,,9,6
16,1,9:23.0,R. Felton makes free throw 2 of 2,,10,6
17,1,9:12.0,,Turnover by J. Harden (bad pass; steal by D. Williams),10,6
18,1,9:05.0,J. Anderson misses 3-pt jump shot from 24 ft,,10,6
19,1,9:04.0,,Defensive rebound by C. Capela,10,6
20,1,9:01.0,,Shooting foul by D. Williams (drawn by T. Ariza),10,6
21,1,9:01.0,,T. Ariza makes free throw 1 of 2,10,7
22,1,9:01.0,,T. Ariza misses free throw 2 of 2,10,7
23,1,9:01.0,Defensive rebound by Z. Pachulia,,10,7
24,1,8:45.0,J. Anderson makes 3-pt jump shot from 23 ft (assist by Z. Pachulia),,13,7
25,1,8:24.0,,Turnover by T. Lawson (bad pass; steal by Z. Pachulia),13,7
26,1,8:17.0,Turnover by R. Felton (bad pass; steal by J. Harden),,13,7
27,1,8:10.0,,T. Jones makes 2-pt layup from 2 ft,13,9
28,1,7:53.0,R. Felton makes 2-pt jump shot from 5 ft,,15,9
29,1,7:48.0,Offensive charge foul by T. Ariza (drawn by C. Villanueva),,15,9
30,1,7:48.0,,Turnover by T. Ariza (offensive foul),15,9
31,1,7:32.0,Turnover by J. Anderson (bad pass; steal by T. Ariza),,15,9
32,1,7:22.0,,T. Lawson misses 3-pt jump shot from 24 ft,15,9
33,1,7:21.0,Defensive rebound by J. Anderson,,15,9
34,1,7:09.0,Z. Pachulia misses 2-pt jump shot from 5 ft (block by T. Jones),,15,9
35,1,7:08.0,,Defensive rebound by C. Capela,15,9
36,1,7:07.0,,Personal foul by R. Felton (drawn by J. Harden),15,9
37,1,7:00.0,,J. Harden misses 2-pt layup from 3 ft (block by C. Villanueva),15,9
38,1,6:56.0,Defensive rebound by C. Villanueva,,15,9
39,1,6:55.0,Shooting foul by T. Ariza (drawn by Z. Pachulia),,15,9
40,1,6:55.0,Z. Pachulia misses free throw 1 of 2,,15,9
41,1,6:55.0,Offensive rebound by Team,,15,9
42,1,6:55.0,Z. Pachulia misses free throw 2 of 2,,15,9
43,1,6:55.0,,Defensive rebound by J. Harden,15,9
44,1,6:32.0,,T. Ariza misses 3-pt jump shot from 22 ft,15,9
45,1,6:31.0,Defensive rebound by Z. Pachulia,,15,9
46,1,6:23.0,D. Williams makes 2-pt layup from 2 ft,,17,9
47,1,6:22.0,,Houston full timeout,17,9
48,1,6:04.0,,T. Jones makes 2-pt layup from 2 ft (assist by T. Ariza),17,11
49,1,5:48.0,Personal foul by T. Jones (drawn by Z. Pachulia),,17,11
50,1,5:38.0,R. Felton misses 2-pt layup from 4 ft,,17,11
51,1,5:37.0,Offensive rebound by R. Felton,,17,11
52,1,5:23.0,C. Villanueva makes 3-pt jump shot from 24 ft (assist by D. Williams),,20,11
53,1,5:15.0,,Shooting foul by R. Felton (drawn by J. Harden),20,11
54,1,5:15.0,,J. Harden makes free throw 1 of 2,20,12
55,1,5:15.0,D. Powell enters the game for R. Felton,,20,12
56,1,5:15.0,D. Harris enters the game for Z. Pachulia,,20,12
57,1,5:15.0,,J. Harden makes free throw 2 of 2,20,13
58,1,5:03.0,Turnover by J. Anderson (bad pass; steal by T. Ariza),,20,13
59,1,4:57.0,,J. Harden misses 3-pt jump shot from 25 ft,20,13
60,1,4:56.0,Defensive rebound by D. Powell,,20,13
61,1,4:51.0,Personal foul by T. Lawson (drawn by D. Williams),,20,13
62,1,4:51.0,,M. Thornton enters the game for C. Capela,20,13
63,1,4:51.0,,C. Brewer enters the game for T. Ariza,20,13
