,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:43.0,Turnover by R. Neto (bad pass; steal by C. Parsons),,0,0
1,1,11:28.0,,C. Parsons misses 2-pt jump shot from 14 ft,0,0
2,1,11:27.0,Defensive rebound by G. Hayward,,0,0
3,1,11:13.0,Turnover by R. Gobert (bad pass; steal by D. Nowitzki),,0,0
4,1,11:09.0,,Shooting block foul by G. Hayward (drawn by W. Matthews),0,0
5,1,11:09.0,,W. Matthews makes free throw 1 of 2,0,1
6,1,11:09.0,,W. Matthews makes free throw 2 of 2,0,2
7,1,10:53.0,R. Neto makes 3-pt jump shot from 24 ft (assist by R. Hood),,3,2
8,1,10:40.0,,Turnover by Z. Pachulia (bad pass; steal by R. Neto),3,2
9,1,10:29.0,R. Hood misses 3-pt jump shot from 24 ft,,3,2
10,1,10:28.0,,Defensive rebound by Z. Pachulia,3,2
11,1,10:17.0,,Shooting foul by R. Neto (drawn by D. Nowitzki),3,2
12,1,10:17.0,,D. Nowitzki makes free throw 1 of 2,3,3
13,1,10:17.0,,D. Nowitzki makes free throw 2 of 2,3,4
14,1,10:00.0,R. Gobert makes 2-pt layup from 1 ft (assist by R. Hood),,5,4
15,1,9:45.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by W. Matthews),5,7
16,1,9:30.0,D. Favors misses 2-pt jump shot from 7 ft,,5,7
17,1,9:29.0,,Defensive rebound by D. Nowitzki,5,7
18,1,9:29.0,Loose ball foul by R. Gobert (drawn by D. Nowitzki),,5,7
19,1,9:20.0,,Turnover by D. Williams (bad pass),5,7
20,1,9:00.0,Turnover by D. Favors (bad pass),,5,7
21,1,8:52.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),5,10
22,1,8:30.0,R. Neto makes 2-pt jump shot from 7 ft,,7,10
23,1,8:19.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,7,10
24,1,8:19.0,Defensive rebound by R. Gobert,,7,10
25,1,8:04.0,G. Hayward misses 2-pt jump shot from 3 ft,,7,10
26,1,8:03.0,Offensive rebound by R. Gobert,,7,10
27,1,8:03.0,Shooting foul by D. Williams (drawn by R. Gobert),,7,10
28,1,8:03.0,R. Gobert misses free throw 1 of 2,,7,10
29,1,8:03.0,Offensive rebound by Team,,7,10
30,1,8:03.0,R. Gobert makes free throw 2 of 2,,8,10
31,1,7:41.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),8,13
32,1,7:27.0,Def 3 sec tech foul by D. Nowitzki,,8,13
33,1,7:27.0,G. Hayward makes technical free throw,,9,13
34,1,7:17.0,G. Hayward misses 3-pt jump shot from 24 ft,,9,13
35,1,7:16.0,,Defensive rebound by Z. Pachulia,9,13
36,1,7:05.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by W. Matthews),9,16
37,1,6:50.0,D. Favors misses 2-pt jump shot from 18 ft,,9,16
38,1,6:49.0,Offensive rebound by R. Gobert,,9,16
39,1,6:43.0,R. Hood makes 2-pt jump shot from 8 ft (assist by R. Gobert),,11,16
40,1,6:32.0,,Offensive foul by C. Parsons (drawn by R. Neto),11,16
41,1,6:32.0,,Turnover by C. Parsons (offensive foul),11,16
42,1,6:32.0,,R. Felton enters the game for D. Nowitzki,11,16
43,1,6:15.0,R. Hood makes 3-pt jump shot from 26 ft (assist by G. Hayward),,14,16
44,1,6:02.0,,Personal block foul by R. Neto (drawn by W. Matthews),14,16
45,1,6:02.0,,Dallas full timeout,14,16
46,1,6:02.0,J. Ingles enters the game for R. Neto,,14,16
47,1,5:58.0,Loose ball foul by D. Favors (drawn by Z. Pachulia),,14,16
48,1,5:58.0,,Z. Pachulia makes free throw 1 of 2,14,17
49,1,5:58.0,,Z. Pachulia makes free throw 2 of 2,14,18
50,1,5:38.0,G. Hayward misses 2-pt jump shot from 12 ft,,14,18
51,1,5:37.0,Offensive rebound by D. Favors,,14,18
52,1,5:37.0,D. Favors misses 2-pt layup from 1 ft,,14,18
53,1,5:35.0,,Defensive rebound by D. Williams,14,18
54,1,5:29.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by D. Williams),14,21
55,1,5:06.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,16,21
56,1,4:48.0,,W. Matthews misses 3-pt jump shot from 24 ft,16,21
57,1,4:47.0,Defensive rebound by R. Gobert,,16,21
58,1,4:24.0,R. Hood misses 3-pt jump shot from 24 ft,,16,21
59,1,4:23.0,,Defensive rebound by Z. Pachulia,16,21
60,1,4:17.0,,Shooting block foul by D. Favors (drawn by C. Parsons),16,21
61,1,4:17.0,,C. Parsons makes free throw 1 of 3,16,22
62,1,4:17.0,,C. Parsons makes free throw 2 of 3,16,23
63,1,4:17.0,C. Johnson enters the game for R. Hood,,16,23
64,1,4:17.0,T. Booker enters the game for D. Favors,,16,23
65,1,4:17.0,,C. Parsons makes free throw 3 of 3,16,24
66,1,3:56.0,G. Hayward makes 2-pt jump shot from 15 ft,,18,24
67,1,3:34.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by R. Felton),18,27
68,1,3:17.0,J. Ingles misses 3-pt jump shot from 24 ft,,18,27
69,1,3:16.0,,Defensive rebound by D. Williams,18,27
70,1,3:09.0,,Turnover by C. Parsons (bad pass; steal by G. Hayward),18,27
71,1,3:00.0,Turnover by G. Hayward (lost ball; steal by D. Williams),,18,27
72,1,2:57.0,,Personal block foul by C. Johnson (drawn by D. Williams),18,27
73,1,2:57.0,Utah full timeout,,18,27
74,1,2:57.0,,D. Powell enters the game for C. Parsons,18,27
75,1,2:57.0,,D. Nowitzki enters the game for Z. Pachulia,18,27
76,1,2:57.0,,Violation by Team (jump ball),18,27
77,1,2:57.0,,D. Williams makes free throw 1 of 2,18,28
78,1,2:57.0,,D. Williams makes free throw 2 of 2,18,29
79,1,2:41.0,G. Hayward misses 3-pt jump shot from 22 ft,,18,29
80,1,2:40.0,,Defensive rebound by R. Felton,18,29
81,1,2:21.0,,R. Felton misses 3-pt jump shot from 23 ft (block by C. Johnson),18,29
82,1,2:20.0,Defensive rebound by G. Hayward,,18,29
83,1,2:04.0,R. Gobert misses 2-pt jump shot from 6 ft,,18,29
84,1,2:03.0,,Defensive rebound by D. Powell,18,29
85,1,1:54.0,Offensive charge foul by D. Williams (drawn by J. Ingles),,18,29
86,1,1:54.0,,Turnover by D. Williams (offensive foul),18,29
87,1,1:54.0,,J. Anderson enters the game for W. Matthews,18,29
88,1,1:54.0,,J. Barea enters the game for D. Williams,18,29
89,1,1:54.0,T. Lyles enters the game for R. Gobert,,18,29
90,1,1:54.0,E. Green enters the game for J. Ingles,,18,29
91,1,1:44.0,G. Hayward misses 3-pt jump shot from 24 ft,,18,29
92,1,1:43.0,,Defensive rebound by R. Felton,18,29
93,1,1:27.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,18,29
94,1,1:26.0,Defensive rebound by C. Johnson,,18,29
95,1,1:12.0,E. Green makes 2-pt jump shot from 9 ft,,20,29
96,1,0:54.0,,Turnover by D. Nowitzki (bad pass),20,29
97,1,0:40.0,Shooting foul by D. Nowitzki (drawn by T. Lyles),,20,29
98,1,0:40.0,T. Lyles misses free throw 1 of 2,,20,29
99,1,0:40.0,Offensive rebound by Team,,20,29
100,1,0:40.0,T. Lyles makes free throw 2 of 2,,21,29
101,1,0:33.0,,J. Barea misses 3-pt jump shot from 25 ft,21,29
102,1,0:32.0,Defensive rebound by C. Johnson,,21,29
103,1,0:09.0,E. Green misses 2-pt jump shot from 19 ft,,21,29
104,1,0:07.0,,Defensive rebound by D. Nowitzki,21,29
105,1,0:01.0,,J. Anderson misses 3-pt jump shot from 23 ft,21,29
106,1,0:00.0,,Offensive rebound by Team,21,29
107,2,11:46.0,,D. Powell makes 2-pt layup from 2 ft (assist by R. Felton),21,31
108,2,11:27.0,T. Lyles makes 2-pt layup at rim,,23,31
109,2,11:12.0,,J. Barea makes 2-pt jump shot from 6 ft,23,33
110,2,10:58.0,T. Lyles makes 2-pt jump shot from 20 ft (assist by R. Hood),,25,33
111,2,10:41.0,,D. Nowitzki makes 2-pt jump shot from 10 ft (assist by J. Barea),25,35
112,2,10:20.0,C. Johnson makes 3-pt jump shot from 22 ft (assist by T. Lyles),,28,35
113,2,10:07.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),28,37
114,2,9:51.0,Shooting block foul by D. Nowitzki (drawn by T. Lyles),,28,37
115,2,9:51.0,T. Lyles makes free throw 1 of 2,,29,37
116,2,9:51.0,T. Lyles makes free throw 2 of 2,,30,37
117,2,9:38.0,,R. Felton makes 3-pt jump shot from 24 ft (assist by J. Barea),30,40
118,2,9:19.0,T. Lyles makes 2-pt layup at rim,,32,40
119,2,9:00.0,,R. Felton makes 2-pt jump shot from 4 ft,32,42
120,2,9:00.0,Utah full timeout,,32,42
121,2,9:00.0,R. Gobert enters the game for T. Booker,,32,42
122,2,8:44.0,R. Hood misses 2-pt jump shot from 13 ft,,32,42
123,2,8:43.0,,Defensive rebound by D. Powell,32,42
124,2,8:28.0,,R. Felton makes 2-pt jump shot from 10 ft,32,44
125,2,8:08.0,E. Green misses 3-pt jump shot from 23 ft,,32,44
126,2,8:07.0,Offensive rebound by T. Lyles,,32,44
127,2,8:03.0,Turnover by T. Lyles (bad pass),,32,44
128,2,8:03.0,T. Booker enters the game for T. Lyles,,32,44
129,2,8:03.0,J. Ingles enters the game for C. Johnson,,32,44
130,2,7:48.0,,J. Anderson makes 3-pt jump shot from 22 ft (assist by J. Barea),32,47
131,2,7:28.0,R. Hood misses 2-pt jump shot from 18 ft,,32,47
132,2,7:27.0,,Defensive rebound by R. Felton,32,47
