,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:49.0,,Turnover by L. Aldridge (lost ball; steal by J. Farmar),0,0
1,1,11:24.0,J. Farmar misses 2-pt jump shot from 17 ft,,0,0
2,1,11:23.0,,Defensive rebound by T. Duncan,0,0
3,1,11:02.0,,L. Aldridge makes 2-pt jump shot from 22 ft (assist by T. Parker),0,2
4,1,10:38.0,V. Carter makes 2-pt jump shot from 20 ft (assist by M. Barnes),,2,2
5,1,10:19.0,,K. Leonard misses 2-pt jump shot from 18 ft,2,2
6,1,10:18.0,Defensive rebound by C. Andersen,,2,2
7,1,10:06.0,V. Carter misses 2-pt layup from 1 ft (block by L. Aldridge),,2,2
8,1,10:03.0,,Defensive rebound by T. Duncan,2,2
9,1,9:57.0,,D. Green misses 3-pt jump shot from 24 ft,2,2
10,1,9:57.0,Defensive rebound by M. Barnes,,2,2
11,1,9:32.0,Z. Randolph misses 2-pt jump shot from 14 ft,,2,2
12,1,9:31.0,,Defensive rebound by L. Aldridge,2,2
13,1,9:14.0,,D. Green makes 3-pt jump shot from 23 ft,2,5
14,1,9:04.0,Turnover by C. Andersen (bad pass; steal by T. Duncan),,2,5
15,1,8:50.0,,K. Leonard makes 2-pt dunk at rim (assist by T. Parker),2,7
16,1,8:35.0,Z. Randolph misses 2-pt jump shot from 20 ft,,2,7
17,1,8:34.0,,Defensive rebound by D. Green,2,7
18,1,8:19.0,,L. Aldridge misses 2-pt jump shot from 17 ft,2,7
19,1,8:19.0,Defensive rebound by C. Andersen,,2,7
20,1,8:10.0,Personal foul by L. Aldridge,,2,7
21,1,7:59.0,Z. Randolph makes 2-pt jump shot from 18 ft,,4,7
22,1,7:28.0,,D. Green misses 2-pt layup from 1 ft,4,7
23,1,7:27.0,,Offensive rebound by L. Aldridge,4,7
24,1,7:24.0,,L. Aldridge misses 2-pt layup from 2 ft,4,7
25,1,7:23.0,Defensive rebound by Z. Randolph,,4,7
26,1,7:15.0,J. Farmar makes 2-pt jump shot from 16 ft,,6,7
27,1,6:55.0,,T. Parker misses 2-pt jump shot from 11 ft,6,7
28,1,6:55.0,Defensive rebound by C. Andersen,,6,7
29,1,6:43.0,V. Carter misses 3-pt jump shot from 25 ft,,6,7
30,1,6:43.0,,Defensive rebound by Team,6,7
31,1,6:43.0,Loose ball foul by Z. Randolph,,6,7
32,1,6:24.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Duncan),6,9
33,1,5:59.0,Z. Randolph misses 2-pt jump shot from 6 ft (block by T. Duncan),,6,9
34,1,5:57.0,,Defensive rebound by D. Green,6,9
35,1,5:49.0,,T. Parker misses 2-pt jump shot from 16 ft,6,9
36,1,5:46.0,Defensive rebound by C. Andersen,,6,9
37,1,5:38.0,Turnover by J. Farmar (bad pass; steal by K. Leonard),,6,9
38,1,5:30.0,,K. Leonard misses 2-pt jump shot from 21 ft,6,9
39,1,5:29.0,Defensive rebound by Z. Randolph,,6,9
40,1,5:18.0,J. Farmar misses 2-pt jump shot from 9 ft,,6,9
41,1,5:17.0,,Defensive rebound by D. Green,6,9
42,1,5:15.0,,San Antonio full timeout,6,9
43,1,5:15.0,T. Allen enters the game for V. Carter,,6,9
44,1,5:15.0,,M. Ginóbili enters the game for D. Green,6,9
45,1,5:15.0,,D. West enters the game for T. Duncan,6,9
46,1,5:03.0,Violation by T. Allen (kicked ball),,6,9
47,1,4:54.0,,K. Leonard misses 2-pt layup from 3 ft,6,9
48,1,4:54.0,Defensive rebound by Z. Randolph,,6,9
49,1,4:33.0,T. Allen makes 2-pt jump shot from 17 ft (assist by Z. Randolph),,8,9
50,1,4:25.0,,Turnover by D. West (bad pass; steal by M. Barnes),8,9
51,1,4:18.0,Z. Randolph misses 2-pt layup from 2 ft (block by D. West),,8,9
52,1,4:15.0,Offensive rebound by M. Barnes,,8,9
53,1,4:14.0,Turnover by M. Barnes (bad pass),,8,9
54,1,4:14.0,,P. Mills enters the game for T. Parker,8,9
55,1,4:14.0,X. Munford enters the game for J. Farmar,,8,9
56,1,3:52.0,,L. Aldridge makes 2-pt jump shot from 15 ft,8,11
57,1,3:30.0,Z. Randolph makes 2-pt layup at rim,,10,11
58,1,3:14.0,,L. Aldridge misses 2-pt jump shot from 17 ft,10,11
59,1,3:13.0,Defensive rebound by C. Andersen,,10,11
60,1,3:12.0,Turnover by C. Andersen (lost ball; steal by K. Leonard),,10,11
61,1,3:11.0,,Shooting foul by C. Andersen (drawn by K. Leonard),10,11
62,1,3:11.0,,K. Leonard makes free throw 1 of 2,10,12
63,1,3:11.0,J. Martin enters the game for C. Andersen,,10,12
64,1,3:11.0,,K. Leonard makes free throw 2 of 2,10,13
65,1,2:57.0,Shooting foul by K. Leonard (drawn by J. Martin),,10,13
66,1,2:57.0,Memphis full timeout,,10,13
67,1,2:57.0,,K. Anderson enters the game for K. Leonard,10,13
68,1,2:57.0,J. Martin makes free throw 1 of 2,,11,13
69,1,2:57.0,J. Martin misses free throw 2 of 2,,11,13
70,1,2:56.0,,Defensive rebound by L. Aldridge,11,13
71,1,2:33.0,,K. Anderson misses 2-pt layup from 1 ft,11,13
72,1,2:30.0,Defensive rebound by Z. Randolph,,11,13
73,1,2:10.0,M. Barnes misses 3-pt jump shot from 26 ft,,11,13
