,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:54.0,Offensive charge foul by J. Okafor (drawn by P. Millsap),,0,0
1,1,11:54.0,,Turnover by J. Okafor (offensive foul),0,0
2,1,11:38.0,Personal foul by R. Covington (drawn by A. Horford),,0,0
3,1,11:30.0,A. Horford makes 2-pt jump shot from 16 ft (assist by K. Korver),,2,0
4,1,11:09.0,,J. Okafor misses 2-pt layup from 1 ft,2,0
5,1,11:08.0,Defensive rebound by J. Teague,,2,0
6,1,10:57.0,J. Teague misses 3-pt jump shot from 23 ft,,2,0
7,1,10:56.0,,Defensive rebound by N. Stauskas,2,0
8,1,10:40.0,,Turnover by N. Noel (bad pass),2,0
9,1,10:23.0,K. Korver makes 2-pt jump shot from 16 ft (assist by P. Millsap),,4,0
10,1,10:11.0,,Def 3 sec tech foul by A. Horford,4,0
11,1,10:11.0,,R. Covington misses technical free throw,4,0
12,1,10:11.0,,Offensive rebound by Team,4,0
13,1,10:08.0,,I. Smith makes 2-pt jump shot from 12 ft (assist by J. Okafor),4,2
14,1,9:50.0,J. Teague misses 2-pt layup from 1 ft,,4,2
15,1,9:45.0,,Defensive rebound by N. Noel,4,2
16,1,9:38.0,,R. Covington misses 3-pt jump shot from 25 ft,4,2
17,1,9:35.0,,Offensive rebound by J. Okafor,4,2
18,1,9:27.0,,N. Stauskas misses 3-pt jump shot from 26 ft,4,2
19,1,9:26.0,Defensive rebound by P. Millsap,,4,2
20,1,9:13.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by K. Korver),,7,2
21,1,8:59.0,,Turnover by J. Okafor (bad pass; steal by A. Horford),7,2
22,1,8:54.0,K. Bazemore misses 3-pt jump shot from 25 ft,,7,2
23,1,8:51.0,,Defensive rebound by N. Stauskas,7,2
24,1,8:46.0,,R. Covington misses 2-pt layup from 2 ft (block by A. Horford),7,2
25,1,8:44.0,Defensive rebound by P. Millsap,,7,2
26,1,8:40.0,Shooting foul by J. Okafor (drawn by P. Millsap),,7,2
27,1,8:40.0,P. Millsap makes free throw 1 of 2,,8,2
28,1,8:40.0,P. Millsap misses free throw 2 of 2,,8,2
29,1,8:38.0,,Defensive rebound by J. Okafor,8,2
30,1,8:22.0,,J. Okafor makes 2-pt layup from 1 ft (assist by N. Stauskas),8,4
31,1,8:10.0,Turnover by P. Millsap (lost ball; steal by N. Noel),,8,4
32,1,7:45.0,,N. Stauskas makes 3-pt jump shot from 35 ft (assist by I. Smith),8,7
33,1,7:17.0,K. Bazemore misses 3-pt jump shot from 25 ft,,8,7
34,1,7:16.0,,Defensive rebound by N. Stauskas,8,7
35,1,7:06.0,,Turnover by J. Okafor (lost ball),8,7
36,1,6:53.0,J. Teague misses 3-pt jump shot from 27 ft,,8,7
37,1,6:51.0,,Defensive rebound by N. Noel,8,7
38,1,6:39.0,,N. Stauskas misses 2-pt jump shot from 6 ft,8,7
39,1,6:37.0,Defensive rebound by P. Millsap,,8,7
40,1,6:29.0,P. Millsap misses 2-pt jump shot from 4 ft,,8,7
41,1,6:27.0,Offensive rebound by A. Horford,,8,7
42,1,6:21.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,10,7
43,1,6:09.0,,R. Covington misses 3-pt jump shot from 25 ft,10,7
44,1,6:07.0,Defensive rebound by A. Horford,,10,7
45,1,5:59.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),,12,7
46,1,5:59.0,,Philadelphia full timeout,12,7
47,1,5:59.0,,J. Grant enters the game for N. Noel,12,7
48,1,5:59.0,M. Muscala enters the game for A. Horford,,12,7
49,1,5:59.0,T. Sefolosha enters the game for K. Bazemore,,12,7
50,1,5:38.0,,J. Okafor misses 2-pt jump shot from 6 ft,12,7
51,1,5:36.0,,Offensive rebound by J. Okafor,12,7
52,1,5:35.0,,Turnover by J. Okafor (lost ball),12,7
53,1,5:22.0,Shooting foul by J. Grant (drawn by T. Sefolosha),,12,7
54,1,5:22.0,T. Sefolosha makes free throw 1 of 2,,13,7
55,1,5:22.0,T. Sefolosha misses free throw 2 of 2,,13,7
56,1,5:21.0,,Defensive rebound by J. Grant,13,7
57,1,5:03.0,,R. Covington makes 2-pt jump shot from 3 ft (assist by I. Smith),13,9
58,1,4:47.0,J. Teague makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,16,9
59,1,4:41.0,,Turnover by J. Okafor (bad pass; steal by J. Teague),16,9
