,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:46.0,,J. Butler misses 2-pt jump shot from 13 ft,0,0
1,1,11:45.0,Defensive rebound by K. Garnett,,0,0
2,1,11:33.0,K. Towns makes 2-pt jump shot from 10 ft (assist by K. Garnett),,2,0
3,1,11:19.0,,D. McDermott makes 2-pt jump shot from 4 ft,2,2
4,1,10:59.0,A. Wiggins misses 2-pt jump shot from 19 ft,,2,2
5,1,10:59.0,,Defensive rebound by Team,2,2
6,1,10:46.0,,Shooting foul by K. Towns (drawn by P. Gasol),2,2
7,1,10:46.0,,P. Gasol makes free throw 1 of 2,2,3
8,1,10:46.0,,P. Gasol makes free throw 2 of 2,2,4
9,1,10:36.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by A. Wiggins),,4,4
10,1,10:24.0,,D. Rose misses 3-pt jump shot from 25 ft,4,4
11,1,10:22.0,Defensive rebound by K. Towns,,4,4
12,1,10:11.0,K. Towns misses 2-pt jump shot from 15 ft,,4,4
13,1,10:10.0,,Defensive rebound by J. Butler,4,4
14,1,9:59.0,,P. Gasol makes 2-pt jump shot from 6 ft,4,6
15,1,9:59.0,,Shooting foul by K. Towns (drawn by P. Gasol),4,6
16,1,9:59.0,G. Dieng enters the game for K. Towns,,4,6
17,1,9:59.0,,P. Gasol misses free throw 1 of 1,4,6
18,1,9:58.0,Defensive rebound by G. Dieng,,4,6
19,1,9:50.0,A. Wiggins makes 2-pt layup from 1 ft,,6,6
20,1,9:50.0,Shooting foul by N. Mirotić (drawn by A. Wiggins),,6,6
21,1,9:50.0,A. Wiggins misses free throw 1 of 1,,6,6
22,1,9:48.0,,Defensive rebound by P. Gasol,6,6
23,1,9:41.0,,Offensive foul by N. Mirotić (drawn by R. Rubio),6,6
24,1,9:41.0,,Turnover by N. Mirotić (offensive foul),6,6
25,1,9:41.0,,J. Noah enters the game for N. Mirotić,6,6
26,1,9:29.0,K. Garnett misses 2-pt jump shot from 19 ft,,6,6
27,1,9:29.0,Offensive rebound by G. Dieng,,6,6
28,1,9:29.0,Personal foul by J. Noah (drawn by G. Dieng),,6,6
29,1,9:20.0,T. Prince misses 2-pt jump shot from 17 ft,,6,6
30,1,9:19.0,,Defensive rebound by P. Gasol,6,6
31,1,9:07.0,,P. Gasol misses 2-pt jump shot from 17 ft,6,6
32,1,9:06.0,Defensive rebound by R. Rubio,,6,6
33,1,8:59.0,G. Dieng makes 2-pt hook shot from 6 ft (assist by R. Rubio),,8,6
34,1,8:48.0,,Turnover by D. Rose (lost ball; steal by K. Garnett),8,6
35,1,8:31.0,A. Wiggins misses 2-pt jump shot from 18 ft,,8,6
36,1,8:28.0,Offensive rebound by G. Dieng,,8,6
37,1,8:19.0,R. Rubio misses 2-pt jump shot from 18 ft,,8,6
38,1,8:18.0,,Defensive rebound by J. Noah,8,6
39,1,7:58.0,,D. Rose misses 2-pt jump shot from 12 ft,8,6
40,1,7:58.0,,Offensive rebound by Team,8,6
41,1,7:55.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Rose),8,9
42,1,7:45.0,Turnover by T. Prince (bad pass; steal by P. Gasol),,8,9
43,1,7:34.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by D. Rose),8,11
44,1,7:28.0,Minnesota full timeout,,8,11
45,1,7:28.0,N. Bjelica enters the game for K. Garnett,,8,11
46,1,7:12.0,T. Prince makes 2-pt jump shot from 21 ft (assist by A. Wiggins),,10,11
47,1,6:50.0,,P. Gasol misses 2-pt jump shot from 20 ft,10,11
48,1,6:49.0,Defensive rebound by N. Bjelica,,10,11
49,1,6:35.0,A. Wiggins makes 3-pt jump shot from 25 ft,,13,11
50,1,6:23.0,,Shooting foul by R. Rubio (drawn by D. Rose),13,11
51,1,6:23.0,,D. Rose misses free throw 1 of 3,13,11
52,1,6:23.0,,Offensive rebound by Team,13,11
53,1,6:23.0,,D. Rose makes free throw 2 of 3,13,12
54,1,6:23.0,,D. Rose makes free throw 3 of 3,13,13
55,1,6:13.0,N. Bjelica misses 3-pt jump shot from 24 ft,,13,13
56,1,6:12.0,,Defensive rebound by J. Butler,13,13
57,1,6:01.0,,Offensive foul by J. Butler (drawn by A. Wiggins),13,13
58,1,6:01.0,,Turnover by J. Butler (offensive foul),13,13
59,1,6:01.0,,A. Brooks enters the game for D. Rose,13,13
60,1,6:01.0,S. Muhammad enters the game for T. Prince,,13,13
61,1,5:47.0,Shooting foul by J. Noah (drawn by N. Bjelica),,13,13
62,1,5:47.0,N. Bjelica makes free throw 1 of 2,,14,13
63,1,5:47.0,N. Bjelica makes free throw 2 of 2,,15,13
64,1,5:36.0,,Turnover by J. Butler (bad pass; steal by R. Rubio),15,13
65,1,5:34.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by N. Bjelica),,18,13
66,1,5:20.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by J. Noah),18,16
67,1,5:06.0,R. Rubio misses 2-pt jump shot from 20 ft,,18,16
68,1,5:05.0,Offensive rebound by N. Bjelica,,18,16
69,1,4:57.0,S. Muhammad makes 2-pt layup from 1 ft (assist by N. Bjelica),,20,16
70,1,4:43.0,,J. Butler misses 3-pt jump shot from 25 ft,20,16
71,1,4:42.0,Defensive rebound by G. Dieng,,20,16
72,1,4:30.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by R. Rubio),,23,16
73,1,4:28.0,,Chicago full timeout,23,16
74,1,4:28.0,,T. Snell enters the game for D. McDermott,23,16
75,1,4:17.0,,Turnover by T. Snell (traveling),23,16
