,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:44.0,A. Bradley misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,Offensive rebound by A. Johnson,,0,0
2,1,11:43.0,A. Johnson makes 2-pt layup from 2 ft,,2,0
3,1,11:30.0,,N. Vučević misses 2-pt hook shot from 11 ft,2,0
4,1,11:28.0,Defensive rebound by A. Johnson,,2,0
5,1,11:19.0,Turnover by I. Thomas (bad pass),,2,0
6,1,10:59.0,,V. Oladipo misses 3-pt jump shot from 23 ft,2,0
7,1,10:57.0,Defensive rebound by I. Thomas,,2,0
8,1,10:42.0,J. Sullinger misses 2-pt jump shot from 13 ft,,2,0
9,1,10:41.0,,Defensive rebound by A. Gordon,2,0
10,1,10:17.0,,A. Gordon misses 2-pt jump shot from 5 ft,2,0
11,1,10:16.0,,Offensive rebound by A. Gordon,2,0
12,1,10:08.0,,E. Payton misses 3-pt jump shot from 25 ft,2,0
13,1,10:06.0,Defensive rebound by A. Bradley,,2,0
14,1,9:56.0,Turnover by A. Bradley (lost ball; steal by V. Oladipo),,2,0
15,1,9:34.0,,A. Gordon makes 2-pt jump shot from 17 ft,2,2
16,1,9:14.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),,5,2
17,1,8:55.0,,V. Oladipo misses 3-pt jump shot from 23 ft,5,2
18,1,8:54.0,Defensive rebound by J. Sullinger,,5,2
19,1,8:50.0,Turnover by A. Bradley (lost ball; steal by V. Oladipo),,5,2
20,1,8:43.0,,N. Vučević misses 2-pt jump shot from 9 ft,5,2
21,1,8:41.0,,Offensive rebound by T. Harris,5,2
22,1,8:41.0,,T. Harris makes 2-pt dunk at rim,5,4
23,1,8:20.0,J. Sullinger misses 2-pt jump shot from 11 ft,,5,4
24,1,8:19.0,Offensive rebound by A. Johnson,,5,4
25,1,8:15.0,I. Thomas misses 3-pt jump shot from 25 ft,,5,4
26,1,8:14.0,,Defensive rebound by N. Vučević,5,4
27,1,8:03.0,,Turnover by E. Payton (bad pass; steal by J. Crowder),5,4
28,1,8:02.0,Personal foul by E. Payton (drawn by J. Crowder),,5,4
29,1,7:46.0,A. Bradley misses 3-pt jump shot from 24 ft,,5,4
30,1,7:44.0,,Defensive rebound by E. Payton,5,4
31,1,7:37.0,,Personal foul by I. Thomas (drawn by N. Vučević),5,4
32,1,7:28.0,,V. Oladipo misses 2-pt jump shot from 9 ft,5,4
33,1,7:27.0,Defensive rebound by I. Thomas,,5,4
34,1,7:23.0,J. Crowder makes 2-pt dunk at rim (assist by I. Thomas),,7,4
35,1,7:04.0,,N. Vučević misses 2-pt jump shot from 15 ft,7,4
36,1,7:03.0,Defensive rebound by J. Sullinger,,7,4
37,1,6:56.0,I. Thomas makes 3-pt jump shot from 24 ft,,10,4
38,1,6:42.0,,E. Payton makes 2-pt layup from 1 ft (assist by V. Oladipo),10,6
39,1,6:07.0,J. Sullinger misses 2-pt jump shot from 22 ft (block by N. Vučević),,10,6
40,1,6:06.0,,Defensive rebound by A. Gordon,10,6
41,1,5:56.0,,Turnover by E. Payton (bad pass; steal by I. Thomas),10,6
42,1,5:53.0,A. Bradley makes 2-pt layup from 1 ft (assist by I. Thomas),,12,6
43,1,5:53.0,Shooting foul by V. Oladipo (drawn by A. Bradley),,12,6
44,1,5:53.0,,Orlando full timeout,12,6
