,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,J. Smith misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Cousins,0,0
2,1,11:23.0,,D. Collison misses 2-pt layup from 2 ft,0,0
3,1,11:22.0,Defensive rebound by K. Love,,0,0
4,1,11:11.0,K. Love makes 2-pt hook shot from 5 ft,,2,0
5,1,10:54.0,,D. Cousins makes 2-pt layup from 2 ft,2,2
6,1,10:39.0,K. Love misses 2-pt hook shot from 6 ft,,2,2
7,1,10:39.0,,Defensive rebound by D. Collison,2,2
8,1,10:26.0,,Shooting foul by T. Thompson (drawn by D. Cousins),2,2
9,1,10:26.0,,D. Cousins makes free throw 1 of 2,2,3
10,1,10:26.0,,D. Cousins makes free throw 2 of 2,2,4
11,1,10:14.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,4,4
12,1,10:09.0,,Turnover by R. Rondo (bad pass),4,4
13,1,10:01.0,Shooting foul by Q. Acy (drawn by T. Thompson),,4,4
14,1,10:01.0,T. Thompson misses free throw 1 of 2,,4,4
15,1,10:01.0,Offensive rebound by Team,,4,4
16,1,10:01.0,T. Thompson makes free throw 2 of 2,,5,4
17,1,9:47.0,,R. Rondo makes 2-pt jump shot from 6 ft,5,6
18,1,9:40.0,K. Irving misses 2-pt layup from 4 ft (block by D. Collison),,5,6
19,1,9:39.0,,Defensive rebound by R. Gay,5,6
20,1,9:29.0,,R. Gay misses 3-pt jump shot from 24 ft,5,6
21,1,9:29.0,Defensive rebound by L. James,,5,6
22,1,9:21.0,L. James makes 2-pt layup from 2 ft,,7,6
23,1,9:01.0,,Q. Acy makes 2-pt dunk at rim (assist by D. Cousins),7,8
24,1,8:38.0,K. Irving makes 3-pt jump shot from 24 ft,,10,8
25,1,8:19.0,,D. Cousins misses 2-pt jump shot from 19 ft,10,8
26,1,8:18.0,Defensive rebound by J. Smith,,10,8
27,1,8:08.0,K. Love misses 2-pt jump shot from 4 ft (block by Q. Acy),,10,8
28,1,8:08.0,Offensive rebound by Team,,10,8
