,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:44.0,,D. Williams misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by D. Favors,,0,0
2,1,11:27.0,R. Hood misses 2-pt hook shot from 11 ft,,0,0
3,1,11:26.0,,Defensive rebound by D. Nowitzki,0,0
4,1,11:14.0,,D. Williams makes 2-pt jump shot from 9 ft (assist by D. Nowitzki),0,2
5,1,10:55.0,G. Hayward misses 3-pt jump shot from 22 ft,,0,2
6,1,10:54.0,Offensive rebound by G. Hayward,,0,2
7,1,10:50.0,G. Hayward makes 2-pt jump shot from 14 ft,,2,2
8,1,10:25.0,,Z. Pachulia misses 2-pt hook shot from 5 ft,2,2
9,1,10:24.0,Defensive rebound by G. Hayward,,2,2
10,1,10:04.0,R. Neto makes 3-pt jump shot from 26 ft,,5,2
11,1,9:45.0,,W. Matthews misses 3-pt jump shot from 25 ft,5,2
12,1,9:44.0,Defensive rebound by R. Gobert,,5,2
13,1,9:33.0,D. Favors makes 2-pt jump shot from 15 ft (assist by R. Neto),,7,2
14,1,9:12.0,,Z. Pachulia makes 2-pt hook shot from 4 ft,7,4
15,1,8:54.0,Shooting foul by D. Nowitzki (drawn by R. Hood),,7,4
16,1,8:54.0,R. Hood makes free throw 1 of 2,,8,4
17,1,8:54.0,R. Hood makes free throw 2 of 2,,9,4
18,1,8:42.0,,W. Matthews misses 2-pt jump shot from 9 ft,9,4
19,1,8:41.0,,Offensive rebound by Team,9,4
20,1,8:40.0,,Turnover by D. Williams (bad pass; steal by R. Gobert),9,4
21,1,8:20.0,R. Gobert misses 2-pt jump shot from 2 ft (block by D. Nowitzki),,9,4
22,1,8:18.0,,Defensive rebound by Z. Pachulia,9,4
23,1,8:08.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by C. Parsons),9,7
24,1,7:51.0,Turnover by D. Favors (lost ball; steal by Z. Pachulia),,9,7
25,1,7:48.0,,Personal take foul by R. Hood (drawn by C. Parsons),9,7
26,1,7:46.0,,C. Parsons makes 2-pt layup from 1 ft (assist by W. Matthews),9,9
27,1,7:28.0,D. Favors makes 2-pt jump shot from 15 ft,,11,9
28,1,7:20.0,,C. Parsons misses 3-pt jump shot from 24 ft,11,9
29,1,7:19.0,Defensive rebound by R. Gobert,,11,9
30,1,7:12.0,R. Neto makes 2-pt layup from 2 ft,,13,9
31,1,6:49.0,,C. Parsons makes 2-pt jump shot from 14 ft,13,11
32,1,6:26.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Hood),,16,11
33,1,6:09.0,,Z. Pachulia makes 2-pt hook shot from 4 ft (assist by C. Parsons),16,13
34,1,5:44.0,Turnover by D. Favors (lost ball; steal by D. Williams),,16,13
35,1,5:37.0,,Turnover by C. Parsons (bad pass),16,13
36,1,5:37.0,,Dallas full timeout,16,13
37,1,5:37.0,,D. Harris enters the game for D. Nowitzki,16,13
38,1,5:37.0,,D. Powell enters the game for W. Matthews,16,13
39,1,5:23.0,Turnover by R. Hood (lost ball; steal by D. Williams),,16,13
40,1,5:11.0,,D. Harris misses 3-pt jump shot from 24 ft,16,13
41,1,5:10.0,Defensive rebound by R. Neto,,16,13
42,1,4:48.0,R. Neto misses 3-pt jump shot from 24 ft,,16,13
43,1,4:47.0,,Defensive rebound by Team,16,13
44,1,4:46.0,T. Booker enters the game for D. Favors,,16,13
45,1,4:46.0,T. Burke enters the game for R. Hood,,16,13
46,1,4:46.0,A. Burks enters the game for R. Neto,,16,13
47,1,4:26.0,,C. Parsons misses 2-pt jump shot from 6 ft,16,13
48,1,4:25.0,,Offensive rebound by Z. Pachulia,16,13
49,1,4:22.0,,Shooting foul by T. Booker (drawn by D. Powell),16,13
50,1,4:22.0,,D. Powell makes free throw 1 of 2,16,14
51,1,4:22.0,,D. Powell makes free throw 2 of 2,16,15
52,1,4:06.0,G. Hayward misses 2-pt jump shot from 17 ft,,16,15
53,1,4:05.0,Offensive rebound by T. Booker,,16,15
54,1,4:05.0,T. Booker misses 2-pt jump shot from 2 ft,,16,15
55,1,4:04.0,Offensive rebound by Team,,16,15
56,1,3:57.0,A. Burks misses 3-pt jump shot from 25 ft,,16,15
57,1,3:56.0,,Defensive rebound by Z. Pachulia,16,15
58,1,3:56.0,Loose ball foul by R. Gobert (drawn by Z. Pachulia),,16,15
59,1,3:46.0,,D. Williams misses 3-pt jump shot from 23 ft,16,15
60,1,3:45.0,Defensive rebound by R. Gobert,,16,15
61,1,3:38.0,Turnover by A. Burks (lost ball; steal by D. Powell),,16,15
62,1,3:34.0,,D. Harris makes 2-pt layup from 1 ft (assist by D. Williams),16,17
63,1,3:05.0,T. Burke misses 3-pt jump shot from 23 ft,,16,17
64,1,3:04.0,Offensive rebound by R. Gobert,,16,17
65,1,2:54.0,A. Burks misses 3-pt jump shot from 22 ft,,16,17
66,1,2:54.0,,Defensive rebound by Z. Pachulia,16,17
67,1,2:54.0,Loose ball foul by T. Booker (drawn by Z. Pachulia),,16,17
68,1,2:54.0,Utah full timeout,,16,17
69,1,2:54.0,,R. Felton enters the game for C. Parsons,16,17
70,1,2:54.0,,W. Matthews enters the game for D. Williams,16,17
71,1,2:54.0,T. Lyles enters the game for T. Booker,,16,17
72,1,2:33.0,,W. Matthews misses 3-pt jump shot from 24 ft,16,17
73,1,2:32.0,,Offensive rebound by D. Powell,16,17
74,1,2:23.0,,D. Powell makes 2-pt jump shot from 18 ft (assist by D. Harris),16,19
75,1,1:54.0,G. Hayward makes 3-pt jump shot from 29 ft,,19,19
76,1,1:29.0,,R. Felton misses 3-pt jump shot from 23 ft,19,19
77,1,1:28.0,Defensive rebound by R. Gobert,,19,19
78,1,1:23.0,Personal foul by R. Felton (drawn by G. Hayward),,19,19
79,1,1:23.0,,D. Nowitzki enters the game for Z. Pachulia,19,19
80,1,1:23.0,D. Favors enters the game for R. Gobert,,19,19
81,1,1:10.0,Shooting block foul by D. Powell (drawn by A. Burks),,19,19
82,1,1:10.0,A. Burks makes free throw 1 of 2,,20,19
83,1,1:10.0,A. Burks makes free throw 2 of 2,,21,19
84,1,0:59.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,21,19
85,1,0:58.0,Defensive rebound by G. Hayward,,21,19
86,1,0:41.0,J. Ingles enters the game for G. Hayward,,21,19
87,1,0:35.0,T. Burke makes 2-pt jump shot from 20 ft (assist by D. Favors),,23,19
88,1,0:17.0,,Shooting foul by T. Lyles (drawn by R. Felton),23,19
89,1,0:17.0,,R. Felton makes free throw 1 of 2,23,20
90,1,0:17.0,,Z. Pachulia enters the game for D. Nowitzki,23,20
91,1,0:17.0,,J. Evans enters the game for D. Powell,23,20
92,1,0:17.0,,R. Felton makes free throw 2 of 2,23,21
93,1,0:04.0,A. Burks makes 3-pt jump shot from 24 ft,,26,21
94,1,0:00.0,,R. Felton misses 3-pt jump shot from 46 ft,26,21
95,1,0:00.0,,Offensive rebound by Team,26,21
96,2,11:35.0,T. Burke misses 2-pt jump shot from 12 ft,,26,21
97,2,11:34.0,,Defensive rebound by D. Nowitzki,26,21
98,2,11:22.0,,D. Nowitzki makes 2-pt jump shot from 12 ft,26,23
99,2,11:07.0,D. Favors misses 2-pt jump shot from 4 ft (block by D. Powell),,26,23
100,2,11:05.0,Offensive rebound by D. Favors,,26,23
101,2,11:04.0,D. Favors misses 2-pt jump shot from 2 ft,,26,23
102,2,11:03.0,Offensive rebound by D. Favors,,26,23
103,2,11:03.0,D. Favors makes 2-pt jump shot from 2 ft,,28,23
104,2,10:42.0,,W. Matthews misses 3-pt jump shot from 23 ft,28,23
105,2,10:41.0,Defensive rebound by A. Burks,,28,23
106,2,10:32.0,A. Burks makes 2-pt layup from 1 ft,,30,23
107,2,10:13.0,,D. Powell makes 2-pt jump shot from 1 ft (assist by R. Felton),30,25
108,2,10:13.0,,Shooting foul by T. Lyles (drawn by D. Powell),30,25
109,2,10:13.0,,J. Barea enters the game for W. Matthews,30,25
110,2,10:13.0,,C. Parsons enters the game for D. Harris,30,25
111,2,10:13.0,J. Withey enters the game for T. Lyles,,30,25
112,2,10:13.0,,D. Powell makes free throw 1 of 1,30,26
113,2,9:48.0,J. Ingles misses 2-pt jump shot from 23 ft,,30,26
114,2,9:47.0,,Defensive rebound by D. Nowitzki,30,26
115,2,9:38.0,,R. Felton misses 2-pt jump shot from 20 ft,30,26
116,2,9:37.0,Defensive rebound by A. Burks,,30,26
117,2,9:31.0,A. Burks makes 2-pt layup from 2 ft,,32,26
118,2,9:30.0,,Dallas full timeout,32,26
119,2,9:16.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,32,26
120,2,9:15.0,Defensive rebound by T. Burke,,32,26
121,2,9:15.0,Turnover by T. Burke (lost ball; steal by D. Powell),,32,26
122,2,9:13.0,,Shooting foul by J. Withey (drawn by D. Powell),32,26
123,2,9:13.0,,D. Powell makes free throw 1 of 2,32,27
124,2,9:13.0,,D. Powell makes free throw 2 of 2,32,28
125,2,9:03.0,R. Hood enters the game for T. Burke,,32,28
126,2,9:03.0,R. Neto enters the game for J. Ingles,,32,28
127,2,8:50.0,R. Neto misses 2-pt jump shot from 4 ft (block by D. Nowitzki),,32,28
128,2,8:48.0,,Defensive rebound by J. Barea,32,28
129,2,8:42.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Barea),32,31
130,2,8:24.0,Personal foul by C. Parsons (drawn by A. Burks),,32,31
131,2,8:24.0,R. Gobert enters the game for J. Withey,,32,31
132,2,8:15.0,R. Neto misses 2-pt jump shot from 12 ft,,32,31
133,2,8:14.0,,Defensive rebound by J. Barea,32,31
134,2,7:59.0,,J. Barea makes 2-pt jump shot from 7 ft,32,33
