,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,T. Young makes 2-pt jump shot from 16 ft,,2,0
1,1,11:22.0,,J. Anderson misses 3-pt jump shot from 23 ft,2,0
2,1,11:22.0,,Offensive rebound by D. Cousins,2,0
3,1,11:19.0,,D. Cousins misses 2-pt layup from 2 ft,2,0
4,1,11:17.0,Defensive rebound by T. Young,,2,0
5,1,11:01.0,Turnover by T. Young (lost ball; steal by W. Cauley-Stein),,2,0
6,1,10:59.0,Violation by T. Young (kicked ball),,2,0
7,1,10:49.0,,Turnover by R. Rondo (bad pass; steal by T. Young),2,0
8,1,10:40.0,J. Johnson misses 2-pt layup from 1 ft (block by D. Cousins),,2,0
9,1,10:38.0,Offensive rebound by Team,,2,0
10,1,10:29.0,J. Johnson makes 2-pt jump shot from 22 ft,,4,0
11,1,10:13.0,,D. Cousins misses 3-pt jump shot from 23 ft,4,0
12,1,10:13.0,Defensive rebound by R. Hollis-Jefferson,,4,0
13,1,10:03.0,J. Johnson misses 3-pt jump shot from 24 ft,,4,0
14,1,10:03.0,,Defensive rebound by R. Rondo,4,0
15,1,9:54.0,,C. Butler makes 3-pt jump shot from 26 ft (assist by R. Rondo),4,3
16,1,9:41.0,B. Lopez makes 2-pt jump shot from 12 ft (assist by J. Jack),,6,3
17,1,9:32.0,,D. Cousins misses 2-pt jump shot from 3 ft,6,3
18,1,9:31.0,,Offensive rebound by R. Rondo,6,3
19,1,9:31.0,,R. Rondo misses 2-pt jump shot from 2 ft,6,3
20,1,9:30.0,Defensive rebound by R. Hollis-Jefferson,,6,3
21,1,9:21.0,J. Jack makes 2-pt jump shot from 16 ft (assist by R. Hollis-Jefferson),,8,3
22,1,9:03.0,,R. Rondo misses 2-pt jump shot from 19 ft,8,3
23,1,9:03.0,Defensive rebound by B. Lopez,,8,3
24,1,8:53.0,B. Lopez misses 2-pt jump shot from 9 ft,,8,3
