,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:45.0,,A. Afflalo makes 2-pt jump shot from 18 ft (assist by J. Calderón),0,2
1,1,11:25.0,K. Walker misses 3-pt jump shot from 23 ft,,0,2
2,1,11:24.0,,Defensive rebound by R. Lopez,0,2
3,1,11:17.0,,Shooting foul by C. Zeller (drawn by R. Lopez),0,2
4,1,11:17.0,,R. Lopez makes free throw 1 of 2,0,3
5,1,11:17.0,,R. Lopez makes free throw 2 of 2,0,4
6,1,10:58.0,A. Jefferson misses 2-pt hook shot from 6 ft,,0,4
7,1,10:58.0,,Defensive rebound by K. Porziņģis,0,4
8,1,10:39.0,,R. Lopez misses 2-pt hook shot from 3 ft,0,4
9,1,10:38.0,Defensive rebound by C. Zeller,,0,4
10,1,10:29.0,Shooting foul by A. Afflalo (drawn by N. Batum),,0,4
11,1,10:29.0,N. Batum misses free throw 1 of 2,,0,4
12,1,10:29.0,Offensive rebound by Team,,0,4
13,1,10:29.0,N. Batum makes free throw 2 of 2,,1,4
14,1,10:11.0,,K. Porziņģis makes 2-pt hook shot from 5 ft (assist by C. Anthony),1,6
15,1,10:00.0,C. Zeller makes 2-pt layup at rim (assist by K. Walker),,3,6
16,1,10:00.0,Shooting foul by R. Lopez (drawn by C. Zeller),,3,6
17,1,10:00.0,C. Zeller misses free throw 1 of 1,,3,6
18,1,10:00.0,,Defensive rebound by K. Porziņģis,3,6
19,1,9:42.0,,J. Calderón misses 2-pt jump shot from 14 ft,3,6
20,1,9:42.0,Defensive rebound by C. Zeller,,3,6
21,1,9:36.0,K. Walker misses 3-pt jump shot from 25 ft,,3,6
22,1,9:35.0,,Defensive rebound by R. Lopez,3,6
23,1,9:24.0,,A. Afflalo misses 3-pt jump shot from 25 ft,3,6
24,1,9:23.0,Defensive rebound by C. Zeller,,3,6
25,1,9:14.0,K. Walker makes 2-pt layup at rim,,5,6
26,1,9:01.0,,K. Porziņģis misses 2-pt layup from 1 ft (block by C. Zeller),5,6
27,1,9:00.0,Defensive rebound by A. Jefferson,,5,6
28,1,8:52.0,Turnover by C. Zeller (lost ball; steal by R. Lopez),,5,6
29,1,8:44.0,,C. Anthony makes 2-pt jump shot from 12 ft,5,8
30,1,8:24.0,C. Zeller misses 2-pt jump shot from 6 ft (block by K. Porziņģis),,5,8
31,1,8:23.0,Offensive rebound by C. Zeller,,5,8
32,1,8:22.0,C. Zeller makes 2-pt layup at rim,,7,8
33,1,8:10.0,,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by J. Calderón),7,10
34,1,7:56.0,K. Walker makes 2-pt jump shot from 15 ft,,9,10
35,1,7:41.0,,C. Anthony misses 2-pt jump shot from 19 ft,9,10
36,1,7:40.0,,Offensive rebound by R. Lopez,9,10
37,1,7:35.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by R. Lopez),9,13
38,1,7:14.0,A. Jefferson makes 2-pt jump shot from 6 ft,,11,13
39,1,6:58.0,,A. Afflalo misses 3-pt jump shot from 25 ft,11,13
40,1,6:57.0,,Offensive rebound by R. Lopez,11,13
41,1,6:46.0,,Turnover by A. Afflalo (lost ball; steal by K. Walker),11,13
42,1,6:37.0,N. Batum misses 2-pt jump shot from 11 ft,,11,13
43,1,6:36.0,,Defensive rebound by K. Porziņģis,11,13
44,1,6:25.0,,J. Calderón misses 2-pt jump shot from 17 ft,11,13
45,1,6:24.0,,Offensive rebound by K. Porziņģis,11,13
46,1,6:23.0,,K. Porziņģis misses 2-pt layup from 1 ft,11,13
47,1,6:22.0,Defensive rebound by N. Batum,,11,13
48,1,6:18.0,N. Batum misses 2-pt jump shot from 10 ft,,11,13
49,1,6:17.0,,Defensive rebound by Team,11,13
50,1,6:17.0,Loose ball foul by C. Zeller (drawn by A. Afflalo),,11,13
51,1,6:17.0,,New York full timeout,11,13
52,1,6:17.0,F. Kaminsky enters the game for C. Zeller,,11,13
53,1,5:59.0,,Turnover by R. Lopez (bad pass; steal by A. Jefferson),11,13
54,1,5:48.0,M. Williams misses 2-pt jump shot from 15 ft,,11,13
55,1,5:48.0,,Defensive rebound by K. Porziņģis,11,13
56,1,5:42.0,,C. Anthony misses 3-pt jump shot from 24 ft,11,13
57,1,5:42.0,Defensive rebound by K. Walker,,11,13
58,1,5:31.0,K. Walker misses 2-pt jump shot from 19 ft (block by C. Anthony),,11,13
59,1,5:30.0,,Defensive rebound by C. Anthony,11,13
60,1,5:18.0,,R. Lopez misses 2-pt jump shot from 11 ft,11,13
61,1,5:17.0,Defensive rebound by N. Batum,,11,13
62,1,5:12.0,Personal foul by C. Anthony (drawn by N. Batum),,11,13
63,1,5:02.0,K. Walker makes 2-pt jump shot from 16 ft,,13,13
64,1,4:41.0,,K. Porziņģis makes 2-pt jump shot from 9 ft,13,15
65,1,4:26.0,A. Jefferson makes 2-pt jump shot from 11 ft (assist by M. Williams),,15,15
66,1,4:09.0,,A. Afflalo misses 3-pt jump shot from 25 ft,15,15
67,1,4:08.0,,Offensive rebound by R. Lopez,15,15
68,1,4:02.0,,J. Calderón makes 3-pt jump shot from 25 ft (assist by A. Afflalo),15,18
69,1,3:44.0,A. Jefferson misses 2-pt jump shot from 16 ft,,15,18
70,1,3:43.0,,Defensive rebound by A. Afflalo,15,18
71,1,3:25.0,,A. Afflalo makes 2-pt jump shot from 16 ft,15,20
72,1,3:17.0,Charlotte full timeout,,15,20
73,1,3:17.0,,K. Séraphin enters the game for R. Lopez,15,20
74,1,3:17.0,,J. Grant enters the game for A. Afflalo,15,20
75,1,3:17.0,,L. Galloway enters the game for J. Calderón,15,20
76,1,3:17.0,S. Hawes enters the game for M. Williams,,15,20
77,1,3:17.0,J. Lamb enters the game for A. Jefferson,,15,20
78,1,3:07.0,N. Batum misses 3-pt jump shot from 24 ft,,15,20
79,1,3:07.0,,Defensive rebound by L. Galloway,15,20
80,1,2:51.0,,C. Anthony misses 2-pt layup from 1 ft,15,20
81,1,2:51.0,,Offensive rebound by K. Séraphin,15,20
82,1,2:43.0,,K. Porziņģis makes 2-pt jump shot from 1 ft (assist by K. Séraphin),15,22
83,1,2:28.0,,Violation by J. Grant (kicked ball),15,22
84,1,2:28.0,J. Lin enters the game for K. Walker,,15,22
85,1,2:15.0,F. Kaminsky misses 2-pt jump shot from 6 ft,,15,22
86,1,2:15.0,,Defensive rebound by K. Porziņģis,15,22
87,1,1:59.0,,L. Galloway misses 2-pt jump shot from 16 ft,15,22
88,1,1:59.0,Defensive rebound by F. Kaminsky,,15,22
89,1,1:49.0,N. Batum misses 2-pt jump shot from 19 ft,,15,22
90,1,1:48.0,,Defensive rebound by C. Anthony,15,22
91,1,1:35.0,,K. Séraphin makes 2-pt hook shot from 8 ft,15,24
92,1,1:21.0,S. Hawes makes 2-pt jump shot from 12 ft (assist by J. Lamb),,17,24
93,1,1:06.0,,K. Séraphin misses 2-pt jump shot from 18 ft,17,24
94,1,1:05.0,Defensive rebound by N. Batum,,17,24
95,1,0:59.0,Personal foul by L. Galloway (drawn by N. Batum),,17,24
96,1,0:59.0,,D. Williams enters the game for K. Porziņģis,17,24
