,QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,,Turnover by A. Bogut (bad pass; steal by E. Payton),0,0
1,1,11:35.0,E. Fournier misses 2-pt layup from 1 ft (block by D. Green),,0,0
2,1,11:33.0,Offensive rebound by A. Gordon,,0,0
3,1,11:29.0,V. Oladipo misses 3-pt jump shot from 25 ft,,0,0
4,1,11:29.0,,Defensive rebound by A. Bogut,0,0
5,1,11:17.0,,Turnover by D. Green (bad pass),0,0
6,1,11:05.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,2,0
7,1,10:50.0,,Shooting foul by A. Gordon (drawn by D. Green),2,0
8,1,10:50.0,,D. Green makes free throw 1 of 2,2,1
9,1,10:50.0,,D. Green misses free throw 2 of 2,2,1
10,1,10:49.0,Defensive rebound by A. Gordon,,2,1
11,1,10:33.0,A. Gordon misses 2-pt jump shot from 15 ft,,2,1
12,1,10:32.0,,Defensive rebound by A. Bogut,2,1
13,1,10:21.0,,S. Curry misses 2-pt layup from 2 ft,2,1
14,1,10:21.0,Defensive rebound by A. Gordon,,2,1
15,1,10:10.0,J. Smith misses 2-pt jump shot from 18 ft,,2,1
16,1,10:10.0,,Defensive rebound by D. Green,2,1
17,1,10:09.0,,Turnover by D. Green (bad pass; steal by J. Smith),2,1
18,1,10:03.0,V. Oladipo makes 2-pt layup from 1 ft,,4,1
19,1,9:54.0,,S. Curry makes 3-pt jump shot from 27 ft,4,4
20,1,9:44.0,V. Oladipo misses 2-pt jump shot from 6 ft,,4,4
21,1,9:43.0,,Defensive rebound by D. Green,4,4
22,1,9:33.0,,S. Curry makes 2-pt layup from 1 ft,4,6
23,1,9:22.0,E. Payton makes 2-pt jump shot from 7 ft,,6,6
24,1,9:08.0,,K. Thompson misses 3-pt jump shot from 24 ft,6,6
25,1,9:07.0,Defensive rebound by E. Payton,,6,6
26,1,8:58.0,J. Smith makes 2-pt jump shot from 14 ft (assist by E. Payton),,8,6
27,1,8:40.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),8,9
28,1,8:26.0,A. Gordon misses 2-pt jump shot from 15 ft,,8,9
29,1,8:26.0,,Defensive rebound by A. Bogut,8,9
30,1,8:17.0,,K. Thompson misses 2-pt jump shot from 11 ft,8,9
31,1,8:16.0,Defensive rebound by A. Gordon,,8,9
32,1,7:51.0,J. Smith misses 2-pt jump shot from 17 ft,,8,9
33,1,7:50.0,Offensive rebound by A. Gordon,,8,9
34,1,7:50.0,A. Gordon misses 2-pt layup from 1 ft,,8,9
35,1,7:49.0,Offensive rebound by A. Gordon,,8,9
36,1,7:49.0,A. Gordon misses 2-pt layup from 1 ft,,8,9
37,1,7:48.0,,Defensive rebound by K. Thompson,8,9
38,1,7:36.0,,Turnover by A. Bogut (bad pass; steal by J. Smith),8,9
39,1,7:31.0,J. Smith makes 2-pt layup at rim (assist by V. Oladipo),,10,9
40,1,7:31.0,,Golden State full timeout,10,9
41,1,7:15.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by A. Bogut),10,11
42,1,6:56.0,E. Fournier misses 2-pt jump shot from 18 ft,,10,11
43,1,6:56.0,,Defensive rebound by D. Green,10,11
44,1,6:50.0,,S. Curry misses 3-pt jump shot from 23 ft,10,11
45,1,6:49.0,Defensive rebound by J. Smith,,10,11
46,1,6:41.0,A. Gordon makes 2-pt dunk at rim (assist by V. Oladipo),,12,11
47,1,6:29.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),12,14
48,1,6:15.0,Turnover by V. Oladipo (bad pass; steal by S. Curry),,12,14
49,1,6:05.0,,K. Thompson misses 2-pt hook shot from 4 ft,12,14
50,1,6:03.0,Defensive rebound by Team,,12,14
51,1,5:54.0,E. Payton misses 2-pt jump shot from 12 ft,,12,14
52,1,5:54.0,,Defensive rebound by D. Green,12,14
53,1,5:45.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),12,16
54,1,5:33.0,Turnover by J. Smith (bad pass; steal by D. Green),,12,16
55,1,5:24.0,,Turnover by D. Green (bad pass; steal by E. Fournier),12,16
56,1,5:16.0,J. Smith misses 2-pt jump shot from 15 ft,,12,16
57,1,5:15.0,,Defensive rebound by K. Thompson,12,16
58,1,5:03.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),12,18
59,1,5:02.0,Orlando full timeout,,12,18
60,1,5:02.0,,B. Rush enters the game for H. Barnes,12,18
61,1,5:02.0,,L. Barbosa enters the game for K. Thompson,12,18
62,1,4:52.0,E. Payton misses 2-pt jump shot from 5 ft (block by A. Bogut),,12,18
63,1,4:50.0,,Defensive rebound by D. Green,12,18
64,1,4:43.0,,B. Rush makes 3-pt jump shot from 25 ft,12,21
65,1,4:25.0,A. Gordon misses 2-pt jump shot from 22 ft,,12,21
66,1,4:25.0,,Defensive rebound by A. Bogut,12,21
67,1,4:10.0,,B. Rush misses 3-pt jump shot from 22 ft,12,21
68,1,4:09.0,Defensive rebound by V. Oladipo,,12,21
69,1,3:58.0,E. Payton misses 2-pt jump shot from 5 ft (block by A. Bogut),,12,21
70,1,3:57.0,,Defensive rebound by S. Curry,12,21
71,1,3:38.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Bogut),12,24
72,1,3:16.0,Personal foul by L. Barbosa (drawn by E. Payton),,12,24
73,1,3:16.0,E. İlyasova enters the game for A. Gordon,,12,24
74,1,3:16.0,B. Jennings enters the game for J. Smith,,12,24
75,1,3:16.0,D. Dedmon enters the game for E. Payton,,12,24
76,1,3:16.0,,M. Speights enters the game for A. Bogut,12,24
77,1,3:05.0,V. Oladipo makes 2-pt jump shot from 15 ft (assist by B. Jennings),,14,24
78,1,2:54.0,,L. Barbosa misses 3-pt jump shot from 22 ft,14,24
79,1,2:52.0,,Offensive rebound by D. Green,14,24
80,1,2:39.0,,S. Curry misses 2-pt jump shot from 20 ft,14,24
81,1,2:39.0,Defensive rebound by D. Dedmon,,14,24
82,1,2:30.0,B. Jennings misses 3-pt jump shot from 24 ft,,14,24
83,1,2:29.0,Offensive rebound by Team,,14,24
84,1,2:29.0,,Loose ball foul by S. Curry (drawn by E. İlyasova),14,24
85,1,2:29.0,M. Hezonja enters the game for E. Fournier,,14,24
86,1,2:29.0,,H. Barnes enters the game for D. Green,14,24
87,1,2:21.0,Turnover by V. Oladipo (lost ball; steal by S. Curry),,14,24
88,1,2:18.0,,Turnover by B. Rush (lost ball; steal by D. Dedmon),14,24
89,1,2:08.0,E. İlyasova misses 2-pt jump shot from 12 ft (block by M. Speights),,14,24
90,1,2:07.0,,Defensive rebound by S. Curry,14,24
91,1,2:01.0,,H. Barnes misses 3-pt jump shot from 22 ft,14,24
92,1,2:00.0,,Offensive rebound by S. Curry,14,24
93,1,1:51.0,,Shooting foul by E. İlyasova (drawn by H. Barnes),14,24
94,1,1:51.0,,H. Barnes makes free throw 1 of 2,14,25
95,1,1:51.0,C. Watson enters the game for V. Oladipo,,14,25
96,1,1:51.0,,H. Barnes makes free throw 2 of 2,14,26
97,1,1:39.0,M. Hezonja misses 3-pt jump shot from 26 ft,,14,26
98,1,1:38.0,,Defensive rebound by L. Barbosa,14,26
