,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:44.0,,G. Harris makes 2-pt jump shot from 16 ft (assist by N. Jokić),0,2
1,1,11:27.0,D. Russell makes 2-pt jump shot from 20 ft,,2,2
2,1,11:15.0,,N. Jokić makes 2-pt jump shot from 19 ft,2,4
3,1,10:57.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),,5,4
4,1,10:37.0,,N. Jokić misses 2-pt jump shot from 17 ft,5,4
5,1,10:36.0,Defensive rebound by D. Russell,,5,4
6,1,10:30.0,Turnover by R. Hibbert (3 sec),,5,4
7,1,10:07.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by G. Harris),5,7
8,1,9:46.0,R. Hibbert misses 2-pt hook shot from 4 ft,,5,7
9,1,9:43.0,Offensive rebound by J. Randle,,5,7
10,1,9:43.0,J. Randle misses 2-pt layup from 1 ft,,5,7
11,1,9:41.0,,Defensive rebound by N. Jokić,5,7
12,1,9:38.0,,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),5,9
13,1,9:19.0,D. Russell makes 2-pt jump shot from 18 ft (assist by K. Bryant),,7,9
14,1,9:08.0,,E. Mudiay makes 3-pt jump shot from 22 ft (assist by G. Harris),7,12
15,1,8:49.0,D. Russell misses 2-pt jump shot from 8 ft,,7,12
16,1,8:48.0,,Defensive rebound by N. Jokić,7,12
17,1,8:43.0,,G. Harris misses 2-pt jump shot from 22 ft,7,12
18,1,8:43.0,Defensive rebound by Team,,7,12
19,1,8:43.0,,Loose ball foul by N. Jokić (drawn by R. Hibbert),7,12
20,1,8:25.0,J. Randle misses 2-pt jump shot from 16 ft,,7,12
21,1,8:24.0,,Defensive rebound by N. Jokić,7,12
22,1,8:19.0,,Turnover by N. Jokić (bad pass; steal by D. Russell),7,12
23,1,8:13.0,K. Bryant misses 3-pt jump shot from 25 ft,,7,12
24,1,8:12.0,,Defensive rebound by G. Harris,7,12
25,1,8:04.0,,Shooting foul by R. Hibbert (drawn by N. Jokić),7,12
26,1,8:04.0,,N. Jokić misses free throw 1 of 2,7,12
27,1,8:04.0,,Offensive rebound by Team,7,12
28,1,8:04.0,,N. Jokić makes free throw 2 of 2,7,13
29,1,7:49.0,Turnover by J. Clarkson (lost ball; steal by G. Harris),,7,13
30,1,7:43.0,,E. Mudiay makes 2-pt layup from 1 ft,7,15
31,1,7:20.0,R. Hibbert misses 2-pt hook shot from 8 ft,,7,15
