,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
0,1,11:36.0,J. Butler makes 2-pt jump shot from 14 ft (assist by D. Rose),,2,0
1,1,11:19.0,,J. Calderón misses 3-pt jump shot from 24 ft,2,0
2,1,11:17.0,Defensive rebound by T. Snell,,2,0
3,1,11:01.0,T. Gibson makes 2-pt jump shot from 17 ft,,4,0
4,1,10:45.0,,Turnover by R. Lopez (lost ball; steal by J. Noah),4,0
5,1,10:39.0,T. Snell misses 2-pt layup at rim,,4,0
6,1,10:37.0,Offensive rebound by J. Noah,,4,0
7,1,10:37.0,J. Noah makes 2-pt layup from 1 ft,,6,0
8,1,10:16.0,,C. Anthony makes 2-pt jump shot from 10 ft,6,2
9,1,10:02.0,Shooting foul by R. Lopez (drawn by J. Noah),,6,2
10,1,10:02.0,J. Noah makes free throw 1 of 2,,7,2
11,1,10:02.0,J. Noah misses free throw 2 of 2,,7,2
12,1,10:02.0,,Defensive rebound by A. Afflalo,7,2
13,1,9:48.0,,Turnover by A. Afflalo (bad pass; steal by J. Butler),7,2
14,1,9:37.0,D. Rose misses 2-pt jump shot from 10 ft,,7,2
15,1,9:35.0,Offensive rebound by D. Rose,,7,2
16,1,9:32.0,J. Noah misses 2-pt layup from 1 ft (block by K. Porziņģis),,7,2
17,1,9:30.0,Offensive rebound by J. Noah,,7,2
18,1,9:25.0,T. Snell makes 3-pt jump shot from 24 ft (assist by J. Noah),,10,2
19,1,9:05.0,,C. Anthony misses 3-pt jump shot from 25 ft,10,2
20,1,9:03.0,Defensive rebound by T. Snell,,10,2
21,1,8:54.0,J. Noah makes 2-pt layup from 2 ft (assist by J. Butler),,12,2
22,1,8:48.0,,New York full timeout,12,2
23,1,8:35.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by J. Calderón),12,5
24,1,8:21.0,Turnover by D. Rose (lost ball),,12,5
25,1,8:07.0,,A. Afflalo misses 2-pt jump shot from 14 ft,12,5
26,1,8:05.0,Defensive rebound by J. Noah,,12,5
27,1,7:52.0,T. Gibson misses 2-pt hook shot from 6 ft,,12,5
28,1,7:51.0,,Defensive rebound by R. Lopez,12,5
29,1,7:40.0,,C. Anthony misses 3-pt jump shot from 24 ft,12,5
30,1,7:38.0,Defensive rebound by J. Noah,,12,5
31,1,7:30.0,D. Rose misses 2-pt layup from 2 ft,,12,5
32,1,7:28.0,,Defensive rebound by A. Afflalo,12,5
33,1,7:24.0,,C. Anthony makes 2-pt layup from 1 ft (assist by A. Afflalo),12,7
34,1,7:11.0,J. Butler misses 2-pt jump shot from 12 ft,,12,7
35,1,7:09.0,,Defensive rebound by K. Porziņģis,12,7
36,1,6:54.0,,R. Lopez makes 2-pt layup from 1 ft (assist by C. Anthony),12,9
37,1,6:52.0,Chicago full timeout,,12,9
38,1,6:41.0,Shooting foul by K. Porziņģis (drawn by J. Butler),,12,9
39,1,6:41.0,J. Butler makes free throw 1 of 2,,13,9
40,1,6:41.0,K. Hinrich enters the game for D. Rose,,13,9
41,1,6:41.0,J. Butler makes free throw 2 of 2,,14,9
42,1,6:21.0,,J. Calderón misses 3-pt jump shot from 24 ft,14,9
43,1,6:19.0,Defensive rebound by T. Gibson,,14,9
44,1,6:06.0,J. Butler misses 2-pt jump shot from 18 ft,,14,9
45,1,6:04.0,,Defensive rebound by J. Calderón,14,9
46,1,5:47.0,,C. Anthony misses 2-pt jump shot from 13 ft,14,9
47,1,5:45.0,Defensive rebound by T. Snell,,14,9
48,1,5:30.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by J. Noah),,16,9
49,1,5:09.0,,A. Afflalo misses 2-pt jump shot from 4 ft,16,9
50,1,5:06.0,Defensive rebound by K. Hinrich,,16,9
51,1,4:52.0,Turnover by J. Noah (lost ball; steal by K. Porziņģis),,16,9
52,1,4:43.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,16,9
53,1,4:41.0,,Offensive rebound by C. Anthony,16,9
54,1,4:40.0,,C. Anthony makes 2-pt layup from 1 ft,16,11
55,1,4:18.0,Personal foul by A. Afflalo (drawn by T. Gibson),,16,11
56,1,4:18.0,,K. O'Quinn enters the game for R. Lopez,16,11
57,1,4:18.0,N. Mirotić enters the game for T. Gibson,,16,11
58,1,4:18.0,D. McDermott enters the game for T. Snell,,16,11
59,1,4:18.0,,L. Thomas enters the game for K. Porziņģis,16,11
60,1,4:11.0,D. McDermott misses 2-pt jump shot from 18 ft,,16,11
61,1,4:09.0,,Defensive rebound by K. O'Quinn,16,11
62,1,3:56.0,,J. Calderón misses 3-pt jump shot from 24 ft,16,11
63,1,3:54.0,Defensive rebound by K. Hinrich,,16,11
64,1,3:46.0,N. Mirotić misses 3-pt jump shot from 24 ft,,16,11
65,1,3:44.0,,Defensive rebound by K. O'Quinn,16,11
66,1,3:33.0,,Shooting foul by K. Hinrich (drawn by J. Calderón),16,11
67,1,3:33.0,,J. Calderón makes free throw 1 of 2,16,12
68,1,3:33.0,,J. Calderón makes free throw 2 of 2,16,13
69,1,3:23.0,K. Hinrich misses 3-pt jump shot from 25 ft,,16,13
70,1,3:21.0,,Defensive rebound by Team,16,13
71,1,3:21.0,,L. Galloway enters the game for J. Calderón,16,13
72,1,3:02.0,,L. Thomas makes 2-pt jump shot from 5 ft,16,15
73,1,2:51.0,Turnover by K. Hinrich (bad pass),,16,15
74,1,2:45.0,,Offensive foul by K. O'Quinn (drawn by J. Noah),16,15
75,1,2:45.0,,Turnover by K. O'Quinn (offensive foul),16,15
76,1,2:24.0,K. Hinrich misses 2-pt jump shot from 18 ft,,16,15
77,1,2:22.0,,Defensive rebound by C. Anthony,16,15
78,1,2:16.0,,C. Anthony makes 2-pt layup from 2 ft,16,17
79,1,2:00.0,J. Noah misses 2-pt jump shot from 18 ft,,16,17
80,1,1:58.0,,Defensive rebound by A. Afflalo,16,17
81,1,1:39.0,,L. Galloway misses 3-pt jump shot from 24 ft,16,17
82,1,1:37.0,Defensive rebound by N. Mirotić,,16,17
83,1,1:30.0,Turnover by J. Butler (lost ball; steal by L. Thomas),,16,17
84,1,1:21.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by L. Galloway),16,20
85,1,1:07.0,D. McDermott misses 3-pt jump shot from 23 ft,,16,20
86,1,1:05.0,,Defensive rebound by K. O'Quinn,16,20
87,1,0:55.0,,C. Anthony makes 2-pt layup from 1 ft,16,22
88,1,0:45.0,J. Noah makes 2-pt layup from 1 ft (assist by K. Hinrich),,18,22
89,1,0:20.0,,C. Anthony makes 3-pt jump shot from 25 ft,18,25
90,1,0:01.0,J. Butler misses 2-pt layup from 2 ft,,18,25
91,1,0:00.0,Offensive rebound by Team,,18,25
92,2,11:37.0,,D. Williams misses 2-pt jump shot from 18 ft,18,25
93,2,11:35.0,,Offensive rebound by K. O'Quinn,18,25
94,2,11:31.0,,L. Thomas misses 2-pt jump shot from 13 ft,18,25
95,2,11:29.0,,Offensive rebound by D. Williams,18,25
96,2,11:14.0,,K. O'Quinn makes 2-pt jump shot from 14 ft,18,27
97,2,10:59.0,N. Mirotić misses 3-pt jump shot from 24 ft,,18,27
98,2,10:57.0,,Defensive rebound by K. O'Quinn,18,27
99,2,10:46.0,,J. Grant misses 3-pt jump shot from 24 ft,18,27
100,2,10:44.0,,Offensive rebound by K. O'Quinn,18,27
101,2,10:40.0,,Turnover by K. O'Quinn (traveling),18,27
102,2,10:23.0,N. Mirotić makes 2-pt layup from 3 ft (assist by A. Brooks),,20,27
103,2,10:02.0,,D. Williams misses 3-pt jump shot from 23 ft,20,27
104,2,10:00.0,Defensive rebound by B. Portis,,20,27
105,2,9:54.0,B. Portis misses 2-pt jump shot from 16 ft,,20,27
106,2,9:52.0,,Defensive rebound by K. O'Quinn,20,27
107,2,9:44.0,,J. Grant misses 2-pt layup from 1 ft,20,27
108,2,9:42.0,,Offensive rebound by D. Williams,20,27
109,2,9:41.0,,D. Williams misses 2-pt jump shot from 3 ft,20,27
110,2,9:40.0,Defensive rebound by B. Portis,,20,27
111,2,9:29.0,N. Mirotić misses 3-pt jump shot from 23 ft,,20,27
112,2,9:27.0,,Defensive rebound by D. Williams,20,27
113,2,9:21.0,,Turnover by J. Grant (bad pass; steal by N. Mirotić),20,27
114,2,9:20.0,Turnover by N. Mirotić (step out of bounds),,20,27
115,2,9:20.0,,K. Porziņģis enters the game for K. O'Quinn,20,27
116,2,9:12.0,,Personal foul by B. Portis (drawn by K. Porziņģis),20,27
117,2,8:58.0,,L. Galloway misses 2-pt jump shot from 23 ft,20,27
118,2,8:56.0,Defensive rebound by B. Portis,,20,27
119,2,8:39.0,Personal foul by L. Thomas (drawn by A. Brooks),,20,27
120,2,8:39.0,Official timeout,,20,27
121,2,8:38.0,Offensive foul by N. Mirotić (drawn by L. Thomas),,20,27
122,2,8:38.0,Turnover by N. Mirotić (offensive foul),,20,27
123,2,8:22.0,,Turnover by D. Williams (lost ball; steal by A. Brooks),20,27
124,2,8:16.0,D. Rose enters the game for K. Hinrich,,20,27
125,2,8:07.0,B. Portis misses 2-pt jump shot from 4 ft,,20,27
126,2,8:05.0,,Defensive rebound by J. Grant,20,27
127,2,7:55.0,,D. Williams makes 2-pt dunk at rim (assist by L. Galloway),20,29
128,2,7:41.0,N. Mirotić misses 2-pt jump shot from 13 ft,,20,29
129,2,7:40.0,,Defensive rebound by K. Porziņģis,20,29
130,2,7:25.0,,Personal foul by A. Brooks (drawn by K. Porziņģis),20,29
131,2,7:25.0,J. Butler enters the game for A. Brooks,,20,29
132,2,7:25.0,,A. Afflalo enters the game for J. Grant,20,29
133,2,7:25.0,,C. Anthony enters the game for L. Thomas,20,29
134,2,7:19.0,,Turnover by L. Galloway (bad pass; steal by B. Portis),20,29
135,2,7:14.0,N. Mirotić misses 2-pt layup from 2 ft,,20,29
136,2,7:12.0,Offensive rebound by B. Portis,,20,29
137,2,7:12.0,B. Portis makes 2-pt layup from 3 ft,,22,29
138,2,6:59.0,,D. Williams makes 2-pt layup from 2 ft,22,31
139,2,6:59.0,,Shooting foul by D. McDermott (drawn by D. Williams),22,31
140,2,6:59.0,T. Gibson enters the game for N. Mirotić,,22,31
141,2,6:59.0,,D. Williams makes free throw 1 of 1,22,32
142,2,6:39.0,D. McDermott misses 3-pt jump shot from 24 ft,,22,32
143,2,6:36.0,,Defensive rebound by D. Williams,22,32
144,2,6:26.0,,C. Anthony makes 2-pt layup at rim (assist by K. Porziņģis),22,34
145,2,6:24.0,Chicago full timeout,,22,34
146,2,6:24.0,J. Noah enters the game for D. McDermott,,22,34
147,2,6:24.0,T. Snell enters the game for B. Portis,,22,34
148,2,6:07.0,D. Rose misses 2-pt jump shot from 13 ft,,22,34
149,2,6:05.0,Offensive rebound by J. Butler,,22,34
150,2,6:00.0,D. Rose makes 2-pt jump shot from 7 ft (assist by J. Butler),,24,34
151,2,5:41.0,,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by C. Anthony),24,36
152,2,5:18.0,Personal foul by A. Afflalo (drawn by T. Gibson),,24,36
153,2,5:18.0,,J. Calderón enters the game for L. Galloway,24,36
154,2,5:10.0,Shooting foul by K. Porziņģis (drawn by J. Noah),,24,36
155,2,5:10.0,J. Noah makes free throw 1 of 2,,25,36
156,2,5:10.0,J. Noah makes free throw 2 of 2,,26,36
157,2,4:56.0,,A. Afflalo misses 2-pt jump shot from 7 ft,26,36
158,2,4:54.0,,Offensive rebound by K. Porziņģis,26,36
159,2,4:34.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),26,39
160,2,4:22.0,D. Rose misses 2-pt jump shot from 9 ft,,26,39
161,2,4:20.0,Offensive rebound by J. Noah,,26,39
162,2,4:20.0,J. Noah makes 2-pt layup from 1 ft,,28,39
163,2,4:06.0,,C. Anthony misses 2-pt layup from 2 ft,28,39
164,2,4:05.0,Defensive rebound by J. Noah,,28,39
165,2,4:01.0,J. Noah makes 2-pt dunk at rim (assist by T. Gibson),,30,39
166,2,4:00.0,,New York full timeout,30,39
