,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
0,1,11:42.0,,D. Wade misses 2-pt layup from 3 ft (block by M. World Peace),0,0
1,1,11:40.0,,Offensive rebound by H. Whiteside,0,0
2,1,11:38.0,,H. Whiteside makes 2-pt jump shot from 8 ft,0,2
3,1,11:19.0,D. Russell makes 2-pt jump shot from 16 ft (assist by R. Hibbert),,2,2
4,1,11:00.0,,C. Bosh makes 2-pt jump shot from 18 ft (assist by G. Dragić),2,4
5,1,10:46.0,Turnover by R. Hibbert (bad pass),,2,4
6,1,10:29.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by L. Deng),2,6
7,1,10:14.0,J. Clarkson misses 3-pt jump shot from 24 ft,,2,6
8,1,10:13.0,,Defensive rebound by C. Bosh,2,6
9,1,10:03.0,,Personal foul by M. World Peace (drawn by H. Whiteside),2,6
10,1,9:54.0,,D. Wade misses 2-pt jump shot from 11 ft,2,6
11,1,9:53.0,,Offensive rebound by C. Bosh,2,6
12,1,9:53.0,,Shooting foul by J. Randle (drawn by C. Bosh),2,6
13,1,9:53.0,,C. Bosh makes free throw 1 of 2,2,7
14,1,9:53.0,,C. Bosh makes free throw 2 of 2,2,8
15,1,9:42.0,M. World Peace makes 2-pt layup from 1 ft (assist by R. Hibbert),,4,8
16,1,9:18.0,,G. Dragić makes 2-pt jump shot from 16 ft,4,10
17,1,9:05.0,J. Randle misses 2-pt jump shot from 17 ft,,4,10
18,1,9:04.0,,Defensive rebound by L. Deng,4,10
19,1,8:53.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by L. Deng),4,12
20,1,8:35.0,J. Clarkson misses 2-pt layup from 2 ft (block by H. Whiteside),,4,12
21,1,8:34.0,,Defensive rebound by C. Bosh,4,12
22,1,8:29.0,,Turnover by C. Bosh (bad pass; steal by D. Russell),4,12
23,1,8:22.0,J. Clarkson misses 2-pt layup at rim,,4,12
24,1,8:21.0,,Defensive rebound by H. Whiteside,4,12
25,1,8:15.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by D. Wade),4,15
26,1,8:09.0,LA Lakers full timeout,,4,15
27,1,8:02.0,D. Russell misses 2-pt jump shot from 16 ft,,4,15
28,1,8:01.0,,Defensive rebound by G. Dragić,4,15
29,1,7:52.0,,C. Bosh misses 2-pt layup from 1 ft (block by M. World Peace),4,15
30,1,7:51.0,Defensive rebound by J. Randle,,4,15
31,1,7:46.0,J. Clarkson makes 2-pt layup from 1 ft (assist by J. Randle),,6,15
32,1,7:24.0,,D. Wade misses 2-pt hook shot from 7 ft,6,15
33,1,7:23.0,Defensive rebound by J. Randle,,6,15
34,1,7:18.0,Shooting block foul by C. Bosh (drawn by J. Randle),,6,15
35,1,7:18.0,J. Randle makes free throw 1 of 2,,7,15
36,1,7:18.0,,J. Winslow enters the game for C. Bosh,7,15
37,1,7:18.0,J. Randle makes free throw 2 of 2,,8,15
38,1,7:07.0,,G. Dragić misses 3-pt jump shot from 24 ft,8,15
39,1,7:06.0,,Offensive rebound by H. Whiteside,8,15
40,1,7:06.0,,Shooting foul by R. Hibbert (drawn by H. Whiteside),8,15
41,1,7:06.0,,H. Whiteside makes free throw 1 of 2,8,16
42,1,7:06.0,,H. Whiteside misses free throw 2 of 2,8,16
43,1,7:05.0,Defensive rebound by R. Hibbert,,8,16
44,1,6:46.0,M. World Peace misses 2-pt layup from 1 ft (block by H. Whiteside),,8,16
45,1,6:45.0,,Defensive rebound by G. Dragić,8,16
46,1,6:32.0,,L. Deng misses 3-pt jump shot from 24 ft,8,16
47,1,6:31.0,Defensive rebound by R. Hibbert,,8,16
48,1,6:14.0,R. Hibbert makes 2-pt dunk at rim (assist by M. World Peace),,10,16
49,1,5:52.0,,J. Winslow misses 3-pt jump shot from 23 ft,10,16
50,1,5:51.0,Defensive rebound by D. Russell,,10,16
51,1,5:40.0,R. Hibbert misses 2-pt hook shot from 6 ft,,10,16
52,1,5:39.0,,Defensive rebound by Team,10,16
53,1,5:27.0,,G. Dragić misses 2-pt layup from 2 ft (block by R. Hibbert),10,16
54,1,5:26.0,,Offensive rebound by H. Whiteside,10,16
55,1,5:25.0,,H. Whiteside makes 2-pt dunk at rim,10,18
56,1,5:11.0,D. Russell misses 3-pt jump shot from 23 ft,,10,18
57,1,5:09.0,,Defensive rebound by J. Winslow,10,18
58,1,5:05.0,,G. Dragić misses 2-pt layup at rim,10,18
59,1,5:04.0,,Offensive rebound by J. Winslow,10,18
60,1,5:03.0,,J. Winslow misses 2-pt layup from 1 ft,10,18
61,1,5:02.0,,Offensive rebound by L. Deng,10,18
62,1,5:02.0,,L. Deng makes 2-pt layup from 1 ft,10,20
63,1,5:02.0,,Shooting foul by J. Randle (drawn by L. Deng),10,20
64,1,5:02.0,L. Nance enters the game for J. Randle,,10,20
65,1,5:02.0,L. Williams enters the game for R. Hibbert,,10,20
66,1,5:02.0,T. Black enters the game for D. Russell,,10,20
67,1,5:02.0,,L. Deng makes free throw 1 of 1,10,21
68,1,4:49.0,T. Black makes 2-pt dunk at rim (assist by L. Williams),,12,21
69,1,4:18.0,,Turnover by Team (shot clock),12,21
70,1,4:18.0,,T. Johnson enters the game for D. Wade,12,21
71,1,4:10.0,Personal foul by G. Dragić (drawn by J. Clarkson),,12,21
72,1,4:03.0,J. Clarkson makes 2-pt jump shot from 18 ft,,14,21
73,1,3:41.0,,T. Johnson makes 2-pt jump shot from 17 ft,14,23
74,1,3:31.0,Turnover by J. Clarkson (traveling),,14,23
75,1,3:31.0,N. Young enters the game for M. World Peace,,14,23
76,1,3:27.0,,Miami full timeout,14,23
77,1,3:27.0,,C. Bosh enters the game for L. Deng,14,23
78,1,3:27.0,,J. McRoberts enters the game for H. Whiteside,14,23
79,1,3:17.0,,G. Dragić misses 3-pt jump shot from 24 ft,14,23
80,1,3:16.0,,Offensive rebound by C. Bosh,14,23
81,1,3:06.0,,C. Bosh misses 2-pt jump shot from 9 ft,14,23
82,1,3:05.0,Defensive rebound by T. Black,,14,23
83,1,2:48.0,J. Clarkson misses 3-pt jump shot from 24 ft,,14,23
84,1,2:47.0,,Defensive rebound by T. Johnson,14,23
85,1,2:44.0,,J. Winslow makes 2-pt layup from 1 ft,14,25
86,1,2:44.0,Violation by J. Clarkson (def goaltending),,14,25
87,1,2:36.0,Shooting foul by G. Dragić (drawn by L. Williams),,14,25
88,1,2:36.0,L. Williams misses free throw 1 of 3,,14,25
89,1,2:36.0,Offensive rebound by Team,,14,25
90,1,2:36.0,L. Williams makes free throw 2 of 3,,15,25
91,1,2:36.0,,J. Richardson enters the game for G. Dragić,15,25
92,1,2:36.0,L. Williams makes free throw 3 of 3,,16,25
93,1,2:19.0,,J. McRoberts makes 2-pt layup at rim (assist by J. Winslow),16,27
94,1,2:02.0,L. Nance makes 2-pt dunk at rim (assist by L. Williams),,18,27
95,1,1:41.0,,C. Bosh makes 2-pt jump shot from 18 ft (assist by J. McRoberts),18,29
96,1,1:12.0,J. Clarkson makes 2-pt jump shot from 15 ft,,20,29
97,1,0:59.0,,J. McRoberts misses 3-pt jump shot from 25 ft,20,29
98,1,0:58.0,Defensive rebound by T. Black,,20,29
99,1,0:42.0,Turnover by J. Clarkson (kicked ball),,20,29
100,1,0:25.0,,Turnover by J. McRoberts (bad pass; steal by J. Clarkson),20,29
101,1,0:25.0,LA Lakers full timeout,,20,29
102,1,0:02.0,L. Williams makes 3-pt jump shot from 24 ft,,23,29
103,2,11:37.0,L. Williams misses 2-pt jump shot from 19 ft,,23,29
104,2,11:36.0,Offensive rebound by T. Black,,23,29
105,2,11:32.0,N. Young makes 3-pt jump shot from 24 ft,,26,29
106,2,11:08.0,,T. Johnson makes 2-pt layup from 2 ft (assist by J. Richardson),26,31
107,2,10:56.0,T. Black misses 2-pt dunk at rim (block by J. Winslow),,26,31
108,2,10:55.0,Offensive rebound by M. Huertas,,26,31
109,2,10:52.0,N. Young makes 3-pt jump shot from 23 ft (assist by M. Huertas),,29,31
110,2,10:31.0,,C. Bosh misses 3-pt jump shot from 24 ft,29,31
111,2,10:30.0,Defensive rebound by L. Williams,,29,31
112,2,10:21.0,L. Nance misses 2-pt jump shot from 16 ft,,29,31
113,2,10:20.0,,Defensive rebound by C. Bosh,29,31
114,2,10:14.0,,Shooting foul by L. Williams (drawn by J. Richardson),29,31
115,2,10:14.0,,J. Richardson misses free throw 1 of 2,29,31
116,2,10:14.0,,Offensive rebound by Team,29,31
117,2,10:14.0,,J. Richardson makes free throw 2 of 2,29,32
118,2,9:52.0,N. Young makes 3-pt jump shot from 24 ft,,32,32
119,2,9:42.0,,Shooting foul by T. Black (drawn by C. Bosh),32,32
120,2,9:42.0,,C. Bosh misses free throw 1 of 2,32,32
121,2,9:42.0,,Offensive rebound by Team,32,32
122,2,9:42.0,,C. Bosh makes free throw 2 of 2,32,33
123,2,9:24.0,N. Young makes 2-pt jump shot from 17 ft,,34,33
124,2,9:10.0,,C. Bosh misses 3-pt jump shot from 23 ft,34,33
125,2,9:09.0,Defensive rebound by L. Nance,,34,33
126,2,8:52.0,L. Nance makes 2-pt jump shot from 16 ft (assist by M. Huertas),,36,33
127,2,8:45.0,,Miami full timeout,36,33
128,2,8:28.0,,J. McRoberts misses 2-pt hook shot from 6 ft,36,33
129,2,8:27.0,Defensive rebound by L. Williams,,36,33
130,2,8:21.0,N. Young makes 3-pt jump shot from 24 ft,,39,33
131,2,8:08.0,,T. Johnson misses 2-pt jump shot from 15 ft,39,33
132,2,8:07.0,Defensive rebound by L. Nance,,39,33
133,2,7:59.0,Turnover by N. Young (bad pass; steal by T. Johnson),,39,33
134,2,7:59.0,,Personal foul by T. Black (drawn by T. Johnson),39,33
135,2,7:59.0,R. Hibbert enters the game for T. Black,,39,33
136,2,7:59.0,,H. Whiteside enters the game for C. Bosh,39,33
137,2,7:59.0,,D. Wade enters the game for J. Richardson,39,33
