,QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
0,1,11:35.0,,M. Morris misses 2-pt jump shot from 15 ft,0,0
1,1,11:34.0,,Offensive rebound by A. Drummond,0,0
2,1,11:29.0,,A. Drummond makes 2-pt dunk at rim,0,2
3,1,11:21.0,Turnover by P. George (bad pass; steal by E. İlyasova),,0,2
4,1,11:17.0,,R. Jackson misses 2-pt jump shot from 13 ft,0,2
5,1,11:17.0,Defensive rebound by Team,,0,2
6,1,11:17.0,,Loose ball foul by A. Drummond (drawn by I. Mahinmi),0,2
7,1,10:58.0,M. Ellis makes 2-pt layup at rim,,2,2
8,1,10:42.0,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Ellis),2,2
9,1,10:36.0,M. Ellis makes 2-pt layup at rim,,4,2
10,1,10:21.0,,Turnover by R. Jackson (lost ball; steal by G. Hill),4,2
11,1,10:16.0,P. George makes 2-pt dunk at rim (assist by G. Hill),,6,2
12,1,9:59.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),6,5
13,1,9:46.0,C. Miles misses 2-pt jump shot from 15 ft,,6,5
14,1,9:45.0,,Defensive rebound by A. Drummond,6,5
15,1,9:38.0,,Personal foul by G. Hill (drawn by R. Jackson),6,5
16,1,9:23.0,,A. Drummond misses 2-pt hook shot from 7 ft,6,5
17,1,9:23.0,,Offensive rebound by M. Morris,6,5
18,1,9:23.0,,Shooting foul by P. George (drawn by M. Morris),6,5
19,1,9:23.0,,M. Morris makes free throw 1 of 2,6,6
20,1,9:23.0,,M. Morris makes free throw 2 of 2,6,7
21,1,9:08.0,M. Ellis misses 3-pt jump shot from 26 ft,,6,7
22,1,9:08.0,,Defensive rebound by A. Drummond,6,7
23,1,8:58.0,,Turnover by R. Jackson (bad pass; steal by G. Hill),6,7
24,1,8:50.0,P. George makes 3-pt jump shot from 26 ft (assist by G. Hill),,9,7
25,1,8:34.0,,R. Jackson misses 2-pt jump shot from 8 ft (block by G. Hill),9,7
26,1,8:32.0,Defensive rebound by G. Hill,,9,7
27,1,8:18.0,G. Hill makes 2-pt jump shot from 15 ft,,11,7
28,1,7:55.0,,M. Morris misses 3-pt jump shot from 25 ft,11,7
29,1,7:55.0,,Offensive rebound by E. İlyasova,11,7
30,1,7:54.0,,E. İlyasova misses 2-pt layup from 1 ft,11,7
31,1,7:54.0,,Offensive rebound by E. İlyasova,11,7
32,1,7:53.0,,E. İlyasova makes 2-pt layup from 1 ft,11,9
33,1,7:38.0,Offensive foul by I. Mahinmi (drawn by E. İlyasova),,11,9
34,1,7:38.0,Turnover by I. Mahinmi (offensive foul),,11,9
35,1,7:25.0,,E. İlyasova makes 2-pt jump shot from 16 ft (assist by R. Jackson),11,11
36,1,7:12.0,G. Hill misses 3-pt jump shot from 25 ft,,11,11
37,1,7:12.0,,Defensive rebound by A. Drummond,11,11
38,1,7:02.0,,Turnover by M. Morris (bad pass; steal by C. Miles),11,11
39,1,6:59.0,C. Miles misses 2-pt jump shot from 6 ft (block by R. Jackson),,11,11
40,1,6:58.0,Offensive rebound by M. Ellis,,11,11
41,1,6:58.0,M. Ellis misses 2-pt jump shot from 5 ft,,11,11
42,1,6:57.0,,Defensive rebound by K. Caldwell-Pope,11,11
43,1,6:52.0,,A. Drummond makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),11,13
44,1,6:42.0,P. George misses 2-pt jump shot from 9 ft,,11,13
45,1,6:41.0,,Defensive rebound by A. Drummond,11,13
46,1,6:32.0,,R. Jackson makes 2-pt layup from 1 ft,11,15
47,1,6:31.0,Indiana full timeout,,11,15
48,1,6:31.0,M. Turner enters the game for I. Mahinmi,,11,15
49,1,6:12.0,C. Miles misses 3-pt jump shot from 25 ft,,11,15
50,1,6:11.0,,Defensive rebound by Team,11,15
51,1,5:52.0,,E. İlyasova misses 2-pt jump shot from 4 ft,11,15
52,1,5:52.0,,Offensive rebound by A. Drummond,11,15
53,1,5:48.0,,A. Drummond makes 2-pt layup from 1 ft,11,17
54,1,5:35.0,,Violation by A. Drummond (kicked ball),11,17
55,1,5:21.0,C. Miles misses 3-pt jump shot from 25 ft,,11,17
56,1,5:20.0,,Defensive rebound by M. Morris,11,17
57,1,5:09.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Jackson),11,20
58,1,4:53.0,Personal foul by M. Morris (drawn by P. George),,11,20
59,1,4:44.0,G. Hill makes 2-pt jump shot from 17 ft,,13,20
60,1,4:28.0,,R. Jackson makes 2-pt layup at rim,13,22
61,1,4:09.0,M. Turner makes 2-pt jump shot from 12 ft (assist by G. Hill),,15,22
62,1,3:59.0,,Turnover by M. Morris (step out of bounds),15,22
63,1,3:59.0,R. Stuckey enters the game for G. Hill,,15,22
64,1,3:43.0,M. Ellis makes 2-pt jump shot from 16 ft,,17,22
65,1,3:23.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by R. Jackson),17,24
66,1,3:17.0,Shooting foul by K. Caldwell-Pope (drawn by C. Miles),,17,24
67,1,3:17.0,C. Miles makes free throw 1 of 2,,18,24
68,1,3:17.0,C. Miles makes free throw 2 of 2,,19,24
69,1,3:02.0,,R. Jackson makes 2-pt layup at rim,19,26
70,1,2:47.0,Turnover by P. George (lost ball; steal by R. Jackson),,19,26
71,1,2:31.0,,R. Jackson makes 2-pt layup at rim,19,28
72,1,2:17.0,M. Ellis makes 3-pt jump shot from 23 ft (assist by P. George),,22,28
73,1,1:52.0,,Turnover by A. Drummond (lost ball),22,28
74,1,1:52.0,,Detroit full timeout,22,28
75,1,1:52.0,,S. Johnson enters the game for M. Morris,22,28
76,1,1:52.0,,S. Blake enters the game for R. Jackson,22,28
77,1,1:52.0,L. Allen enters the game for C. Miles,,22,28
78,1,1:35.0,P. George misses 3-pt jump shot from 26 ft,,22,28
79,1,1:34.0,,Defensive rebound by A. Drummond,22,28
80,1,1:21.0,,S. Johnson misses 3-pt jump shot from 25 ft,22,28
81,1,1:21.0,Defensive rebound by R. Stuckey,,22,28
82,1,1:03.0,R. Stuckey misses 2-pt jump shot from 18 ft,,22,28
83,1,1:02.0,,Defensive rebound by A. Drummond,22,28
84,1,0:55.0,,Turnover by S. Blake (bad pass; steal by M. Turner),22,28
85,1,0:51.0,,Offensive charge foul by M. Ellis (drawn by E. İlyasova),22,28
86,1,0:51.0,Turnover by M. Ellis (offensive foul),,22,28
87,1,0:33.0,,A. Drummond makes 2-pt dunk at rim (assist by S. Blake),22,30
88,1,0:14.0,Shooting foul by S. Johnson (drawn by P. George),,22,30
89,1,0:14.0,P. George makes free throw 1 of 2,,23,30
90,1,0:14.0,P. George makes free throw 2 of 2,,24,30
91,1,0:02.0,,S. Blake misses 3-pt jump shot from 24 ft,24,30
92,1,0:01.0,Defensive rebound by M. Turner,,24,30
93,2,11:49.0,Personal foul by S. Blake (drawn by G. Hill),,24,30
94,2,11:36.0,G. Hill makes 2-pt jump shot from 20 ft (assist by L. Allen),,26,30
95,2,11:21.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft (block by M. Turner),26,30
96,2,11:21.0,,Offensive rebound by Team,26,30
97,2,11:18.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,26,30
98,2,11:17.0,Defensive rebound by G. Hill,,26,30
99,2,11:07.0,M. Turner makes 2-pt jump shot from 20 ft (assist by G. Hill),,28,30
100,2,10:54.0,,Personal foul by C. Budinger (drawn by S. Blake),28,30
101,2,10:54.0,,R. Bullock enters the game for K. Caldwell-Pope,28,30
102,2,10:40.0,,R. Bullock misses 3-pt jump shot from 24 ft,28,30
103,2,10:40.0,Defensive rebound by R. Stuckey,,28,30
104,2,10:29.0,L. Allen misses 2-pt jump shot from 6 ft,,28,30
105,2,10:26.0,,Defensive rebound by S. Johnson,28,30
106,2,10:19.0,,S. Johnson misses 2-pt layup from 1 ft,28,30
107,2,10:18.0,Defensive rebound by G. Hill,,28,30
108,2,10:15.0,G. Hill misses 2-pt jump shot from 6 ft (block by S. Blake),,28,30
109,2,10:15.0,Offensive rebound by Team,,28,30
110,2,9:59.0,R. Stuckey makes 2-pt layup from 1 ft,,30,30
111,2,9:38.0,,R. Bullock misses 2-pt jump shot from 16 ft,30,30
112,2,9:37.0,Defensive rebound by M. Turner,,30,30
113,2,9:24.0,M. Turner makes 2-pt jump shot from 20 ft (assist by G. Hill),,32,30
114,2,9:10.0,J. Hill enters the game for M. Turner,,32,30
115,2,9:10.0,,Turnover by A. Tolliver (lost ball),32,30
116,2,8:51.0,R. Stuckey makes 2-pt jump shot from 17 ft,,34,30
117,2,8:51.0,,Detroit full timeout,34,30
118,2,8:37.0,,A. Baynes misses 2-pt hook shot from 6 ft,34,30
119,2,8:37.0,Defensive rebound by Team,,34,30
120,2,8:37.0,,Loose ball foul by S. Johnson (drawn by R. Stuckey),34,30
121,2,8:27.0,Shooting foul by S. Blake (drawn by R. Stuckey),,34,30
122,2,8:27.0,R. Stuckey makes free throw 1 of 2,,35,30
123,2,8:27.0,,M. Morris enters the game for S. Johnson,35,30
124,2,8:27.0,R. Stuckey makes free throw 2 of 2,,36,30
125,2,8:17.0,,Turnover by S. Blake (bad pass; steal by G. Hill),36,30
126,2,7:59.0,L. Allen makes 2-pt jump shot from 17 ft (assist by R. Stuckey),,38,30
127,2,7:44.0,,M. Morris misses 2-pt jump shot from 13 ft,38,30
128,2,7:44.0,Defensive rebound by L. Allen,,38,30
129,2,7:36.0,G. Hill makes 3-pt jump shot from 24 ft,,41,30
130,2,7:24.0,,Turnover by S. Blake (bad pass; steal by G. Hill),41,30
131,2,7:13.0,G. Hill makes 3-pt jump shot from 25 ft (assist by R. Stuckey),,44,30
132,2,7:13.0,,Detroit full timeout,44,30
133,2,7:13.0,,A. Drummond enters the game for S. Blake,44,30
134,2,7:13.0,,K. Caldwell-Pope enters the game for A. Baynes,44,30
135,2,7:13.0,,R. Jackson enters the game for R. Bullock,44,30
136,2,7:00.0,,R. Jackson misses 2-pt layup at rim,44,30
137,2,6:58.0,,Offensive rebound by A. Drummond,44,30
138,2,6:55.0,,A. Drummond makes 2-pt layup at rim,44,32
139,2,6:42.0,R. Stuckey misses 2-pt jump shot from 19 ft,,44,32
140,2,6:42.0,,Defensive rebound by A. Drummond,44,32
141,2,6:24.0,,K. Caldwell-Pope makes 2-pt layup at rim,44,34
142,2,6:08.0,R. Stuckey makes 2-pt jump shot from 16 ft,,46,34
143,2,5:46.0,,R. Jackson makes 2-pt jump shot from 17 ft,46,36
144,2,5:29.0,G. Hill misses 3-pt jump shot from 26 ft,,46,36
145,2,5:28.0,,Defensive rebound by A. Drummond,46,36
146,2,5:11.0,,R. Jackson misses 2-pt layup at rim,46,36
147,2,5:08.0,Defensive rebound by J. Hill,,46,36
148,2,5:07.0,,Violation by A. Tolliver (kicked ball),46,36
149,2,5:07.0,P. George enters the game for C. Budinger,,46,36
150,2,5:01.0,Turnover by P. George (bad pass; steal by M. Morris),,46,36
151,2,5:00.0,,Personal foul by P. George (drawn by A. Drummond),46,36
152,2,4:49.0,,Turnover by R. Jackson (lost ball; steal by L. Allen),46,36
153,2,4:44.0,Personal foul by R. Jackson (drawn by R. Stuckey),,46,36
154,2,4:44.0,,E. İlyasova enters the game for A. Tolliver,46,36
155,2,4:31.0,Turnover by R. Stuckey (bad pass),,46,36
156,2,4:10.0,,M. Morris misses 2-pt jump shot from 5 ft,46,36
157,2,4:10.0,,Offensive rebound by Team,46,36
158,2,4:10.0,Loose ball foul by J. Hill (drawn by A. Drummond),,46,36
159,2,4:00.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,46,36
160,2,4:00.0,Defensive rebound by L. Allen,,46,36
161,2,3:47.0,L. Allen makes 2-pt jump shot from 19 ft (assist by P. George),,48,36
162,2,3:29.0,,M. Morris misses 3-pt jump shot from 23 ft,48,36
163,2,3:28.0,Defensive rebound by J. Hill,,48,36
164,2,3:20.0,J. Hill misses 2-pt jump shot from 19 ft,,48,36
165,2,3:19.0,Offensive rebound by L. Allen,,48,36
166,2,3:17.0,P. George misses 2-pt jump shot from 5 ft,,48,36
167,2,3:14.0,Offensive rebound by P. George,,48,36
168,2,3:13.0,P. George misses 2-pt layup from 1 ft,,48,36
169,2,3:12.0,Offensive rebound by J. Hill,,48,36
170,2,3:10.0,J. Hill misses 2-pt layup at rim (block by M. Morris),,48,36
171,2,3:09.0,,Defensive rebound by M. Morris,48,36
