,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:45.0,B. Lopez misses 2-pt hook shot from 9 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Randle,0,0
2,1,11:29.0,,A. Brown misses 2-pt jump shot from 22 ft,0,0
3,1,11:28.0,Defensive rebound by T. Young,,0,0
4,1,11:11.0,T. Young makes 2-pt hook shot from 3 ft,,2,0
5,1,10:49.0,,J. Randle misses 2-pt jump shot from 18 ft,2,0
6,1,10:48.0,Defensive rebound by B. Bogdanović,,2,0
7,1,10:35.0,B. Lopez misses 2-pt layup at rim,,2,0
8,1,10:30.0,,Defensive rebound by R. Hibbert,2,0
9,1,10:18.0,,R. Hibbert makes 2-pt jump shot from 12 ft (assist by A. Brown),2,2
10,1,9:59.0,D. Sloan misses 2-pt jump shot from 18 ft,,2,2
11,1,9:57.0,,Defensive rebound by J. Clarkson,2,2
12,1,9:48.0,,R. Hibbert makes 2-pt hook shot from 1 ft (assist by D. Russell),2,4
13,1,9:28.0,B. Bogdanović misses 2-pt jump shot from 5 ft,,2,4
14,1,9:25.0,Offensive rebound by T. Young,,2,4
15,1,9:22.0,T. Young makes 2-pt hook shot from 6 ft,,4,4
16,1,9:05.0,,Turnover by J. Randle (offensive foul),4,4
17,1,9:05.0,Offensive charge foul by J. Randle (drawn by T. Young),,4,4
18,1,8:48.0,T. Young misses 2-pt hook shot from 6 ft,,4,4
19,1,8:45.0,,Defensive rebound by R. Hibbert,4,4
20,1,8:41.0,,Turnover by J. Clarkson (bad pass; steal by W. Ellington),4,4
21,1,8:34.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Ellington),,6,4
22,1,8:16.0,,D. Russell misses 2-pt jump shot from 10 ft,6,4
23,1,8:12.0,Defensive rebound by D. Sloan,,6,4
24,1,8:08.0,B. Bogdanović makes 2-pt layup at rim (assist by D. Sloan),,8,4
25,1,7:47.0,,Turnover by R. Hibbert (bad pass; steal by W. Ellington),8,4
26,1,7:40.0,B. Lopez makes 2-pt jump shot from 5 ft (assist by D. Sloan),,10,4
27,1,7:22.0,,D. Russell makes 2-pt jump shot from 6 ft,10,6
28,1,7:09.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,10,6
29,1,7:05.0,,Defensive rebound by J. Clarkson,10,6
30,1,7:00.0,,J. Clarkson misses 2-pt jump shot from 16 ft,10,6
31,1,6:58.0,Defensive rebound by B. Bogdanović,,10,6
32,1,6:58.0,Personal foul by R. Hibbert (drawn by B. Lopez),,10,6
33,1,6:50.0,B. Lopez misses 3-pt jump shot from 24 ft,,10,6
34,1,6:49.0,,Defensive rebound by D. Russell,10,6
35,1,6:39.0,,Shooting foul by W. Ellington (drawn by J. Clarkson),10,6
36,1,6:39.0,,J. Clarkson makes free throw 1 of 2,10,7
37,1,6:39.0,,J. Clarkson makes free throw 2 of 2,10,8
38,1,6:23.0,D. Sloan misses 2-pt layup at rim,,10,8
39,1,6:20.0,,Defensive rebound by J. Randle,10,8
40,1,6:00.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Clarkson),10,11
41,1,5:40.0,Turnover by B. Lopez (lost ball; steal by J. Randle),,10,11
42,1,5:33.0,,J. Randle makes 2-pt layup from 1 ft,10,13
43,1,5:33.0,Brooklyn full timeout,,10,13
44,1,5:33.0,,L. Williams enters the game for D. Russell,10,13
45,1,5:17.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,10,13
46,1,5:15.0,,Defensive rebound by J. Randle,10,13
47,1,4:53.0,,J. Randle misses 2-pt jump shot from 9 ft,10,13
48,1,4:48.0,Defensive rebound by T. Young,,10,13
49,1,4:45.0,T. Young makes 2-pt layup at rim,,12,13
50,1,4:22.0,,J. Clarkson misses 3-pt jump shot from 25 ft,12,13
51,1,4:21.0,Defensive rebound by T. Young,,12,13
52,1,4:14.0,W. Ellington makes 2-pt jump shot from 13 ft,,14,13
53,1,3:59.0,,R. Hibbert makes 2-pt jump shot from 19 ft (assist by J. Clarkson),14,15
54,1,3:42.0,Turnover by B. Bogdanović (lost ball; steal by R. Hibbert),,14,15
55,1,3:36.0,,J. Randle makes 2-pt dunk at rim (assist by J. Clarkson),14,17
56,1,3:19.0,B. Lopez misses 2-pt jump shot from 7 ft,,14,17
57,1,3:16.0,,Defensive rebound by J. Randle,14,17
58,1,3:00.0,,A. Brown misses 2-pt jump shot from 14 ft,14,17
59,1,2:57.0,Defensive rebound by B. Bogdanović,,14,17
60,1,2:49.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Sloan),,17,17
