,QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
0,1,11:39.0,C. Bosh misses 2-pt layup from 1 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Rubio,0,0
2,1,11:31.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by R. Rubio),0,3
3,1,11:11.0,D. Wade misses 2-pt jump shot from 13 ft,,0,3
4,1,11:10.0,,Defensive rebound by K. Garnett,0,3
5,1,10:59.0,,A. Wiggins misses 2-pt jump shot from 8 ft,0,3
6,1,10:58.0,Defensive rebound by C. Bosh,,0,3
7,1,10:40.0,D. Wade misses 2-pt jump shot from 17 ft,,0,3
8,1,10:39.0,,Defensive rebound by K. Garnett,0,3
9,1,10:29.0,,K. Towns misses 2-pt layup from 2 ft (block by H. Whiteside),0,3
10,1,10:29.0,,Offensive rebound by Team,0,3
11,1,10:26.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by K. Garnett),0,5
12,1,10:05.0,G. Dragić misses 2-pt jump shot from 23 ft,,0,5
13,1,10:04.0,,Defensive rebound by Team,0,5
14,1,9:46.0,,K. Towns misses 2-pt jump shot from 20 ft,0,5
15,1,9:45.0,Defensive rebound by C. Bosh,,0,5
16,1,9:34.0,Shooting foul by K. Towns (drawn by H. Whiteside),,0,5
17,1,9:34.0,H. Whiteside makes free throw 1 of 2,,1,5
18,1,9:34.0,H. Whiteside makes free throw 2 of 2,,2,5
19,1,9:18.0,,K. Towns misses 2-pt hook shot from 5 ft,2,5
20,1,9:18.0,Defensive rebound by C. Bosh,,2,5
21,1,9:02.0,H. Whiteside misses 2-pt layup from 1 ft (block by K. Towns),,2,5
22,1,9:00.0,,Defensive rebound by K. Garnett,2,5
23,1,8:51.0,,R. Rubio makes 2-pt jump shot from 19 ft,2,7
24,1,8:35.0,G. Dragić misses 2-pt layup from 2 ft,,2,7
25,1,8:34.0,,Defensive rebound by T. Prince,2,7
26,1,8:28.0,,A. Wiggins misses 2-pt layup from 1 ft,2,7
27,1,8:27.0,Defensive rebound by H. Whiteside,,2,7
28,1,8:14.0,L. Deng makes 2-pt jump shot from 20 ft,,4,7
29,1,7:59.0,,R. Rubio misses 2-pt jump shot from 19 ft,4,7
30,1,7:58.0,Defensive rebound by G. Dragić,,4,7
