,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:38.0,B. Lopez misses 2-pt jump shot from 18 ft,,0,0
1,1,11:36.0,Offensive rebound by T. Young,,0,0
2,1,11:33.0,B. Lopez misses 2-pt layup at rim,,0,0
3,1,11:31.0,,Defensive rebound by E. Fournier,0,0
4,1,11:08.0,,Turnover by E. Payton (bad pass; steal by B. Lopez),0,0
5,1,10:48.0,J. Jack misses 3-pt jump shot from 26 ft,,0,0
6,1,10:46.0,Offensive rebound by T. Young,,0,0
7,1,10:33.0,T. Young makes 2-pt hook shot from 8 ft (assist by J. Jack),,2,0
8,1,10:15.0,,T. Harris misses 2-pt layup from 1 ft (block by B. Lopez),2,0
9,1,10:13.0,Defensive rebound by J. Johnson,,2,0
10,1,10:00.0,T. Young makes 2-pt layup at rim (assist by J. Jack),,4,0
11,1,9:43.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by E. Payton),4,3
12,1,9:24.0,J. Johnson misses 3-pt jump shot from 24 ft,,4,3
13,1,9:22.0,,Defensive rebound by Team,4,3
14,1,9:11.0,,E. Fournier misses 2-pt layup from 1 ft (block by B. Lopez),4,3
15,1,9:11.0,,Offensive rebound by Team,4,3
16,1,8:59.0,,T. Harris misses 2-pt jump shot from 10 ft,4,3
17,1,8:58.0,,Offensive rebound by N. Vučević,4,3
18,1,8:56.0,,Turnover by N. Vučević (lost ball),4,3
19,1,8:42.0,B. Lopez misses 2-pt hook shot from 6 ft,,4,3
20,1,8:41.0,,Defensive rebound by C. Frye,4,3
21,1,8:19.0,,E. Fournier misses 3-pt jump shot from 23 ft,4,3
22,1,8:18.0,Defensive rebound by J. Jack,,4,3
23,1,8:12.0,T. Young misses 2-pt layup at rim,,4,3
24,1,8:10.0,,Defensive rebound by C. Frye,4,3
25,1,7:54.0,,E. Fournier misses 3-pt jump shot from 26 ft,4,3
26,1,7:53.0,Defensive rebound by J. Jack,,4,3
27,1,7:37.0,T. Young makes 2-pt jump shot from 16 ft,,6,3
28,1,7:16.0,,C. Frye makes 3-pt jump shot from 22 ft (assist by N. Vučević),6,6
29,1,7:12.0,Brooklyn full timeout,,6,6
30,1,7:12.0,,S. Napier enters the game for C. Frye,6,6
31,1,7:12.0,,A. Nicholson enters the game for N. Vučević,6,6
32,1,7:12.0,,J. Smith enters the game for E. Payton,6,6
33,1,6:54.0,J. Johnson misses 3-pt jump shot from 26 ft,,6,6
34,1,6:53.0,Offensive rebound by B. Lopez,,6,6
35,1,6:51.0,Shooting foul by J. Smith (drawn by B. Lopez),,6,6
36,1,6:51.0,B. Lopez makes free throw 1 of 2,,7,6
37,1,6:51.0,W. Ellington enters the game for B. Bogdanović,,7,6
38,1,6:51.0,B. Lopez makes free throw 2 of 2,,8,6
39,1,6:38.0,,T. Harris makes 2-pt layup from 2 ft (assist by S. Napier),8,8
40,1,6:17.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Jack),,11,8
41,1,6:06.0,,S. Napier misses 2-pt layup from 1 ft,11,8
42,1,6:05.0,Defensive rebound by W. Ellington,,11,8
43,1,6:01.0,Shooting foul by J. Smith (drawn by B. Lopez),,11,8
44,1,6:01.0,B. Lopez makes 2-pt layup at rim (assist by J. Jack),,13,8
45,1,6:01.0,,N. Vučević enters the game for J. Smith,13,8
46,1,6:01.0,B. Lopez makes free throw 1 of 1,,14,8
47,1,5:45.0,,E. Fournier misses 3-pt jump shot from 23 ft,14,8
48,1,5:44.0,,Offensive rebound by A. Nicholson,14,8
49,1,5:41.0,,A. Nicholson makes 2-pt hook shot from 4 ft,14,10
50,1,5:31.0,J. Johnson misses 3-pt jump shot from 24 ft,,14,10
51,1,5:30.0,,Defensive rebound by E. Fournier,14,10
52,1,5:18.0,,A. Nicholson makes 2-pt layup at rim,14,12
53,1,5:05.0,Shooting foul by N. Vučević (drawn by B. Lopez),,14,12
54,1,5:05.0,B. Lopez makes free throw 1 of 2,,15,12
55,1,5:05.0,S. Larkin enters the game for J. Jack,,15,12
56,1,5:05.0,B. Lopez makes free throw 2 of 2,,16,12
57,1,4:42.0,,A. Nicholson makes 2-pt jump shot from 13 ft (assist by S. Napier),16,14
58,1,4:26.0,B. Lopez misses 2-pt jump shot from 6 ft,,16,14
59,1,4:26.0,,Defensive rebound by Team,16,14
60,1,4:14.0,,N. Vučević misses 2-pt jump shot from 23 ft,16,14
61,1,4:13.0,,Offensive rebound by S. Napier,16,14
62,1,3:58.0,,A. Nicholson misses 3-pt jump shot from 25 ft,16,14
63,1,3:57.0,,Offensive rebound by E. Fournier,16,14
64,1,3:53.0,,S. Napier makes 3-pt jump shot from 26 ft (assist by E. Fournier),16,17
65,1,3:31.0,S. Larkin misses 2-pt jump shot from 17 ft,,16,17
66,1,3:30.0,,Defensive rebound by T. Harris,16,17
67,1,3:24.0,,T. Harris misses 2-pt layup from 1 ft,16,17
68,1,3:21.0,Defensive rebound by T. Young,,16,17
69,1,3:20.0,Personal take foul by S. Napier (drawn by T. Young),,16,17
70,1,3:20.0,,V. Oladipo enters the game for E. Fournier,16,17
71,1,3:20.0,T. Robinson enters the game for T. Young,,16,17
72,1,3:11.0,T. Robinson makes 2-pt layup from 2 ft (assist by B. Lopez),,18,17
73,1,2:50.0,,Orlando full timeout,18,17
74,1,2:46.0,,Shooting foul by S. Larkin (drawn by S. Napier),18,17
75,1,2:46.0,,S. Napier makes free throw 1 of 2,18,18
76,1,2:46.0,,S. Napier makes free throw 2 of 2,18,19
77,1,2:37.0,T. Robinson misses 2-pt dunk from 1 ft,,18,19
78,1,2:34.0,,Defensive rebound by S. Napier,18,19
79,1,2:23.0,,Shooting foul by T. Robinson (drawn by T. Harris),18,19
80,1,2:23.0,,T. Harris makes free throw 1 of 2,18,20
81,1,2:23.0,,T. Harris makes free throw 2 of 2,18,21
82,1,2:14.0,B. Lopez makes 2-pt layup at rim (assist by S. Larkin),,20,21
83,1,1:56.0,,N. Vučević misses 2-pt jump shot from 11 ft,20,21
84,1,1:55.0,,Offensive rebound by V. Oladipo,20,21
85,1,1:39.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by S. Napier),20,24
86,1,1:21.0,Shooting foul by V. Oladipo (drawn by W. Ellington),,20,24
87,1,1:21.0,W. Ellington makes free throw 1 of 2,,21,24
88,1,1:21.0,,A. Gordon enters the game for T. Harris,21,24
89,1,1:21.0,B. Bogdanović enters the game for J. Johnson,,21,24
90,1,1:21.0,W. Reed enters the game for B. Lopez,,21,24
91,1,1:21.0,W. Ellington makes free throw 2 of 2,,22,24
92,1,1:17.0,,Turnover by N. Vučević (lost ball; steal by T. Robinson),22,24
93,1,1:04.0,T. Robinson misses 2-pt jump shot from 10 ft,,22,24
94,1,1:02.0,,Defensive rebound by N. Vučević,22,24
95,1,0:45.0,,A. Nicholson misses 2-pt layup from 2 ft,22,24
96,1,0:45.0,,Offensive rebound by N. Vučević,22,24
97,1,0:45.0,,N. Vučević makes 2-pt layup from 1 ft,22,26
98,1,0:30.0,B. Bogdanović misses 2-pt jump shot from 11 ft (block by A. Gordon),,22,26
99,1,0:30.0,Offensive rebound by Team,,22,26
