,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,K. Garnett makes 2-pt jump shot from 19 ft (assist by R. Rubio),,2,0
1,1,11:24.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Gordon),2,2
2,1,11:10.0,K. Towns makes 3-pt jump shot from 24 ft (assist by K. Garnett),,5,2
3,1,10:51.0,,E. Gordon misses 2-pt layup from 1 ft (block by K. Towns),5,2
4,1,10:50.0,Defensive rebound by R. Rubio,,5,2
5,1,10:40.0,R. Rubio makes 2-pt jump shot from 20 ft,,7,2
6,1,10:20.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by T. Evans),7,5
7,1,9:56.0,K. Towns misses 2-pt layup from 2 ft,,7,5
8,1,9:55.0,,Defensive rebound by Ö. Aşık,7,5
9,1,9:53.0,,Personal foul by K. Garnett (drawn by A. Davis),7,5
10,1,9:45.0,,A. Davis misses 2-pt jump shot from 15 ft,7,5
11,1,9:44.0,Defensive rebound by K. Towns,,7,5
12,1,9:37.0,Shooting foul by T. Evans (drawn by R. Rubio),,7,5
13,1,9:37.0,R. Rubio makes free throw 1 of 2,,8,5
14,1,9:37.0,R. Rubio makes free throw 2 of 2,,9,5
15,1,9:29.0,,Turnover by T. Evans (bad pass; steal by R. Rubio),9,5
16,1,9:13.0,K. Towns makes 2-pt hook shot from 7 ft (assist by K. Garnett),,11,5
17,1,8:53.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by T. Evans),11,7
18,1,8:44.0,Shooting foul by D. Cunningham (drawn by A. Wiggins),,11,7
19,1,8:44.0,A. Wiggins makes free throw 1 of 2,,12,7
20,1,8:44.0,A. Wiggins makes free throw 2 of 2,,13,7
21,1,8:40.0,,New Orleans full timeout,13,7
22,1,8:28.0,,T. Evans makes 2-pt layup from 2 ft,13,9
23,1,8:16.0,A. Wiggins makes 2-pt dunk at rim,,15,9
24,1,8:03.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Gordon),15,11
25,1,7:49.0,Shooting foul by D. Cunningham (drawn by A. Wiggins),,15,11
26,1,7:49.0,A. Wiggins makes free throw 1 of 2,,16,11
27,1,7:49.0,,A. Gee enters the game for D. Cunningham,16,11
28,1,7:49.0,A. Wiggins makes free throw 2 of 2,,17,11
29,1,7:37.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by T. Evans),17,13
30,1,7:18.0,K. Towns makes 2-pt dunk at rim (assist by K. Garnett),,19,13
31,1,7:04.0,,T. Evans misses 3-pt jump shot from 24 ft,19,13
32,1,7:03.0,Defensive rebound by K. Towns,,19,13
33,1,6:55.0,R. Rubio makes 2-pt jump shot from 15 ft,,21,13
34,1,6:43.0,,E. Gordon misses 3-pt jump shot from 25 ft,21,13
35,1,6:42.0,Defensive rebound by K. Towns,,21,13
36,1,6:34.0,Turnover by R. Rubio (lost ball; steal by A. Gee),,21,13
37,1,6:17.0,,T. Evans misses 2-pt layup at rim,21,13
38,1,6:14.0,Defensive rebound by K. Towns,,21,13
39,1,6:05.0,A. Wiggins misses 3-pt jump shot from 24 ft,,21,13
40,1,6:04.0,,Defensive rebound by Ö. Aşık,21,13
41,1,5:58.0,,R. Anderson enters the game for Ö. Aşık,21,13
42,1,5:58.0,A. Payne enters the game for K. Garnett,,21,13
43,1,5:51.0,,Turnover by E. Gordon (bad pass),21,13
44,1,5:47.0,Minnesota full timeout,,21,13
45,1,5:36.0,K. Towns misses 2-pt hook shot from 7 ft,,21,13
46,1,5:34.0,,Defensive rebound by A. Gee,21,13
47,1,5:16.0,,A. Davis misses 2-pt jump shot from 6 ft,21,13
48,1,5:15.0,Defensive rebound by K. Towns,,21,13
49,1,5:05.0,Personal foul by E. Gordon (drawn by R. Rubio),,21,13
50,1,5:05.0,S. Muhammad enters the game for T. Prince,,21,13
51,1,4:54.0,Shooting foul by R. Anderson (drawn by A. Payne),,21,13
52,1,4:54.0,A. Payne misses free throw 1 of 2,,21,13
53,1,4:54.0,Offensive rebound by Team,,21,13
54,1,4:54.0,A. Payne makes free throw 2 of 2,,22,13
55,1,4:43.0,,T. Evans misses 2-pt layup at rim,22,13
56,1,4:41.0,,Offensive rebound by A. Davis,22,13
