,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,Turnover by M. Conley (bad pass; steal by Z. LaVine),0,0
1,1,11:37.0,Turnover by Z. LaVine (bad pass; steal by M. Barnes),,0,0
2,1,11:28.0,,M. Conley misses 2-pt layup from 1 ft (block by K. Towns),0,0
3,1,11:26.0,Defensive rebound by G. Dieng,,0,0
4,1,11:19.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,3,0
5,1,11:02.0,,Z. Randolph makes 2-pt jump shot from 14 ft (assist by M. Conley),3,2
6,1,10:45.0,A. Wiggins makes 2-pt jump shot from 19 ft (assist by K. Towns),,5,2
7,1,10:24.0,,Turnover by J. Green (bad pass),5,2
8,1,10:06.0,Turnover by G. Dieng (lost ball),,5,2
9,1,10:01.0,,Shooting foul by Z. LaVine (drawn by T. Allen),5,2
10,1,10:01.0,,T. Allen makes free throw 1 of 2,5,3
11,1,10:01.0,,T. Allen makes free throw 2 of 2,5,4
12,1,9:54.0,Turnover by K. Towns (bad pass; steal by T. Allen),,5,4
13,1,9:49.0,,T. Allen makes 2-pt dunk at rim,5,6
14,1,9:29.0,K. Towns misses 2-pt layup from 2 ft,,5,6
15,1,9:24.0,,Defensive rebound by Z. Randolph,5,6
16,1,9:11.0,,M. Conley misses 2-pt layup from 3 ft,5,6
17,1,9:08.0,Defensive rebound by K. Towns,,5,6
18,1,9:01.0,Z. LaVine makes 3-pt jump shot from 22 ft (assist by A. Wiggins),,8,6
19,1,8:41.0,,J. Green makes 2-pt jump shot from 18 ft (assist by T. Allen),8,8
20,1,8:29.0,Turnover by K. Towns (lost ball; steal by J. Green),,8,8
21,1,8:24.0,,Shooting foul by K. Towns (drawn by T. Allen),8,8
22,1,8:24.0,,T. Allen makes free throw 1 of 2,8,9
23,1,8:24.0,,T. Allen misses free throw 2 of 2,8,9
24,1,8:22.0,Defensive rebound by Z. LaVine,,8,9
25,1,8:09.0,A. Wiggins misses 2-pt jump shot from 18 ft (block by M. Barnes),,8,9
26,1,8:04.0,Offensive rebound by G. Dieng,,8,9
27,1,8:04.0,G. Dieng misses 2-pt layup from 1 ft (block by J. Green),,8,9
28,1,8:03.0,,Defensive rebound by Z. Randolph,8,9
29,1,7:54.0,,M. Conley misses 3-pt jump shot from 25 ft,8,9
30,1,7:54.0,Defensive rebound by G. Dieng,,8,9
31,1,7:45.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,8,9
32,1,7:45.0,A. Wiggins makes free throw 1 of 2,,9,9
33,1,7:45.0,,B. Wright enters the game for J. Green,9,9
34,1,7:45.0,A. Wiggins makes free throw 2 of 2,,10,9
35,1,7:33.0,,Personal foul by Z. LaVine,10,9
36,1,7:33.0,S. Muhammad enters the game for Z. LaVine,,10,9
37,1,7:26.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Barnes),10,11
38,1,7:13.0,K. Towns makes 2-pt jump shot from 6 ft (assist by R. Rubio),,12,11
39,1,6:58.0,,M. Conley makes 2-pt jump shot from 5 ft (assist by T. Allen),12,13
40,1,6:37.0,A. Wiggins makes 2-pt jump shot from 5 ft,,14,13
41,1,6:20.0,,B. Wright misses 2-pt jump shot from 3 ft (block by R. Rubio),14,13
42,1,6:20.0,,Offensive rebound by Team,14,13
43,1,6:19.0,,Turnover by T. Allen (bad pass; steal by K. Towns),14,13
44,1,6:12.0,S. Muhammad makes 2-pt layup from 2 ft (assist by R. Rubio),,16,13
45,1,6:00.0,,Turnover by T. Allen (traveling),16,13
46,1,6:00.0,Minnesota full timeout,,16,13
47,1,6:00.0,,V. Carter enters the game for T. Allen,16,13
48,1,5:46.0,K. Towns misses 2-pt jump shot from 6 ft,,16,13
49,1,5:44.0,Offensive rebound by K. Towns,,16,13
50,1,5:41.0,G. Dieng makes 2-pt dunk at rim (assist by K. Towns),,18,13
51,1,5:22.0,,Z. Randolph misses 2-pt jump shot from 19 ft,18,13
52,1,5:22.0,Defensive rebound by K. Towns,,18,13
53,1,5:17.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,20,13
54,1,4:55.0,,Z. Randolph makes 2-pt hook shot from 3 ft (assist by M. Conley),20,15
55,1,4:27.0,S. Muhammad misses 2-pt layup at rim,,20,15
56,1,4:26.0,Offensive rebound by S. Muhammad,,20,15
57,1,4:24.0,S. Muhammad misses 2-pt jump shot from 4 ft,,20,15
58,1,4:24.0,Offensive rebound by K. Towns,,20,15
59,1,4:24.0,K. Towns misses 2-pt layup from 1 ft,,20,15
60,1,4:24.0,Offensive rebound by Team,,20,15
61,1,4:24.0,Personal foul by B. Wright,,20,15
62,1,4:24.0,,M. Chalmers enters the game for M. Conley,20,15
63,1,4:18.0,A. Wiggins misses 2-pt jump shot from 20 ft,,20,15
64,1,4:17.0,,Defensive rebound by V. Carter,20,15
65,1,4:07.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by M. Chalmers),20,18
66,1,3:50.0,R. Rubio misses 2-pt jump shot from 17 ft,,20,18
67,1,3:48.0,,Defensive rebound by Z. Randolph,20,18
68,1,3:36.0,,M. Chalmers makes 2-pt jump shot from 6 ft,20,20
69,1,3:18.0,G. Dieng misses 2-pt jump shot from 17 ft,,20,20
70,1,3:17.0,,Defensive rebound by V. Carter,20,20
71,1,3:10.0,,M. Barnes misses 2-pt jump shot from 21 ft,20,20
72,1,3:06.0,Defensive rebound by K. Towns,,20,20
73,1,2:58.0,G. Dieng makes 2-pt layup from 1 ft (assist by R. Rubio),,22,20
74,1,2:50.0,,Memphis full timeout,22,20
75,1,2:50.0,K. Martin enters the game for A. Wiggins,,22,20
76,1,2:50.0,A. Payne enters the game for K. Towns,,22,20
77,1,2:50.0,,C. Andersen enters the game for M. Barnes,22,20
78,1,2:50.0,,J. Ennis enters the game for Z. Randolph,22,20
