,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:44.0,D. Favors misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Motiejūnas,0,0
2,1,11:23.0,,P. Beverley misses 2-pt jump shot from 11 ft,0,0
3,1,11:22.0,Defensive rebound by R. Hood,,0,0
4,1,11:11.0,S. Mack makes 2-pt layup from 1 ft (assist by D. Favors),,2,0
5,1,10:54.0,,Turnover by T. Ariza (bad pass; steal by G. Hayward),2,0
6,1,10:43.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),,5,0
7,1,10:26.0,,J. Harden misses 2-pt jump shot from 13 ft,5,0
8,1,10:25.0,Defensive rebound by G. Hayward,,5,0
9,1,10:16.0,Turnover by R. Gobert (bad pass; steal by J. Harden),,5,0
10,1,10:14.0,,Personal foul by S. Mack,5,0
11,1,10:05.0,,D. Motiejūnas misses 3-pt jump shot from 25 ft,5,0
12,1,10:05.0,,Offensive rebound by Team,5,0
13,1,10:05.0,Loose ball foul by R. Gobert,,5,0
14,1,9:59.0,,Shooting foul by G. Hayward (drawn by D. Motiejūnas),5,0
15,1,9:59.0,,D. Motiejūnas misses free throw 1 of 2,5,0
16,1,9:59.0,,Offensive rebound by Team,5,0
17,1,9:59.0,,D. Motiejūnas misses free throw 2 of 2,5,0
18,1,9:59.0,Defensive rebound by R. Gobert,,5,0
19,1,9:44.0,Personal foul by D. Motiejūnas,,5,0
20,1,9:33.0,D. Favors misses 2-pt jump shot from 15 ft,,5,0
21,1,9:32.0,Offensive rebound by R. Gobert,,5,0
22,1,9:28.0,R. Gobert misses 2-pt layup from 3 ft (block by D. Howard),,5,0
23,1,9:27.0,,Defensive rebound by J. Harden,5,0
24,1,9:21.0,,P. Beverley misses 3-pt jump shot from 23 ft,5,0
25,1,9:20.0,,Offensive rebound by D. Motiejūnas,5,0
26,1,9:13.0,,D. Howard misses 2-pt layup from 2 ft (block by D. Favors),5,0
27,1,9:12.0,Defensive rebound by S. Mack,,5,0
28,1,8:52.0,Turnover by S. Mack (traveling),,5,0
29,1,8:41.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),5,3
30,1,8:20.0,S. Mack misses 3-pt jump shot from 24 ft,,5,3
31,1,8:20.0,,Defensive rebound by J. Harden,5,3
32,1,8:13.0,,Houston full timeout,5,3
33,1,8:05.0,,D. Motiejūnas makes 2-pt layup from 2 ft (assist by P. Beverley),5,5
34,1,7:41.0,D. Favors makes 2-pt layup from 1 ft (assist by G. Hayward),,7,5
35,1,7:22.0,,Shooting foul by D. Favors (drawn by D. Howard),7,5
36,1,7:22.0,,D. Howard makes free throw 1 of 2,7,6
37,1,7:22.0,,D. Howard misses free throw 2 of 2,7,6
38,1,7:21.0,Defensive rebound by G. Hayward,,7,6
39,1,6:58.0,D. Favors misses 2-pt layup from 2 ft,,7,6
40,1,6:57.0,Offensive rebound by R. Gobert,,7,6
41,1,6:57.0,R. Gobert makes 2-pt layup from 2 ft,,9,6
42,1,6:45.0,,D. Howard makes 2-pt hook shot from 3 ft (assist by P. Beverley),9,8
43,1,6:31.0,Turnover by R. Gobert (bad pass; steal by P. Beverley),,9,8
44,1,6:25.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by P. Beverley),9,11
45,1,6:09.0,D. Favors misses 2-pt jump shot from 11 ft,,9,11
46,1,6:08.0,,Defensive rebound by D. Howard,9,11
47,1,5:59.0,,J. Harden makes 2-pt jump shot from 17 ft,9,13
48,1,5:59.0,Utah full timeout,,9,13
49,1,5:59.0,,M. Beasley enters the game for D. Motiejūnas,9,13
50,1,5:59.0,T. Booker enters the game for R. Gobert,,9,13
51,1,5:39.0,R. Hood misses 3-pt jump shot from 22 ft,,9,13
52,1,5:39.0,,Defensive rebound by D. Howard,9,13
53,1,5:30.0,,D. Howard misses 2-pt hook shot from 2 ft,9,13
54,1,5:29.0,Defensive rebound by D. Favors,,9,13
55,1,5:10.0,Turnover by R. Hood (bad pass; steal by J. Harden),,9,13
56,1,5:04.0,,J. Harden makes 2-pt layup from 2 ft,9,15
57,1,4:56.0,Shooting foul by M. Beasley (drawn by D. Favors),,9,15
58,1,4:56.0,D. Favors makes free throw 1 of 2,,10,15
59,1,4:56.0,D. Favors misses free throw 2 of 2,,10,15
60,1,4:56.0,,Defensive rebound by J. Harden,10,15
61,1,4:33.0,,T. Ariza misses 2-pt jump shot from 3 ft,10,15
62,1,4:32.0,Defensive rebound by D. Favors,,10,15
63,1,4:11.0,T. Booker makes 2-pt jump shot from 4 ft (assist by S. Mack),,12,15
64,1,3:58.0,,Turnover by T. Ariza (bad pass; steal by S. Mack),12,15
65,1,3:52.0,T. Booker makes 2-pt dunk at rim (assist by S. Mack),,14,15
66,1,3:39.0,,Turnover by D. Howard (bad pass; steal by S. Mack),14,15
67,1,3:36.0,Personal foul by J. Harden,,14,15
68,1,3:36.0,J. Ingles enters the game for G. Hayward,,14,15
69,1,3:36.0,,C. Capela enters the game for D. Howard,14,15
70,1,3:36.0,,C. Brewer enters the game for T. Ariza,14,15
71,1,3:26.0,Turnover by S. Mack (bad pass; steal by J. Harden),,14,15
72,1,3:20.0,,C. Brewer makes 2-pt layup from 1 ft (assist by P. Beverley),14,17
73,1,3:08.0,Turnover by D. Favors (lost ball),,14,17
74,1,2:56.0,,M. Beasley makes 2-pt jump shot from 18 ft (assist by J. Harden),14,19
75,1,2:42.0,D. Favors makes 2-pt dunk at rim (assist by S. Mack),,16,19
76,1,2:35.0,,Houston full timeout,16,19
77,1,2:35.0,,J. Terry enters the game for P. Beverley,16,19
78,1,2:35.0,R. Neto enters the game for S. Mack,,16,19
79,1,2:24.0,,C. Capela makes 2-pt jump shot from 4 ft (assist by J. Harden),16,21
80,1,2:09.0,Shooting foul by C. Brewer (drawn by D. Favors),,16,21
81,1,2:09.0,D. Favors makes free throw 1 of 2,,17,21
82,1,2:09.0,D. Favors makes free throw 2 of 2,,18,21
83,1,1:44.0,,J. Terry misses 3-pt jump shot from 23 ft,18,21
84,1,1:43.0,Defensive rebound by D. Favors,,18,21
85,1,1:24.0,R. Neto misses 2-pt jump shot from 14 ft,,18,21
86,1,1:23.0,,Defensive rebound by C. Capela,18,21
87,1,1:19.0,,Shooting foul by J. Ingles (drawn by C. Capela),18,21
88,1,1:19.0,,C. Capela makes free throw 1 of 2,18,22
89,1,1:19.0,,K. McDaniels enters the game for J. Harden,18,22
90,1,1:19.0,,C. Capela misses free throw 2 of 2,18,22
91,1,1:19.0,Defensive rebound by D. Favors,,18,22
92,1,0:57.0,R. Hood misses 3-pt jump shot from 25 ft,,18,22
93,1,0:56.0,,Defensive rebound by C. Capela,18,22
94,1,0:49.0,,M. Beasley makes 2-pt layup from 1 ft (assist by J. Terry),18,24
95,1,0:24.0,R. Neto makes 3-pt jump shot from 24 ft (assist by T. Booker),,21,24
96,1,0:22.0,,Personal take foul by J. Ingles,21,24
97,1,0:22.0,,C. Capela misses free throw 1 of 2,21,24
98,1,0:22.0,,Offensive rebound by Team,21,24
99,1,0:22.0,,C. Capela makes free throw 2 of 2,21,25
100,1,0:02.0,Turnover by R. Hood (lost ball; steal by C. Capela),,21,25
101,2,11:43.0,,M. Beasley misses 2-pt jump shot from 19 ft,21,25
102,2,11:42.0,Defensive rebound by J. Ingles,,21,25
103,2,11:26.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by T. Booker),,24,25
104,2,11:09.0,,C. Brewer makes 3-pt jump shot from 23 ft (assist by K. McDaniels),24,28
105,2,10:49.0,J. Ingles misses 3-pt jump shot from 22 ft,,24,28
106,2,10:48.0,,Defensive rebound by K. McDaniels,24,28
107,2,10:42.0,,K. McDaniels misses 2-pt layup from 2 ft (block by G. Hayward),24,28
108,2,10:41.0,,Offensive rebound by C. Capela,24,28
109,2,10:41.0,,C. Capela makes 2-pt layup from 2 ft,24,30
110,2,10:19.0,G. Hayward misses 3-pt jump shot from 22 ft,,24,30
111,2,10:18.0,Offensive rebound by R. Gobert,,24,30
112,2,10:18.0,Turnover by R. Gobert (step out of bounds),,24,30
113,2,10:18.0,T. Lyles enters the game for T. Booker,,24,30
114,2,10:18.0,,T. Ariza enters the game for K. McDaniels,24,30
115,2,10:07.0,,Turnover by M. Beasley (bad pass),24,30
116,2,10:07.0,C. Johnson enters the game for J. Ingles,,24,30
117,2,9:54.0,T. Lyles misses 2-pt jump shot from 10 ft,,24,30
118,2,9:53.0,,Defensive rebound by C. Capela,24,30
119,2,9:45.0,,M. Beasley makes 2-pt layup from 2 ft,24,32
120,2,9:32.0,Personal foul by C. Capela,,24,32
121,2,9:18.0,C. Johnson misses 2-pt jump shot from 20 ft,,24,32
122,2,9:17.0,,Defensive rebound by C. Capela,24,32
123,2,9:08.0,,M. Beasley misses 2-pt layup from 1 ft,24,32
124,2,9:08.0,Defensive rebound by Team,,24,32
125,2,9:08.0,,Loose ball foul by C. Capela,24,32
126,2,8:55.0,Shooting foul by C. Brewer (drawn by G. Hayward),,24,32
127,2,8:55.0,Utah full timeout,,24,32
128,2,8:55.0,S. Mack enters the game for R. Neto,,24,32
129,2,8:55.0,G. Hayward makes free throw 1 of 2,,25,32
130,2,8:55.0,G. Hayward makes free throw 2 of 2,,26,32
131,2,8:42.0,,M. Beasley misses 2-pt layup from 1 ft,26,32
132,2,8:41.0,Defensive rebound by G. Hayward,,26,32
133,2,8:18.0,T. Lyles misses 3-pt jump shot from 25 ft,,26,32
134,2,8:16.0,,Defensive rebound by C. Brewer,26,32
135,2,8:09.0,,C. Capela makes 2-pt dunk at rim (assist by C. Brewer),26,34
136,2,7:53.0,G. Hayward misses 3-pt jump shot from 24 ft,,26,34
137,2,7:51.0,,Defensive rebound by C. Brewer,26,34
138,2,7:39.0,,M. Beasley makes 2-pt jump shot from 17 ft,26,36
139,2,7:22.0,Turnover by S. Mack (bad pass; steal by C. Capela),,26,36
140,2,7:10.0,,M. Beasley misses 2-pt jump shot from 6 ft,26,36
141,2,7:10.0,,Offensive rebound by Team,26,36
142,2,7:10.0,Loose ball foul by C. Johnson,,26,36
143,2,7:10.0,D. Favors enters the game for R. Gobert,,26,36
144,2,7:10.0,,D. Howard enters the game for M. Beasley,26,36
145,2,7:10.0,,J. Harden enters the game for C. Capela,26,36
146,2,7:10.0,,P. Beverley enters the game for C. Brewer,26,36
147,2,7:10.0,,D. Motiejūnas enters the game for J. Terry,26,36
148,2,6:53.0,,Personal foul by C. Johnson,26,36
149,2,6:42.0,,J. Harden makes 2-pt jump shot from 15 ft,26,38
150,2,6:20.0,T. Lyles misses 3-pt jump shot from 24 ft,,26,38
151,2,6:19.0,,Defensive rebound by D. Howard,26,38
152,2,6:11.0,,Turnover by J. Harden (bad pass),26,38
153,2,5:50.0,S. Mack misses 3-pt jump shot from 23 ft,,26,38
154,2,5:50.0,,Defensive rebound by D. Howard,26,38
