,QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
0,1,11:44.0,,J. Randle misses 2-pt jump shot from 16 ft,0,0
1,1,11:44.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:30.0,K. Faried makes 2-pt hook shot from 4 ft (assist by D. Gallinari),,2,0
3,1,11:18.0,,J. Randle makes 2-pt layup at rim (assist by K. Bryant),2,2
4,1,11:18.0,,Shooting foul by E. Mudiay (drawn by J. Randle),2,2
5,1,11:18.0,,J. Randle makes free throw 1 of 1,2,3
6,1,11:08.0,E. Mudiay misses 2-pt layup from 2 ft,,2,3
7,1,11:04.0,Offensive rebound by K. Faried,,2,3
8,1,11:04.0,K. Faried makes 2-pt layup at rim,,4,3
9,1,10:47.0,,J. Randle makes 2-pt layup from 1 ft,4,5
10,1,10:34.0,Shooting foul by R. Hibbert (drawn by J. Hickson),,4,5
11,1,10:34.0,J. Hickson misses free throw 1 of 2,,4,5
12,1,10:34.0,Offensive rebound by Team,,4,5
13,1,10:34.0,J. Hickson misses free throw 2 of 2,,4,5
14,1,10:33.0,Offensive rebound by Team,,4,5
15,1,10:21.0,G. Harris misses 3-pt jump shot from 24 ft,,4,5
16,1,10:20.0,,Defensive rebound by D. Russell,4,5
17,1,10:06.0,,K. Bryant makes 3-pt jump shot from 25 ft (assist by D. Russell),4,8
18,1,9:45.0,D. Gallinari misses 2-pt jump shot from 13 ft,,4,8
19,1,9:44.0,,Defensive rebound by R. Hibbert,4,8
20,1,9:35.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),4,11
21,1,9:35.0,Denver full timeout,,4,11
22,1,9:10.0,D. Gallinari misses 2-pt layup from 1 ft (block by J. Randle),,4,11
23,1,9:09.0,Offensive rebound by D. Gallinari,,4,11
24,1,9:09.0,Turnover by Team (shot clock),,4,11
25,1,9:01.0,,D. Russell misses 2-pt jump shot from 19 ft,4,11
26,1,9:00.0,Defensive rebound by J. Hickson,,4,11
27,1,8:47.0,J. Hickson makes 2-pt layup from 1 ft (assist by G. Harris),,6,11
28,1,8:39.0,,Turnover by J. Randle (bad pass; steal by D. Gallinari),6,11
29,1,8:26.0,E. Mudiay misses 2-pt jump shot from 3 ft,,6,11
30,1,8:25.0,Offensive rebound by E. Mudiay,,6,11
31,1,8:23.0,Turnover by E. Mudiay (bad pass; steal by K. Bryant),,6,11
32,1,8:21.0,Violation by D. Gallinari (kicked ball),,6,11
33,1,8:16.0,,Shooting foul by D. Gallinari (drawn by K. Bryant),6,11
34,1,8:16.0,,K. Bryant makes free throw 1 of 3,6,12
35,1,8:16.0,,K. Bryant misses free throw 2 of 3,6,12
36,1,8:16.0,,Offensive rebound by Team,6,12
37,1,8:16.0,,K. Bryant makes free throw 3 of 3,6,13
38,1,8:02.0,J. Hickson makes 2-pt dunk at rim (assist by E. Mudiay),,8,13
39,1,7:44.0,,D. Russell misses 3-pt jump shot from 22 ft,8,13
40,1,7:43.0,,Offensive rebound by R. Hibbert,8,13
41,1,7:42.0,,Shooting foul by J. Hickson (drawn by R. Hibbert),8,13
42,1,7:42.0,,R. Hibbert makes free throw 1 of 2,8,14
43,1,7:42.0,,R. Hibbert makes free throw 2 of 2,8,15
44,1,7:30.0,J. Hickson makes 2-pt layup from 1 ft (assist by E. Mudiay),,10,15
45,1,7:22.0,,J. Clarkson makes 2-pt jump shot from 3 ft,10,17
46,1,7:11.0,E. Mudiay misses 3-pt jump shot from 24 ft,,10,17
47,1,7:10.0,,Defensive rebound by J. Randle,10,17
48,1,7:02.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Randle),10,20
49,1,6:49.0,K. Faried makes 2-pt layup at rim,,12,20
50,1,6:36.0,,Turnover by J. Randle (lost ball; steal by G. Harris),12,20
51,1,6:31.0,E. Mudiay misses 2-pt layup from 2 ft,,12,20
52,1,6:30.0,Offensive rebound by Team,,12,20
53,1,6:30.0,,B. Bass enters the game for R. Hibbert,12,20
54,1,6:24.0,Shooting foul by K. Bryant (drawn by D. Gallinari),,12,20
55,1,6:24.0,D. Gallinari makes free throw 1 of 2,,13,20
56,1,6:24.0,D. Gallinari makes free throw 2 of 2,,14,20
57,1,6:10.0,,J. Clarkson misses 2-pt jump shot from 19 ft,14,20
58,1,6:07.0,Defensive rebound by J. Hickson,,14,20
59,1,6:01.0,G. Harris makes 2-pt dunk at rim,,16,20
60,1,5:50.0,,D. Russell misses 2-pt jump shot from 12 ft,16,20
61,1,5:46.0,,Offensive rebound by B. Bass,16,20
62,1,5:46.0,,B. Bass misses 2-pt layup from 1 ft,16,20
63,1,5:43.0,,Offensive rebound by K. Bryant,16,20
64,1,5:35.0,,K. Bryant misses 2-pt jump shot from 18 ft,16,20
65,1,5:34.0,Defensive rebound by G. Harris,,16,20
