,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:34.0,,T. Young misses 2-pt jump shot from 19 ft,0,0
1,1,11:33.0,Defensive rebound by N. Batum,,0,0
2,1,11:20.0,Shooting foul by B. Lopez (drawn by C. Zeller),,0,0
3,1,11:20.0,C. Zeller makes free throw 1 of 2,,1,0
4,1,11:20.0,C. Zeller makes free throw 2 of 2,,2,0
5,1,11:13.0,,Offensive foul by J. Johnson (drawn by N. Batum),2,0
6,1,11:13.0,,Turnover by J. Johnson (offensive foul),2,0
7,1,10:58.0,K. Walker misses 3-pt jump shot from 24 ft,,2,0
8,1,10:57.0,,Defensive rebound by T. Young,2,0
9,1,10:48.0,,J. Johnson makes 2-pt layup from 2 ft,2,2
10,1,10:42.0,Turnover by N. Batum (bad pass; steal by D. Sloan),,2,2
11,1,10:39.0,,W. Ellington misses 3-pt jump shot from 23 ft,2,2
12,1,10:38.0,Defensive rebound by N. Batum,,2,2
13,1,10:23.0,C. Lee makes 2-pt jump shot from 12 ft,,4,2
14,1,10:05.0,,B. Lopez misses 2-pt layup from 3 ft,4,2
15,1,10:04.0,Defensive rebound by N. Batum,,4,2
16,1,9:58.0,K. Walker makes 2-pt jump shot from 17 ft (assist by N. Batum),,6,2
17,1,9:35.0,,D. Sloan makes 3-pt jump shot from 24 ft (assist by J. Johnson),6,5
18,1,9:16.0,Turnover by K. Walker (bad pass),,6,5
19,1,8:58.0,,W. Ellington misses 3-pt jump shot from 23 ft,6,5
20,1,8:57.0,Defensive rebound by M. Williams,,6,5
21,1,8:48.0,M. Williams makes 2-pt jump shot from 17 ft (assist by N. Batum),,8,5
22,1,8:34.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Sloan),8,7
23,1,8:14.0,C. Zeller misses 2-pt jump shot from 7 ft,,8,7
24,1,8:13.0,,Defensive rebound by J. Johnson,8,7
25,1,8:05.0,,D. Sloan makes 2-pt layup from 2 ft (assist by B. Lopez),8,9
26,1,7:48.0,N. Batum misses 3-pt jump shot from 24 ft,,8,9
27,1,7:47.0,,Defensive rebound by B. Lopez,8,9
28,1,7:29.0,,B. Lopez misses 2-pt jump shot from 9 ft,8,9
29,1,7:28.0,Defensive rebound by M. Williams,,8,9
30,1,7:26.0,Turnover by N. Batum (bad pass),,8,9
31,1,7:10.0,,Shooting foul by M. Williams (drawn by J. Johnson),8,9
32,1,7:10.0,,J. Johnson makes free throw 1 of 2,8,10
33,1,7:10.0,,J. Johnson makes free throw 2 of 2,8,11
34,1,6:56.0,Def 3 sec tech foul by B. Lopez,,8,11
35,1,6:56.0,N. Batum makes technical free throw,,9,11
36,1,6:50.0,C. Zeller makes 2-pt jump shot from 7 ft (assist by N. Batum),,11,11
37,1,6:36.0,,Shooting foul by N. Batum (drawn by J. Johnson),11,11
38,1,6:36.0,,J. Johnson makes free throw 1 of 2,11,12
39,1,6:36.0,,J. Johnson makes free throw 2 of 2,11,13
40,1,6:25.0,C. Zeller makes 2-pt layup from 2 ft (assist by N. Batum),,13,13
41,1,6:03.0,,D. Sloan misses 3-pt jump shot from 25 ft,13,13
42,1,6:02.0,,Offensive rebound by B. Lopez,13,13
43,1,5:59.0,,B. Lopez makes 2-pt dunk at rim,13,15
44,1,5:44.0,C. Zeller misses 2-pt layup from 3 ft,,13,15
45,1,5:43.0,,Defensive rebound by T. Young,13,15
46,1,5:36.0,,B. Lopez makes 2-pt layup from 2 ft (assist by T. Young),13,17
47,1,5:36.0,,Shooting foul by C. Zeller (drawn by B. Lopez),13,17
48,1,5:36.0,,Brooklyn full timeout,13,17
49,1,5:36.0,A. Jefferson enters the game for C. Zeller,,13,17
50,1,5:36.0,,B. Lopez makes free throw 1 of 1,13,18
51,1,5:13.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,16,18
52,1,4:58.0,,Turnover by D. Sloan (lost ball),16,18
53,1,4:58.0,J. Lin enters the game for C. Lee,,16,18
54,1,4:44.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),,18,18
55,1,4:29.0,,Turnover by T. Young (lost ball; steal by K. Walker),18,18
56,1,4:26.0,Shooting foul by D. Sloan (drawn by J. Lin),,18,18
57,1,4:26.0,J. Lin makes free throw 1 of 2,,19,18
58,1,4:26.0,,B. Bogdanović enters the game for W. Ellington,19,18
59,1,4:26.0,J. Lin makes free throw 2 of 2,,20,18
60,1,4:10.0,,B. Bogdanović misses 2-pt layup from 2 ft,20,18
61,1,4:09.0,Defensive rebound by M. Williams,,20,18
62,1,3:58.0,K. Walker misses 3-pt jump shot from 23 ft,,20,18
63,1,3:57.0,,Defensive rebound by B. Bogdanović,20,18
64,1,3:49.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,20,18
65,1,3:48.0,Defensive rebound by M. Williams,,20,18
66,1,3:41.0,,Violation by J. Johnson (kicked ball),20,18
67,1,3:41.0,J. Lamb enters the game for N. Batum,,20,18
68,1,3:29.0,K. Walker misses 3-pt jump shot from 25 ft,,20,18
69,1,3:28.0,,Defensive rebound by T. Young,20,18
70,1,3:17.0,,Personal foul by J. Lamb (drawn by J. Johnson),20,18
71,1,3:17.0,F. Kaminsky enters the game for M. Williams,,20,18
72,1,3:05.0,,D. Sloan misses 3-pt jump shot from 25 ft,20,18
73,1,3:04.0,,Offensive rebound by B. Lopez,20,18
74,1,3:03.0,,B. Lopez makes 2-pt layup from 2 ft,20,20
75,1,2:44.0,A. Jefferson makes 2-pt jump shot from 16 ft,,22,20
76,1,2:24.0,,B. Lopez misses 2-pt jump shot from 15 ft,22,20
77,1,2:23.0,Defensive rebound by K. Walker,,22,20
78,1,2:13.0,J. Lamb misses 3-pt jump shot from 24 ft,,22,20
79,1,2:11.0,,Defensive rebound by B. Lopez,22,20
80,1,1:58.0,,J. Johnson makes 2-pt jump shot from 5 ft,22,22
81,1,1:35.0,A. Jefferson makes 2-pt hook shot from 5 ft,,24,22
82,1,1:25.0,,Shooting foul by A. Jefferson (drawn by T. Young),24,22
83,1,1:25.0,Charlotte full timeout,,24,22
84,1,1:25.0,,M. Brown enters the game for J. Johnson,24,22
85,1,1:25.0,,T. Young makes free throw 1 of 2,24,23
86,1,1:25.0,,T. Young makes free throw 2 of 2,24,24
87,1,1:09.0,A. Jefferson makes 2-pt hook shot from 7 ft,,26,24
88,1,0:55.0,,T. Young makes 2-pt dunk at rim,26,26
89,1,0:36.0,J. Lamb misses 3-pt jump shot from 24 ft,,26,26
90,1,0:35.0,,Defensive rebound by B. Lopez,26,26
91,1,0:23.0,,Turnover by T. Young (bad pass; steal by F. Kaminsky),26,26
92,1,0:06.0,Personal foul by D. Sloan (drawn by K. Walker),,26,26
93,1,0:06.0,,S. Larkin enters the game for D. Sloan,26,26
94,1,0:06.0,,T. Robinson enters the game for B. Lopez,26,26
95,1,0:02.0,K. Walker makes 3-pt jump shot from 25 ft,,29,26
96,2,11:45.0,A. Jefferson makes 2-pt layup from 4 ft (assist by J. Lin),,31,26
97,2,11:29.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,31,26
98,2,11:28.0,Defensive rebound by F. Kaminsky,,31,26
99,2,11:11.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by J. Lamb),,33,26
100,2,10:56.0,,B. Bogdanović misses 2-pt layup from 1 ft,33,26
101,2,10:55.0,Defensive rebound by A. Jefferson,,33,26
102,2,10:49.0,J. Lin makes 2-pt layup from 1 ft (assist by N. Batum),,35,26
103,2,10:47.0,,Brooklyn full timeout,35,26
104,2,10:31.0,,M. Brown makes 2-pt layup from 2 ft,35,28
105,2,10:13.0,A. Jefferson misses 2-pt jump shot from 14 ft,,35,28
106,2,10:12.0,,Defensive rebound by T. Robinson,35,28
107,2,10:06.0,,S. Larkin misses 3-pt jump shot from 24 ft,35,28
108,2,10:05.0,Defensive rebound by Team,,35,28
109,2,9:47.0,A. Jefferson misses 2-pt layup from 2 ft (block by T. Robinson),,35,28
110,2,9:46.0,,Defensive rebound by M. Brown,35,28
