,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:42.0,P. Gasol misses 2-pt layup from 1 ft (block by T. Thompson),,0,0
1,1,11:41.0,,Defensive rebound by K. Love,0,0
2,1,11:36.0,,K. Irving misses 2-pt layup from 1 ft,0,0
3,1,11:34.0,Defensive rebound by T. Gibson,,0,0
4,1,11:28.0,D. Rose makes 2-pt jump shot from 20 ft,,2,0
5,1,11:10.0,,L. James makes 2-pt jump shot from 4 ft (assist by K. Love),2,2
6,1,10:50.0,P. Gasol misses 3-pt jump shot from 24 ft,,2,2
7,1,10:49.0,,Defensive rebound by K. Love,2,2
8,1,10:24.0,,L. James misses 2-pt jump shot from 6 ft,2,2
9,1,10:22.0,,Offensive rebound by L. James,2,2
10,1,10:21.0,,L. James makes 2-pt layup from 1 ft,2,4
11,1,10:03.0,P. Gasol misses 2-pt hook shot from 6 ft,,2,4
12,1,10:01.0,,Defensive rebound by K. Love,2,4
13,1,9:55.0,,K. Irving misses 2-pt jump shot from 9 ft,2,4
14,1,9:53.0,,Offensive rebound by K. Love,2,4
15,1,9:48.0,,K. Irving misses 2-pt jump shot from 12 ft,2,4
16,1,9:48.0,,Offensive rebound by Team,2,4
17,1,9:48.0,,Personal foul by P. Gasol (drawn by T. Thompson),2,4
18,1,9:37.0,,J. Smith misses 2-pt jump shot from 9 ft,2,4
19,1,9:36.0,Defensive rebound by P. Gasol,,2,4
20,1,9:28.0,D. Rose misses 2-pt jump shot from 16 ft,,2,4
21,1,9:27.0,,Defensive rebound by K. Love,2,4
22,1,9:18.0,,L. James makes 2-pt jump shot from 18 ft (assist by K. Love),2,6
23,1,9:07.0,T. Gibson misses 2-pt layup at rim,,2,6
24,1,9:06.0,,Defensive rebound by T. Thompson,2,6
25,1,9:01.0,,L. James makes 2-pt layup from 1 ft,2,8
26,1,8:35.0,E. Moore misses 3-pt jump shot from 25 ft,,2,8
27,1,8:34.0,,Defensive rebound by K. Love,2,8
28,1,8:31.0,,Personal block foul by M. Dunleavy (drawn by L. James),2,8
29,1,8:26.0,,L. James misses 3-pt jump shot from 24 ft,2,8
30,1,8:26.0,Defensive rebound by D. Rose,,2,8
31,1,8:16.0,M. Dunleavy misses 2-pt layup from 1 ft,,2,8
32,1,8:15.0,Offensive rebound by P. Gasol,,2,8
33,1,8:13.0,P. Gasol makes 2-pt jump shot from 6 ft,,4,8
34,1,7:46.0,,K. Irving makes 2-pt jump shot from 20 ft,4,10
35,1,7:30.0,D. Rose makes 3-pt jump shot from 24 ft (assist by P. Gasol),,7,10
36,1,7:12.0,,J. Smith misses 3-pt jump shot from 26 ft,7,10
37,1,7:12.0,Defensive rebound by P. Gasol,,7,10
38,1,7:01.0,Turnover by P. Gasol (bad pass; steal by T. Thompson),,7,10
39,1,6:51.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),7,13
40,1,6:51.0,Chicago full timeout,,7,13
41,1,6:42.0,Personal foul by T. Thompson (drawn by P. Gasol),,7,13
42,1,6:31.0,M. Dunleavy misses 2-pt jump shot from 5 ft,,7,13
43,1,6:26.0,Offensive rebound by T. Gibson,,7,13
44,1,6:26.0,T. Gibson makes 2-pt dunk at rim,,9,13
45,1,6:20.0,,K. Love misses 3-pt jump shot from 24 ft,9,13
46,1,6:18.0,Defensive rebound by D. Rose,,9,13
47,1,6:05.0,E. Moore misses 2-pt jump shot from 7 ft,,9,13
48,1,6:04.0,,Defensive rebound by L. James,9,13
49,1,5:43.0,,T. Thompson misses 2-pt jump shot from 6 ft,9,13
50,1,5:43.0,,Offensive rebound by Team,9,13
51,1,5:43.0,,Turnover by Team (shot clock),9,13
52,1,5:43.0,T. Snell enters the game for T. Gibson,,9,13
53,1,5:43.0,B. Portis enters the game for M. Dunleavy,,9,13
54,1,5:30.0,D. Rose misses 2-pt jump shot from 17 ft,,9,13
55,1,5:29.0,,Defensive rebound by K. Love,9,13
56,1,5:15.0,,Turnover by K. Irving (lost ball),9,13
57,1,5:03.0,Shooting foul by J. Smith (drawn by E. Moore),,9,13
58,1,5:03.0,E. Moore makes 2-pt layup from 3 ft,,11,13
59,1,5:03.0,,T. Mozgov enters the game for K. Love,11,13
60,1,5:03.0,E. Moore makes free throw 1 of 1,,12,13
61,1,4:47.0,,T. Thompson makes 2-pt hook shot from 8 ft (assist by K. Irving),12,15
62,1,4:45.0,,M. Dellavedova enters the game for K. Irving,12,15
63,1,4:35.0,D. Rose misses 3-pt jump shot from 25 ft,,12,15
64,1,4:34.0,,Defensive rebound by T. Thompson,12,15
65,1,4:17.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),12,17
66,1,3:55.0,D. Rose makes 2-pt layup at rim (assist by T. Snell),,14,17
67,1,3:55.0,Shooting foul by L. James (drawn by D. Rose),,14,17
68,1,3:55.0,D. Rose makes free throw 1 of 1,,15,17
