,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,K. Leonard makes 2-pt dunk at rim,0,2
1,1,11:31.0,K. Durant makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,2,2
2,1,11:17.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),2,4
3,1,10:54.0,R. Westbrook misses 2-pt jump shot from 17 ft,,2,4
4,1,10:53.0,,Defensive rebound by T. Parker,2,4
5,1,10:40.0,,L. Aldridge makes 2-pt jump shot from 16 ft,2,6
6,1,10:28.0,K. Durant misses 2-pt layup from 1 ft,,2,6
7,1,10:27.0,Offensive rebound by S. Adams,,2,6
8,1,10:25.0,S. Adams misses 2-pt layup at rim (block by D. Green),,2,6
9,1,10:23.0,,Defensive rebound by D. Green,2,6
10,1,10:19.0,,Turnover by D. Green (step out of bounds),2,6
11,1,10:00.0,S. Ibaka makes 2-pt jump shot from 19 ft,,4,6
12,1,9:46.0,,K. Leonard makes 2-pt jump shot from 19 ft,4,8
13,1,9:31.0,S. Ibaka misses 3-pt jump shot from 24 ft,,4,8
14,1,9:30.0,,Defensive rebound by K. Leonard,4,8
15,1,9:19.0,,L. Aldridge misses 2-pt hook shot from 12 ft,4,8
16,1,9:18.0,Defensive rebound by K. Durant,,4,8
17,1,9:12.0,R. Westbrook misses 2-pt layup from 1 ft,,4,8
18,1,9:11.0,,Defensive rebound by T. Parker,4,8
19,1,8:54.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),4,10
20,1,8:54.0,,Shooting foul by S. Adams (drawn by T. Duncan),4,10
21,1,8:54.0,,T. Duncan misses free throw 1 of 1,4,10
22,1,8:53.0,Defensive rebound by S. Adams,,4,10
23,1,8:41.0,K. Durant makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,6,10
24,1,8:24.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by T. Parker),6,12
25,1,8:14.0,Turnover by R. Westbrook (bad pass),,6,12
26,1,7:56.0,,D. Green makes 3-pt jump shot from 22 ft (assist by L. Aldridge),6,15
27,1,7:36.0,K. Durant misses 2-pt jump shot from 6 ft,,6,15
28,1,7:35.0,,Defensive rebound by T. Duncan,6,15
29,1,7:32.0,,K. Leonard makes 2-pt dunk at rim (assist by T. Duncan),6,17
30,1,7:32.0,Oklahoma City full timeout,,6,17
31,1,7:24.0,A. Roberson misses 3-pt jump shot from 23 ft,,6,17
32,1,7:22.0,Offensive rebound by S. Adams,,6,17
33,1,7:16.0,Turnover by K. Durant (bad pass; steal by D. Green),,6,17
34,1,7:10.0,,K. Leonard makes 2-pt layup from 1 ft,6,19
35,1,6:55.0,Personal foul by K. Leonard,,6,19
36,1,6:48.0,R. Westbrook misses 2-pt layup from 2 ft,,6,19
37,1,6:47.0,Offensive rebound by S. Adams,,6,19
38,1,6:47.0,S. Adams makes 2-pt layup at rim,,8,19
39,1,6:28.0,,T. Parker makes 2-pt jump shot from 19 ft (assist by T. Duncan),8,21
40,1,6:15.0,S. Ibaka misses 2-pt jump shot from 20 ft,,8,21
41,1,6:15.0,Offensive rebound by Team,,8,21
42,1,6:15.0,,Loose ball foul by T. Duncan,8,21
43,1,6:15.0,Turnover by A. Roberson (bad pass),,8,21
44,1,6:00.0,,T. Parker misses 2-pt jump shot from 14 ft,8,21
45,1,5:58.0,Defensive rebound by K. Durant,,8,21
46,1,5:44.0,R. Westbrook misses 2-pt layup from 3 ft (block by L. Aldridge),,8,21
47,1,5:43.0,Offensive rebound by S. Adams,,8,21
48,1,5:42.0,S. Adams misses 2-pt layup from 2 ft (block by L. Aldridge),,8,21
49,1,5:42.0,Offensive rebound by Team,,8,21
50,1,5:34.0,K. Durant misses 3-pt jump shot from 26 ft,,8,21
51,1,5:33.0,,Defensive rebound by K. Leonard,8,21
52,1,5:20.0,,L. Aldridge misses 2-pt jump shot from 8 ft,8,21
53,1,5:19.0,Defensive rebound by K. Durant,,8,21
54,1,5:11.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by K. Durant),,10,21
55,1,5:10.0,,San Antonio full timeout,10,21
56,1,4:56.0,,K. Leonard makes 2-pt jump shot from 22 ft (assist by T. Parker),10,23
57,1,4:45.0,K. Durant misses 2-pt layup from 2 ft (block by D. Green),,10,23
58,1,4:43.0,,Defensive rebound by L. Aldridge,10,23
59,1,4:35.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),10,26
