,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,K. Irving misses 2-pt jump shot from 15 ft,0,0
1,1,11:45.0,,Offensive rebound by J. Smith,0,0
2,1,11:39.0,,K. Love misses 3-pt jump shot from 25 ft,0,0
3,1,11:38.0,Defensive rebound by T. Parker,,0,0
4,1,11:23.0,D. West makes 2-pt layup from 1 ft (assist by T. Parker),,2,0
5,1,11:23.0,Technical foul by D. West,,2,0
6,1,11:23.0,,K. Irving makes technical free throw,2,1
7,1,11:07.0,,L. James misses 2-pt jump shot from 12 ft,2,1
8,1,11:06.0,Defensive rebound by K. Leonard,,2,1
9,1,10:56.0,K. Leonard makes 2-pt dunk at rim (assist by D. West),,4,1
10,1,10:45.0,,Shooting foul by L. Aldridge (drawn by K. Love),4,1
11,1,10:45.0,,K. Love makes free throw 1 of 2,4,2
12,1,10:45.0,,K. Love makes free throw 2 of 2,4,3
13,1,10:34.0,Turnover by T. Parker (lost ball; steal by K. Irving),,4,3
14,1,10:29.0,,K. Irving makes 2-pt layup from 1 ft,4,5
15,1,10:15.0,D. West misses 2-pt jump shot from 10 ft,,4,5
16,1,10:11.0,,Defensive rebound by K. Love,4,5
17,1,10:06.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),4,8
18,1,9:48.0,L. Aldridge misses 2-pt jump shot from 9 ft,,4,8
19,1,9:47.0,,Defensive rebound by K. Love,4,8
20,1,9:38.0,,K. Love makes 2-pt jump shot from 19 ft (assist by L. James),4,10
21,1,9:38.0,San Antonio full timeout,,4,10
22,1,9:24.0,Personal foul by K. Love,,4,10
23,1,9:17.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Parker),,6,10
24,1,9:02.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),6,13
25,1,8:37.0,T. Parker misses 2-pt jump shot from 8 ft,,6,13
26,1,8:35.0,Offensive rebound by K. Leonard,,6,13
27,1,8:29.0,K. Leonard misses 2-pt jump shot from 17 ft,,6,13
28,1,8:27.0,Offensive rebound by D. Green,,6,13
29,1,8:14.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),,9,13
30,1,7:57.0,,K. Irving misses 2-pt jump shot from 20 ft,9,13
31,1,7:56.0,Defensive rebound by T. Parker,,9,13
32,1,7:44.0,T. Parker makes 2-pt layup at rim,,11,13
33,1,7:18.0,,L. James misses 3-pt jump shot from 27 ft,11,13
34,1,7:17.0,,Offensive rebound by T. Thompson,11,13
35,1,7:15.0,,Shooting foul by K. Leonard (drawn by T. Thompson),11,13
36,1,7:15.0,,T. Thompson makes free throw 1 of 2,11,14
37,1,7:15.0,,T. Thompson makes free throw 2 of 2,11,15
38,1,6:54.0,T. Parker makes 2-pt jump shot from 8 ft,,13,15
