,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,K. Bryant makes 3-pt jump shot from 25 ft,,3,0
1,1,11:34.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Canaan),3,3
2,1,11:21.0,K. Bryant makes 3-pt jump shot from 25 ft,,6,3
3,1,11:02.0,,I. Canaan makes 3-pt jump shot from 27 ft,6,6
4,1,10:48.0,K. Bryant misses 3-pt jump shot from 26 ft,,6,6
5,1,10:47.0,Offensive rebound by D. Russell,,6,6
6,1,10:44.0,K. Bryant makes 3-pt jump shot from 28 ft (assist by D. Russell),,9,6
7,1,10:23.0,,J. Okafor misses 2-pt jump shot from 17 ft,9,6
8,1,10:20.0,Defensive rebound by J. Randle,,9,6
9,1,10:12.0,K. Bryant misses 3-pt jump shot from 25 ft,,9,6
10,1,10:11.0,,Defensive rebound by J. Sampson,9,6
11,1,10:05.0,,J. Sampson misses 2-pt layup from 2 ft,9,6
12,1,10:03.0,Defensive rebound by R. Hibbert,,9,6
13,1,9:54.0,D. Russell misses 3-pt jump shot from 25 ft,,9,6
14,1,9:53.0,,Defensive rebound by J. Grant,9,6
15,1,9:37.0,,J. Okafor makes 2-pt layup from 1 ft,9,8
16,1,9:19.0,K. Bryant misses 2-pt jump shot from 14 ft,,9,8
17,1,9:16.0,,Defensive rebound by J. Grant,9,8
18,1,9:10.0,,J. Sampson misses 2-pt jump shot from 3 ft,9,8
19,1,9:08.0,Defensive rebound by J. Randle,,9,8
20,1,9:01.0,J. Clarkson misses 2-pt jump shot from 5 ft (block by J. Grant),,9,8
21,1,9:01.0,,Defensive rebound by Team,9,8
22,1,8:42.0,,Shooting foul by R. Hibbert (drawn by J. Grant),9,8
23,1,8:42.0,,J. Grant makes free throw 1 of 2,9,9
24,1,8:42.0,,J. Grant makes free throw 2 of 2,9,10
25,1,8:25.0,J. Randle misses 2-pt jump shot from 8 ft,,9,10
26,1,8:24.0,,Defensive rebound by J. Sampson,9,10
27,1,8:17.0,,R. Covington misses 3-pt jump shot from 24 ft,9,10
28,1,8:15.0,Defensive rebound by J. Randle,,9,10
29,1,8:03.0,D. Russell misses 3-pt jump shot from 26 ft,,9,10
30,1,8:02.0,,Defensive rebound by J. Okafor,9,10
31,1,7:55.0,,I. Canaan makes 3-pt jump shot from 26 ft,9,13
32,1,7:36.0,K. Bryant makes 2-pt jump shot from 20 ft,,11,13
33,1,7:25.0,,J. Grant makes 2-pt dunk at rim (assist by I. Canaan),11,15
34,1,7:12.0,K. Bryant misses 3-pt jump shot from 25 ft,,11,15
35,1,7:11.0,,Defensive rebound by J. Sampson,11,15
36,1,6:58.0,,J. Okafor misses 2-pt jump shot from 12 ft,11,15
37,1,6:57.0,Defensive rebound by J. Randle,,11,15
38,1,6:49.0,J. Randle makes 2-pt layup from 2 ft,,13,15
39,1,6:42.0,,Turnover by R. Covington (traveling),13,15
40,1,6:42.0,,T. McConnell enters the game for R. Covington,13,15
41,1,6:29.0,J. Randle makes 2-pt layup from 2 ft (assist by R. Hibbert),,15,15
42,1,6:29.0,Shooting foul by J. Grant (drawn by J. Randle),,15,15
43,1,6:29.0,J. Randle misses free throw 1 of 1,,15,15
44,1,6:28.0,,Defensive rebound by Team,15,15
45,1,6:04.0,,J. Grant makes 2-pt layup from 1 ft (assist by T. McConnell),15,17
46,1,5:52.0,J. Randle makes 2-pt layup at rim (assist by D. Russell),,17,17
47,1,5:51.0,,Philadelphia full timeout,17,17
48,1,5:51.0,L. Williams enters the game for D. Russell,,17,17
49,1,5:51.0,,H. Thompson enters the game for J. Sampson,17,17
50,1,5:38.0,,Turnover by J. Okafor (bad pass; steal by J. Randle),17,17
51,1,5:20.0,J. Randle misses 2-pt jump shot from 4 ft,,17,17
52,1,5:16.0,,Defensive rebound by T. McConnell,17,17
53,1,5:02.0,,T. McConnell makes 3-pt jump shot from 26 ft (assist by I. Canaan),17,20
54,1,4:48.0,K. Bryant misses 3-pt jump shot from 29 ft,,17,20
55,1,4:47.0,Offensive rebound by J. Clarkson,,17,20
56,1,4:31.0,J. Clarkson misses 2-pt jump shot from 12 ft,,17,20
57,1,4:29.0,Offensive rebound by K. Bryant,,17,20
58,1,4:27.0,K. Bryant makes 2-pt hook shot from 6 ft,,19,20
59,1,4:18.0,,H. Thompson misses 2-pt jump shot from 19 ft,19,20
60,1,4:18.0,,Offensive rebound by Team,19,20
61,1,4:18.0,,N. Stauskas enters the game for I. Canaan,19,20
62,1,4:18.0,,N. Noel enters the game for J. Okafor,19,20
63,1,4:18.0,,R. Covington enters the game for J. Grant,19,20
64,1,4:18.0,M. World Peace enters the game for K. Bryant,,19,20
65,1,4:00.0,,N. Noel makes 2-pt layup from 1 ft (assist by R. Covington),19,22
66,1,3:39.0,L. Williams makes 2-pt jump shot from 17 ft (assist by R. Hibbert),,21,22
67,1,3:26.0,,H. Thompson makes 2-pt layup from 2 ft (assist by N. Noel),21,24
68,1,3:08.0,Shooting foul by N. Stauskas (drawn by L. Williams),,21,24
69,1,3:08.0,L. Williams makes free throw 1 of 2,,22,24
70,1,3:08.0,N. Young enters the game for R. Hibbert,,22,24
71,1,3:08.0,B. Bass enters the game for J. Randle,,22,24
72,1,3:08.0,L. Williams makes free throw 2 of 2,,23,24
73,1,2:55.0,,N. Noel makes 2-pt dunk at rim (assist by T. McConnell),23,26
