,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:36.0,K. Koufos misses 2-pt jump shot from 11 ft (block by D. Motiejūnas),,0,0
1,1,11:35.0,,Defensive rebound by T. Ariza,0,0
2,1,11:24.0,,D. Motiejūnas makes 2-pt layup from 1 ft (assist by P. Beverley),0,2
3,1,11:11.0,S. Curry misses 2-pt jump shot from 8 ft,,0,2
4,1,11:10.0,,Defensive rebound by D. Howard,0,2
5,1,11:08.0,,J. Harden makes 2-pt layup from 2 ft (assist by T. Ariza),0,4
6,1,10:41.0,S. Curry misses 3-pt jump shot from 24 ft,,0,4
7,1,10:41.0,Offensive rebound by Team,,0,4
8,1,10:41.0,Turnover by Team (shot clock),,0,4
9,1,10:19.0,,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),0,6
10,1,10:04.0,K. Koufos makes 2-pt layup from 2 ft (assist by B. McLemore),,2,6
11,1,9:50.0,,T. Ariza misses 3-pt jump shot from 24 ft,2,6
12,1,9:49.0,Defensive rebound by W. Cauley-Stein,,2,6
13,1,9:37.0,B. McLemore misses 2-pt jump shot from 7 ft,,2,6
14,1,9:37.0,,Defensive rebound by Team,2,6
15,1,9:20.0,,Personal foul by B. McLemore,2,6
16,1,9:13.0,,J. Harden misses 2-pt jump shot from 18 ft,2,6
17,1,9:11.0,,Offensive rebound by D. Motiejūnas,2,6
18,1,9:08.0,,D. Motiejūnas misses 2-pt jump shot from 3 ft (block by W. Cauley-Stein),2,6
19,1,9:07.0,,Offensive rebound by T. Ariza,2,6
20,1,9:06.0,,Personal foul by W. Cauley-Stein,2,6
21,1,9:01.0,,D. Howard makes 2-pt hook shot from 5 ft,2,8
22,1,8:50.0,Turnover by S. Curry (lost ball; steal by P. Beverley),,2,8
23,1,8:46.0,,P. Beverley makes 2-pt layup from 2 ft,2,10
24,1,8:46.0,Sacramento full timeout,,2,10
25,1,8:23.0,S. Curry makes 3-pt jump shot from 22 ft (assist by J. Anderson),,5,10
26,1,8:17.0,,Turnover by P. Beverley (bad pass; steal by W. Cauley-Stein),5,10
27,1,8:11.0,Turnover by S. Curry (lost ball),,5,10
28,1,8:04.0,,D. Howard makes 2-pt jump shot from 7 ft (assist by P. Beverley),5,12
29,1,7:51.0,W. Cauley-Stein misses 2-pt jump shot from 14 ft,,5,12
30,1,7:49.0,,Defensive rebound by D. Motiejūnas,5,12
31,1,7:41.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Ariza),5,15
32,1,7:32.0,Turnover by W. Cauley-Stein (traveling),,5,15
33,1,7:27.0,,Shooting block foul by W. Cauley-Stein (drawn by J. Harden),5,15
34,1,7:27.0,,J. Harden makes free throw 1 of 2,5,16
35,1,7:27.0,Q. Acy enters the game for W. Cauley-Stein,,5,16
36,1,7:27.0,,J. Harden makes free throw 2 of 2,5,17
37,1,7:16.0,K. Koufos misses 2-pt jump shot from 10 ft,,5,17
38,1,7:15.0,,Defensive rebound by D. Howard,5,17
39,1,7:07.0,,J. Harden misses 2-pt jump shot from 8 ft,5,17
40,1,7:06.0,,Offensive rebound by D. Howard,5,17
41,1,7:05.0,,D. Howard misses 2-pt layup from 2 ft (block by K. Koufos),5,17
42,1,7:02.0,Defensive rebound by S. Curry,,5,17
43,1,6:52.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by J. Anderson),,8,17
44,1,6:39.0,,J. Harden makes 3-pt jump shot from 24 ft,8,20
45,1,6:39.0,,Shooting foul by B. McLemore (drawn by J. Harden),8,20
46,1,6:39.0,,J. Smith enters the game for D. Motiejūnas,8,20
47,1,6:39.0,,J. Harden makes free throw 1 of 1,8,21
48,1,6:28.0,Turnover by S. Curry (lost ball),,8,21
49,1,6:28.0,D. Dukan enters the game for B. McLemore,,8,21
50,1,6:19.0,,J. Harden misses 3-pt jump shot from 25 ft,8,21
51,1,6:18.0,Defensive rebound by K. Koufos,,8,21
52,1,6:07.0,Q. Acy misses 3-pt jump shot from 22 ft,,8,21
53,1,6:06.0,Offensive rebound by D. Dukan,,8,21
54,1,6:04.0,Shooting foul by J. Smith (drawn by Q. Acy),,8,21
55,1,6:04.0,Q. Acy misses free throw 1 of 2,,8,21
56,1,6:04.0,Offensive rebound by Team,,8,21
57,1,6:04.0,Q. Acy makes free throw 2 of 2,,9,21
58,1,5:50.0,,T. Ariza misses 3-pt jump shot from 23 ft,9,21
59,1,5:49.0,Defensive rebound by Team,,9,21
60,1,5:34.0,J. Anderson makes 3-pt jump shot from 23 ft,,12,21
61,1,5:14.0,,Turnover by J. Smith (3 sec),12,21
62,1,5:00.0,Shooting foul by D. Howard (drawn by J. Anderson),,12,21
63,1,5:00.0,J. Anderson makes free throw 1 of 2,,13,21
64,1,5:00.0,J. Anderson misses free throw 2 of 2,,13,21
65,1,5:00.0,,Defensive rebound by D. Howard,13,21
66,1,4:48.0,,Turnover by T. Ariza (lost ball; steal by Q. Acy),13,21
67,1,4:43.0,J. Anderson misses 3-pt jump shot from 24 ft,,13,21
68,1,4:42.0,,Defensive rebound by Team,13,21
69,1,4:28.0,,T. Ariza misses 3-pt jump shot from 25 ft,13,21
70,1,4:27.0,,Offensive rebound by Team,13,21
71,1,4:27.0,,C. Capela enters the game for D. Howard,13,21
72,1,4:27.0,E. Moreland enters the game for K. Koufos,,13,21
73,1,4:16.0,,J. Smith misses 3-pt jump shot from 24 ft,13,21
74,1,4:15.0,Defensive rebound by E. Moreland,,13,21
75,1,3:58.0,Turnover by J. Anderson (bad pass; steal by J. Smith),,13,21
76,1,3:53.0,,J. Harden misses 2-pt layup from 2 ft,13,21
77,1,3:51.0,,Offensive rebound by T. Ariza,13,21
78,1,3:50.0,,T. Ariza makes 2-pt layup from 1 ft,13,23
79,1,3:37.0,S. Curry misses 3-pt jump shot from 25 ft,,13,23
80,1,3:36.0,,Defensive rebound by C. Capela,13,23
81,1,3:28.0,,J. Smith misses 3-pt jump shot from 24 ft,13,23
82,1,3:27.0,,Offensive rebound by C. Capela,13,23
83,1,3:23.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by C. Capela),13,26
84,1,3:09.0,Personal foul by P. Beverley,,13,26
85,1,3:09.0,,J. Terry enters the game for P. Beverley,13,26
86,1,3:09.0,,C. Brewer enters the game for T. Ariza,13,26
87,1,2:55.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by E. Moreland),,16,26
88,1,2:40.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),16,28
89,1,2:17.0,D. Dukan misses 2-pt jump shot from 16 ft,,16,28
90,1,2:16.0,Offensive rebound by Team,,16,28
91,1,2:16.0,,Houston full timeout,16,28
92,1,2:16.0,B. McLemore enters the game for J. Anderson,,16,28
93,1,2:14.0,Q. Acy misses 3-pt jump shot from 23 ft,,16,28
94,1,2:14.0,Offensive rebound by Team,,16,28
95,1,2:14.0,Turnover by Team (shot clock),,16,28
96,1,2:02.0,,J. Terry misses 2-pt jump shot from 12 ft,16,28
97,1,2:01.0,Defensive rebound by D. Dukan,,16,28
98,1,1:48.0,D. Dukan misses 2-pt jump shot from 21 ft,,16,28
99,1,1:47.0,,Defensive rebound by J. Terry,16,28
100,1,1:41.0,,J. Harden makes 2-pt layup from 1 ft (assist by J. Terry),16,30
101,1,1:30.0,B. McLemore makes 2-pt layup from 2 ft (assist by Q. Acy),,18,30
102,1,1:13.0,,Personal foul by E. Moreland,18,30
103,1,1:13.0,,J. Harden makes free throw 1 of 2,18,31
104,1,1:13.0,,J. Harden misses free throw 2 of 2,18,31
105,1,1:13.0,Defensive rebound by Q. Acy,,18,31
106,1,0:57.0,S. Curry misses 2-pt jump shot from 14 ft,,18,31
107,1,0:56.0,Offensive rebound by E. Moreland,,18,31
108,1,0:54.0,E. Moreland misses 2-pt jump shot from 5 ft (block by C. Capela),,18,31
109,1,0:52.0,Offensive rebound by E. Moreland,,18,31
110,1,0:47.0,S. Curry misses 3-pt jump shot from 24 ft,,18,31
111,1,0:45.0,,Defensive rebound by J. Harden,18,31
