,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
0,1,11:46.0,Personal foul by S. Curry,,0,0
1,1,11:36.0,B. Beal misses 2-pt jump shot from 16 ft,,0,0
2,1,11:35.0,,Defensive rebound by Q. Acy,0,0
3,1,11:16.0,,D. Cousins makes 2-pt jump shot from 16 ft,0,2
4,1,11:03.0,M. Morris misses 2-pt jump shot from 10 ft,,0,2
5,1,11:02.0,,Defensive rebound by R. Gay,0,2
6,1,10:46.0,,R. Gay misses 2-pt jump shot from 6 ft,0,2
7,1,10:45.0,Defensive rebound by J. Wall,,0,2
8,1,10:42.0,Turnover by M. Gortat (bad pass; steal by R. Rondo),,0,2
9,1,10:38.0,,Turnover by R. Gay (lost ball),0,2
10,1,10:20.0,M. Gortat misses 2-pt jump shot from 17 ft,,0,2
11,1,10:19.0,,Defensive rebound by Q. Acy,0,2
12,1,10:12.0,,D. Cousins makes 2-pt hook shot from 6 ft (assist by R. Rondo),0,4
13,1,9:56.0,O. Porter misses 3-pt jump shot from 25 ft,,0,4
14,1,9:56.0,,Defensive rebound by D. Cousins,0,4
15,1,9:50.0,,D. Cousins misses 2-pt jump shot from 7 ft (block by J. Wall),0,4
16,1,9:49.0,Defensive rebound by J. Wall,,0,4
17,1,9:47.0,Shooting foul by Q. Acy (drawn by B. Beal),,0,4
18,1,9:47.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,2,4
19,1,9:47.0,B. Beal makes free throw 1 of 1,,3,4
20,1,9:32.0,,R. Rondo misses 3-pt jump shot from 25 ft,3,4
21,1,9:31.0,Defensive rebound by M. Morris,,3,4
22,1,9:24.0,B. Beal misses 3-pt jump shot from 25 ft,,3,4
23,1,9:24.0,,Defensive rebound by Q. Acy,3,4
24,1,9:19.0,,Turnover by D. Cousins (bad pass; steal by B. Beal),3,4
25,1,9:14.0,M. Morris misses 2-pt jump shot from 5 ft (block by D. Cousins),,3,4
26,1,9:12.0,Offensive rebound by M. Gortat,,3,4
27,1,9:09.0,B. Beal makes 2-pt layup from 3 ft (assist by O. Porter),,5,4
28,1,9:06.0,,Personal foul by O. Porter,5,4
