,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,A. Ajinça makes 2-pt jump shot from 18 ft (assist by D. Cunningham),0,2
1,1,11:32.0,K. Bryant makes 3-pt jump shot from 25 ft (assist by J. Randle),,3,2
2,1,11:18.0,,Ö. Aşık misses 2-pt layup from 1 ft,3,2
3,1,11:17.0,,Offensive rebound by A. Ajinça,3,2
4,1,11:16.0,,A. Ajinça misses 2-pt layup from 1 ft,3,2
5,1,11:15.0,,Offensive rebound by Ö. Aşık,3,2
6,1,11:15.0,,Personal foul by D. Russell,3,2
7,1,11:01.0,,T. Douglas misses 3-pt jump shot from 23 ft,3,2
8,1,11:00.0,,Offensive rebound by Ö. Aşık,3,2
9,1,10:57.0,,J. Ennis misses 3-pt jump shot from 25 ft,3,2
10,1,10:56.0,Defensive rebound by K. Bryant,,3,2
11,1,10:47.0,K. Bryant misses 3-pt jump shot from 26 ft,,3,2
12,1,10:46.0,,Defensive rebound by T. Douglas,3,2
13,1,10:37.0,,D. Cunningham misses 3-pt jump shot from 23 ft,3,2
14,1,10:34.0,Defensive rebound by R. Hibbert,,3,2
15,1,10:25.0,J. Randle misses 2-pt jump shot from 18 ft,,3,2
16,1,10:24.0,,Defensive rebound by J. Ennis,3,2
17,1,10:09.0,,A. Ajinça makes 2-pt jump shot from 19 ft (assist by Ö. Aşık),3,4
18,1,9:51.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by K. Bryant),,6,4
19,1,9:34.0,,Shooting foul by R. Hibbert (drawn by Ö. Aşık),6,4
20,1,9:34.0,,Ö. Aşık makes free throw 1 of 2,6,5
21,1,9:34.0,,Ö. Aşık misses free throw 2 of 2,6,5
22,1,9:33.0,,Offensive rebound by A. Ajinça,6,5
23,1,9:26.0,,J. Ennis makes 2-pt layup at rim,6,7
24,1,9:03.0,J. Clarkson misses 3-pt jump shot from 25 ft,,6,7
25,1,9:02.0,,Defensive rebound by A. Ajinça,6,7
26,1,8:49.0,,T. Douglas misses 3-pt jump shot from 25 ft,6,7
27,1,8:48.0,Defensive rebound by K. Bryant,,6,7
28,1,8:36.0,D. Russell misses 2-pt jump shot from 15 ft,,6,7
29,1,8:35.0,,Defensive rebound by A. Ajinça,6,7
30,1,8:33.0,,Turnover by A. Ajinça (bad pass),6,7
31,1,8:22.0,K. Bryant misses 2-pt layup from 3 ft,,6,7
32,1,8:21.0,,Defensive rebound by Ö. Aşık,6,7
33,1,8:19.0,,Shooting block foul by D. Russell (drawn by T. Douglas),6,7
34,1,8:19.0,,T. Douglas misses free throw 1 of 2,6,7
35,1,8:19.0,,Offensive rebound by Team,6,7
36,1,8:19.0,,T. Douglas makes free throw 2 of 2,6,8
37,1,8:10.0,Turnover by J. Clarkson (lost ball; steal by J. Ennis),,6,8
38,1,8:09.0,Loose ball foul by J. Clarkson,,6,8
39,1,7:57.0,,A. Ajinça misses 2-pt jump shot from 7 ft,6,8
40,1,7:56.0,Defensive rebound by R. Hibbert,,6,8
41,1,7:42.0,J. Clarkson misses 3-pt jump shot from 24 ft,,6,8
42,1,7:41.0,,Defensive rebound by A. Ajinça,6,8
43,1,7:26.0,,A. Ajinça makes 2-pt jump shot from 18 ft (assist by T. Douglas),6,10
44,1,7:07.0,R. Hibbert misses 2-pt jump shot from 17 ft,,6,10
45,1,7:06.0,,Defensive rebound by Ö. Aşık,6,10
46,1,6:49.0,,T. Douglas misses 2-pt jump shot from 17 ft,6,10
47,1,6:48.0,Defensive rebound by J. Randle,,6,10
48,1,6:38.0,K. Bryant makes 2-pt jump shot from 19 ft (assist by J. Randle),,8,10
49,1,6:23.0,,Personal foul by J. Randle,8,10
50,1,6:23.0,,A. Ajinça makes free throw 1 of 2,8,11
51,1,6:23.0,M. Huertas enters the game for D. Russell,,8,11
52,1,6:23.0,,A. Ajinça makes free throw 2 of 2,8,12
53,1,6:11.0,K. Bryant makes 3-pt jump shot from 23 ft,,11,12
54,1,6:01.0,,Offensive foul by Ö. Aşık (drawn by M. Huertas),11,12
55,1,6:01.0,,Turnover by Ö. Aşık (offensive foul),11,12
56,1,5:48.0,Shooting foul by A. Ajinça (drawn by R. Hibbert),,11,12
57,1,5:48.0,,New Orleans full timeout,11,12
58,1,5:48.0,R. Hibbert makes free throw 1 of 2,,12,12
59,1,5:48.0,R. Hibbert makes free throw 2 of 2,,13,12
60,1,5:34.0,,Turnover by T. Douglas (bad pass),13,12
61,1,5:34.0,T. Black enters the game for R. Hibbert,,13,12
62,1,5:26.0,Shooting foul by D. Cunningham (drawn by K. Bryant),,13,12
63,1,5:26.0,K. Bryant makes free throw 1 of 3,,14,12
64,1,5:26.0,K. Bryant makes free throw 2 of 3,,15,12
65,1,5:26.0,,K. Perkins enters the game for Ö. Aşık,15,12
66,1,5:26.0,K. Bryant makes free throw 3 of 3,,16,12
67,1,5:10.0,,A. Ajinça makes 2-pt jump shot from 9 ft (assist by J. Ennis),16,14
68,1,4:45.0,K. Bryant misses 3-pt jump shot from 28 ft,,16,14
69,1,4:44.0,,Defensive rebound by J. Ennis,16,14
70,1,4:35.0,L. Nance enters the game for J. Randle,,16,14
71,1,4:35.0,,Turnover by J. Ennis (lost ball; steal by K. Bryant),16,14
72,1,4:29.0,J. Clarkson makes 2-pt dunk at rim,,18,14
73,1,4:03.0,,K. Perkins misses 2-pt jump shot from 8 ft,18,14
74,1,4:02.0,,Offensive rebound by Team,18,14
75,1,3:49.0,,T. Douglas misses 2-pt jump shot from 15 ft,18,14
76,1,3:48.0,Defensive rebound by T. Black,,18,14
77,1,3:37.0,K. Bryant misses 2-pt jump shot from 18 ft,,18,14
78,1,3:35.0,Offensive rebound by Team,,18,14
79,1,3:35.0,,J. Hamilton enters the game for J. Ennis,18,14
80,1,3:33.0,J. Clarkson makes 2-pt jump shot from 15 ft (assist by K. Bryant),,20,14
81,1,3:16.0,,J. Hamilton misses 3-pt jump shot from 24 ft,20,14
82,1,3:16.0,Defensive rebound by T. Black,,20,14
83,1,3:05.0,K. Bryant misses 2-pt jump shot from 9 ft,,20,14
84,1,3:04.0,Offensive rebound by L. Nance,,20,14
85,1,2:59.0,L. Nance misses 2-pt layup at rim,,20,14
86,1,2:58.0,Offensive rebound by M. Huertas,,20,14
87,1,2:54.0,K. Bryant misses 3-pt jump shot from 26 ft,,20,14
88,1,2:53.0,,Defensive rebound by K. Perkins,20,14
89,1,2:44.0,,J. Hamilton misses 2-pt jump shot from 18 ft,20,14
90,1,2:43.0,Defensive rebound by L. Nance,,20,14
91,1,2:37.0,LA Lakers full timeout,,20,14
92,1,2:37.0,R. Kelly enters the game for J. Clarkson,,20,14
93,1,2:37.0,,L. Babbitt enters the game for A. Ajinça,20,14
94,1,2:37.0,,T. Frazier enters the game for T. Douglas,20,14
95,1,2:33.0,L. Nance makes 2-pt hook shot from 8 ft (assist by K. Bryant),,22,14
96,1,2:08.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by L. Babbitt),22,17
97,1,1:47.0,Shooting foul by L. Babbitt (drawn by L. Nance),,22,17
98,1,1:47.0,L. Nance makes free throw 1 of 2,,23,17
99,1,1:47.0,L. Nance makes free throw 2 of 2,,24,17
100,1,1:39.0,,T. Frazier misses 2-pt layup from 3 ft (block by T. Black),24,17
101,1,1:39.0,Defensive rebound by Team,,24,17
102,1,1:32.0,Offensive foul by T. Black (drawn by T. Frazier),,24,17
103,1,1:32.0,Turnover by T. Black (offensive foul),,24,17
104,1,1:14.0,,L. Babbitt makes 2-pt jump shot from 13 ft,24,19
105,1,0:51.0,M. Huertas misses 2-pt jump shot from 12 ft,,24,19
106,1,0:50.0,,Defensive rebound by T. Frazier,24,19
107,1,0:44.0,,D. Cunningham misses 2-pt layup at rim (block by R. Kelly),24,19
108,1,0:44.0,,Offensive rebound by Team,24,19
109,1,0:42.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Cunningham),24,22
110,1,0:35.0,K. Bryant makes 3-pt jump shot from 26 ft,,27,22
111,1,0:21.0,,D. Cunningham makes 2-pt jump shot from 20 ft (assist by L. Babbitt),27,24
112,1,0:02.0,K. Bryant misses 3-pt jump shot from 26 ft,,27,24
113,1,0:00.0,Offensive rebound by R. Kelly,,27,24
114,1,0:00.0,R. Kelly misses 2-pt layup at rim,,27,24
115,1,0:00.0,Offensive rebound by Team,,27,24
116,2,11:45.0,M. Huertas makes 2-pt jump shot from 18 ft (assist by T. Black),,29,24
117,2,11:25.0,,J. Hamilton makes 2-pt layup from 1 ft,29,26
118,2,11:16.0,Offensive foul by D. Russell (drawn by T. Frazier),,29,26
119,2,11:16.0,Turnover by D. Russell (offensive foul),,29,26
120,2,10:59.0,,L. Babbitt misses 2-pt jump shot from 8 ft,29,26
