,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:40.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,0,0
1,1,11:38.0,,Defensive rebound by G. Hill,0,0
2,1,11:22.0,,M. Ellis misses 2-pt layup from 1 ft,0,0
3,1,11:21.0,Defensive rebound by E. İlyasova,,0,0
4,1,11:08.0,E. İlyasova makes 2-pt hook shot from 2 ft (assist by R. Jackson),,2,0
5,1,10:53.0,,M. Ellis misses 2-pt jump shot from 20 ft,2,0
6,1,10:52.0,Defensive rebound by R. Jackson,,2,0
7,1,10:38.0,M. Morris misses 3-pt jump shot from 26 ft,,2,0
8,1,10:37.0,,Defensive rebound by G. Hill,2,0
9,1,10:27.0,,P. George misses 2-pt layup from 1 ft,2,0
10,1,10:27.0,Defensive rebound by E. İlyasova,,2,0
11,1,10:19.0,E. İlyasova makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,4,0
12,1,10:06.0,,I. Mahinmi misses 2-pt jump shot from 18 ft,4,0
13,1,10:05.0,Defensive rebound by A. Drummond,,4,0
14,1,9:54.0,A. Drummond misses 2-pt layup at rim,,4,0
15,1,9:53.0,,Defensive rebound by M. Ellis,4,0
16,1,9:43.0,,L. Allen misses 2-pt jump shot from 19 ft,4,0
17,1,9:42.0,Defensive rebound by A. Drummond,,4,0
18,1,9:37.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by R. Jackson),,6,0
19,1,9:37.0,,Indiana full timeout,6,0
20,1,9:15.0,,P. George makes 3-pt jump shot from 23 ft,6,3
21,1,8:57.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,6,3
22,1,8:56.0,Offensive rebound by A. Drummond,,6,3
23,1,8:47.0,M. Morris misses 2-pt jump shot from 16 ft,,6,3
24,1,8:46.0,,Defensive rebound by I. Mahinmi,6,3
25,1,8:31.0,,P. George misses 2-pt jump shot from 7 ft,6,3
26,1,8:29.0,Defensive rebound by K. Caldwell-Pope,,6,3
27,1,8:14.0,R. Jackson makes 2-pt layup from 1 ft,,8,3
28,1,7:52.0,,Turnover by P. George (bad pass; steal by A. Drummond),8,3
29,1,7:43.0,E. İlyasova misses 3-pt jump shot from 26 ft,,8,3
30,1,7:42.0,,Defensive rebound by P. George,8,3
31,1,7:34.0,,Turnover by P. George (bad pass; steal by E. İlyasova),8,3
32,1,7:29.0,M. Morris misses 2-pt layup from 1 ft,,8,3
33,1,7:29.0,Offensive rebound by Team,,8,3
34,1,7:29.0,,Loose ball foul by G. Hill (drawn by A. Drummond),8,3
35,1,7:17.0,Shooting foul by L. Allen (drawn by A. Drummond),,8,3
36,1,7:17.0,A. Drummond misses free throw 1 of 2,,8,3
37,1,7:17.0,Offensive rebound by Team,,8,3
38,1,7:17.0,A. Drummond misses free throw 2 of 2,,8,3
39,1,7:17.0,,Defensive rebound by L. Allen,8,3
40,1,6:50.0,,P. George misses 3-pt jump shot from 24 ft,8,3
41,1,6:49.0,Defensive rebound by A. Drummond,,8,3
42,1,6:34.0,M. Morris misses 2-pt jump shot from 10 ft,,8,3
43,1,6:33.0,,Defensive rebound by P. George,8,3
44,1,6:26.0,,Shooting foul by R. Jackson (drawn by G. Hill),8,3
45,1,6:26.0,,G. Hill misses free throw 1 of 2,8,3
46,1,6:26.0,,Offensive rebound by Team,8,3
47,1,6:26.0,,G. Hill makes free throw 2 of 2,8,4
48,1,6:13.0,E. İlyasova misses 3-pt jump shot from 25 ft,,8,4
49,1,6:10.0,,Defensive rebound by L. Allen,8,4
50,1,6:02.0,,M. Ellis misses 2-pt layup at rim,8,4
51,1,6:01.0,,Offensive rebound by L. Allen,8,4
52,1,6:00.0,,L. Allen makes 2-pt layup from 1 ft,8,6
53,1,5:50.0,R. Jackson misses 2-pt layup at rim (block by M. Ellis),,8,6
54,1,5:50.0,Offensive rebound by Team,,8,6
55,1,5:46.0,R. Jackson misses 2-pt jump shot from 17 ft,,8,6
56,1,5:45.0,,Defensive rebound by P. George,8,6
57,1,5:35.0,,P. George misses 2-pt jump shot from 17 ft,8,6
58,1,5:35.0,Defensive rebound by A. Drummond,,8,6
59,1,5:24.0,M. Morris makes 2-pt jump shot from 15 ft,,10,6
60,1,5:05.0,,M. Ellis makes 2-pt layup from 1 ft,10,8
61,1,4:50.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,10,8
62,1,4:49.0,,Defensive rebound by P. George,10,8
63,1,4:44.0,,Shooting block foul by R. Jackson (drawn by G. Hill),10,8
64,1,4:44.0,,G. Hill makes free throw 1 of 2,10,9
65,1,4:44.0,B. Jennings enters the game for R. Jackson,,10,9
66,1,4:44.0,,J. Hill enters the game for I. Mahinmi,10,9
67,1,4:44.0,,G. Hill makes free throw 2 of 2,10,10
68,1,4:30.0,M. Morris misses 2-pt jump shot from 16 ft,,10,10
69,1,4:29.0,Offensive rebound by E. İlyasova,,10,10
70,1,4:29.0,E. İlyasova misses 2-pt layup at rim,,10,10
71,1,4:27.0,Offensive rebound by A. Drummond,,10,10
72,1,4:27.0,A. Drummond misses 2-pt layup at rim,,10,10
73,1,4:26.0,,Defensive rebound by J. Hill,10,10
74,1,4:16.0,,J. Hill makes 2-pt layup at rim (assist by P. George),10,12
75,1,3:52.0,Turnover by K. Caldwell-Pope (bad pass),,10,12
76,1,3:52.0,,C. Miles enters the game for L. Allen,10,12
77,1,3:52.0,,R. Stuckey enters the game for G. Hill,10,12
78,1,3:32.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. George),10,15
79,1,3:23.0,Detroit full timeout,,10,15
80,1,3:23.0,S. Johnson enters the game for K. Caldwell-Pope,,10,15
81,1,3:11.0,B. Jennings makes 2-pt jump shot from 19 ft,,12,15
82,1,2:47.0,,M. Ellis makes 3-pt jump shot from 24 ft,12,18
83,1,2:29.0,S. Johnson misses 2-pt layup from 2 ft,,12,18
84,1,2:28.0,Offensive rebound by E. İlyasova,,12,18
85,1,2:25.0,E. İlyasova makes 2-pt jump shot from 14 ft,,14,18
86,1,2:10.0,,Turnover by P. George (bad pass; steal by B. Jennings),14,18
87,1,2:05.0,E. İlyasova makes 2-pt layup at rim (assist by B. Jennings),,16,18
88,1,1:38.0,,J. Hill makes 2-pt layup from 1 ft,16,20
89,1,1:16.0,A. Drummond misses 2-pt hook shot from 13 ft,,16,20
90,1,1:16.0,Offensive rebound by M. Morris,,16,20
91,1,1:13.0,M. Morris misses 2-pt jump shot from 7 ft,,16,20
92,1,1:12.0,Offensive rebound by A. Drummond,,16,20
93,1,1:12.0,A. Drummond makes 2-pt layup from 1 ft,,18,20
94,1,0:55.0,,Shooting foul by B. Jennings (drawn by P. George),18,20
95,1,0:55.0,,P. George makes free throw 1 of 3,18,21
96,1,0:55.0,,P. George makes free throw 2 of 3,18,22
97,1,0:55.0,,P. George misses free throw 3 of 3,18,22
98,1,0:55.0,Defensive rebound by E. İlyasova,,18,22
99,1,0:41.0,Turnover by M. Morris (bad pass; steal by M. Ellis),,18,22
100,1,0:33.0,,J. Hill makes 2-pt jump shot from 9 ft (assist by M. Ellis),18,24
