,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
0,1,11:45.0,J. Hill makes 2-pt layup from 3 ft (assist by M. Ellis),,2,0
1,1,11:31.0,,G. Harris misses 3-pt jump shot from 22 ft,2,0
2,1,11:29.0,,Offensive rebound by D. Gallinari,2,0
3,1,11:23.0,,D. Gallinari makes 2-pt dunk at rim,2,2
4,1,11:06.0,M. Ellis misses 2-pt jump shot from 20 ft,,2,2
5,1,11:05.0,,Defensive rebound by E. Mudiay,2,2
6,1,10:44.0,,D. Gallinari misses 3-pt jump shot from 24 ft,2,2
7,1,10:43.0,Defensive rebound by J. Hill,,2,2
8,1,10:28.0,G. Robinson makes 3-pt jump shot from 22 ft (assist by P. George),,5,2
9,1,10:13.0,,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),5,4
10,1,9:47.0,P. George makes 3-pt jump shot from 25 ft,,8,4
11,1,9:34.0,,E. Mudiay misses 3-pt jump shot from 25 ft,8,4
12,1,9:32.0,Defensive rebound by L. Allen,,8,4
13,1,9:15.0,G. Robinson misses 2-pt jump shot from 21 ft,,8,4
14,1,9:14.0,,Defensive rebound by E. Mudiay,8,4
15,1,9:04.0,,Turnover by D. Gallinari (dbl dribble),8,4
16,1,8:53.0,G. Robinson misses 3-pt jump shot from 24 ft,,8,4
17,1,8:52.0,Offensive rebound by L. Allen,,8,4
18,1,8:44.0,M. Ellis makes 2-pt jump shot from 21 ft,,10,4
19,1,8:25.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by E. Mudiay),10,7
20,1,8:16.0,Turnover by J. Hill (lost ball; steal by N. Jokić),,10,7
21,1,8:11.0,,K. Faried makes 2-pt dunk at rim (assist by N. Jokić),10,9
22,1,7:58.0,P. George makes 2-pt jump shot from 20 ft,,12,9
23,1,7:36.0,,Turnover by E. Mudiay (bad pass; steal by J. Hill),12,9
24,1,7:30.0,G. Robinson makes 2-pt dunk at rim (assist by M. Ellis),,14,9
25,1,7:30.0,,Denver full timeout,14,9
26,1,7:18.0,,E. Mudiay misses 2-pt jump shot from 4 ft,14,9
27,1,7:15.0,,Offensive rebound by K. Faried,14,9
28,1,7:07.0,,D. Gallinari misses 3-pt jump shot from 24 ft,14,9
29,1,7:06.0,Defensive rebound by M. Ellis,,14,9
30,1,7:00.0,Offensive foul by M. Ellis (drawn by G. Harris),,14,9
31,1,7:00.0,Turnover by M. Ellis (offensive foul),,14,9
32,1,6:42.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by G. Harris),14,11
33,1,6:20.0,Turnover by M. Ellis (bad pass),,14,11
34,1,6:10.0,,Turnover by G. Harris (bad pass),14,11
35,1,6:01.0,P. George makes 3-pt jump shot from 24 ft (assist by M. Ellis),,17,11
36,1,5:49.0,,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),17,13
37,1,5:34.0,Turnover by J. Hill (lost ball; steal by N. Jokić),,17,13
38,1,5:30.0,,G. Harris makes 2-pt layup at rim,17,15
39,1,5:30.0,Indiana full timeout,,17,15
40,1,5:17.0,J. Hill makes 2-pt dunk at rim,,19,15
41,1,5:01.0,,Shooting foul by J. Hill (drawn by N. Jokić),19,15
42,1,5:01.0,,N. Jokić makes free throw 1 of 2,19,16
43,1,5:01.0,M. Turner enters the game for J. Hill,,19,16
44,1,5:01.0,C. Miles enters the game for G. Robinson,,19,16
45,1,5:01.0,,N. Jokić makes free throw 2 of 2,19,17
46,1,4:43.0,Turnover by M. Turner (bad pass; steal by K. Faried),,19,17
47,1,4:35.0,,Turnover by D. Gallinari (bad pass; steal by P. George),19,17
48,1,4:32.0,Personal take foul by D. Gallinari (drawn by P. George),,19,17
49,1,4:25.0,L. Allen makes 2-pt hook shot from 4 ft (assist by M. Turner),,21,17
50,1,4:14.0,,G. Harris misses 2-pt jump shot from 20 ft,21,17
51,1,4:13.0,,Offensive rebound by K. Faried,21,17
52,1,4:13.0,,K. Faried misses 2-pt layup at rim,21,17
53,1,4:13.0,,Offensive rebound by K. Faried,21,17
54,1,4:13.0,,Personal foul by M. Turner (drawn by K. Faried),21,17
55,1,4:10.0,,Personal foul by L. Allen (drawn by D. Gallinari),21,17
56,1,4:10.0,,D. Arthur enters the game for K. Faried,21,17
57,1,3:55.0,,D. Arthur makes 2-pt jump shot from 22 ft (assist by E. Mudiay),21,19
58,1,3:40.0,J. Young enters the game for M. Ellis,,21,19
59,1,3:35.0,Personal foul by D. Arthur (drawn by P. George),,21,19
60,1,3:33.0,Shooting foul by E. Mudiay (drawn by C. Miles),,21,19
61,1,3:33.0,C. Miles makes free throw 1 of 2,,22,19
62,1,3:33.0,C. Miles misses free throw 2 of 2,,22,19
63,1,3:32.0,,Defensive rebound by D. Arthur,22,19
64,1,3:18.0,,E. Mudiay misses 2-pt layup from 2 ft (block by M. Turner),22,19
65,1,3:18.0,,Offensive rebound by Team,22,19
66,1,3:14.0,,D. Gallinari makes 2-pt dunk at rim (assist by D. Arthur),22,21
67,1,2:56.0,M. Turner makes 2-pt jump shot from 14 ft,,24,21
68,1,2:42.0,,D. Gallinari misses 2-pt layup from 2 ft,24,21
69,1,2:40.0,Defensive rebound by M. Turner,,24,21
