,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
0,1,11:34.0,,C. Paul misses 3-pt jump shot from 28 ft,0,0
1,1,11:33.0,,Offensive rebound by D. Jordan,0,0
2,1,11:30.0,,Turnover by D. Jordan (lost ball; steal by T. Young),0,0
3,1,11:11.0,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Lopez),,3,0
4,1,10:55.0,,J. Redick misses 2-pt jump shot from 19 ft,3,0
5,1,10:53.0,Defensive rebound by B. Lopez,,3,0
6,1,10:35.0,T. Young misses 2-pt jump shot from 16 ft,,3,0
7,1,10:34.0,,Defensive rebound by P. Pierce,3,0
8,1,10:20.0,,Shooting foul by W. Ellington (drawn by J. Redick),3,0
9,1,10:20.0,,J. Redick makes free throw 1 of 2,3,1
10,1,10:20.0,,J. Redick makes free throw 2 of 2,3,2
11,1,10:06.0,B. Lopez makes 2-pt hook shot from 9 ft (assist by T. Young),,5,2
12,1,9:50.0,,J. Redick misses 2-pt jump shot from 22 ft,5,2
13,1,9:49.0,Defensive rebound by T. Young,,5,2
14,1,9:36.0,T. Young makes 2-pt hook shot from 2 ft,,7,2
15,1,9:36.0,Shooting foul by L. Mbah a Moute (drawn by T. Young),,7,2
16,1,9:36.0,T. Young makes free throw 1 of 1,,8,2
17,1,9:17.0,,L. Mbah a Moute misses 2-pt layup from 4 ft (block by B. Lopez),8,2
18,1,9:13.0,Defensive rebound by D. Sloan,,8,2
19,1,9:06.0,B. Lopez makes 2-pt jump shot from 8 ft (assist by D. Sloan),,10,2
20,1,8:53.0,,J. Redick misses 2-pt layup from 2 ft (block by B. Lopez),10,2
21,1,8:51.0,,Offensive rebound by L. Mbah a Moute,10,2
22,1,8:50.0,,L. Mbah a Moute makes 2-pt hook shot from 3 ft,10,4
23,1,8:32.0,T. Young misses 2-pt layup from 2 ft,,10,4
24,1,8:31.0,,Defensive rebound by C. Paul,10,4
25,1,8:25.0,,P. Pierce makes 2-pt jump shot from 16 ft (assist by C. Paul),10,6
26,1,8:04.0,B. Lopez misses 2-pt jump shot from 9 ft,,10,6
27,1,8:01.0,,Defensive rebound by C. Paul,10,6
28,1,7:56.0,,P. Pierce makes 3-pt jump shot from 27 ft (assist by J. Redick),10,9
29,1,7:40.0,W. Ellington makes 2-pt jump shot from 18 ft (assist by T. Young),,12,9
30,1,7:30.0,,L. Mbah a Moute misses 3-pt jump shot from 22 ft,12,9
31,1,7:29.0,,Offensive rebound by L. Mbah a Moute,12,9
32,1,7:27.0,,L. Mbah a Moute misses 2-pt layup from 1 ft,12,9
33,1,7:25.0,Defensive rebound by T. Young,,12,9
34,1,7:18.0,D. Sloan misses 2-pt jump shot from 4 ft,,12,9
35,1,7:14.0,,Defensive rebound by P. Pierce,12,9
36,1,6:59.0,,D. Jordan misses 2-pt layup from 1 ft,12,9
37,1,6:57.0,Defensive rebound by B. Lopez,,12,9
38,1,6:47.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,12,9
39,1,6:46.0,,Defensive rebound by D. Jordan,12,9
40,1,6:33.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),12,12
41,1,6:14.0,W. Ellington misses 3-pt jump shot from 23 ft,,12,12
42,1,6:13.0,Offensive rebound by B. Lopez,,12,12
43,1,6:10.0,Personal foul by D. Jordan (drawn by B. Lopez),,12,12
