,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:38.0,M. Belinelli misses 2-pt layup from 2 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Grant,0,0
2,1,11:29.0,,N. Stauskas misses 2-pt jump shot from 8 ft,0,0
3,1,11:27.0,Defensive rebound by W. Cauley-Stein,,0,0
4,1,11:19.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Cousins),,2,0
5,1,11:02.0,,J. Okafor makes 2-pt hook shot from 7 ft,2,2
6,1,10:53.0,Turnover by M. Belinelli (bad pass; steal by N. Stauskas),,2,2
7,1,10:48.0,,N. Stauskas misses 2-pt layup from 2 ft,2,2
8,1,10:46.0,,Offensive rebound by R. Covington,2,2
9,1,10:46.0,,R. Covington makes 2-pt layup from 1 ft,2,4
10,1,10:28.0,W. Cauley-Stein misses 2-pt jump shot from 3 ft (block by J. Grant),,2,4
11,1,10:26.0,Offensive rebound by W. Cauley-Stein,,2,4
12,1,10:24.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Cousins),,5,4
13,1,10:02.0,,J. Okafor makes 2-pt layup from 1 ft (assist by J. Grant),5,6
14,1,9:53.0,Turnover by R. Gay (bad pass; steal by R. Covington),,5,6
15,1,9:45.0,,Turnover by R. Covington (bad pass; steal by R. Rondo),5,6
16,1,9:41.0,R. Gay misses 2-pt layup from 2 ft,,5,6
17,1,9:38.0,Offensive rebound by R. Rondo,,5,6
18,1,9:34.0,R. Rondo makes 2-pt layup from 2 ft,,7,6
19,1,9:26.0,,J. Okafor makes 2-pt layup at rim (assist by J. Grant),7,8
20,1,9:15.0,R. Gay misses 3-pt jump shot from 25 ft,,7,8
21,1,9:13.0,,Defensive rebound by J. Okafor,7,8
22,1,9:07.0,,R. Covington misses 3-pt jump shot from 26 ft,7,8
23,1,9:05.0,Defensive rebound by D. Cousins,,7,8
24,1,8:57.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,7,8
25,1,8:55.0,,Defensive rebound by R. Covington,7,8
26,1,8:53.0,,Turnover by R. Covington (bad pass; steal by R. Rondo),7,8
27,1,8:50.0,R. Rondo misses 2-pt layup from 2 ft (block by J. Grant),,7,8
28,1,8:48.0,,Defensive rebound by I. Smith,7,8
29,1,8:39.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by I. Smith),7,11
30,1,8:20.0,Personal foul by I. Smith (drawn by R. Gay),,7,11
31,1,8:07.0,Turnover by Team (shot clock),,7,11
32,1,7:52.0,,J. Okafor misses 2-pt jump shot from 8 ft,7,11
33,1,7:50.0,Defensive rebound by R. Rondo,,7,11
34,1,7:39.0,R. Gay misses 3-pt jump shot from 23 ft,,7,11
35,1,7:38.0,,Defensive rebound by N. Stauskas,7,11
36,1,7:29.0,,J. Grant misses 2-pt layup from 1 ft (block by R. Gay),7,11
37,1,7:29.0,,Offensive rebound by Team,7,11
38,1,7:25.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by I. Smith),7,14
39,1,7:02.0,Turnover by D. Cousins (bad pass; steal by R. Covington),,7,14
40,1,6:57.0,,J. Grant makes 2-pt dunk at rim (assist by I. Smith),7,16
41,1,6:55.0,,R. Holmes enters the game for J. Grant,7,16
42,1,6:55.0,Sacramento full timeout,,7,16
43,1,6:31.0,R. Rondo makes 2-pt jump shot from 18 ft,,9,16
44,1,6:13.0,,Turnover by I. Smith (lost ball; steal by R. Rondo),9,16
45,1,6:07.0,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),,11,16
46,1,5:50.0,,J. Okafor makes 2-pt jump shot from 9 ft,11,18
47,1,5:33.0,M. Belinelli makes 2-pt jump shot from 18 ft (assist by R. Rondo),,13,18
48,1,5:23.0,,I. Smith makes 2-pt layup from 1 ft (assist by J. Okafor),13,20
49,1,5:09.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by R. Rondo),,15,20
50,1,4:53.0,,J. Okafor misses 2-pt jump shot from 20 ft,15,20
51,1,4:52.0,Defensive rebound by M. Belinelli,,15,20
