,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:42.0,,A. Johnson makes 2-pt dunk at rim (assist by J. Crowder),0,2
1,1,11:18.0,Turnover by R. Gobert (bad pass; steal by J. Crowder),,0,2
2,1,11:12.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),0,5
3,1,10:58.0,S. Mack misses 2-pt layup from 1 ft,,0,5
4,1,10:57.0,Offensive rebound by R. Gobert,,0,5
5,1,10:57.0,R. Gobert makes 2-pt dunk at rim,,2,5
6,1,10:34.0,,A. Bradley misses 2-pt jump shot from 17 ft,2,5
7,1,10:33.0,Defensive rebound by R. Hood,,2,5
8,1,10:17.0,R. Gobert makes 2-pt dunk at rim (assist by S. Mack),,4,5
9,1,9:58.0,,A. Johnson misses 3-pt jump shot from 25 ft,4,5
10,1,9:57.0,Defensive rebound by D. Favors,,4,5
11,1,9:40.0,G. Hayward misses 3-pt jump shot from 25 ft,,4,5
12,1,9:39.0,,Defensive rebound by A. Johnson,4,5
13,1,9:33.0,,I. Thomas misses 3-pt jump shot from 25 ft,4,5
14,1,9:32.0,Defensive rebound by D. Favors,,4,5
15,1,9:21.0,G. Hayward misses 2-pt layup from 1 ft,,4,5
16,1,9:20.0,Offensive rebound by G. Hayward,,4,5
17,1,9:16.0,S. Mack misses 3-pt jump shot from 25 ft,,4,5
18,1,9:15.0,,Defensive rebound by J. Sullinger,4,5
19,1,8:59.0,,J. Sullinger misses 2-pt jump shot from 21 ft,4,5
20,1,8:58.0,Defensive rebound by D. Favors,,4,5
21,1,8:43.0,D. Favors misses 2-pt layup from 2 ft (block by A. Johnson),,4,5
22,1,8:41.0,Offensive rebound by D. Favors,,4,5
23,1,8:39.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),,7,5
24,1,8:21.0,,I. Thomas misses 2-pt jump shot from 10 ft,7,5
25,1,8:20.0,Defensive rebound by D. Favors,,7,5
26,1,8:04.0,D. Favors misses 2-pt jump shot from 19 ft,,7,5
27,1,8:03.0,,Defensive rebound by J. Sullinger,7,5
28,1,7:49.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by A. Johnson),7,7
29,1,7:31.0,Turnover by D. Favors (bad pass; steal by A. Johnson),,7,7
30,1,7:25.0,,A. Johnson misses 2-pt layup from 1 ft,7,7
31,1,7:24.0,Defensive rebound by S. Mack,,7,7
32,1,7:15.0,R. Hood misses 3-pt jump shot from 25 ft,,7,7
33,1,7:14.0,,Defensive rebound by Team,7,7
34,1,6:55.0,,I. Thomas misses 3-pt jump shot from 25 ft,7,7
