,QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
0,1,11:40.0,,L. Scola misses 2-pt layup from 2 ft (block by N. Mirotić),0,0
1,1,11:40.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,Turnover by K. Lowry (bad pass; steal by T. Gibson),0,0
3,1,11:32.0,J. Holiday misses 3-pt jump shot from 26 ft,,0,0
4,1,11:30.0,,Defensive rebound by J. Johnson,0,0
5,1,11:25.0,,K. Lowry makes 2-pt layup from 2 ft,0,2
6,1,11:12.0,N. Mirotić makes 3-pt jump shot from 23 ft,,3,2
7,1,10:47.0,,Turnover by J. Valančiūnas (lost ball),3,2
8,1,10:23.0,E. Moore makes 2-pt jump shot from 19 ft (assist by J. Butler),,5,2
9,1,9:59.0,,Turnover by D. DeRozan (lost ball; steal by N. Mirotić),5,2
10,1,9:50.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Butler),,8,2
11,1,9:34.0,,L. Scola misses 3-pt jump shot from 27 ft,8,2
12,1,9:34.0,Defensive rebound by J. Holiday,,8,2
13,1,9:27.0,Turnover by N. Mirotić (lost ball; steal by K. Lowry),,8,2
14,1,9:20.0,,K. Lowry misses 3-pt jump shot from 26 ft,8,2
15,1,9:20.0,Defensive rebound by E. Moore,,8,2
16,1,9:09.0,Turnover by T. Gibson (step out of bounds),,8,2
17,1,8:43.0,,K. Lowry misses 2-pt jump shot from 9 ft,8,2
18,1,8:42.0,,Offensive rebound by J. Valančiūnas,8,2
19,1,8:40.0,,J. Valančiūnas makes 2-pt layup from 2 ft,8,4
20,1,8:26.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Holiday),,10,4
21,1,8:26.0,Shooting foul by L. Scola (drawn by T. Gibson),,10,4
22,1,8:26.0,T. Gibson makes free throw 1 of 1,,11,4
23,1,8:10.0,,J. Johnson misses 2-pt layup from 2 ft,11,4
24,1,8:09.0,Defensive rebound by T. Gibson,,11,4
25,1,7:57.0,E. Moore makes 2-pt layup at rim (assist by J. Butler),,13,4
26,1,7:50.0,,Toronto full timeout,13,4
27,1,7:39.0,,J. Johnson misses 2-pt jump shot from 4 ft (block by J. Holiday),13,4
28,1,7:37.0,Defensive rebound by J. Holiday,,13,4
29,1,7:32.0,Turnover by J. Holiday (lost ball),,13,4
30,1,7:15.0,,D. DeRozan makes 2-pt jump shot from 17 ft,13,6
31,1,6:57.0,J. Butler misses 2-pt jump shot from 16 ft (block by J. Johnson),,13,6
32,1,6:56.0,,Defensive rebound by L. Scola,13,6
33,1,6:36.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),13,8
34,1,6:22.0,J. Butler misses 2-pt jump shot from 4 ft (block by J. Valančiūnas),,13,8
35,1,6:20.0,,Defensive rebound by K. Lowry,13,8
36,1,6:15.0,,Shooting foul by J. Holiday (drawn by K. Lowry),13,8
37,1,6:15.0,,K. Lowry makes free throw 1 of 2,13,9
38,1,6:15.0,,K. Lowry makes free throw 2 of 2,13,10
39,1,6:00.0,N. Mirotić misses 3-pt jump shot from 24 ft,,13,10
40,1,6:00.0,,Defensive rebound by K. Lowry,13,10
41,1,5:56.0,,K. Lowry makes 2-pt layup at rim,13,12
42,1,5:56.0,,Shooting foul by E. Moore (drawn by K. Lowry),13,12
43,1,5:56.0,D. McDermott enters the game for J. Butler,,13,12
44,1,5:56.0,,K. Lowry makes free throw 1 of 1,13,13
45,1,5:44.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. Gibson),,15,13
46,1,5:27.0,,Shooting foul by J. Holiday (drawn by D. DeRozan),15,13
47,1,5:27.0,,D. DeRozan makes free throw 1 of 2,15,14
48,1,5:27.0,,T. Ross enters the game for J. Johnson,15,14
49,1,5:27.0,T. Snell enters the game for J. Holiday,,15,14
50,1,5:27.0,,D. DeRozan makes free throw 2 of 2,15,15
51,1,5:11.0,E. Moore makes 2-pt layup from 2 ft,,17,15
52,1,5:04.0,,Shooting foul by N. Mirotić (drawn by K. Lowry),17,15
53,1,5:04.0,,K. Lowry makes free throw 1 of 2,17,16
54,1,5:04.0,B. Portis enters the game for N. Mirotić,,17,16
55,1,5:04.0,,K. Lowry makes free throw 2 of 2,17,17
56,1,4:46.0,E. Moore makes 3-pt jump shot from 24 ft (assist by D. McDermott),,20,17
57,1,4:22.0,,Shooting foul by T. Gibson (drawn by J. Valančiūnas),20,17
58,1,4:22.0,,J. Valančiūnas makes free throw 1 of 2,20,18
59,1,4:22.0,,J. Valančiūnas makes free throw 2 of 2,20,19
60,1,4:11.0,E. Moore makes 2-pt jump shot from 14 ft,,22,19
61,1,4:02.0,,K. Lowry makes 2-pt layup from 1 ft,22,21
62,1,3:52.0,T. Gibson makes 2-pt jump shot from 12 ft (assist by E. Moore),,24,21
63,1,3:34.0,,D. DeRozan misses 2-pt layup from 1 ft,24,21
64,1,3:33.0,Defensive rebound by D. McDermott,,24,21
65,1,3:21.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by T. Gibson),,27,21
66,1,2:56.0,,L. Scola makes 2-pt layup from 1 ft (assist by K. Lowry),27,23
67,1,2:41.0,T. Snell misses 2-pt jump shot from 16 ft,,27,23
68,1,2:40.0,,Defensive rebound by J. Valančiūnas,27,23
69,1,2:26.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),27,25
70,1,2:25.0,Chicago full timeout,,27,25
71,1,2:25.0,,B. Biyombo enters the game for L. Scola,27,25
72,1,2:25.0,,C. Joseph enters the game for J. Valančiūnas,27,25
73,1,2:25.0,,P. Patterson enters the game for K. Lowry,27,25
74,1,2:25.0,C. Felício enters the game for T. Gibson,,27,25
75,1,2:04.0,T. Snell misses 2-pt layup from 2 ft,,27,25
76,1,2:03.0,Offensive rebound by B. Portis,,27,25
77,1,2:01.0,B. Portis makes 2-pt layup from 2 ft,,29,25
78,1,1:39.0,,B. Biyombo misses 2-pt jump shot at rim (block by D. McDermott),29,25
79,1,1:38.0,Defensive rebound by B. Portis,,29,25
80,1,1:32.0,D. McDermott makes 2-pt layup from 2 ft,,31,25
81,1,1:32.0,Shooting foul by T. Ross (drawn by D. McDermott),,31,25
82,1,1:32.0,A. Brooks enters the game for E. Moore,,31,25
83,1,1:32.0,D. McDermott makes free throw 1 of 1,,32,25
84,1,1:21.0,,Personal block foul by C. Felício,32,25
85,1,1:21.0,,D. DeRozan makes free throw 1 of 2,32,26
86,1,1:21.0,,D. DeRozan makes free throw 2 of 2,32,27
87,1,1:12.0,,Violation by C. Joseph (kicked ball),32,27
88,1,1:02.0,D. McDermott makes 2-pt jump shot from 13 ft (assist by A. Brooks),,34,27
89,1,0:37.0,,P. Patterson misses 2-pt jump shot from 14 ft,34,27
90,1,0:37.0,,Offensive rebound by Team,34,27
91,1,0:37.0,,Turnover by Team (shot clock),34,27
92,1,0:29.0,Turnover by A. Brooks (bad pass),,34,27
93,1,0:11.0,,C. Joseph makes 2-pt layup from 1 ft,34,29
94,1,0:01.0,A. Brooks misses 3-pt jump shot from 25 ft,,34,29
95,1,0:01.0,,Defensive rebound by D. DeRozan,34,29
96,2,11:44.0,J. Butler makes 2-pt layup from 2 ft (assist by A. Brooks),,36,29
97,2,11:28.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Lowry),36,32
98,2,11:06.0,C. Felício misses 2-pt jump shot from 13 ft,,36,32
99,2,11:05.0,,Defensive rebound by K. Lowry,36,32
100,2,10:55.0,,B. Biyombo makes 2-pt hook shot from 5 ft (assist by P. Patterson),36,34
101,2,10:38.0,B. Portis misses 3-pt jump shot from 24 ft,,36,34
102,2,10:37.0,,Defensive rebound by K. Lowry,36,34
103,2,10:19.0,,C. Joseph misses 2-pt layup from 3 ft,36,34
104,2,10:17.0,,Offensive rebound by B. Biyombo,36,34
105,2,10:15.0,,B. Biyombo makes 2-pt dunk at rim,36,36
106,2,10:07.0,Shooting foul by T. Ross (drawn by J. Butler),,36,36
107,2,10:07.0,J. Butler makes free throw 1 of 2,,37,36
108,2,10:07.0,J. Butler makes free throw 2 of 2,,38,36
109,2,9:56.0,,K. Lowry misses 2-pt jump shot from 19 ft,38,36
110,2,9:56.0,Defensive rebound by C. Felício,,38,36
111,2,9:48.0,,Violation by P. Patterson (kicked ball),38,36
112,2,9:35.0,D. McDermott makes 2-pt jump shot from 15 ft,,40,36
113,2,9:14.0,,P. Patterson misses 3-pt jump shot from 25 ft,40,36
114,2,9:13.0,Defensive rebound by C. Felício,,40,36
115,2,9:02.0,J. Butler makes 2-pt jump shot from 6 ft,,42,36
116,2,8:42.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by K. Lowry),42,39
117,2,8:26.0,Official timeout,,42,39
118,2,8:26.0,N. Mirotić enters the game for C. Felício,,42,39
119,2,8:26.0,,J. Johnson enters the game for T. Ross,42,39
120,2,8:19.0,J. Butler misses 2-pt jump shot from 11 ft,,42,39
121,2,8:19.0,,Defensive rebound by K. Lowry,42,39
