,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,N. Stauskas misses 3-pt jump shot from 27 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Parker,0,0
2,1,11:22.0,,J. Parker misses 2-pt jump shot from 16 ft,0,0
3,1,11:20.0,Defensive rebound by J. Grant,,0,0
4,1,11:03.0,Shooting foul by G. Antetokounmpo (drawn by N. Noel),,0,0
5,1,11:03.0,N. Noel makes free throw 1 of 2,,1,0
6,1,11:03.0,N. Noel misses free throw 2 of 2,,1,0
7,1,11:02.0,,Defensive rebound by J. Parker,1,0
8,1,10:48.0,,G. Monroe makes 2-pt hook shot from 4 ft,1,2
9,1,10:23.0,N. Stauskas makes 3-pt jump shot from 28 ft (assist by J. Grant),,4,2
10,1,10:09.0,,G. Monroe misses 2-pt jump shot from 20 ft,4,2
11,1,10:08.0,Defensive rebound by N. Noel,,4,2
12,1,9:54.0,J. Grant misses 3-pt jump shot from 27 ft,,4,2
13,1,9:53.0,Offensive rebound by N. Noel,,4,2
14,1,9:51.0,N. Noel makes 2-pt layup at rim,,6,2
15,1,9:29.0,,J. Parker misses 2-pt jump shot from 14 ft,6,2
16,1,9:18.0,,Offensive rebound by J. Parker,6,2
17,1,9:18.0,,J. Parker makes 2-pt jump shot from 11 ft (assist by G. Monroe),6,4
18,1,9:11.0,N. Stauskas misses 3-pt jump shot from 26 ft,,6,4
19,1,9:10.0,,Defensive rebound by G. Monroe,6,4
20,1,9:10.0,,Turnover by G. Monroe (bad pass),6,4
21,1,9:04.0,J. Okafor makes 2-pt dunk at rim (assist by T. McConnell),,8,4
22,1,8:48.0,,Turnover by J. Bayless (bad pass; steal by N. Noel),8,4
23,1,8:43.0,J. Okafor makes 2-pt layup from 1 ft,,10,4
24,1,8:25.0,,K. Middleton misses 2-pt jump shot from 16 ft,10,4
25,1,8:22.0,Defensive rebound by T. McConnell,,10,4
26,1,8:18.0,Turnover by N. Noel (offensive foul),,10,4
27,1,8:18.0,Offensive foul by N. Noel (drawn by G. Monroe),,10,4
28,1,8:03.0,,K. Middleton misses 2-pt jump shot from 18 ft,10,4
29,1,8:01.0,Defensive rebound by T. McConnell,,10,4
30,1,7:41.0,Turnover by N. Stauskas (lost ball; steal by K. Middleton),,10,4
31,1,7:40.0,,Personal foul by T. McConnell (drawn by K. Middleton),10,4
32,1,7:40.0,H. Thompson enters the game for N. Noel,,10,4
