,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:40.0,A. Davis makes 2-pt jump shot from 8 ft,,2,0
1,1,11:25.0,,Turnover by Z. Pachulia (lost ball; steal by A. Davis),2,0
2,1,11:12.0,Turnover by A. Davis (lost ball; steal by Z. Pachulia),,2,0
3,1,11:05.0,,Personal block foul by A. Davis (drawn by W. Matthews),2,0
4,1,11:01.0,,Shooting foul by Ö. Aşık (drawn by Z. Pachulia),2,0
5,1,11:01.0,,Z. Pachulia makes free throw 1 of 2,2,1
6,1,11:01.0,,Z. Pachulia makes free throw 2 of 2,2,2
7,1,10:51.0,N. Cole makes 2-pt jump shot from 17 ft,,4,2
8,1,10:42.0,,J. Barea makes 2-pt layup from 2 ft,4,4
9,1,10:28.0,T. Douglas enters the game for N. Cole,,4,4
10,1,10:24.0,A. Davis misses 2-pt jump shot from 21 ft,,4,4
11,1,10:24.0,,Defensive rebound by J. Barea,4,4
12,1,10:10.0,,Shooting block foul by T. Douglas (drawn by D. Nowitzki),4,4
13,1,10:10.0,,D. Nowitzki misses free throw 1 of 2,4,4
14,1,10:10.0,,Offensive rebound by Team,4,4
15,1,10:10.0,,D. Nowitzki makes free throw 2 of 2,4,5
16,1,9:52.0,Shooting foul by C. Parsons (drawn by E. Gordon),,4,5
17,1,9:52.0,E. Gordon makes 2-pt layup from 1 ft,,6,5
18,1,9:52.0,E. Gordon makes free throw 1 of 1,,7,5
19,1,9:28.0,,Z. Pachulia misses 2-pt layup from 1 ft,7,5
20,1,9:26.0,Defensive rebound by A. Davis,,7,5
21,1,9:20.0,A. Davis makes 2-pt jump shot from 5 ft (assist by T. Douglas),,9,5
22,1,8:55.0,,J. Barea misses 2-pt jump shot from 6 ft,9,5
23,1,8:53.0,,Offensive rebound by Z. Pachulia,9,5
24,1,8:53.0,,Z. Pachulia misses 2-pt layup at rim,9,5
25,1,8:50.0,Defensive rebound by E. Gordon,,9,5
26,1,8:50.0,E. Gordon makes 2-pt jump shot from 16 ft,,11,5
27,1,8:50.0,Shooting foul by W. Matthews (drawn by E. Gordon),,11,5
28,1,8:50.0,N. Cole enters the game for T. Douglas,,11,5
29,1,8:50.0,E. Gordon makes free throw 1 of 1,,12,5
30,1,8:31.0,,Shooting foul by N. Cole (drawn by D. Nowitzki),12,5
31,1,8:31.0,,D. Nowitzki makes free throw 1 of 2,12,6
32,1,8:31.0,,D. Nowitzki makes free throw 2 of 2,12,7
33,1,8:19.0,Turnover by E. Gordon (lost ball; steal by W. Matthews),,12,7
34,1,8:14.0,Violation by A. Davis (kicked ball),,12,7
35,1,8:03.0,,C. Parsons misses 2-pt jump shot from 19 ft,12,7
36,1,8:01.0,Defensive rebound by A. Davis,,12,7
37,1,7:47.0,E. Gordon misses 2-pt jump shot from 16 ft,,12,7
38,1,7:46.0,,Defensive rebound by Z. Pachulia,12,7
39,1,7:41.0,,W. Matthews misses 3-pt jump shot from 24 ft,12,7
40,1,7:38.0,Defensive rebound by E. Gordon,,12,7
41,1,7:29.0,E. Gordon misses 3-pt jump shot from 24 ft,,12,7
42,1,7:28.0,,Defensive rebound by D. Nowitzki,12,7
43,1,7:28.0,Loose ball foul by Ö. Aşık (drawn by D. Nowitzki),,12,7
44,1,7:28.0,,D. Nowitzki makes free throw 1 of 2,12,8
45,1,7:28.0,K. Perkins enters the game for Ö. Aşık,,12,8
46,1,7:28.0,,D. Nowitzki misses free throw 2 of 2,12,8
47,1,7:28.0,Defensive rebound by N. Cole,,12,8
48,1,7:19.0,Offensive foul by K. Perkins (drawn by W. Matthews),,12,8
49,1,7:19.0,Turnover by K. Perkins (offensive foul),,12,8
50,1,6:57.0,,Z. Pachulia makes 2-pt jump shot from 9 ft (assist by J. Barea),12,10
51,1,6:46.0,Turnover by N. Cole (bad pass; steal by Z. Pachulia),,12,10
52,1,6:41.0,,W. Matthews makes 2-pt layup at rim (assist by C. Parsons),12,12
53,1,6:31.0,New Orleans full timeout,,12,12
54,1,6:31.0,,D. Powell enters the game for D. Nowitzki,12,12
55,1,6:31.0,,D. Williams enters the game for W. Matthews,12,12
56,1,6:31.0,,R. Felton enters the game for J. Barea,12,12
57,1,6:31.0,J. Holiday enters the game for A. Gee,,12,12
58,1,6:18.0,J. Holiday misses 3-pt jump shot from 23 ft,,12,12
59,1,6:17.0,Offensive rebound by A. Davis,,12,12
60,1,6:17.0,,Loose ball foul by D. Powell (drawn by A. Davis),12,12
61,1,6:10.0,N. Cole misses 2-pt jump shot from 18 ft,,12,12
62,1,6:09.0,,Defensive rebound by Z. Pachulia,12,12
63,1,5:52.0,,D. Williams misses 2-pt jump shot from 8 ft (block by J. Holiday),12,12
64,1,5:51.0,Defensive rebound by K. Perkins,,12,12
65,1,5:40.0,A. Davis misses 2-pt jump shot from 17 ft,,12,12
66,1,5:39.0,,Defensive rebound by R. Felton,12,12
67,1,5:30.0,,Z. Pachulia misses 2-pt jump shot from 13 ft,12,12
68,1,5:29.0,Defensive rebound by A. Davis,,12,12
69,1,5:19.0,J. Holiday makes 2-pt jump shot from 12 ft,,14,12
