,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
0,1,11:40.0,,G. Dragić makes 2-pt jump shot from 3 ft (assist by A. Stoudemire),0,2
1,1,11:13.0,D. Green misses 2-pt jump shot from 7 ft,,0,2
2,1,11:12.0,,Defensive rebound by A. Stoudemire,0,2
3,1,10:55.0,,C. Bosh misses 3-pt jump shot from 24 ft,0,2
4,1,10:54.0,Defensive rebound by K. Leonard,,0,2
5,1,10:48.0,K. Leonard makes 2-pt layup from 1 ft,,2,2
6,1,10:24.0,,C. Bosh misses 2-pt jump shot from 12 ft,2,2
7,1,10:23.0,Defensive rebound by L. Aldridge,,2,2
8,1,10:15.0,T. Parker makes 2-pt jump shot from 9 ft,,4,2
9,1,10:15.0,Shooting foul by G. Dragić (drawn by T. Parker),,4,2
10,1,10:15.0,T. Parker makes free throw 1 of 1,,5,2
11,1,10:00.0,,G. Dragić misses 2-pt layup from 1 ft (block by D. West),5,2
12,1,9:58.0,Defensive rebound by L. Aldridge,,5,2
13,1,9:52.0,T. Parker misses 2-pt layup from 1 ft,,5,2
14,1,9:51.0,,Defensive rebound by A. Stoudemire,5,2
15,1,9:44.0,,Turnover by C. Bosh (lost ball),5,2
16,1,9:33.0,L. Aldridge makes 2-pt dunk at rim (assist by D. West),,7,2
17,1,9:19.0,,D. Wade makes 2-pt jump shot from 13 ft,7,4
18,1,9:03.0,T. Parker misses 2-pt jump shot from 14 ft,,7,4
19,1,9:02.0,,Defensive rebound by C. Bosh,7,4
20,1,8:50.0,,C. Bosh makes 2-pt jump shot from 12 ft (assist by G. Dragić),7,6
21,1,8:26.0,L. Aldridge misses 2-pt jump shot from 3 ft,,7,6
22,1,8:25.0,,Defensive rebound by A. Stoudemire,7,6
23,1,8:20.0,,G. Dragić misses 2-pt jump shot from 14 ft,7,6
24,1,8:19.0,Defensive rebound by L. Aldridge,,7,6
25,1,8:09.0,T. Parker misses 2-pt layup from 1 ft (block by A. Stoudemire),,7,6
26,1,8:08.0,Offensive rebound by Team,,7,6
27,1,8:05.0,D. Green misses 2-pt jump shot from 15 ft,,7,6
28,1,8:04.0,,Defensive rebound by A. Stoudemire,7,6
29,1,7:52.0,,A. Stoudemire makes 2-pt layup from 2 ft (assist by G. Dragić),7,8
30,1,7:42.0,Personal foul by A. Stoudemire (drawn by D. West),,7,8
31,1,7:32.0,L. Aldridge misses 2-pt jump shot from 15 ft,,7,8
32,1,7:31.0,,Defensive rebound by A. Stoudemire,7,8
33,1,7:27.0,,Shooting foul by D. West (drawn by L. Deng),7,8
34,1,7:27.0,,L. Deng makes free throw 1 of 2,7,9
35,1,7:27.0,,L. Deng makes free throw 2 of 2,7,10
36,1,7:13.0,K. Leonard misses 2-pt jump shot from 15 ft,,7,10
