,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,K. Towns misses 2-pt layup at rim,0,0
1,1,11:39.0,Defensive rebound by K. Durant,,0,0
2,1,11:34.0,D. Waiters misses 2-pt layup at rim,,0,0
3,1,11:32.0,,Defensive rebound by R. Rubio,0,0
4,1,11:28.0,,A. Wiggins misses 2-pt layup from 1 ft,0,0
5,1,11:26.0,,Offensive rebound by G. Dieng,0,0
6,1,11:26.0,,G. Dieng makes 2-pt dunk at rim,0,2
7,1,11:14.0,R. Westbrook makes 2-pt layup from 2 ft,,2,2
8,1,11:14.0,Shooting foul by R. Rubio (drawn by R. Westbrook),,2,2
9,1,11:14.0,R. Westbrook makes free throw 1 of 1,,3,2
10,1,11:02.0,,K. Towns misses 2-pt jump shot from 15 ft,3,2
11,1,11:01.0,Defensive rebound by S. Ibaka,,3,2
12,1,10:45.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,3,2
13,1,10:36.0,,Turnover by G. Dieng (traveling),3,2
14,1,10:21.0,D. Waiters misses 3-pt jump shot from 23 ft,,3,2
15,1,10:20.0,,Defensive rebound by K. Towns,3,2
16,1,10:15.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),3,4
17,1,9:47.0,Turnover by R. Westbrook (lost ball),,3,4
18,1,9:43.0,,Shooting foul by K. Durant (drawn by G. Dieng),3,4
19,1,9:43.0,,G. Dieng makes free throw 1 of 2,3,5
20,1,9:43.0,,G. Dieng misses free throw 2 of 2,3,5
21,1,9:42.0,Defensive rebound by R. Westbrook,,3,5
22,1,9:18.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by K. Durant),,6,5
23,1,9:04.0,,K. Towns misses 2-pt jump shot from 17 ft,6,5
24,1,9:03.0,Defensive rebound by K. Durant,,6,5
25,1,8:54.0,K. Durant misses 2-pt jump shot from 16 ft,,6,5
26,1,8:53.0,,Defensive rebound by K. Towns,6,5
27,1,8:47.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by R. Rubio),6,7
28,1,8:37.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,8,7
29,1,8:14.0,,G. Dieng makes 2-pt hook shot from 4 ft (assist by T. Prince),8,9
30,1,8:00.0,R. Westbrook misses 2-pt jump shot from 12 ft,,8,9
31,1,7:59.0,,Defensive rebound by K. Towns,8,9
32,1,7:46.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by T. Prince),8,11
33,1,7:30.0,K. Durant makes 2-pt jump shot from 5 ft,,10,11
34,1,7:15.0,,K. Towns misses 2-pt hook shot from 6 ft,10,11
35,1,7:14.0,Defensive rebound by S. Ibaka,,10,11
36,1,7:08.0,D. Waiters makes 2-pt layup from 1 ft (assist by K. Durant),,12,11
37,1,7:01.0,,Minnesota full timeout,12,11
38,1,6:55.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),12,13
39,1,6:38.0,S. Adams misses 2-pt layup from 2 ft,,12,13
40,1,6:37.0,Offensive rebound by S. Adams,,12,13
41,1,6:37.0,S. Adams misses 2-pt layup from 2 ft,,12,13
42,1,6:37.0,Offensive rebound by S. Ibaka,,12,13
43,1,6:36.0,Shooting foul by G. Dieng (drawn by S. Ibaka),,12,13
44,1,6:36.0,S. Ibaka makes free throw 1 of 2,,13,13
45,1,6:36.0,S. Ibaka makes free throw 2 of 2,,14,13
46,1,6:17.0,,G. Dieng makes 2-pt layup from 1 ft,14,15
47,1,6:00.0,S. Ibaka misses 2-pt jump shot from 15 ft,,14,15
48,1,5:59.0,,Defensive rebound by K. Towns,14,15
49,1,5:54.0,,Shooting foul by S. Ibaka (drawn by R. Rubio),14,15
50,1,5:54.0,,R. Rubio makes free throw 1 of 2,14,16
51,1,5:54.0,,S. Muhammad enters the game for T. Prince,14,16
52,1,5:54.0,E. Freedom enters the game for S. Ibaka,,14,16
53,1,5:54.0,,R. Rubio misses free throw 2 of 2,14,16
54,1,5:54.0,Defensive rebound by R. Westbrook,,14,16
55,1,5:40.0,K. Durant misses 2-pt jump shot from 15 ft,,14,16
56,1,5:39.0,,Defensive rebound by K. Towns,14,16
57,1,5:29.0,,A. Wiggins misses 2-pt jump shot from 15 ft,14,16
58,1,5:28.0,,Offensive rebound by G. Dieng,14,16
59,1,5:19.0,,G. Dieng misses 2-pt jump shot from 16 ft,14,16
60,1,5:18.0,,Offensive rebound by Team,14,16
61,1,5:18.0,Loose ball foul by S. Adams (drawn by A. Wiggins),,14,16
62,1,5:18.0,,N. Peković enters the game for G. Dieng,14,16
63,1,5:10.0,,R. Rubio misses 2-pt jump shot from 18 ft,14,16
64,1,5:09.0,Defensive rebound by K. Durant,,14,16
65,1,5:00.0,K. Durant misses 2-pt layup from 1 ft,,14,16
66,1,4:58.0,Offensive rebound by E. Freedom,,14,16
67,1,4:58.0,E. Freedom makes 2-pt layup from 1 ft,,16,16
68,1,4:41.0,,N. Peković misses 2-pt hook shot from 6 ft,16,16
69,1,4:40.0,Defensive rebound by K. Durant,,16,16
70,1,4:35.0,R. Westbrook makes 2-pt jump shot from 17 ft,,18,16
71,1,4:20.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),18,18
72,1,4:08.0,Turnover by S. Adams (offensive foul),,18,18
73,1,4:08.0,Offensive foul by S. Adams (drawn by R. Rubio),,18,18
74,1,4:08.0,,Z. LaVine enters the game for R. Rubio,18,18
75,1,3:56.0,,S. Muhammad misses 2-pt jump shot from 7 ft,18,18
76,1,3:55.0,,Offensive rebound by Team,18,18
77,1,3:55.0,Loose ball foul by S. Adams (drawn by K. Towns),,18,18
78,1,3:55.0,N. Collison enters the game for S. Adams,,18,18
79,1,3:50.0,,A. Wiggins makes 2-pt dunk at rim (assist by K. Towns),18,20
80,1,3:32.0,Turnover by R. Westbrook (bad pass; steal by Z. LaVine),,18,20
81,1,3:24.0,,N. Peković misses 2-pt layup from 1 ft,18,20
82,1,3:22.0,,Offensive rebound by N. Peković,18,20
83,1,3:21.0,,N. Peković misses 2-pt layup from 2 ft,18,20
84,1,3:17.0,Defensive rebound by K. Durant,,18,20
85,1,3:14.0,D. Waiters makes 2-pt layup from 1 ft,,20,20
86,1,2:57.0,,S. Muhammad misses 2-pt layup from 1 ft (block by N. Collison),20,20
87,1,2:55.0,,Offensive rebound by K. Towns,20,20
88,1,2:54.0,,K. Towns makes 2-pt dunk at rim,20,22
89,1,2:46.0,Shooting foul by Z. LaVine (drawn by R. Westbrook),,20,22
90,1,2:46.0,Oklahoma City full timeout,,20,22
91,1,2:46.0,,N. Bjelica enters the game for K. Towns,20,22
92,1,2:46.0,R. Westbrook makes free throw 1 of 2,,21,22
93,1,2:46.0,R. Westbrook makes free throw 2 of 2,,22,22
