,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:46.0,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Griffin),,2,0
1,1,11:31.0,,C. McCollum makes 2-pt jump shot from 20 ft (assist by M. Plumlee),2,2
2,1,11:26.0,LA Clippers full timeout,,2,2
3,1,11:13.0,J. Redick misses 3-pt jump shot from 23 ft,,2,2
4,1,11:13.0,,Defensive rebound by A. Aminu,2,2
5,1,11:02.0,,M. Plumlee misses 2-pt layup from 2 ft,2,2
6,1,11:01.0,Defensive rebound by B. Griffin,,2,2
7,1,10:52.0,J. Redick misses 2-pt jump shot from 18 ft,,2,2
8,1,10:50.0,,Defensive rebound by D. Lillard,2,2
9,1,10:26.0,,M. Plumlee makes 2-pt jump shot from 10 ft (assist by A. Aminu),2,4
10,1,10:09.0,B. Griffin misses 2-pt jump shot from 19 ft,,2,4
11,1,10:09.0,,Defensive rebound by M. Plumlee,2,4
12,1,10:00.0,,D. Lillard misses 2-pt jump shot from 22 ft,2,4
13,1,9:59.0,Defensive rebound by C. Paul,,2,4
14,1,9:38.0,L. Stephenson makes 2-pt layup from 1 ft (assist by C. Paul),,4,4
15,1,9:18.0,,Turnover by C. McCollum (lost ball; steal by J. Redick),4,4
16,1,9:14.0,Shooting foul by A. Aminu (drawn by L. Stephenson),,4,4
17,1,9:14.0,L. Stephenson misses free throw 1 of 2,,4,4
18,1,9:14.0,Offensive rebound by Team,,4,4
19,1,9:14.0,L. Stephenson misses free throw 2 of 2,,4,4
20,1,9:12.0,,Defensive rebound by A. Aminu,4,4
21,1,8:58.0,,A. Aminu misses 3-pt jump shot from 24 ft,4,4
22,1,8:58.0,Defensive rebound by J. Redick,,4,4
23,1,8:49.0,B. Griffin misses 2-pt hook shot from 6 ft,,4,4
24,1,8:48.0,,Defensive rebound by M. Plumlee,4,4
25,1,8:32.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),4,7
26,1,8:14.0,C. Paul makes 3-pt jump shot from 24 ft (assist by J. Redick),,7,7
27,1,7:56.0,,Offensive foul by N. Vonleh (drawn by L. Stephenson),7,7
28,1,7:56.0,,Turnover by N. Vonleh (offensive foul),7,7
29,1,7:45.0,C. Paul misses 2-pt jump shot from 16 ft,,7,7
30,1,7:44.0,Offensive rebound by D. Jordan,,7,7
31,1,7:44.0,D. Jordan misses 2-pt jump shot from 1 ft,,7,7
32,1,7:44.0,Offensive rebound by Team,,7,7
33,1,7:33.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,9,7
34,1,7:17.0,,M. Plumlee makes 2-pt hook shot from 3 ft,9,9
35,1,7:12.0,Personal foul by M. Plumlee (drawn by L. Stephenson),,9,9
36,1,7:07.0,B. Griffin makes 2-pt hook shot from 3 ft,,11,9
37,1,6:55.0,,D. Lillard misses 2-pt jump shot from 20 ft,11,9
38,1,6:54.0,Defensive rebound by D. Jordan,,11,9
39,1,6:40.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,13,9
40,1,6:20.0,,D. Lillard misses 2-pt layup at rim,13,9
41,1,6:20.0,Defensive rebound by Team,,13,9
42,1,6:13.0,C. Paul misses 2-pt jump shot from 9 ft,,13,9
43,1,6:13.0,,Defensive rebound by Team,13,9
44,1,5:55.0,,C. McCollum misses 3-pt jump shot from 24 ft,13,9
45,1,5:55.0,Defensive rebound by D. Jordan,,13,9
46,1,5:48.0,L. Stephenson misses 2-pt layup from 2 ft (block by A. Aminu),,13,9
47,1,5:47.0,,Defensive rebound by A. Aminu,13,9
48,1,5:41.0,,D. Lillard misses 3-pt jump shot from 24 ft,13,9
49,1,5:40.0,Defensive rebound by D. Jordan,,13,9
50,1,5:35.0,LA Clippers full timeout,,13,9
51,1,5:35.0,,A. Crabbe enters the game for C. McCollum,13,9
52,1,5:20.0,J. Redick misses 3-pt jump shot from 24 ft,,13,9
53,1,5:19.0,,Defensive rebound by N. Vonleh,13,9
54,1,5:11.0,,N. Vonleh misses 2-pt jump shot from 19 ft,13,9
55,1,5:09.0,,Offensive rebound by M. Plumlee,13,9
56,1,5:03.0,,D. Lillard makes 2-pt layup from 1 ft,13,11
57,1,5:03.0,,Shooting foul by L. Stephenson (drawn by D. Lillard),13,11
58,1,5:03.0,A. Rivers enters the game for L. Stephenson,,13,11
59,1,5:03.0,J. Crawford enters the game for C. Paul,,13,11
60,1,5:03.0,,D. Lillard makes free throw 1 of 1,13,12
