,QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,C. Joseph misses 2-pt jump shot from 16 ft,,0,0
1,1,11:36.0,,Defensive rebound by D. Green,0,0
2,1,11:25.0,,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),0,2
3,1,11:05.0,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by L. Scola),,2,2
4,1,10:47.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by K. Leonard),2,4
5,1,10:28.0,J. Johnson misses 3-pt jump shot from 25 ft,,2,4
6,1,10:28.0,,Defensive rebound by T. Duncan,2,4
7,1,10:18.0,,Turnover by T. Parker (bad pass),2,4
8,1,9:56.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,2,4
9,1,9:53.0,,Defensive rebound by L. Aldridge,2,4
10,1,9:40.0,,T. Duncan misses 2-pt jump shot from 11 ft,2,4
11,1,9:39.0,Defensive rebound by N. Powell,,2,4
12,1,9:35.0,N. Powell makes 2-pt dunk at rim,,4,4
13,1,9:14.0,,Shooting foul by C. Joseph (drawn by T. Parker),4,4
14,1,9:14.0,,T. Parker misses free throw 1 of 2,4,4
15,1,9:14.0,,Offensive rebound by Team,4,4
16,1,9:14.0,,T. Parker misses free throw 2 of 2,4,4
17,1,9:13.0,Defensive rebound by J. Valančiūnas,,4,4
18,1,8:50.0,J. Johnson misses 2-pt layup from 1 ft,,4,4
19,1,8:49.0,,Defensive rebound by T. Duncan,4,4
20,1,8:39.0,,T. Parker misses 2-pt jump shot from 21 ft,4,4
21,1,8:39.0,Defensive rebound by L. Scola,,4,4
22,1,8:28.0,N. Powell misses 2-pt jump shot from 17 ft,,4,4
23,1,8:27.0,,Defensive rebound by L. Aldridge,4,4
24,1,8:14.0,,L. Aldridge misses 2-pt jump shot from 15 ft,4,4
25,1,8:13.0,,Offensive rebound by T. Duncan,4,4
26,1,8:11.0,,T. Duncan misses 2-pt layup from 1 ft,4,4
27,1,8:10.0,Defensive rebound by C. Joseph,,4,4
28,1,8:03.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,,4,4
29,1,8:02.0,,Defensive rebound by L. Aldridge,4,4
30,1,7:53.0,,K. Leonard makes 3-pt jump shot from 24 ft,4,7
31,1,7:31.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by C. Joseph),,6,7
32,1,7:29.0,,San Antonio full timeout,6,7
